2017.11.08_16:14:50,61.87,83.17,103.43,13.41,13.92,17.86,22.91,8.80,973.57,68.56,86.67,108.92,14.70,18.46,21.14,23.84,56.20,980.63,56.75,N; Tset = 18.00; Ttrue = 018.7; T1 = 22.29; RH1 = 57.74; T2 = 23.61; RH2 = 58.06
2017.11.08_16:26:20,65.13,90.52,113.55,14.38,14.49,18.89,23.73,9.18,1007.03,76.73,95.45,124.97,16.03,19.66,20.90,24.68,49.27,1014.41,53.35,N; Tset = 21.00; Ttrue = 020.9; T1 = 23.08; RH1 = 59.03; T2 = 24.51; RH2 = 53.60
2017.11.08_16:27:24,67.09,90.56,117.02,12.16,13.96,17.44,23.75,9.05,1007.04,77.25,98.91,125.49,15.23,18.41,20.88,24.70,49.87,1014.43,54.27,N; Tset = 21.40; Ttrue = 021.3; T1 = 23.08; RH1 = 60.19; T2 = 24.53; RH2 = 54.51
2017.11.08_16:28:28,65.42,89.11,114.37,12.23,14.61,18.17,23.78,8.92,1007.05,78.02,103.14,125.20,15.50,19.03,21.28,24.73,50.46,1014.43,55.18,N; Tset = 21.80; Ttrue = 021.7; T1 = 23.06; RH1 = 61.39; T2 = 24.54; RH2 = 55.43
2017.11.08_16:29:32,66.60,91.03,118.02,13.31,14.10,18.79,23.80,8.81,1007.10,76.31,105.35,126.82,14.90,20.05,22.15,24.75,51.09,1014.44,56.07,N; Tset = 22.20; Ttrue = 022.0; T1 = 22.99; RH1 = 62.70; T2 = 24.55; RH2 = 56.38
2017.11.08_16:30:36,66.63,94.10,120.55,12.84,14.39,19.44,23.80,8.73,1007.11,80.76,104.47,131.94,15.54,20.11,22.58,24.76,51.76,1014.42,56.98,N; Tset = 22.60; Ttrue = 022.4; T1 = 22.90; RH1 = 64.11; T2 = 24.55; RH2 = 57.36
2017.11.08_16:31:38,64.21,90.94,113.83,12.48,13.47,18.35,23.80,8.64,1007.08,80.76,102.32,134.11,17.14,22.15,22.17,24.77,52.49,1014.40,57.93,N; Tset = 22.80; Ttrue = 022.7; T1 = 22.79; RH1 = 65.64; T2 = 24.53; RH2 = 58.40
2017.11.08_16:32:42,66.19,86.11,112.72,15.44,13.67,17.82,23.79,8.58,1007.12,77.70,101.62,127.53,14.63,18.90,20.73,24.75,53.31,1014.38,59.07,N; Tset = 23.20; Ttrue = 023.1; T1 = 22.70; RH1 = 67.22; T2 = 24.50; RH2 = 59.55
2017.11.08_16:33:46,68.21,91.53,111.47,14.65,14.71,17.52,23.76,8.58,1007.11,79.86,106.47,132.27,15.56,19.71,22.03,24.73,54.19,1014.37,60.20,N; Tset = 23.60; Ttrue = 023.5; T1 = 22.63; RH1 = 68.77; T2 = 24.48; RH2 = 60.74
2017.11.08_16:34:50,65.74,90.17,114.10,13.01,14.92,17.68,23.73,8.62,1007.08,80.47,107.60,132.53,15.44,19.76,22.41,24.70,55.13,1014.36,61.47,N; Tset = 24.00; Ttrue = 023.8; T1 = 22.58; RH1 = 70.26; T2 = 24.46; RH2 = 61.95
2017.11.08_16:35:52,64.03,88.16,113.14,13.93,13.11,17.24,23.71,8.67,1007.06,80.14,106.32,133.75,15.06,18.86,21.95,24.67,56.09,1014.33,62.70,N; Tset = 24.20; Ttrue = 024.1; T1 = 22.54; RH1 = 71.70; T2 = 24.45; RH2 = 63.19
2017.11.08_16:36:56,65.40,90.39,112.92,14.35,13.94,18.46,23.69,8.70,1007.01,84.30,115.82,135.14,15.02,19.10,21.32,24.65,57.06,1014.31,63.93,N; Tset = 24.60; Ttrue = 024.4; T1 = 22.52; RH1 = 73.06; T2 = 24.43; RH2 = 64.41
2017.11.08_16:37:58,63.31,88.84,113.02,13.01,14.15,17.09,23.67,8.74,1007.05,86.88,110.93,136.46,16.39,19.92,21.92,24.63,58.06,1014.32,65.12,N; Tset = 24.80; Ttrue = 024.8; T1 = 22.51; RH1 = 74.35; T2 = 24.41; RH2 = 65.63
2017.11.08_16:39:02,62.63,90.52,113.15,12.79,14.21,17.94,23.65,8.79,1007.02,88.42,111.68,137.52,16.10,19.68,22.01,24.62,59.04,1014.29,66.21,N; Tset = 25.20; Ttrue = 025.0; T1 = 22.52; RH1 = 75.56; T2 = 24.38; RH2 = 66.80
2017.11.08_16:40:04,65.30,90.16,109.90,13.01,14.30,17.35,23.64,8.84,1007.01,88.87,115.91,137.84,15.51,20.20,22.73,24.61,60.00,1014.30,67.32,N; Tset = 25.40; Ttrue = 025.4; T1 = 22.53; RH1 = 76.69; T2 = 24.36; RH2 = 67.95
2017.11.08_16:41:08,66.97,87.51,110.84,13.82,14.28,18.99,23.62,8.88,1007.00,88.02,119.92,146.13,16.50,20.29,22.08,24.59,60.95,1014.31,68.43,N; Tset = 25.80; Ttrue = 025.6; T1 = 22.55; RH1 = 77.79; T2 = 24.35; RH2 = 69.08
2017.11.08_16:42:10,65.01,89.63,115.74,12.62,14.25,17.91,23.60,8.93,1007.02,92.77,119.40,147.64,16.15,20.63,23.38,24.58,61.90,1014.34,69.52,N; Tset = 26.00; Ttrue = 025.9; T1 = 22.59; RH1 = 78.80; T2 = 24.34; RH2 = 70.17
2017.11.08_16:43:12,72.93,90.87,118.03,12.47,14.17,18.81,23.60,8.98,1007.03,98.74,121.18,155.67,16.63,19.88,23.58,24.58,62.82,1014.36,70.59,N; Tset = 26.20; Ttrue = 026.2; T1 = 22.63; RH1 = 79.77; T2 = 24.34; RH2 = 71.25
2017.11.08_16:44:16,70.30,90.55,115.81,11.77,14.12,18.36,23.60,9.03,1007.03,93.31,123.27,152.57,16.95,22.13,23.07,24.57,63.73,1014.37,71.69,N; Tset = 26.60; Ttrue = 026.5; T1 = 22.68; RH1 = 80.71; T2 = 24.34; RH2 = 72.32
2017.11.08_16:45:18,66.99,92.88,114.67,13.77,14.19,17.31,23.60,9.06,1007.04,95.96,127.19,156.94,24.55,21.69,22.78,24.57,64.63,1014.39,72.77,N; Tset = 26.80; Ttrue = 026.7; T1 = 22.74; RH1 = 81.62; T2 = 24.34; RH2 = 73.37
2017.11.08_16:46:20,77.07,91.23,117.64,14.13,14.00,18.18,23.60,9.10,1007.04,101.59,130.20,158.72,20.60,21.01,24.99,24.57,65.52,1014.42,73.86,N; Tset = 27.00; Ttrue = 027.0; T1 = 22.81; RH1 = 82.48; T2 = 24.36; RH2 = 74.39
2017.11.08_16:47:24,71.48,94.16,117.35,13.61,14.50,18.92,23.60,9.11,1007.05,103.67,135.64,161.11,17.77,21.52,25.31,24.57,66.40,1014.43,74.88,N; Tset = 27.40; Ttrue = 027.2; T1 = 22.87; RH1 = 83.29; T2 = 24.38; RH2 = 75.39
2017.11.08_16:48:26,68.45,94.83,118.81,14.03,15.15,19.31,23.62,9.14,1007.04,106.40,135.29,167.14,17.25,22.55,25.22,24.59,67.25,1014.44,75.84,N; Tset = 27.60; Ttrue = 027.5; T1 = 22.95; RH1 = 84.07; T2 = 24.40; RH2 = 76.36
2017.11.08_16:49:28,69.02,93.71,119.18,14.89,15.55,19.37,23.63,9.14,1007.03,111.02,144.47,172.17,17.99,23.01,25.32,24.60,68.08,1014.43,76.79,N; Tset = 27.80; Ttrue = 027.8; T1 = 23.03; RH1 = 84.77; T2 = 24.42; RH2 = 77.28
2017.11.08_16:50:30,70.33,90.80,118.58,15.74,13.33,17.94,23.64,9.07,1007.03,107.44,138.12,171.37,18.79,22.72,25.19,24.61,68.83,1014.42,77.66,N; Tset = 28.00; Ttrue = 028.0; T1 = 23.10; RH1 = 85.35; T2 = 24.44; RH2 = 78.13
2017.11.08_16:51:34,72.52,95.45,120.25,14.66,14.96,19.08,23.66,8.96,1007.03,114.35,144.82,181.09,19.09,22.76,26.63,24.62,69.49,1014.41,78.35,N; Tset = 28.40; Ttrue = 028.2; T1 = 23.15; RH1 = 85.90; T2 = 24.45; RH2 = 78.88
2017.11.08_16:52:36,69.29,92.40,117.80,14.17,17.25,18.83,23.67,8.85,1007.04,111.66,143.06,180.39,19.68,22.15,26.37,24.63,70.09,1014.41,79.03,N; Tset = 28.60; Ttrue = 028.4; T1 = 23.18; RH1 = 86.47; T2 = 24.46; RH2 = 79.58
2017.11.08_16:53:38,68.23,96.88,119.09,13.32,14.73,18.64,23.68,8.74,1007.03,115.20,148.97,180.73,20.19,24.05,30.50,24.64,70.67,1014.37,79.70,N; Tset = 28.80; Ttrue = 028.7; T1 = 23.19; RH1 = 87.20; T2 = 24.46; RH2 = 80.28
2017.11.08_16:54:40,66.50,94.04,116.03,12.30,14.35,19.23,23.69,8.65,1007.05,113.33,153.09,187.11,20.86,23.64,27.35,24.65,71.28,1014.35,80.41,N; Tset = 29.00; Ttrue = 028.9; T1 = 23.18; RH1 = 88.08; T2 = 24.46; RH2 = 81.06
2017.11.08_16:55:42,68.63,95.11,119.58,13.39,14.58,18.79,23.68,8.59,1007.04,123.53,154.65,191.37,20.65,24.94,28.02,24.65,71.96,1014.33,81.27,N; Tset = 29.20; Ttrue = 029.1; T1 = 23.15; RH1 = 89.17; T2 = 24.46; RH2 = 81.95
2017.11.08_16:56:44,67.30,96.94,120.70,12.54,14.16,19.34,23.68,8.58,1007.06,120.90,159.51,199.90,21.67,25.52,28.95,24.65,72.77,1014.36,82.22,N; Tset = 29.40; Ttrue = 029.3; T1 = 23.12; RH1 = 90.37; T2 = 24.45; RH2 = 82.97
2017.11.08_16:57:46,69.17,94.68,126.00,15.46,15.05,18.92,23.67,8.64,1007.07,127.95,164.93,205.48,24.79,26.34,30.45,24.64,73.62,1014.37,83.19,N; Tset = 29.60; Ttrue = 029.6; T1 = 23.09; RH1 = 91.52; T2 = 24.43; RH2 = 84.08
2017.11.08_16:58:48,70.86,99.10,127.16,15.49,15.23,19.86,23.65,8.71,1007.05,130.57,175.23,212.33,26.69,28.33,32.77,24.63,74.52,1014.33,84.22,N; Tset = 29.80; Ttrue = 029.8; T1 = 23.09; RH1 = 92.58; T2 = 24.40; RH2 = 85.18
2017.11.08_16:59:50,70.62,96.91,125.40,14.79,16.49,19.12,23.63,8.79,1007.03,137.65,181.16,218.14,28.16,31.77,34.77,24.62,75.46,1014.31,85.21,N; Tset = 30.00; Ttrue = 030.0; T1 = 23.09; RH1 = 93.61; T2 = 24.36; RH2 = 86.35
2017.11.08_17:00:52,71.59,97.95,127.02,15.54,15.73,19.07,23.60,8.87,1007.00,146.45,184.47,225.56,31.72,32.82,35.94,24.61,76.38,1014.30,86.25,N; Tset = 30.20; Ttrue = 030.2; T1 = 23.11; RH1 = 94.49; T2 = 24.34; RH2 = 87.47
