2017.11.08_10:01:54,38.33,51.26,62.71,8.17,7.87,11.32,22.79,8.58,977.72,59.23,80.13,98.18,21.01,23.27,22.84,23.80,73.10,984.84,82.95,P; Tset = 16.80; Ttrue = NaN; T1 = 22.41; RH1 = 85.95; T2 = 23.61; RH2 = 82.46
2017.11.08_10:12:54,41.44,56.47,71.11,7.68,8.80,11.87,23.68,8.65,1011.32,45.17,56.62,72.33,11.52,14.11,15.84,24.66,32.79,1018.77,29.64,P; Tset = 20.60; Ttrue = NaN; T1 = 23.69; RH1 = 30.57; T2 = 24.51; RH2 = 30.71
2017.11.08_10:13:54,40.02,56.62,71.54,9.79,10.19,12.73,23.69,8.61,1011.32,42.26,55.63,72.28,12.09,13.72,15.12,24.68,31.19,1018.76,28.12,P; Tset = 21.00; Ttrue = NaN; T1 = 23.72; RH1 = 28.98; T2 = 24.53; RH2 = 29.15
2017.11.08_10:14:54,40.22,55.60,70.33,9.27,11.00,13.25,23.70,8.53,1011.31,42.77,54.64,69.21,10.38,13.74,15.59,24.71,29.69,1018.75,26.63,P; Tset = 21.40; Ttrue = NaN; T1 = 23.74; RH1 = 27.45; T2 = 24.55; RH2 = 27.63
2017.11.08_10:15:54,41.68,56.90,73.63,9.45,10.38,15.41,23.72,8.51,1011.31,43.87,55.37,71.20,10.57,14.00,15.82,24.74,28.44,1018.75,25.51,P; Tset = 21.80; Ttrue = NaN; T1 = 23.76; RH1 = 26.36; T2 = 24.57; RH2 = 26.43
2017.11.08_10:16:54,45.14,57.81,75.33,9.22,10.46,13.30,23.72,8.51,1011.32,45.88,62.04,76.73,11.68,15.04,17.42,24.76,27.20,1018.77,24.36,P; Tset = 22.40; Ttrue = NaN; T1 = 23.78; RH1 = 25.14; T2 = 24.60; RH2 = 25.26
2017.11.08_10:17:54,43.86,56.84,74.52,8.49,8.94,11.85,23.75,8.49,1011.32,45.27,57.97,72.54,12.39,14.15,17.03,24.78,25.96,1018.77,23.16,P; Tset = 22.80; Ttrue = NaN; T1 = 23.80; RH1 = 23.86; T2 = 24.63; RH2 = 24.05
2017.11.08_10:18:54,43.54,60.85,78.46,10.25,9.97,15.00,23.79,8.44,1011.28,45.32,58.38,76.16,10.82,13.99,16.81,24.80,24.80,1018.73,22.05,P; Tset = 23.20; Ttrue = NaN; T1 = 23.82; RH1 = 22.73; T2 = 24.65; RH2 = 22.87
2017.11.08_10:19:54,43.62,63.52,76.20,9.37,9.23,13.17,23.82,8.36,1011.27,44.87,59.34,76.22,11.02,14.14,17.15,24.81,23.84,1018.74,21.22,P; Tset = 23.60; Ttrue = NaN; T1 = 23.83; RH1 = 21.91; T2 = 24.66; RH2 = 21.97
2017.11.08_10:20:54,45.93,61.11,78.06,9.65,9.63,13.43,23.85,8.35,1011.25,46.95,58.73,76.34,10.90,15.08,17.31,24.83,23.03,1018.72,20.55,P; Tset = 23.80; Ttrue = NaN; T1 = 23.84; RH1 = 21.26; T2 = 24.68; RH2 = 21.25
2017.11.08_10:21:54,47.06,61.89,78.75,10.04,9.78,14.65,23.87,8.32,1011.19,47.99,62.16,80.15,12.01,15.06,17.78,24.85,22.31,1018.68,19.99,P; Tset = 24.20; Ttrue = NaN; T1 = 23.85; RH1 = 20.71; T2 = 24.70; RH2 = 20.66
2017.11.08_10:22:54,45.55,62.29,77.92,9.99,9.70,14.95,23.88,8.24,1011.22,49.63,60.79,78.58,10.79,14.80,16.29,24.86,21.66,1018.68,19.48,P; Tset = 24.60; Ttrue = NaN; T1 = 23.86; RH1 = 20.20; T2 = 24.71; RH2 = 20.11
2017.11.08_10:23:54,44.69,62.63,80.15,10.25,9.79,14.06,23.90,8.18,1011.22,46.91,64.41,79.57,12.33,17.22,17.15,24.88,21.04,1018.69,18.97,P; Tset = 25.00; Ttrue = NaN; T1 = 23.88; RH1 = 19.69; T2 = 24.72; RH2 = 19.58
2017.11.08_10:24:54,44.72,63.23,82.35,9.77,10.35,12.98,23.92,8.14,1011.26,46.42,63.28,80.85,11.41,16.14,16.51,24.90,20.42,1018.71,18.44,P; Tset = 25.40; Ttrue = NaN; T1 = 23.88; RH1 = 19.16; T2 = 24.74; RH2 = 19.03
2017.11.08_10:25:54,45.67,62.18,80.55,9.32,10.35,13.71,23.93,8.12,1011.27,46.62,61.17,77.36,12.19,16.66,17.41,24.92,19.89,1018.74,18.01,P; Tset = 25.60; Ttrue = NaN; T1 = 23.89; RH1 = 18.74; T2 = 24.75; RH2 = 18.58
2017.11.08_10:26:54,46.77,62.54,79.81,9.47,11.15,14.32,23.95,8.11,1011.27,48.60,64.05,77.40,11.56,18.51,17.24,24.93,19.39,1018.76,17.60,P; Tset = 26.00; Ttrue = NaN; T1 = 23.90; RH1 = 18.35; T2 = 24.76; RH2 = 18.14
2017.11.08_10:27:54,47.16,62.34,78.36,9.50,9.89,14.13,23.97,8.09,1011.30,47.73,64.49,78.65,11.63,18.63,16.22,24.95,18.93,1018.77,17.25,P; Tset = 26.20; Ttrue = NaN; T1 = 23.90; RH1 = 18.02; T2 = 24.78; RH2 = 17.77
2017.11.08_10:28:54,43.09,62.07,79.01,9.39,11.47,14.28,23.98,8.06,1011.31,47.42,65.96,78.51,12.12,14.57,17.20,24.97,18.52,1018.78,16.92,P; Tset = 26.60; Ttrue = NaN; T1 = 23.91; RH1 = 17.70; T2 = 24.79; RH2 = 17.43
2017.11.08_10:29:54,44.87,63.26,77.75,9.31,10.37,14.02,23.99,8.03,1011.26,46.20,62.26,78.11,10.47,14.38,16.82,25.00,18.08,1018.74,16.57,P; Tset = 27.00; Ttrue = NaN; T1 = 23.91; RH1 = 17.36; T2 = 24.81; RH2 = 17.07
2017.11.08_10:30:54,44.07,61.91,79.86,8.76,10.47,14.03,24.01,8.05,1011.23,48.75,64.11,82.17,11.50,16.39,17.23,25.03,17.75,1018.73,16.34,P; Tset = 27.20; Ttrue = NaN; T1 = 23.91; RH1 = 17.17; T2 = 24.83; RH2 = 16.82
2017.11.08_10:31:54,46.32,64.49,83.22,10.32,11.04,14.49,24.03,8.06,1011.19,53.58,64.36,81.82,12.58,16.27,17.28,25.04,17.40,1018.68,16.07,P; Tset = 27.60; Ttrue = NaN; T1 = 23.92; RH1 = 16.90; T2 = 24.85; RH2 = 16.53
2017.11.08_10:32:54,46.79,64.67,80.15,8.34,9.57,13.96,24.05,8.05,1011.16,47.66,61.71,78.73,11.31,15.91,17.33,25.05,17.07,1018.67,15.82,P; Tset = 27.80; Ttrue = NaN; T1 = 23.92; RH1 = 16.66; T2 = 24.87; RH2 = 16.24
2017.11.08_10:33:54,46.00,62.69,80.28,9.99,9.90,14.24,24.08,8.04,1011.18,47.32,62.64,78.25,11.05,15.42,17.08,25.07,16.78,1018.67,15.63,P; Tset = 28.00; Ttrue = NaN; T1 = 23.92; RH1 = 16.48; T2 = 24.90; RH2 = 16.03
2017.11.08_10:34:54,45.83,63.56,82.73,10.41,10.61,13.84,24.10,8.06,1011.18,49.48,63.32,79.41,12.47,15.64,16.42,25.08,16.40,1018.66,15.28,P; Tset = 28.40; Ttrue = NaN; T1 = 23.92; RH1 = 16.09; T2 = 24.92; RH2 = 15.69
2017.11.08_10:35:54,50.92,65.83,85.40,10.76,11.12,15.99,24.12,8.08,1011.18,54.46,68.43,88.66,12.08,16.15,17.88,25.11,16.05,1018.66,14.97,P; Tset = 28.60; Ttrue = NaN; T1 = 23.93; RH1 = 15.83; T2 = 24.95; RH2 = 15.33
2017.11.08_10:36:54,52.28,65.52,84.69,9.93,10.14,14.57,24.15,8.09,1011.18,51.74,68.14,86.61,11.50,16.42,19.33,25.12,15.80,1018.67,14.80,P; Tset = 29.00; Ttrue = NaN; T1 = 23.93; RH1 = 15.68; T2 = 24.96; RH2 = 15.14
2017.11.08_10:37:54,48.49,65.93,83.56,9.99,11.11,15.13,24.17,8.10,1011.16,49.83,67.05,84.70,11.46,15.36,19.57,25.14,15.56,1018.65,14.64,P; Tset = 29.20; Ttrue = NaN; T1 = 23.93; RH1 = 15.53; T2 = 24.98; RH2 = 14.99
2017.11.08_10:38:54,47.94,66.22,83.80,11.04,11.45,15.12,24.19,8.09,1011.17,55.93,66.85,82.78,11.31,16.47,20.85,25.16,15.36,1018.67,14.51,P; Tset = 29.40; Ttrue = NaN; T1 = 23.93; RH1 = 15.43; T2 = 24.99; RH2 = 14.84
2017.11.08_10:39:54,46.57,65.77,83.38,10.67,10.16,14.44,24.21,8.09,1011.18,50.18,68.09,84.57,12.31,16.13,17.80,25.18,15.18,1018.69,14.42,P; Tset = 29.80; Ttrue = NaN; T1 = 23.93; RH1 = 15.36; T2 = 24.99; RH2 = 14.75
2017.11.08_10:40:54,48.56,67.09,85.47,9.66,11.16,15.14,24.21,8.11,1011.18,56.34,68.23,84.41,12.45,15.68,18.46,25.19,15.02,1018.70,14.31,P; Tset = 30.00; Ttrue = NaN; T1 = 23.93; RH1 = 15.27; T2 = 25.00; RH2 = 14.63
2017.11.08_10:41:54,49.19,67.63,87.02,10.18,11.32,14.86,24.23,8.10,1011.19,49.82,68.39,88.03,12.68,15.34,19.94,25.19,14.85,1018.69,14.20,P; Tset = 30.20; Ttrue = NaN; T1 = 23.92; RH1 = 15.17; T2 = 25.00; RH2 = 14.51
2017.11.08_10:42:54,47.54,70.52,87.52,10.00,12.19,14.90,24.24,8.08,1011.19,51.42,69.53,85.31,12.58,15.21,17.59,25.21,14.67,1018.70,14.07,P; Tset = 30.40; Ttrue = NaN; T1 = 23.92; RH1 = 15.06; T2 = 25.02; RH2 = 14.36
2017.11.08_10:43:54,47.87,68.88,87.74,12.00,11.68,14.64,24.26,8.05,1011.18,49.20,69.80,87.07,13.84,16.51,17.74,25.22,14.48,1018.69,13.90,P; Tset = 30.60; Ttrue = NaN; T1 = 23.92; RH1 = 14.86; T2 = 25.03; RH2 = 14.21
2017.11.08_10:44:54,46.08,63.95,84.74,10.26,10.45,13.56,24.27,8.03,1011.19,48.25,69.46,84.23,12.82,15.68,17.04,25.24,14.26,1018.70,13.70,P; Tset = 31.00; Ttrue = NaN; T1 = 23.92; RH1 = 14.67; T2 = 25.04; RH2 = 14.00
2017.11.08_10:45:54,47.48,65.72,87.26,11.92,11.72,14.46,24.28,7.99,1011.18,49.29,67.73,85.35,11.66,15.37,17.23,25.25,14.08,1018.70,13.54,P; Tset = 31.20; Ttrue = NaN; T1 = 23.92; RH1 = 14.52; T2 = 25.05; RH2 = 13.85
2017.11.08_10:46:54,48.69,68.39,85.85,10.40,11.49,14.87,24.29,7.96,1011.19,50.97,69.54,84.63,11.13,15.35,17.30,25.27,13.89,1018.70,13.40,P; Tset = 31.40; Ttrue = NaN; T1 = 23.92; RH1 = 14.38; T2 = 25.07; RH2 = 13.70
2017.11.08_10:47:54,50.17,66.82,86.47,9.70,11.84,15.07,24.31,7.95,1011.18,52.29,66.20,85.99,11.82,15.70,17.90,25.28,13.70,1018.70,13.23,P; Tset = 31.60; Ttrue = NaN; T1 = 23.92; RH1 = 14.21; T2 = 25.08; RH2 = 13.52
2017.11.08_10:48:54,48.72,68.72,88.22,11.11,12.25,15.61,24.33,7.93,1011.19,53.64,69.34,86.77,12.44,15.70,18.62,25.30,13.49,1018.71,13.04,P; Tset = 31.80; Ttrue = NaN; T1 = 23.92; RH1 = 14.02; T2 = 25.10; RH2 = 13.32
2017.11.08_10:49:54,48.67,71.58,89.56,12.26,11.73,16.32,24.36,7.90,1011.18,52.99,70.71,91.61,12.24,16.30,17.78,25.32,13.26,1018.72,12.80,P; Tset = 32.00; Ttrue = NaN; T1 = 23.92; RH1 = 13.74; T2 = 25.12; RH2 = 13.10
2017.11.08_10:50:54,49.50,71.81,92.00,10.80,11.27,15.64,24.37,7.87,1011.18,56.66,78.51,92.99,14.27,16.26,17.39,25.33,12.99,1018.72,12.52,P; Tset = 32.20; Ttrue = NaN; T1 = 23.92; RH1 = 13.45; T2 = 25.14; RH2 = 12.83
2017.11.08_10:51:54,49.16,68.47,88.30,11.51,11.19,14.95,24.40,7.84,1011.19,51.09,70.82,90.05,13.64,16.45,17.71,25.34,12.80,1018.70,12.38,P; Tset = 32.40; Ttrue = NaN; T1 = 23.92; RH1 = 13.32; T2 = 25.16; RH2 = 12.67
2017.11.08_10:52:54,50.49,68.59,90.87,10.79,12.97,15.84,24.42,7.81,1011.18,52.48,70.40,89.73,13.53,16.01,17.92,25.36,12.65,1018.70,12.28,P; Tset = 32.60; Ttrue = NaN; T1 = 23.92; RH1 = 13.25; T2 = 25.18; RH2 = 12.54
2017.11.08_10:53:54,52.18,73.91,91.92,10.39,10.97,16.31,24.44,7.80,1011.12,54.12,73.71,93.15,14.67,16.38,17.97,25.37,12.54,1018.65,12.23,P; Tset = 33.00; Ttrue = NaN; T1 = 23.92; RH1 = 13.20; T2 = 25.20; RH2 = 12.48
2017.11.08_10:54:54,50.72,69.65,91.26,12.04,12.58,15.19,24.46,7.81,1011.12,53.06,69.61,92.53,11.74,15.37,18.08,25.38,12.46,1018.65,12.22,P; Tset = 33.20; Ttrue = NaN; T1 = 23.92; RH1 = 13.20; T2 = 25.22; RH2 = 12.45
2017.11.08_10:55:54,52.71,69.55,94.06,11.61,12.01,15.41,24.48,7.81,1011.10,51.66,71.97,91.76,12.58,16.92,18.74,25.39,12.38,1018.63,12.16,P; Tset = 33.40; Ttrue = NaN; T1 = 23.92; RH1 = 13.15; T2 = 25.23; RH2 = 12.40
2017.11.08_10:56:54,50.32,69.78,93.49,9.96,11.92,15.21,24.48,7.78,1011.11,50.94,70.19,91.30,12.09,16.43,19.23,25.40,12.27,1018.61,12.10,P; Tset = 33.60; Ttrue = NaN; T1 = 23.92; RH1 = 13.10; T2 = 25.24; RH2 = 12.34
2017.11.08_10:57:54,51.33,72.28,91.96,11.07,12.97,16.06,24.50,7.76,1011.09,51.51,72.83,93.98,13.37,17.23,19.37,25.42,12.19,1018.60,12.06,P; Tset = 33.80; Ttrue = NaN; T1 = 23.92; RH1 = 13.08; T2 = 25.25; RH2 = 12.28
2017.11.08_10:58:54,50.61,71.74,93.06,11.41,13.56,15.63,24.51,7.77,1011.09,55.73,72.85,91.40,13.08,16.30,18.39,25.43,12.13,1018.59,12.05,P; Tset = 33.80; Ttrue = NaN; T1 = 23.92; RH1 = 13.09; T2 = 25.25; RH2 = 12.27
2017.11.08_10:59:54,47.86,72.27,91.27,10.01,11.63,16.35,24.52,7.76,1011.11,52.34,72.52,90.50,13.04,15.98,18.54,25.44,12.06,1018.63,12.02,P; Tset = 34.00; Ttrue = NaN; T1 = 23.92; RH1 = 13.06; T2 = 25.26; RH2 = 12.24
2017.11.08_11:00:54,51.83,72.59,95.80,12.62,12.77,15.56,24.53,7.76,1011.11,54.54,73.51,92.94,12.62,15.75,18.76,25.45,12.00,1018.63,11.98,P; Tset = 34.20; Ttrue = NaN; T1 = 23.91; RH1 = 13.04; T2 = 25.27; RH2 = 12.20
2017.11.08_11:01:54,51.87,72.00,96.73,10.38,12.86,14.90,24.54,7.77,1011.12,53.54,72.82,94.56,15.96,16.61,18.63,25.46,11.95,1018.64,11.98,P; Tset = 34.40; Ttrue = NaN; T1 = 23.91; RH1 = 13.05; T2 = 25.27; RH2 = 12.20
2017.11.08_11:02:54,54.76,73.50,94.56,10.95,11.87,16.22,24.55,7.79,1011.13,55.11,75.25,91.46,13.96,17.08,18.30,25.46,11.91,1018.65,11.99,P; Tset = 34.60; Ttrue = NaN; T1 = 23.91; RH1 = 13.07; T2 = 25.28; RH2 = 12.19
2017.11.08_11:03:54,51.31,74.87,94.78,10.67,12.15,19.02,24.55,7.79,1011.11,56.11,73.91,96.74,12.47,17.49,18.99,25.48,11.86,1018.65,11.96,P; Tset = 34.80; Ttrue = NaN; T1 = 23.92; RH1 = 13.05; T2 = 25.29; RH2 = 12.17
2017.11.08_11:04:54,51.70,73.74,100.10,9.83,11.75,15.48,24.57,7.78,1011.14,59.26,71.87,92.45,12.72,15.65,18.54,25.48,11.80,1018.64,11.93,P; Tset = 35.00; Ttrue = NaN; T1 = 23.91; RH1 = 13.02; T2 = 25.29; RH2 = 12.14
2017.11.08_11:05:54,49.32,70.08,92.70,10.45,12.04,14.70,24.58,7.76,1011.11,52.30,74.52,91.94,12.16,15.77,19.29,25.50,11.74,1018.62,11.88,P; Tset = 35.20; Ttrue = NaN; T1 = 23.92; RH1 = 12.98; T2 = 25.30; RH2 = 12.10
2017.11.08_11:06:54,47.85,67.92,91.95,11.40,14.25,16.28,24.59,7.74,1011.10,55.86,70.13,92.27,13.58,15.70,19.17,25.51,11.66,1018.62,11.83,P; Tset = 35.40; Ttrue = NaN; T1 = 23.91; RH1 = 12.93; T2 = 25.31; RH2 = 12.04
2017.11.08_11:07:54,49.00,76.90,91.22,10.90,11.65,15.33,24.60,7.73,1011.12,53.24,71.99,92.18,13.30,16.85,17.95,25.52,11.59,1018.64,11.78,P; Tset = 35.60; Ttrue = NaN; T1 = 23.91; RH1 = 12.89; T2 = 25.32; RH2 = 12.00
2017.11.08_11:08:54,51.26,71.64,93.94,10.90,12.19,15.75,24.62,7.70,1011.11,54.43,73.51,93.43,12.57,15.50,22.55,25.54,11.53,1018.63,11.73,P; Tset = 35.80; Ttrue = NaN; T1 = 23.91; RH1 = 12.85; T2 = 25.32; RH2 = 11.95
2017.11.08_11:09:54,50.63,69.18,92.81,10.32,10.98,15.61,24.64,7.67,1011.09,55.03,67.92,88.62,16.66,16.04,41.22,25.54,11.45,1018.62,11.68,P; Tset = 35.80; Ttrue = NaN; T1 = 23.91; RH1 = 12.79; T2 = 25.33; RH2 = 11.89
2017.11.08_11:10:54,49.94,73.14,93.26,11.12,12.12,15.89,24.66,7.67,1011.11,57.40,71.20,93.28,14.10,16.18,17.95,25.56,11.39,1018.62,11.64,P; Tset = 36.00; Ttrue = NaN; T1 = 23.91; RH1 = 12.77; T2 = 25.34; RH2 = 11.85
2017.11.08_11:11:54,51.79,74.09,94.68,11.60,12.61,15.77,24.67,7.66,1011.07,54.35,75.07,92.05,13.17,16.28,19.70,25.57,11.34,1018.58,11.60,P; Tset = 36.20; Ttrue = NaN; T1 = 23.91; RH1 = 12.74; T2 = 25.35; RH2 = 11.82
2017.11.08_11:12:54,49.34,70.84,94.03,11.52,11.22,15.50,24.68,7.65,1011.06,52.00,71.07,90.38,13.11,17.10,20.49,25.58,11.28,1018.56,11.56,P; Tset = 36.40; Ttrue = NaN; T1 = 23.91; RH1 = 12.70; T2 = 25.36; RH2 = 11.76
2017.11.08_11:13:54,51.31,72.13,93.55,11.68,11.90,16.96,24.69,7.65,1011.05,56.22,72.49,93.22,13.13,16.03,18.57,25.59,11.24,1018.56,11.54,P; Tset = 36.60; Ttrue = NaN; T1 = 23.92; RH1 = 12.70; T2 = 25.37; RH2 = 11.74
2017.11.08_11:14:54,51.82,73.65,92.58,10.37,11.18,16.05,24.71,7.66,1011.03,55.25,69.74,95.23,13.31,15.61,18.71,25.60,11.20,1018.54,11.53,P; Tset = 36.80; Ttrue = NaN; T1 = 23.91; RH1 = 12.69; T2 = 25.38; RH2 = 11.73
2017.11.08_11:15:54,53.11,72.73,98.02,10.65,11.94,15.89,24.72,7.68,1011.04,57.07,72.75,94.69,13.87,15.93,18.78,25.61,11.17,1018.53,11.52,P; Tset = 36.80; Ttrue = NaN; T1 = 23.92; RH1 = 12.69; T2 = 25.39; RH2 = 11.72
2017.11.08_11:16:54,53.96,73.35,94.44,11.46,12.11,16.16,24.74,7.70,1011.02,54.63,73.95,96.45,13.22,17.31,19.35,25.62,11.13,1018.52,11.51,P; Tset = 37.00; Ttrue = NaN; T1 = 23.92; RH1 = 12.68; T2 = 25.41; RH2 = 11.70
2017.11.08_11:17:54,55.62,74.85,99.75,12.68,12.69,17.52,24.74,7.70,1010.97,57.03,76.35,95.33,13.20,17.48,22.20,25.64,11.09,1018.50,11.49,P; Tset = 37.20; Ttrue = NaN; T1 = 23.92; RH1 = 12.67; T2 = 25.42; RH2 = 11.69
2017.11.08_11:18:54,55.01,75.41,98.11,10.95,12.27,17.09,24.76,7.71,1010.98,54.66,74.92,98.21,13.59,19.44,20.81,25.64,11.05,1018.48,11.47,P; Tset = 37.40; Ttrue = NaN; T1 = 23.92; RH1 = 12.66; T2 = 25.42; RH2 = 11.67
2017.11.08_11:19:54,55.54,75.94,100.45,11.01,12.43,16.43,24.77,7.73,1010.94,64.60,75.00,98.35,13.14,17.59,19.92,25.64,11.02,1018.45,11.48,P; Tset = 37.40; Ttrue = NaN; T1 = 23.92; RH1 = 12.66; T2 = 25.43; RH2 = 11.67
2017.11.08_11:20:54,51.26,72.25,95.12,10.45,12.08,16.29,24.79,7.71,1010.91,60.07,73.98,93.95,12.82,17.03,19.26,25.65,10.98,1018.43,11.44,P; Tset = 37.60; Ttrue = NaN; T1 = 23.92; RH1 = 12.63; T2 = 25.45; RH2 = 11.63
2017.11.08_11:21:54,53.87,73.36,96.68,11.07,12.87,16.99,24.80,7.70,1010.87,55.11,78.11,96.71,12.74,16.26,18.76,25.66,10.94,1018.40,11.44,P; Tset = 37.80; Ttrue = NaN; T1 = 23.93; RH1 = 12.63; T2 = 25.46; RH2 = 11.62
2017.11.08_11:22:54,56.87,76.40,99.61,10.61,12.35,16.27,24.80,7.73,1010.85,57.37,75.26,97.68,13.89,17.13,19.89,25.66,10.92,1018.38,11.46,P; Tset = 38.00; Ttrue = NaN; T1 = 23.93; RH1 = 12.66; T2 = 25.48; RH2 = 11.62
2017.11.08_11:23:54,57.07,77.49,100.04,11.33,13.00,16.95,24.82,7.76,1010.84,56.88,76.86,97.61,14.59,17.31,18.83,25.68,10.91,1018.35,11.47,P; Tset = 38.00; Ttrue = NaN; T1 = 23.94; RH1 = 12.68; T2 = 25.50; RH2 = 11.64
2017.11.08_11:24:54,52.75,72.50,94.59,10.71,12.83,16.48,24.83,7.73,1010.83,59.95,76.71,95.13,14.88,16.78,20.19,25.68,10.88,1018.33,11.44,P; Tset = 38.20; Ttrue = NaN; T1 = 23.94; RH1 = 12.64; T2 = 25.51; RH2 = 11.62
2017.11.08_11:25:54,53.47,73.15,95.05,10.37,12.60,15.73,24.83,7.70,1010.85,54.94,73.75,97.64,12.32,17.14,20.70,25.70,10.83,1018.36,11.39,P; Tset = 38.40; Ttrue = NaN; T1 = 23.94; RH1 = 12.59; T2 = 25.52; RH2 = 11.56
2017.11.08_11:26:54,53.82,75.46,99.04,11.94,12.73,17.00,24.85,7.70,1010.83,54.76,74.08,94.88,13.08,17.38,20.01,25.70,10.78,1018.33,11.36,P; Tset = 38.60; Ttrue = NaN; T1 = 23.94; RH1 = 12.57; T2 = 25.53; RH2 = 11.52
2017.11.08_11:27:54,56.52,77.43,96.99,11.61,13.35,18.15,24.85,7.68,1010.78,57.85,73.54,98.18,13.19,17.59,21.90,25.71,10.75,1018.31,11.35,P; Tset = 38.60; Ttrue = NaN; T1 = 23.95; RH1 = 12.57; T2 = 25.54; RH2 = 11.51
2017.11.08_11:28:54,53.79,78.39,103.53,13.20,13.41,16.65,24.85,7.70,1010.77,58.55,77.60,98.19,13.32,16.89,20.23,25.72,10.73,1018.29,11.36,P; Tset = 38.80; Ttrue = NaN; T1 = 23.95; RH1 = 12.59; T2 = 25.55; RH2 = 11.51
2017.11.08_11:29:54,57.18,77.90,105.65,11.33,13.12,17.07,24.86,7.70,1010.72,61.21,86.44,101.07,13.30,17.81,19.95,25.72,10.71,1018.25,11.35,P; Tset = 39.00; Ttrue = NaN; T1 = 23.95; RH1 = 12.58; T2 = 25.56; RH2 = 11.50
2017.11.08_11:30:54,55.14,80.86,102.22,11.26,12.42,16.98,24.86,7.71,1010.70,61.65,83.30,103.88,13.94,18.03,20.40,25.74,10.70,1018.21,11.36,P; Tset = 39.00; Ttrue = NaN; T1 = 23.96; RH1 = 12.60; T2 = 25.56; RH2 = 11.51
2017.11.08_11:31:54,56.82,79.17,101.55,14.16,13.29,16.67,24.88,7.71,1010.65,58.93,78.39,98.58,13.94,16.95,20.16,25.74,10.68,1018.18,11.35,P; Tset = 39.20; Ttrue = NaN; T1 = 23.96; RH1 = 12.59; T2 = 25.57; RH2 = 11.50
2017.11.08_11:32:54,56.28,78.72,99.77,13.02,13.16,17.15,24.90,7.72,1010.61,58.08,80.07,99.89,14.31,17.37,18.64,25.74,10.65,1018.17,11.35,P; Tset = 39.40; Ttrue = NaN; T1 = 23.97; RH1 = 12.59; T2 = 25.57; RH2 = 11.48
