2017.11.22_17:41:41,11.79,13.07,14.03,3.62,2.15,4.11,25.88,2.48,975.14,17.67,20.47,23.57,7.67,9.94,9.81,26.92,47.62,982.63,65.84,P; Tset = 15.80; Ttrue = NaN; T1 = 28.34; RH1 = 58.60; T2 = 28.70; RH2 = 57.13
2017.11.22_17:52:41,9.75,11.61,13.47,2.46,2.41,5.14,26.41,2.58,1008.99,21.69,17.52,22.92,9.22,10.81,10.77,27.39,47.57,1016.65,63.10,P; Tset = 23.60; Ttrue = NaN; T1 = 28.48; RH1 = 59.38; T2 = 29.09; RH2 = 57.01
2017.11.22_17:53:41,9.81,11.95,13.47,2.50,2.27,4.32,26.36,2.58,1009.02,16.76,18.65,22.11,8.42,9.18,10.20,27.36,47.45,1016.68,62.93,P; Tset = 24.40; Ttrue = NaN; T1 = 28.42; RH1 = 59.31; T2 = 29.04; RH2 = 56.89
2017.11.22_17:54:41,9.15,11.91,13.32,2.74,2.57,4.29,26.32,2.58,1009.04,17.45,18.19,21.36,8.50,9.90,9.86,27.30,47.33,1016.70,62.84,P; Tset = 25.00; Ttrue = NaN; T1 = 28.37; RH1 = 59.24; T2 = 29.00; RH2 = 56.76
2017.11.22_17:55:41,10.22,13.24,13.26,3.53,2.64,4.94,26.29,2.58,1009.00,14.49,17.29,21.86,8.16,9.72,9.32,27.24,47.22,1016.64,62.80,P; Tset = 25.60; Ttrue = NaN; T1 = 28.30; RH1 = 59.18; T2 = 28.97; RH2 = 56.64
2017.11.22_17:56:41,9.68,12.24,13.80,3.23,2.20,4.25,26.25,2.58,1008.97,14.57,16.14,22.48,8.12,9.68,9.82,27.19,47.11,1016.61,62.71,P; Tset = 26.40; Ttrue = NaN; T1 = 28.24; RH1 = 59.11; T2 = 28.94; RH2 = 56.53
2017.11.22_17:57:41,10.68,13.35,12.58,3.03,2.39,4.32,26.22,2.58,1008.96,16.63,17.36,21.84,8.57,9.17,10.47,27.16,47.00,1016.63,62.53,P; Tset = 27.00; Ttrue = NaN; T1 = 28.18; RH1 = 59.07; T2 = 28.89; RH2 = 56.39
2017.11.22_17:58:41,10.10,13.53,13.44,2.49,2.31,4.46,26.20,2.59,1008.99,15.18,16.74,22.32,7.86,9.62,9.43,27.12,46.90,1016.66,62.34,P; Tset = 27.60; Ttrue = NaN; T1 = 28.12; RH1 = 59.00; T2 = 28.83; RH2 = 56.27
2017.11.22_17:59:41,10.05,12.35,13.93,2.65,1.97,4.71,26.17,2.60,1009.06,18.12,16.59,22.08,7.47,9.56,9.62,27.08,46.78,1016.69,62.19,P; Tset = 28.40; Ttrue = NaN; T1 = 28.06; RH1 = 58.92; T2 = 28.77; RH2 = 56.15
2017.11.22_18:00:41,9.68,12.24,13.69,3.20,2.65,4.47,26.13,2.60,1009.06,16.07,16.50,21.17,8.35,9.77,9.96,27.04,46.67,1016.71,62.01,P; Tset = 29.00; Ttrue = NaN; T1 = 27.99; RH1 = 58.86; T2 = 28.72; RH2 = 56.04
2017.11.22_18:01:41,9.02,11.62,12.66,2.24,2.30,3.95,26.08,2.60,1009.08,15.97,17.63,22.33,8.78,9.84,9.82,26.99,46.55,1016.73,61.91,P; Tset = 29.60; Ttrue = NaN; T1 = 27.93; RH1 = 58.80; T2 = 28.68; RH2 = 55.91
2017.11.22_18:02:41,10.10,11.25,13.04,2.28,2.38,4.48,26.03,2.60,1009.06,15.70,18.07,22.16,8.48,9.97,9.11,26.94,46.44,1016.68,61.87,P; Tset = 30.20; Ttrue = NaN; T1 = 27.88; RH1 = 58.74; T2 = 28.66; RH2 = 55.82
2017.11.22_18:03:41,13.36,12.11,13.33,2.50,2.23,4.04,26.00,2.60,1009.17,16.91,19.41,21.72,8.24,8.61,9.19,26.90,46.36,1016.76,61.77,P; Tset = 30.80; Ttrue = NaN; T1 = 27.82; RH1 = 58.70; T2 = 28.61; RH2 = 55.74
2017.11.22_18:04:41,11.63,12.80,13.94,3.09,2.15,4.22,25.97,2.61,1009.19,17.32,19.72,24.24,8.52,9.36,8.99,26.85,46.26,1016.80,61.63,P; Tset = 31.20; Ttrue = NaN; T1 = 27.75; RH1 = 58.66; T2 = 28.55; RH2 = 55.64
2017.11.22_18:05:41,9.42,13.65,14.08,2.77,2.03,3.48,25.94,2.61,1009.17,17.07,18.79,19.49,7.76,9.63,9.64,26.81,46.18,1016.78,61.56,P; Tset = 31.80; Ttrue = NaN; T1 = 27.71; RH1 = 58.63; T2 = 28.50; RH2 = 55.56
2017.11.22_18:06:41,10.74,12.22,13.70,3.13,1.37,3.46,25.91,2.62,1009.25,17.06,18.79,19.58,8.39,11.25,8.68,26.78,46.08,1016.83,61.40,P; Tset = 32.40; Ttrue = NaN; T1 = 27.65; RH1 = 58.58; T2 = 28.46; RH2 = 55.45
2017.11.22_18:07:41,10.30,13.44,12.53,2.57,1.47,3.89,25.87,2.62,1009.23,17.43,16.11,22.74,8.17,9.33,8.86,26.73,45.98,1016.84,61.28,P; Tset = 32.80; Ttrue = NaN; T1 = 27.58; RH1 = 58.51; T2 = 28.42; RH2 = 55.34
2017.11.22_18:08:41,10.62,12.57,12.32,3.14,2.36,4.52,25.82,2.62,1009.15,15.40,18.19,20.12,8.24,10.65,8.77,26.67,45.89,1016.77,61.25,P; Tset = 33.40; Ttrue = NaN; T1 = 27.52; RH1 = 58.46; T2 = 28.38; RH2 = 55.26
2017.11.22_18:09:41,10.63,12.53,11.98,2.90,1.70,3.85,25.78,2.62,1009.13,15.65,18.65,20.50,7.93,9.20,9.15,26.62,45.82,1016.74,61.21,P; Tset = 34.00; Ttrue = NaN; T1 = 27.47; RH1 = 58.43; T2 = 28.35; RH2 = 55.17
2017.11.22_18:10:41,10.33,14.08,12.51,3.20,1.88,5.68,25.73,2.63,1009.23,18.04,18.60,19.35,8.38,8.90,8.85,26.58,45.73,1016.81,61.10,P; Tset = 34.40; Ttrue = NaN; T1 = 27.41; RH1 = 58.38; T2 = 28.31; RH2 = 55.08
2017.11.22_18:11:41,9.89,12.82,13.14,2.07,1.73,4.62,25.71,2.64,1009.27,13.21,16.05,20.54,7.50,9.17,8.98,26.55,45.64,1016.84,60.99,P; Tset = 35.00; Ttrue = NaN; T1 = 27.37; RH1 = 58.34; T2 = 28.26; RH2 = 55.00
2017.11.22_18:12:41,10.24,11.71,12.43,3.28,2.63,4.25,25.67,2.63,1009.28,18.42,18.60,21.25,7.50,9.23,9.89,26.51,45.55,1016.85,60.89,P; Tset = 35.40; Ttrue = NaN; T1 = 27.31; RH1 = 58.29; T2 = 28.21; RH2 = 54.91
2017.11.22_18:13:41,10.60,10.76,12.60,3.21,2.20,4.61,25.64,2.64,1009.32,15.95,15.05,19.26,7.97,8.71,8.73,26.47,45.47,1016.89,60.73,P; Tset = 35.80; Ttrue = NaN; T1 = 27.25; RH1 = 58.24; T2 = 28.16; RH2 = 54.82
2017.11.22_18:14:41,10.03,11.17,12.52,2.90,2.39,4.31,25.61,2.64,1009.24,14.65,16.71,20.54,8.56,9.58,8.91,26.43,45.38,1016.82,60.64,P; Tset = 36.40; Ttrue = NaN; T1 = 27.19; RH1 = 58.20; T2 = 28.12; RH2 = 54.73
2017.11.22_18:15:41,10.70,11.58,12.17,2.97,2.14,3.72,25.57,2.64,1009.20,14.75,17.90,21.38,7.46,8.82,9.67,26.37,45.32,1016.82,60.67,P; Tset = 36.80; Ttrue = NaN; T1 = 27.13; RH1 = 58.20; T2 = 28.09; RH2 = 54.67
2017.11.22_18:16:41,10.25,11.66,12.80,10.65,1.52,4.32,25.53,2.64,1009.27,15.92,18.23,24.34,8.77,9.42,10.87,26.33,45.25,1016.84,60.60,P; Tset = 37.20; Ttrue = NaN; T1 = 27.08; RH1 = 58.16; T2 = 28.07; RH2 = 54.61
2017.11.22_18:17:41,10.26,11.49,13.01,2.47,1.92,3.90,25.48,2.64,1009.30,14.78,14.80,21.40,8.08,9.76,10.02,26.29,45.16,1016.88,60.51,P; Tset = 37.60; Ttrue = NaN; T1 = 27.02; RH1 = 58.09; T2 = 28.03; RH2 = 54.52
2017.11.22_18:18:41,9.19,11.80,13.77,2.54,1.65,3.87,25.44,2.65,1009.31,18.00,20.02,19.26,7.95,9.12,11.26,26.26,45.07,1016.88,60.36,P; Tset = 38.20; Ttrue = NaN; T1 = 26.96; RH1 = 58.05; T2 = 27.97; RH2 = 54.43
2017.11.22_18:19:41,8.99,10.87,12.71,2.00,2.17,4.49,25.40,2.66,1009.31,20.70,16.33,19.91,8.50,9.68,9.41,26.22,45.00,1016.87,60.23,P; Tset = 38.60; Ttrue = NaN; T1 = 26.91; RH1 = 58.01; T2 = 27.92; RH2 = 54.35
2017.11.22_18:20:41,10.92,11.13,11.92,2.52,2.17,3.77,25.38,2.66,1009.38,15.19,19.59,21.18,8.45,9.65,10.46,26.19,44.92,1016.93,60.10,P; Tset = 39.00; Ttrue = NaN; T1 = 26.85; RH1 = 57.98; T2 = 27.88; RH2 = 54.28
2017.11.22_18:21:41,11.36,12.26,12.73,2.99,2.10,3.81,25.36,2.66,1009.40,14.17,18.23,21.99,7.39,9.20,11.14,26.14,44.84,1016.95,60.07,P; Tset = 39.40; Ttrue = NaN; T1 = 26.80; RH1 = 57.93; T2 = 27.85; RH2 = 54.18
2017.11.22_18:22:41,10.72,11.68,12.20,2.65,2.46,4.09,25.33,2.66,1009.37,14.51,18.70,21.21,8.00,9.82,9.51,26.08,44.76,1016.91,60.07,P; Tset = 39.80; Ttrue = NaN; T1 = 26.75; RH1 = 57.88; T2 = 27.82; RH2 = 54.11
2017.11.22_18:23:41,11.87,11.56,12.89,2.74,2.31,4.15,25.28,2.67,1009.38,16.82,18.18,21.32,8.81,9.62,9.02,26.05,44.68,1016.92,59.98,P; Tset = 40.20; Ttrue = NaN; T1 = 26.70; RH1 = 57.84; T2 = 27.79; RH2 = 54.02
2017.11.22_18:24:41,10.23,12.59,12.93,2.16,2.32,4.50,25.23,2.68,1009.37,16.66,16.01,22.28,8.20,9.66,9.01,26.01,44.62,1016.90,59.89,P; Tset = 40.60; Ttrue = NaN; T1 = 26.65; RH1 = 57.82; T2 = 27.75; RH2 = 53.95
2017.11.22_18:25:41,10.71,11.96,12.97,2.52,2.08,4.13,25.19,2.68,1009.38,15.69,17.66,26.76,7.15,8.84,9.67,25.98,44.57,1016.92,59.80,P; Tset = 41.00; Ttrue = NaN; T1 = 26.59; RH1 = 57.79; T2 = 27.71; RH2 = 53.90
2017.11.22_18:26:41,9.99,12.04,13.44,2.41,1.93,4.00,25.15,2.70,1009.43,16.45,18.13,20.01,8.05,9.02,8.77,25.94,44.50,1016.97,59.70,P; Tset = 41.40; Ttrue = NaN; T1 = 26.55; RH1 = 57.78; T2 = 27.64; RH2 = 53.85
2017.11.22_18:27:41,10.22,11.83,13.35,2.34,1.86,5.72,25.12,2.70,1009.46,17.26,21.68,20.38,8.02,9.70,9.40,25.90,44.43,1016.99,59.62,P; Tset = 41.80; Ttrue = NaN; T1 = 26.50; RH1 = 57.73; T2 = 27.60; RH2 = 53.78
2017.11.22_18:28:41,9.78,12.42,13.08,2.22,2.20,4.06,25.09,2.69,1009.47,15.29,19.11,22.46,9.75,11.34,9.27,25.85,44.35,1017.02,59.55,P; Tset = 42.20; Ttrue = NaN; T1 = 26.44; RH1 = 57.68; T2 = 27.56; RH2 = 53.70
2017.11.22_18:29:41,10.47,12.22,13.44,2.99,2.21,4.22,25.06,2.69,1009.51,14.15,19.61,20.48,8.04,10.46,10.07,25.80,44.27,1017.03,59.52,P; Tset = 42.60; Ttrue = NaN; T1 = 26.39; RH1 = 57.62; T2 = 27.53; RH2 = 53.62
2017.11.22_18:30:41,10.50,12.02,12.44,2.83,2.12,3.83,25.03,2.70,1009.54,15.74,17.26,20.11,7.78,9.02,8.55,25.76,44.20,1017.05,59.46,P; Tset = 43.00; Ttrue = NaN; T1 = 26.34; RH1 = 57.57; T2 = 27.50; RH2 = 53.56
