2017.11.17_13:28:39,31.78,34.67,37.76,5.93,6.66,7.93,21.29,2.58,978.42,33.35,38.97,42.42,9.31,11.28,12.52,22.67,60.03,985.65,72.43,N; Tset = 10.00; Ttrue = 017.4; T1 = 23.08; RH1 = 65.56; T2 = 23.09; RH2 = 70.90
2017.11.17_13:41:17,28.11,35.74,40.28,6.50,5.34,8.11,22.05,2.74,1012.31,29.13,33.18,41.25,9.59,9.21,9.87,23.45,47.48,1019.80,56.32,N; Tset = 19.80; Ttrue = 019.4; T1 = 23.69; RH1 = 56.21; T2 = 23.83; RH2 = 54.38
2017.11.17_13:42:25,28.37,34.61,39.99,6.05,7.84,8.43,22.04,2.75,1012.35,32.54,35.40,44.99,9.31,10.97,10.74,23.45,49.15,1019.79,58.74,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.65; RH1 = 58.80; T2 = 23.81; RH2 = 56.76
2017.11.17_13:43:33,29.05,34.00,42.54,5.60,6.63,7.72,22.03,2.74,1012.37,36.41,33.80,46.06,9.04,10.34,10.76,23.45,51.09,1019.85,61.49,N; Tset = 21.40; Ttrue = 021.1; T1 = 23.64; RH1 = 61.66; T2 = 23.79; RH2 = 59.42
2017.11.17_13:44:41,30.79,36.49,43.62,6.93,6.54,9.04,22.03,2.75,1012.40,34.23,35.86,42.11,9.09,12.25,12.05,23.43,53.18,1019.86,64.42,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.65; RH1 = 64.50; T2 = 23.79; RH2 = 62.16
2017.11.17_13:45:49,32.35,33.31,42.93,9.32,7.64,9.16,22.03,2.78,1012.32,36.94,36.97,45.18,8.05,11.34,11.22,23.45,55.39,1019.81,67.33,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.69; RH1 = 67.35; T2 = 23.79; RH2 = 64.98
2017.11.17_13:46:57,30.25,35.34,42.70,6.54,5.55,7.69,22.04,2.83,1012.35,35.43,38.57,42.69,8.54,10.44,11.74,23.45,57.77,1019.82,70.51,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.76; RH1 = 70.27; T2 = 23.81; RH2 = 67.95
2017.11.17_13:48:05,30.79,37.08,43.44,6.83,6.64,8.58,22.05,2.83,1012.33,34.73,38.17,46.45,8.42,11.24,11.69,23.45,60.00,1019.84,73.43,N; Tset = 24.60; Ttrue = 024.4; T1 = 23.83; RH1 = 72.79; T2 = 23.83; RH2 = 70.72
2017.11.17_13:49:13,31.52,34.55,42.35,7.62,6.95,9.74,22.05,2.81,1012.33,34.74,41.79,49.86,8.81,11.85,12.02,23.45,62.12,1019.82,76.15,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.89; RH1 = 75.19; T2 = 23.86; RH2 = 73.28
2017.11.17_13:50:19,28.33,33.88,40.24,6.96,8.17,7.56,22.06,2.80,1012.34,35.23,46.50,53.19,8.39,11.05,11.85,23.45,64.25,1019.84,79.03,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.94; RH1 = 77.85; T2 = 23.88; RH2 = 75.94
2017.11.17_13:51:27,28.79,33.12,41.98,6.23,5.78,7.98,22.07,2.76,1012.37,34.17,47.17,53.31,9.61,10.68,12.12,23.47,66.49,1019.85,81.98,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.96; RH1 = 80.81; T2 = 23.88; RH2 = 78.77
2017.11.17_13:52:35,29.42,35.73,41.14,6.38,5.57,8.39,22.07,2.74,1012.40,43.23,49.11,60.29,11.41,12.72,12.70,23.47,68.84,1019.90,85.04,N; Tset = 27.60; Ttrue = 027.3; T1 = 23.96; RH1 = 83.82; T2 = 23.87; RH2 = 81.81
2017.11.17_13:53:41,31.02,34.99,41.28,5.86,5.33,7.50,22.07,2.70,1012.43,39.45,52.04,64.50,12.80,13.13,14.21,23.47,71.25,1019.91,88.16,N; Tset = 28.20; Ttrue = 028.0; T1 = 23.98; RH1 = 86.79; T2 = 23.85; RH2 = 84.91
2017.11.17_13:54:47,29.35,34.25,40.06,8.35,6.82,8.08,22.06,2.67,1012.40,40.29,54.72,65.18,14.00,15.31,16.65,23.47,73.65,1019.89,91.21,N; Tset = 28.80; Ttrue = 028.6; T1 = 24.01; RH1 = 89.62; T2 = 23.83; RH2 = 87.98
