2017.11.07_00:21:10,648.22,880.95,1074.26,95.74,105.52,121.41,22.12,13.90,968.14,681.87,873.30,1023.76,91.33,102.88,119.17,22.97,15.93,975.11,19.01,P; Tset = 14.80; Ttrue = NaN; T1 = 20.99; RH1 = 20.88; T2 = 22.76; RH2 = 18.55
2017.11.07_00:37:10,675.22,904.85,1111.62,95.62,107.99,122.50,22.81,14.38,1001.42,710.47,909.37,1063.03,93.57,108.26,122.49,23.65,16.44,1008.60,19.03,P; Tset = 21.20; Ttrue = NaN; T1 = 21.56; RH1 = 21.69; T2 = 23.45; RH2 = 19.19
2017.11.07_00:38:10,664.52,902.38,1108.72,98.19,106.12,125.27,22.80,14.35,1001.42,709.75,897.98,1057.43,95.32,105.57,124.98,23.64,16.41,1008.60,19.01,P; Tset = 21.60; Ttrue = NaN; T1 = 21.55; RH1 = 21.65; T2 = 23.45; RH2 = 19.17
2017.11.07_00:39:10,666.81,904.26,1108.60,97.61,105.15,123.76,22.80,14.34,1001.42,709.33,904.91,1059.46,95.43,107.05,122.75,23.64,16.39,1008.63,18.99,P; Tset = 22.00; Ttrue = NaN; T1 = 21.54; RH1 = 21.63; T2 = 23.44; RH2 = 19.16
2017.11.07_00:40:10,672.17,908.12,1114.43,98.16,107.02,122.79,22.80,14.32,1001.43,704.50,900.40,1058.67,93.79,105.12,121.56,23.63,16.36,1008.64,18.95,P; Tset = 22.40; Ttrue = NaN; T1 = 21.53; RH1 = 21.59; T2 = 23.43; RH2 = 19.13
2017.11.07_00:41:10,669.70,910.12,1115.82,98.31,106.34,123.27,22.79,14.27,1001.44,711.20,908.56,1058.05,95.08,105.76,122.08,23.61,16.31,1008.62,18.90,P; Tset = 22.80; Ttrue = NaN; T1 = 21.52; RH1 = 21.52; T2 = 23.41; RH2 = 19.07
2017.11.07_00:42:10,671.14,908.21,1108.33,98.30,109.88,123.82,22.78,14.24,1001.43,708.58,911.20,1058.29,95.93,106.78,124.00,23.60,16.27,1008.62,18.85,P; Tset = 23.20; Ttrue = NaN; T1 = 21.51; RH1 = 21.47; T2 = 23.40; RH2 = 19.03
2017.11.07_00:43:10,676.44,914.19,1118.53,97.55,109.58,125.65,22.78,14.23,1001.45,704.97,909.28,1061.47,94.08,107.97,125.22,23.59,16.25,1008.64,18.84,P; Tset = 23.60; Ttrue = NaN; T1 = 21.49; RH1 = 21.47; T2 = 23.38; RH2 = 19.02
2017.11.07_00:44:10,672.78,913.41,1118.12,98.07,107.61,125.41,22.78,14.21,1001.47,704.12,908.83,1064.59,95.06,107.19,123.18,23.57,16.23,1008.67,18.83,P; Tset = 24.00; Ttrue = NaN; T1 = 21.48; RH1 = 21.46; T2 = 23.37; RH2 = 19.00
2017.11.07_00:45:10,676.25,907.69,1116.57,98.38,108.40,125.06,22.76,14.19,1001.52,708.86,917.41,1058.48,93.87,105.48,124.17,23.58,16.21,1008.71,18.80,P; Tset = 24.20; Ttrue = NaN; T1 = 21.47; RH1 = 21.43; T2 = 23.36; RH2 = 18.98
2017.11.07_00:46:10,679.10,911.31,1115.67,99.92,109.74,123.48,22.76,14.19,1001.54,712.42,905.93,1067.21,93.65,105.99,125.25,23.56,16.20,1008.72,18.80,P; Tset = 24.60; Ttrue = NaN; T1 = 21.46; RH1 = 21.43; T2 = 23.35; RH2 = 18.97
2017.11.07_00:47:10,668.75,913.56,1113.66,98.14,108.69,125.18,22.75,14.20,1001.55,717.41,910.17,1065.67,93.97,107.56,126.28,23.55,16.20,1008.75,18.83,P; Tset = 25.00; Ttrue = NaN; T1 = 21.45; RH1 = 21.47; T2 = 23.34; RH2 = 18.99
2017.11.07_00:48:10,670.36,914.90,1120.04,98.87,107.01,125.11,22.74,14.22,1001.55,706.83,902.96,1059.56,94.86,106.62,121.95,23.54,16.20,1008.75,18.84,P; Tset = 25.40; Ttrue = NaN; T1 = 21.44; RH1 = 21.47; T2 = 23.34; RH2 = 19.00
2017.11.07_00:49:10,671.64,911.61,1115.33,98.32,108.04,123.59,22.74,14.25,1001.52,711.58,905.05,1064.13,96.74,108.74,124.58,23.54,16.22,1008.71,18.87,P; Tset = 25.60; Ttrue = NaN; T1 = 21.43; RH1 = 21.52; T2 = 23.33; RH2 = 19.03
2017.11.07_00:50:10,678.31,909.94,1116.48,100.11,106.83,124.57,22.72,14.25,1001.49,711.16,907.55,1065.77,94.54,107.16,124.06,23.53,16.22,1008.68,18.87,P; Tset = 26.00; Ttrue = NaN; T1 = 21.42; RH1 = 21.53; T2 = 23.31; RH2 = 19.05
2017.11.07_00:51:10,670.72,910.79,1110.58,97.71,106.89,125.67,22.72,14.25,1001.50,707.49,909.02,1063.12,93.76,106.40,122.71,23.51,16.21,1008.71,18.87,P; Tset = 26.20; Ttrue = NaN; T1 = 21.42; RH1 = 21.51; T2 = 23.30; RH2 = 19.03
2017.11.07_00:52:10,669.20,906.30,1114.31,98.83,108.02,123.87,22.71,14.25,1001.55,702.68,908.08,1062.12,97.72,106.12,122.41,23.51,16.20,1008.75,18.86,P; Tset = 26.60; Ttrue = NaN; T1 = 21.41; RH1 = 21.52; T2 = 23.29; RH2 = 19.04
2017.11.07_00:53:10,676.87,908.82,1115.23,97.04,109.56,124.95,22.70,14.27,1001.59,719.89,908.49,1062.25,93.99,105.50,121.87,23.50,16.20,1008.78,18.87,P; Tset = 26.80; Ttrue = NaN; T1 = 21.40; RH1 = 21.54; T2 = 23.28; RH2 = 19.05
2017.11.07_00:54:10,677.33,910.54,1111.50,97.38,106.21,122.96,22.70,14.27,1001.62,708.38,906.10,1058.49,94.98,106.96,123.01,23.49,16.22,1008.81,18.90,P; Tset = 27.20; Ttrue = NaN; T1 = 21.39; RH1 = 21.58; T2 = 23.27; RH2 = 19.08
2017.11.07_00:55:10,672.54,904.25,1100.88,97.77,105.77,123.30,22.68,14.31,1001.61,702.24,898.93,1060.57,92.84,104.71,122.67,23.49,16.25,1008.80,18.94,P; Tset = 27.40; Ttrue = NaN; T1 = 21.39; RH1 = 21.63; T2 = 23.26; RH2 = 19.12
2017.11.07_00:56:10,671.61,905.58,1109.70,96.49,107.34,122.66,22.66,14.36,1001.56,704.51,898.32,1057.08,93.51,105.33,123.35,23.49,16.28,1008.75,18.99,P; Tset = 27.80; Ttrue = NaN; T1 = 21.38; RH1 = 21.70; T2 = 23.25; RH2 = 19.17
2017.11.07_00:57:10,674.78,904.46,1104.95,98.47,106.77,122.20,22.65,14.40,1001.55,711.71,902.87,1060.78,96.79,105.83,121.14,23.48,16.31,1008.71,19.04,P; Tset = 28.00; Ttrue = NaN; T1 = 21.37; RH1 = 21.76; T2 = 23.25; RH2 = 19.21
2017.11.07_00:58:10,670.37,904.82,1102.70,98.26,107.37,123.21,22.65,14.44,1001.48,704.00,901.83,1047.03,91.43,105.36,121.64,23.47,16.34,1008.66,19.08,P; Tset = 28.40; Ttrue = NaN; T1 = 21.36; RH1 = 21.81; T2 = 23.24; RH2 = 19.25
2017.11.07_00:59:10,665.10,905.63,1100.82,98.85,110.25,123.39,22.64,14.48,1001.46,700.60,895.58,1053.40,93.10,105.29,122.38,23.47,16.37,1008.63,19.12,P; Tset = 28.60; Ttrue = NaN; T1 = 21.35; RH1 = 21.85; T2 = 23.24; RH2 = 19.28
2017.11.07_01:00:10,672.23,901.85,1096.77,96.35,106.79,122.34,22.64,14.51,1001.49,698.87,896.42,1054.17,93.40,104.52,121.26,23.45,16.39,1008.65,19.17,P; Tset = 28.80; Ttrue = NaN; T1 = 21.34; RH1 = 21.90; T2 = 23.23; RH2 = 19.32
2017.11.07_01:01:10,670.81,898.87,1099.71,99.08,106.81,122.18,22.62,14.53,1001.52,704.74,896.49,1048.62,93.96,106.23,119.60,23.45,16.42,1008.71,19.19,P; Tset = 29.20; Ttrue = NaN; T1 = 21.34; RH1 = 21.92; T2 = 23.22; RH2 = 19.36
2017.11.07_01:02:10,665.76,895.67,1097.29,98.06,105.35,122.26,22.62,14.57,1001.55,702.66,894.83,1047.78,91.91,105.66,121.38,23.43,16.44,1008.74,19.23,P; Tset = 29.40; Ttrue = NaN; T1 = 21.33; RH1 = 21.96; T2 = 23.22; RH2 = 19.39
2017.11.07_01:03:10,664.55,905.55,1099.28,96.17,105.27,122.15,22.62,14.58,1001.56,700.18,895.57,1052.20,93.28,105.49,122.20,23.43,16.44,1008.75,19.23,P; Tset = 29.60; Ttrue = NaN; T1 = 21.32; RH1 = 21.95; T2 = 23.21; RH2 = 19.40
2017.11.07_01:04:10,665.40,900.60,1099.11,95.38,105.33,123.37,22.60,14.56,1001.54,703.58,895.18,1051.75,93.01,104.15,121.28,23.41,16.44,1008.73,19.25,P; Tset = 29.80; Ttrue = NaN; T1 = 21.31; RH1 = 21.96; T2 = 23.21; RH2 = 19.39
2017.11.07_01:05:10,663.56,899.94,1098.19,96.57,106.49,122.39,22.60,14.56,1001.50,698.59,889.88,1047.28,92.28,103.80,120.25,23.41,16.44,1008.69,19.23,P; Tset = 30.20; Ttrue = NaN; T1 = 21.30; RH1 = 21.97; T2 = 23.20; RH2 = 19.39
2017.11.07_01:06:10,669.12,897.90,1096.74,96.08,106.19,122.56,22.60,14.58,1001.50,701.21,895.70,1043.22,93.01,103.35,119.86,23.40,16.44,1008.68,19.24,P; Tset = 30.40; Ttrue = NaN; T1 = 21.29; RH1 = 21.96; T2 = 23.19; RH2 = 19.40
2017.11.07_01:07:10,666.62,898.97,1093.72,95.98,105.66,122.67,22.60,14.58,1001.50,701.87,897.70,1060.55,92.06,105.83,125.02,23.39,16.44,1008.70,19.24,P; Tset = 30.60; Ttrue = NaN; T1 = 21.28; RH1 = 21.96; T2 = 23.19; RH2 = 19.41
2017.11.07_01:08:10,659.44,899.53,1099.82,96.47,105.76,122.23,22.58,14.57,1001.52,701.79,893.46,1050.95,92.22,105.02,121.36,23.39,16.44,1008.70,19.24,P; Tset = 30.80; Ttrue = NaN; T1 = 21.27; RH1 = 21.97; T2 = 23.19; RH2 = 19.41
2017.11.07_01:09:10,663.94,893.29,1095.96,95.94,104.27,120.80,22.58,14.58,1001.48,692.47,894.82,1050.35,94.15,105.12,119.33,23.38,16.44,1008.70,19.25,P; Tset = 31.00; Ttrue = NaN; T1 = 21.26; RH1 = 21.98; T2 = 23.18; RH2 = 19.42
2017.11.07_01:10:10,666.58,895.71,1097.73,95.77,105.38,121.43,22.58,14.57,1001.49,695.27,892.91,1037.13,91.89,103.40,123.03,23.37,16.44,1008.69,19.25,P; Tset = 31.40; Ttrue = NaN; T1 = 21.25; RH1 = 21.98; T2 = 23.17; RH2 = 19.42
2017.11.07_01:11:10,660.76,888.95,1089.64,95.84,104.89,122.49,22.56,14.58,1001.50,696.39,890.29,1039.91,93.83,105.49,121.09,23.37,16.44,1008.67,19.25,P; Tset = 31.60; Ttrue = NaN; T1 = 21.24; RH1 = 21.98; T2 = 23.16; RH2 = 19.42
2017.11.07_01:12:10,659.78,891.80,1088.87,95.49,104.83,122.55,22.55,14.59,1001.50,696.22,888.59,1042.74,94.46,105.10,119.36,23.36,16.44,1008.67,19.26,P; Tset = 31.80; Ttrue = NaN; T1 = 21.23; RH1 = 22.00; T2 = 23.15; RH2 = 19.43
2017.11.07_01:13:10,659.70,893.53,1097.42,97.95,106.71,122.63,22.55,14.61,1001.49,693.67,890.90,1043.27,93.95,103.34,119.51,23.35,16.44,1008.67,19.28,P; Tset = 32.00; Ttrue = NaN; T1 = 21.23; RH1 = 22.02; T2 = 23.14; RH2 = 19.45
2017.11.07_01:14:10,657.41,897.01,1091.38,99.17,106.82,121.76,22.54,14.63,1001.49,695.98,887.77,1040.65,93.66,103.00,121.64,23.35,16.45,1008.65,19.27,P; Tset = 32.20; Ttrue = NaN; T1 = 21.22; RH1 = 22.02; T2 = 23.13; RH2 = 19.45
2017.11.07_01:15:10,660.54,889.16,1091.67,96.18,107.99,123.60,22.53,14.63,1001.46,691.36,884.72,1035.87,93.11,104.52,120.46,23.34,16.46,1008.62,19.30,P; Tset = 32.40; Ttrue = NaN; T1 = 21.21; RH1 = 22.05; T2 = 23.13; RH2 = 19.47
2017.11.07_01:16:10,660.11,890.20,1095.49,94.78,105.26,124.35,22.53,14.65,1001.44,692.52,891.67,1040.87,93.63,105.07,120.78,23.32,16.46,1008.59,19.32,P; Tset = 32.60; Ttrue = NaN; T1 = 21.20; RH1 = 22.05; T2 = 23.12; RH2 = 19.47
2017.11.07_01:17:10,655.01,883.90,1088.71,94.27,104.90,119.87,22.52,14.66,1001.41,690.91,882.73,1041.47,90.78,105.27,121.84,23.31,16.46,1008.57,19.33,P; Tset = 32.80; Ttrue = NaN; T1 = 21.20; RH1 = 22.07; T2 = 23.11; RH2 = 19.49
2017.11.07_01:18:10,662.20,888.50,1085.28,96.70,104.05,120.53,22.51,14.67,1001.43,690.47,888.77,1034.94,91.44,105.71,121.64,23.30,16.48,1008.58,19.34,P; Tset = 33.00; Ttrue = NaN; T1 = 21.18; RH1 = 22.09; T2 = 23.09; RH2 = 19.50
2017.11.07_01:19:10,665.31,895.88,1092.88,96.54,108.45,122.14,22.51,14.66,1001.41,703.91,896.51,1047.82,93.12,104.67,121.42,23.29,16.47,1008.59,19.34,P; Tset = 33.20; Ttrue = NaN; T1 = 21.18; RH1 = 22.08; T2 = 23.09; RH2 = 19.51
2017.11.07_01:20:10,672.89,897.20,1107.36,96.90,106.03,122.09,22.50,14.62,1001.45,698.43,897.71,1042.47,92.04,106.07,123.04,23.28,16.45,1008.61,19.31,P; Tset = 33.40; Ttrue = NaN; T1 = 21.16; RH1 = 22.04; T2 = 23.07; RH2 = 19.48
2017.11.07_01:21:10,674.46,900.67,1103.74,98.14,105.79,123.10,22.49,14.62,1001.43,704.97,898.14,1053.32,94.99,104.45,120.65,23.26,16.42,1008.62,19.28,P; Tset = 33.60; Ttrue = NaN; T1 = 21.16; RH1 = 22.01; T2 = 23.05; RH2 = 19.45
2017.11.07_01:22:10,663.78,901.49,1098.16,95.42,105.61,122.00,22.49,14.62,1001.45,694.61,890.52,1049.35,93.34,104.17,120.25,23.25,16.42,1008.62,19.29,P; Tset = 33.80; Ttrue = NaN; T1 = 21.15; RH1 = 22.03; T2 = 23.04; RH2 = 19.45
2017.11.07_01:23:10,659.47,899.14,1091.38,94.63,104.87,120.16,22.49,14.64,1001.48,696.57,888.87,1035.23,92.40,105.05,119.13,23.24,16.44,1008.62,19.31,P; Tset = 34.00; Ttrue = NaN; T1 = 21.14; RH1 = 22.05; T2 = 23.03; RH2 = 19.47
2017.11.07_01:24:10,658.97,888.95,1087.94,94.42,103.45,119.63,22.47,14.64,1001.54,690.61,891.99,1038.73,91.58,103.93,119.44,23.23,16.44,1008.66,19.33,P; Tset = 34.20; Ttrue = NaN; T1 = 21.13; RH1 = 22.08; T2 = 23.01; RH2 = 19.49
2017.11.07_01:25:10,662.91,901.50,1100.66,95.95,105.99,124.40,22.47,14.68,1001.55,699.86,893.95,1052.15,93.66,106.35,122.37,23.23,16.47,1008.72,19.36,P; Tset = 34.40; Ttrue = NaN; T1 = 21.12; RH1 = 22.13; T2 = 23.00; RH2 = 19.52
2017.11.07_01:26:10,671.47,898.42,1105.93,95.44,106.71,122.81,22.46,14.73,1001.57,697.75,894.29,1047.09,93.14,103.61,123.57,23.22,16.50,1008.73,19.41,P; Tset = 34.60; Ttrue = NaN; T1 = 21.12; RH1 = 22.19; T2 = 23.00; RH2 = 19.56
2017.11.07_01:27:10,672.56,903.76,1109.77,96.29,106.42,122.38,22.45,14.78,1001.56,718.31,896.18,1047.31,92.87,104.63,124.06,23.21,16.53,1008.72,19.46,P; Tset = 34.80; Ttrue = NaN; T1 = 21.11; RH1 = 22.25; T2 = 22.99; RH2 = 19.60
2017.11.07_01:28:10,674.93,904.67,1116.74,97.92,106.29,122.96,22.45,14.83,1001.52,737.43,906.34,1058.44,95.07,105.74,121.31,23.21,16.56,1008.66,19.50,P; Tset = 35.00; Ttrue = NaN; T1 = 21.10; RH1 = 22.31; T2 = 22.99; RH2 = 19.65
2017.11.07_01:29:10,670.45,912.79,1108.73,96.71,107.77,125.35,22.44,14.81,1001.46,714.03,906.51,1063.34,96.55,105.65,122.56,23.20,16.56,1008.60,19.50,P; Tset = 35.20; Ttrue = NaN; T1 = 21.10; RH1 = 22.30; T2 = 22.98; RH2 = 19.66
2017.11.07_01:30:10,666.38,907.75,1102.22,99.57,106.59,124.46,22.43,14.80,1001.39,699.89,897.45,1050.41,93.81,105.34,122.04,23.19,16.56,1008.52,19.50,P; Tset = 35.40; Ttrue = NaN; T1 = 21.08; RH1 = 22.29; T2 = 22.97; RH2 = 19.65
2017.11.07_01:31:10,661.16,897.57,1096.25,97.06,105.20,122.46,22.42,14.84,1001.36,696.09,894.21,1046.31,93.74,104.05,120.07,23.19,16.57,1008.49,19.50,P; Tset = 35.40; Ttrue = NaN; T1 = 21.07; RH1 = 22.31; T2 = 22.97; RH2 = 19.65
2017.11.07_01:32:10,659.71,894.43,1101.20,93.71,103.84,122.43,22.41,14.85,1001.40,688.10,886.71,1044.29,91.70,104.09,121.05,23.18,16.59,1008.51,19.54,P; Tset = 35.60; Ttrue = NaN; T1 = 21.07; RH1 = 22.35; T2 = 22.96; RH2 = 19.69
2017.11.07_01:33:10,665.27,893.55,1096.82,95.75,108.20,122.16,22.39,14.86,1001.43,700.41,891.93,1043.88,95.92,105.26,122.59,23.17,16.59,1008.55,19.55,P; Tset = 35.80; Ttrue = NaN; T1 = 21.06; RH1 = 22.34; T2 = 22.95; RH2 = 19.71
2017.11.07_01:34:10,665.73,890.75,1095.42,94.88,105.98,121.83,22.39,14.85,1001.43,698.61,893.07,1044.47,93.33,102.92,119.11,23.17,16.60,1008.57,19.54,P; Tset = 36.00; Ttrue = NaN; T1 = 21.04; RH1 = 22.34; T2 = 22.95; RH2 = 19.71
2017.11.07_01:35:10,664.87,898.81,1102.25,96.79,105.86,123.18,22.37,14.89,1001.48,702.04,893.60,1050.54,93.76,105.06,122.10,23.16,16.61,1008.58,19.58,P; Tset = 36.20; Ttrue = NaN; T1 = 21.04; RH1 = 22.40; T2 = 22.94; RH2 = 19.74
2017.11.07_01:36:10,668.35,899.62,1101.21,96.49,105.32,122.69,22.36,14.93,1001.47,715.17,897.79,1052.67,92.05,106.15,122.25,23.15,16.65,1008.58,19.65,P; Tset = 36.40; Ttrue = NaN; T1 = 21.03; RH1 = 22.47; T2 = 22.93; RH2 = 19.80
2017.11.07_01:37:10,678.35,894.67,1099.55,97.42,107.30,124.09,22.35,14.96,1001.49,708.33,899.62,1048.04,92.83,105.98,123.32,23.15,16.67,1008.60,19.66,P; Tset = 36.60; Ttrue = NaN; T1 = 21.02; RH1 = 22.48; T2 = 22.93; RH2 = 19.83
2017.11.07_01:38:10,675.34,911.47,1114.50,97.84,106.94,125.03,22.34,14.93,1001.49,709.99,905.82,1064.87,93.45,105.71,124.01,23.13,16.66,1008.63,19.65,P; Tset = 36.60; Ttrue = NaN; T1 = 21.01; RH1 = 22.44; T2 = 22.93; RH2 = 19.82
2017.11.07_01:39:10,676.95,918.70,1126.87,100.10,108.43,125.88,22.33,14.93,1001.48,703.95,907.71,1066.56,97.88,105.60,122.85,23.12,16.64,1008.64,19.64,P; Tset = 36.80; Ttrue = NaN; T1 = 21.01; RH1 = 22.44; T2 = 22.93; RH2 = 19.80
2017.11.07_01:40:10,680.06,914.45,1123.31,97.25,107.67,123.88,22.33,14.96,1001.53,704.39,907.99,1066.47,94.34,106.92,123.64,23.11,16.67,1008.65,19.69,P; Tset = 37.00; Ttrue = NaN; T1 = 21.00; RH1 = 22.49; T2 = 22.92; RH2 = 19.83
2017.11.07_01:41:10,672.98,916.71,1114.83,96.88,108.68,123.87,22.31,15.00,1001.54,703.99,902.39,1063.80,96.61,106.12,122.94,23.11,16.69,1008.68,19.71,P; Tset = 37.20; Ttrue = NaN; T1 = 20.99; RH1 = 22.53; T2 = 22.92; RH2 = 19.85
2017.11.07_01:42:10,670.53,912.23,1112.60,97.00,107.83,123.48,22.31,15.03,1001.55,703.53,903.52,1054.81,97.38,105.02,120.37,23.10,16.71,1008.68,19.75,P; Tset = 37.40; Ttrue = NaN; T1 = 20.99; RH1 = 22.58; T2 = 22.91; RH2 = 19.89
2017.11.07_01:43:10,663.97,901.67,1108.58,94.68,104.80,122.60,22.31,15.06,1001.54,697.27,892.73,1052.09,94.65,104.68,121.40,23.09,16.75,1008.66,19.80,P; Tset = 37.40; Ttrue = NaN; T1 = 20.98; RH1 = 22.63; T2 = 22.91; RH2 = 19.93
2017.11.07_01:44:10,666.85,905.48,1099.80,95.03,106.19,121.07,22.29,15.09,1001.50,696.18,888.79,1052.33,94.09,107.51,121.97,23.09,16.78,1008.64,19.83,P; Tset = 37.60; Ttrue = NaN; T1 = 20.97; RH1 = 22.67; T2 = 22.90; RH2 = 19.97
2017.11.07_01:45:10,668.46,899.54,1096.65,97.92,107.24,122.91,22.29,15.12,1001.47,700.91,892.73,1049.36,93.78,104.94,121.67,23.09,16.79,1008.59,19.84,P; Tset = 37.80; Ttrue = NaN; T1 = 20.96; RH1 = 22.69; T2 = 22.89; RH2 = 20.00
2017.11.07_01:46:10,663.59,897.70,1093.74,98.74,104.89,122.33,22.29,15.13,1001.42,696.63,892.52,1041.19,95.29,104.82,122.83,23.07,16.82,1008.55,19.88,P; Tset = 38.00; Ttrue = NaN; T1 = 20.95; RH1 = 22.71; T2 = 22.88; RH2 = 20.02
2017.11.07_01:47:10,667.85,888.00,1095.35,96.55,106.11,121.45,22.27,15.14,1001.41,689.00,891.11,1043.97,94.60,103.80,121.68,23.07,16.82,1008.52,19.87,P; Tset = 38.00; Ttrue = NaN; T1 = 20.95; RH1 = 22.72; T2 = 22.86; RH2 = 20.03
2017.11.07_01:48:10,662.89,898.26,1104.69,95.96,106.11,123.32,22.27,15.13,1001.36,690.37,892.18,1046.59,92.78,103.32,120.11,23.05,16.80,1008.50,19.85,P; Tset = 38.20; Ttrue = NaN; T1 = 20.94; RH1 = 22.68; T2 = 22.85; RH2 = 20.00
2017.11.07_01:49:10,661.49,890.57,1091.83,95.49,105.44,125.02,22.27,15.11,1001.35,692.47,895.95,1042.08,91.73,105.36,121.31,23.04,16.80,1008.48,19.83,P; Tset = 38.40; Ttrue = NaN; T1 = 20.93; RH1 = 22.67; T2 = 22.84; RH2 = 19.98
2017.11.07_01:50:10,654.14,884.92,1083.70,95.55,104.40,121.86,22.26,15.13,1001.39,692.22,881.32,1038.11,91.31,103.76,120.41,23.03,16.81,1008.52,19.86,P; Tset = 38.60; Ttrue = NaN; T1 = 20.92; RH1 = 22.70; T2 = 22.83; RH2 = 20.00
2017.11.07_01:51:10,662.19,891.36,1092.35,94.92,104.95,122.62,22.25,15.16,1001.44,700.08,892.13,1047.64,91.40,103.99,119.46,23.02,16.82,1008.55,19.89,P; Tset = 38.60; Ttrue = NaN; T1 = 20.91; RH1 = 22.74; T2 = 22.82; RH2 = 20.04
