2017.11.22_23:18:59,8.77,9.59,11.23,2.37,1.66,3.93,22.30,3.01,977.04,12.36,15.10,19.02,8.93,9.84,9.61,23.76,59.69,984.26,69.27,N; Tset = 10.60; Ttrue = 016.0; T1 = 24.44; RH1 = 60.11; T2 = 24.24; RH2 = 69.14
2017.11.22_23:33:51,8.88,10.44,11.73,2.82,1.70,3.55,22.99,3.06,1010.64,12.40,12.72,17.83,7.11,8.14,8.37,24.50,48.43,1018.12,57.86,N; Tset = 21.80; Ttrue = 021.5; T1 = 24.93; RH1 = 57.14; T2 = 24.91; RH2 = 55.77
2017.11.22_23:34:59,9.34,9.97,10.64,3.03,2.00,3.91,22.99,3.05,1010.61,12.21,17.22,16.71,7.45,8.32,8.34,24.50,50.40,1018.10,60.54,N; Tset = 22.60; Ttrue = 022.4; T1 = 24.93; RH1 = 59.78; T2 = 24.91; RH2 = 58.30
2017.11.22_23:36:07,8.69,10.64,10.91,1.91,1.70,3.72,22.98,3.05,1010.61,13.39,14.32,20.51,8.14,8.61,9.14,24.48,52.48,1018.11,63.36,N; Tset = 23.40; Ttrue = 023.1; T1 = 24.94; RH1 = 62.49; T2 = 24.91; RH2 = 60.95
2017.11.22_23:37:15,8.89,11.04,11.56,2.50,2.86,3.66,22.98,3.05,1010.59,15.15,16.52,19.82,7.18,8.88,9.63,24.48,54.59,1018.10,66.10,N; Tset = 24.20; Ttrue = 023.9; T1 = 24.95; RH1 = 65.12; T2 = 24.91; RH2 = 63.61
2017.11.22_23:38:21,9.12,10.02,10.55,2.25,1.73,3.84,22.97,3.05,1010.65,12.38,15.73,20.50,7.48,8.53,9.79,24.47,56.68,1018.13,68.78,N; Tset = 24.80; Ttrue = 024.6; T1 = 24.97; RH1 = 67.62; T2 = 24.91; RH2 = 66.16
2017.11.22_23:39:29,8.65,10.15,10.35,2.79,2.20,3.72,22.97,3.05,1010.71,14.81,16.58,20.26,7.51,8.72,8.61,24.47,58.86,1018.16,71.55,N; Tset = 25.60; Ttrue = 025.4; T1 = 25.00; RH1 = 70.20; T2 = 24.92; RH2 = 68.80
2017.11.22_23:40:37,9.07,10.35,10.69,2.81,1.65,3.39,22.97,3.05,1010.71,13.47,19.04,21.23,7.94,8.96,8.46,24.46,61.10,1018.19,74.43,N; Tset = 26.40; Ttrue = 026.1; T1 = 25.04; RH1 = 72.84; T2 = 24.92; RH2 = 71.52
2017.11.22_23:41:43,8.83,9.45,10.82,2.86,1.83,3.79,22.97,3.05,1010.60,14.23,17.03,24.04,8.74,10.11,9.41,24.46,63.38,1018.08,77.36,N; Tset = 27.00; Ttrue = 026.9; T1 = 25.08; RH1 = 75.51; T2 = 24.92; RH2 = 74.32
2017.11.22_23:42:51,8.78,9.75,10.95,3.16,1.83,3.77,22.97,3.05,1010.62,15.11,20.41,21.20,8.20,9.44,9.69,24.46,65.68,1018.09,80.35,N; Tset = 27.80; Ttrue = 027.5; T1 = 25.13; RH1 = 78.20; T2 = 24.92; RH2 = 77.17
2017.11.22_23:43:57,8.56,10.03,10.78,2.96,1.51,4.20,22.95,3.05,1010.70,15.78,23.35,23.63,9.67,9.87,12.09,24.46,67.99,1018.17,83.27,N; Tset = 28.40; Ttrue = 028.2; T1 = 25.18; RH1 = 80.75; T2 = 24.92; RH2 = 80.00
2017.11.22_23:45:03,8.67,10.48,11.25,1.99,1.54,3.89,22.95,3.05,1010.74,16.62,19.57,27.83,9.58,11.81,11.63,24.46,70.22,1018.20,86.14,N; Tset = 29.00; Ttrue = 028.8; T1 = 25.26; RH1 = 83.21; T2 = 24.93; RH2 = 82.69
2017.11.22_23:46:11,12.31,9.10,11.13,2.89,1.29,3.79,22.94,3.05,1010.69,17.61,23.41,29.48,12.26,13.05,13.01,24.46,72.52,1018.18,89.10,N; Tset = 29.80; Ttrue = 029.5; T1 = 25.33; RH1 = 85.77; T2 = 24.93; RH2 = 85.48
