2017.11.03_20:35:50,43.96,55.72,65.36,10.28,10.27,11.74,23.39,3.89,984.60,50.06,63.15,74.85,19.17,21.81,25.34,24.41,73.43,991.85,80.50,N; Tset = 16.80; Ttrue = 0017.3; T1 = 23.65; RH1 = 76.96; T2 = 24.30; RH2 = 82.68
2017.11.03_20:47:30,39.12,54.24,64.38,8.01,8.49,10.82,24.23,4.20,1018.64,41.66,54.81,64.26,8.23,11.20,14.08,25.30,46.33,1026.17,48.86,N; Tset = 20.80; Ttrue = 0020.7; T1 = 23.87; RH1 = 53.34; T2 = 25.15; RH2 = 49.17
2017.11.03_20:48:36,42.56,53.29,65.37,8.11,8.29,10.94,24.23,4.19,1018.68,44.27,53.99,62.58,7.40,12.08,12.97,25.30,46.97,1026.19,49.94,N; Tset = 21.40; Ttrue = 0021.2; T1 = 23.83; RH1 = 54.75; T2 = 25.15; RH2 = 50.17
2017.11.03_20:49:40,41.84,53.26,63.52,7.58,7.22,10.42,24.24,4.19,1018.65,42.47,51.35,63.17,7.17,11.41,13.26,25.31,47.72,1026.18,51.15,N; Tset = 21.80; Ttrue = 0021.6; T1 = 23.78; RH1 = 56.32; T2 = 25.16; RH2 = 51.35
2017.11.03_20:50:44,43.70,54.88,65.69,8.13,10.19,11.14,24.25,4.17,1018.66,43.63,54.67,65.70,8.32,11.34,14.13,25.30,48.52,1026.18,52.39,N; Tset = 22.20; Ttrue = 0022.1; T1 = 23.73; RH1 = 57.81; T2 = 25.16; RH2 = 52.56
2017.11.03_20:51:48,48.07,59.13,70.61,7.87,9.35,11.96,24.25,4.21,1018.67,48.22,59.29,71.73,8.66,12.68,14.85,25.32,49.37,1026.20,53.55,N; Tset = 22.60; Ttrue = 0022.5; T1 = 23.69; RH1 = 59.33; T2 = 25.16; RH2 = 53.75
2017.11.03_20:52:54,46.37,59.01,68.07,9.04,9.90,12.61,24.25,4.22,1018.67,44.19,56.87,70.02,7.49,12.29,15.43,25.32,50.24,1026.19,54.78,N; Tset = 23.20; Ttrue = 0023.0; T1 = 23.66; RH1 = 60.82; T2 = 25.16; RH2 = 54.97
2017.11.03_20:53:58,43.78,56.71,70.42,10.98,9.55,11.63,24.25,4.25,1018.67,46.42,60.31,68.67,7.60,12.79,15.23,25.31,51.12,1026.18,56.00,N; Tset = 23.60; Ttrue = 0023.4; T1 = 23.63; RH1 = 62.28; T2 = 25.17; RH2 = 56.17
2017.11.03_20:55:02,42.97,56.70,69.31,11.00,9.09,12.17,24.25,4.29,1018.64,46.41,59.71,69.41,9.76,11.84,13.61,25.32,52.06,1026.19,57.25,N; Tset = 24.00; Ttrue = 0023.8; T1 = 23.61; RH1 = 63.77; T2 = 25.17; RH2 = 57.41
2017.11.03_20:56:06,47.62,58.23,73.81,9.24,11.39,12.67,24.25,4.31,1018.65,51.42,63.00,72.66,8.94,12.38,14.52,25.32,52.99,1026.19,58.49,N; Tset = 24.40; Ttrue = 0024.2; T1 = 23.60; RH1 = 65.20; T2 = 25.17; RH2 = 58.66
2017.11.03_20:57:10,46.61,59.32,71.85,11.34,9.88,13.12,24.25,4.36,1018.69,51.74,69.62,76.70,10.20,13.75,15.17,25.33,53.94,1026.18,59.66,N; Tset = 24.80; Ttrue = 0024.6; T1 = 23.58; RH1 = 66.59; T2 = 25.17; RH2 = 59.88
2017.11.03_20:58:12,49.54,61.05,80.07,8.96,10.27,13.34,24.25,4.37,1018.71,54.14,67.06,79.15,10.53,13.19,15.65,25.34,54.90,1026.19,60.87,N; Tset = 25.00; Ttrue = 0024.9; T1 = 23.57; RH1 = 67.99; T2 = 25.18; RH2 = 61.12
2017.11.03_20:59:16,51.35,66.11,81.52,9.08,12.29,14.95,24.25,4.39,1018.70,52.28,65.68,82.58,9.59,14.08,16.70,25.34,55.89,1026.18,62.09,N; Tset = 25.40; Ttrue = 0025.3; T1 = 23.57; RH1 = 69.36; T2 = 25.18; RH2 = 62.34
2017.11.03_21:00:20,51.06,65.59,78.68,10.01,11.07,12.71,24.25,4.43,1018.67,56.48,67.75,80.83,10.37,14.49,16.41,25.34,56.87,1026.20,63.31,N; Tset = 25.80; Ttrue = 0025.7; T1 = 23.57; RH1 = 70.71; T2 = 25.18; RH2 = 63.58
2017.11.03_21:01:24,52.39,64.00,78.98,11.44,12.72,14.30,24.25,4.44,1018.70,53.48,68.97,80.74,10.14,13.96,15.70,25.34,57.86,1026.20,64.54,N; Tset = 26.20; Ttrue = 0026.0; T1 = 23.57; RH1 = 72.07; T2 = 25.19; RH2 = 64.81
2017.11.03_21:02:28,54.27,65.73,79.44,9.25,11.58,14.80,24.26,4.47,1018.70,57.90,73.03,83.77,11.92,13.70,16.82,25.34,58.86,1026.21,65.76,N; Tset = 26.60; Ttrue = 0026.4; T1 = 23.58; RH1 = 73.36; T2 = 25.19; RH2 = 66.04
2017.11.03_21:03:30,55.46,69.23,81.84,9.18,10.60,14.90,24.26,4.50,1018.70,59.81,72.53,85.90,12.19,16.28,16.84,25.34,59.84,1026.21,66.92,N; Tset = 26.80; Ttrue = 0026.7; T1 = 23.59; RH1 = 74.59; T2 = 25.20; RH2 = 67.21
2017.11.03_21:04:34,54.91,69.80,83.80,14.69,10.83,14.09,24.27,4.52,1018.73,61.91,74.13,87.65,10.78,15.70,17.23,25.34,60.81,1026.23,68.13,N; Tset = 27.20; Ttrue = 0027.1; T1 = 23.61; RH1 = 75.84; T2 = 25.20; RH2 = 68.39
2017.11.03_21:05:36,52.45,66.02,82.72,9.49,10.07,15.11,24.27,4.54,1018.75,58.76,72.08,90.15,11.58,15.41,17.78,25.34,61.82,1026.22,69.35,N; Tset = 27.40; Ttrue = 0027.4; T1 = 23.63; RH1 = 77.09; T2 = 25.21; RH2 = 69.63
2017.11.03_21:06:40,49.10,65.22,75.94,9.80,9.54,13.48,24.27,4.52,1018.75,54.52,66.24,80.84,9.66,14.14,17.15,25.34,62.78,1026.23,70.49,N; Tset = 27.80; Ttrue = 0027.7; T1 = 23.65; RH1 = 78.21; T2 = 25.21; RH2 = 70.80
2017.11.03_21:07:44,48.01,65.69,77.39,8.89,9.71,12.84,24.27,4.50,1018.75,56.71,66.30,79.05,10.58,14.40,15.95,25.34,63.71,1026.25,71.58,N; Tset = 28.20; Ttrue = 0028.0; T1 = 23.68; RH1 = 79.28; T2 = 25.21; RH2 = 71.92
2017.11.03_21:08:46,46.97,59.34,73.19,9.21,10.06,12.22,24.27,4.47,1018.78,54.85,62.88,74.89,9.74,14.11,15.29,25.34,64.68,1026.27,72.76,N; Tset = 28.40; Ttrue = 0028.3; T1 = 23.72; RH1 = 80.41; T2 = 25.21; RH2 = 73.07
2017.11.03_21:09:50,49.16,63.73,74.83,11.18,10.38,12.82,24.27,4.46,1018.78,58.70,67.35,80.49,10.61,15.07,16.67,25.34,65.67,1026.28,73.97,N; Tset = 28.80; Ttrue = 0028.6; T1 = 23.75; RH1 = 81.55; T2 = 25.21; RH2 = 74.30
2017.11.03_21:10:52,49.90,64.53,76.70,9.75,9.13,13.40,24.27,4.46,1018.81,53.77,67.42,83.52,10.65,14.82,18.28,25.35,66.61,1026.31,74.99,N; Tset = 29.00; Ttrue = 0028.9; T1 = 23.79; RH1 = 82.53; T2 = 25.22; RH2 = 75.40
2017.11.03_21:11:56,47.79,64.05,76.94,10.08,10.00,15.72,24.27,4.46,1018.82,54.43,66.34,85.72,11.04,14.57,15.96,25.35,67.55,1026.32,76.10,N; Tset = 29.40; Ttrue = 0029.2; T1 = 23.82; RH1 = 83.60; T2 = 25.22; RH2 = 76.52
2017.11.03_21:12:58,51.24,63.03,77.92,9.56,9.30,13.19,24.27,4.46,1018.85,57.52,71.02,87.44,9.81,13.65,16.62,25.36,68.55,1026.33,77.31,N; Tset = 29.60; Ttrue = 0029.5; T1 = 23.86; RH1 = 84.69; T2 = 25.23; RH2 = 77.75
2017.11.03_21:14:00,48.52,61.30,76.93,11.09,11.08,13.76,24.27,4.45,1018.84,55.38,72.01,86.24,9.71,14.10,16.63,25.35,69.46,1026.34,78.37,N; Tset = 29.80; Ttrue = 0029.8; T1 = 23.91; RH1 = 85.59; T2 = 25.23; RH2 = 78.80
2017.11.03_21:15:04,52.40,64.51,80.17,10.19,10.22,14.93,24.27,4.45,1018.85,57.84,72.07,88.02,10.04,15.45,17.93,25.36,70.42,1026.36,79.52,N; Tset = 30.20; Ttrue = 0030.1; T1 = 23.96; RH1 = 86.63; T2 = 25.23; RH2 = 79.94
2017.11.03_21:16:06,50.48,64.88,78.30,9.90,10.30,14.08,24.27,4.47,1018.87,59.75,73.95,87.66,11.99,14.68,17.94,25.36,71.43,1026.37,80.77,N; Tset = 30.40; Ttrue = 0030.3; T1 = 24.01; RH1 = 87.69; T2 = 25.24; RH2 = 81.18
2017.11.03_21:17:08,51.80,65.17,79.30,9.77,11.22,14.32,24.27,4.46,1018.91,59.11,74.22,91.29,11.07,14.67,18.51,25.35,72.36,1026.39,81.90,N; Tset = 30.60; Ttrue = 0030.6; T1 = 24.06; RH1 = 88.59; T2 = 25.25; RH2 = 82.31
2017.11.03_21:18:12,51.97,68.88,81.27,8.46,10.28,13.14,24.27,4.46,1018.90,61.12,71.77,90.95,11.38,15.56,18.78,25.36,73.30,1026.42,83.01,N; Tset = 31.00; Ttrue = 0030.8; T1 = 24.11; RH1 = 89.53; T2 = 25.25; RH2 = 83.43
2017.11.03_21:19:14,53.65,62.41,79.60,9.25,10.09,13.87,24.27,4.46,1018.92,58.58,72.31,90.86,12.08,16.92,18.20,25.38,74.23,1026.43,84.01,N; Tset = 31.20; Ttrue = 0031.1; T1 = 24.16; RH1 = 90.42; T2 = 25.26; RH2 = 84.52
2017.11.03_21:20:16,51.18,64.00,78.06,9.67,9.80,12.82,24.27,4.45,1018.91,64.60,76.64,87.64,13.23,16.41,20.26,25.38,75.13,1026.43,85.11,N; Tset = 31.40; Ttrue = 0031.3; T1 = 24.22; RH1 = 91.27; T2 = 25.26; RH2 = 85.62
2017.11.03_21:21:18,48.19,61.72,74.71,8.57,9.89,12.80,24.27,4.43,1018.92,55.66,73.22,89.23,14.07,17.28,20.66,25.38,76.06,1026.44,86.23,N; Tset = 31.60; Ttrue = 0031.6; T1 = 24.27; RH1 = 92.16; T2 = 25.26; RH2 = 86.74
2017.11.03_21:22:22,50.01,60.73,72.91,8.61,9.31,12.71,24.29,4.42,1018.95,54.84,73.24,90.71,15.43,18.85,22.15,25.37,76.99,1026.45,87.32,N; Tset = 32.00; Ttrue = 0031.8; T1 = 24.33; RH1 = 92.99; T2 = 25.27; RH2 = 87.83
2017.11.03_21:23:24,45.82,61.06,70.86,9.96,9.14,13.25,24.29,4.42,1018.97,57.35,71.22,88.33,16.77,21.08,24.12,25.38,77.90,1026.46,88.37,N; Tset = 32.20; Ttrue = 0032.1; T1 = 24.39; RH1 = 93.81; T2 = 25.27; RH2 = 88.93
2017.11.03_21:24:26,45.17,61.04,74.14,10.30,11.33,14.21,24.29,4.45,1018.98,56.72,74.91,88.77,25.51,24.01,26.12,25.39,78.80,1026.46,89.41,N; Tset = 32.40; Ttrue = 0032.3; T1 = 24.45; RH1 = 94.58; T2 = 25.28; RH2 = 90.04
