2017.11.08_12:05:54,53.87,75.58,98.35,11.87,12.01,16.12,24.39,7.34,976.07,55.15,74.25,95.97,12.62,17.09,19.43,25.14,9.58,983.39,11.45,P; Tset = 16.60; Ttrue = NaN; T1 = 23.50; RH1 = 12.19; T2 = 25.14; RH2 = 11.12
2017.11.08_12:26:54,66.42,96.47,123.50,13.23,14.39,20.87,25.41,7.82,1009.29,72.56,94.86,122.19,16.46,19.48,22.46,26.19,9.95,1016.91,11.73,P; Tset = 23.80; Ttrue = NaN; T1 = 24.43; RH1 = 13.02; T2 = 26.16; RH2 = 11.75
2017.11.08_12:27:54,65.19,92.04,121.92,14.85,16.12,20.26,25.41,7.85,1009.32,69.59,93.34,119.26,14.93,19.55,22.54,26.19,9.98,1016.91,11.76,P; Tset = 24.20; Ttrue = NaN; T1 = 24.44; RH1 = 13.05; T2 = 26.17; RH2 = 11.78
2017.11.08_12:28:54,66.68,94.83,122.34,14.73,19.05,20.84,25.41,7.86,1009.29,70.91,94.15,122.74,14.97,21.04,22.82,26.21,9.98,1016.88,11.75,P; Tset = 24.60; Ttrue = NaN; T1 = 24.45; RH1 = 13.05; T2 = 26.18; RH2 = 11.77
2017.11.08_12:29:54,67.28,97.16,124.84,13.42,15.51,19.74,25.44,7.85,1009.29,69.61,97.43,125.52,15.59,19.69,23.53,26.21,9.96,1016.88,11.75,P; Tset = 24.80; Ttrue = NaN; T1 = 24.46; RH1 = 13.04; T2 = 26.19; RH2 = 11.77
2017.11.08_12:30:54,79.41,99.10,128.62,14.52,15.18,19.84,25.45,7.85,1009.25,76.58,98.29,127.61,15.62,19.94,23.90,26.21,9.96,1016.84,11.75,P; Tset = 25.20; Ttrue = NaN; T1 = 24.47; RH1 = 13.02; T2 = 26.20; RH2 = 11.76
2017.11.08_12:31:54,69.05,97.60,128.26,14.62,15.44,19.48,25.46,7.85,1009.22,73.45,97.27,125.77,15.67,20.76,23.42,26.22,9.96,1016.80,11.75,P; Tset = 25.40; Ttrue = NaN; T1 = 24.47; RH1 = 13.04; T2 = 26.21; RH2 = 11.76
2017.11.08_12:32:54,70.49,101.16,131.70,16.33,16.18,19.66,25.48,7.87,1009.20,77.99,98.97,128.71,16.73,21.49,25.38,26.23,9.96,1016.79,11.77,P; Tset = 25.80; Ttrue = NaN; T1 = 24.48; RH1 = 13.06; T2 = 26.21; RH2 = 11.78
2017.11.08_12:33:54,75.25,103.14,133.99,15.33,16.93,21.96,25.49,7.89,1009.18,76.73,104.53,132.34,16.99,21.04,23.00,26.23,9.97,1016.76,11.80,P; Tset = 26.00; Ttrue = NaN; T1 = 24.49; RH1 = 13.09; T2 = 26.22; RH2 = 11.81
2017.11.08_12:34:54,71.96,102.81,133.68,15.52,16.23,20.38,25.50,7.91,1009.15,81.51,104.32,131.37,16.30,21.02,24.19,26.23,9.98,1016.73,11.82,P; Tset = 26.40; Ttrue = NaN; T1 = 24.49; RH1 = 13.11; T2 = 26.23; RH2 = 11.83
2017.11.08_12:35:54,73.10,101.54,133.72,15.33,16.36,21.15,25.52,7.92,1009.12,77.39,106.02,132.85,16.18,22.74,26.76,26.25,9.98,1016.72,11.83,P; Tset = 26.60; Ttrue = NaN; T1 = 24.50; RH1 = 13.12; T2 = 26.23; RH2 = 11.84
2017.11.08_12:36:54,71.76,104.88,133.46,15.35,17.06,22.07,25.52,7.92,1009.07,77.31,104.35,131.46,16.70,20.34,23.86,26.25,10.00,1016.68,11.83,P; Tset = 26.80; Ttrue = NaN; T1 = 24.51; RH1 = 13.12; T2 = 26.24; RH2 = 11.84
2017.11.08_12:37:54,73.22,101.24,130.95,15.63,17.01,20.23,25.53,7.92,1009.04,73.71,100.41,128.30,15.73,20.41,24.10,26.26,9.97,1016.65,11.81,P; Tset = 27.20; Ttrue = NaN; T1 = 24.52; RH1 = 13.10; T2 = 26.25; RH2 = 11.83
2017.11.08_12:38:54,69.71,99.55,134.24,17.68,15.79,20.52,25.55,7.92,1009.03,72.99,101.61,127.82,17.75,23.26,23.96,26.27,9.97,1016.63,11.82,P; Tset = 27.40; Ttrue = NaN; T1 = 24.52; RH1 = 13.11; T2 = 26.25; RH2 = 11.83
2017.11.08_12:39:54,68.71,100.88,133.86,16.82,16.39,20.94,25.56,7.92,1009.00,74.69,100.79,130.64,15.79,21.38,24.34,26.27,9.96,1016.59,11.82,P; Tset = 27.60; Ttrue = NaN; T1 = 24.53; RH1 = 13.11; T2 = 26.26; RH2 = 11.83
2017.11.08_12:40:54,68.63,100.54,132.35,13.77,16.33,21.21,25.56,7.92,1008.96,75.66,102.24,128.05,16.20,20.03,23.56,26.28,9.96,1016.56,11.80,P; Tset = 28.00; Ttrue = NaN; T1 = 24.54; RH1 = 13.09; T2 = 26.26; RH2 = 11.82
2017.11.08_12:41:54,72.76,103.78,132.43,15.34,16.22,20.53,25.58,7.93,1008.93,76.33,102.66,131.00,16.37,20.49,24.33,26.29,9.96,1016.54,11.82,P; Tset = 28.20; Ttrue = NaN; T1 = 24.54; RH1 = 13.11; T2 = 26.27; RH2 = 11.82
2017.11.08_12:42:54,71.69,104.10,131.48,15.60,16.89,20.76,25.58,7.95,1008.94,84.55,101.45,131.25,15.42,20.31,23.36,26.29,9.96,1016.53,11.85,P; Tset = 28.40; Ttrue = NaN; T1 = 24.55; RH1 = 13.14; T2 = 26.27; RH2 = 11.85
2017.11.08_12:43:54,71.12,101.76,136.78,14.86,17.47,21.72,25.59,7.96,1008.92,74.73,99.93,132.49,17.15,22.79,22.90,26.30,9.97,1016.53,11.86,P; Tset = 28.60; Ttrue = NaN; T1 = 24.56; RH1 = 13.15; T2 = 26.28; RH2 = 11.86
2017.11.08_12:44:54,70.51,97.52,127.29,13.94,15.57,21.31,25.60,7.97,1008.90,79.20,97.22,127.96,16.44,20.43,22.65,26.31,9.97,1016.51,11.86,P; Tset = 28.80; Ttrue = NaN; T1 = 24.57; RH1 = 13.15; T2 = 26.28; RH2 = 11.87
2017.11.08_12:45:54,68.21,99.96,125.71,14.79,15.96,20.64,25.60,7.94,1008.89,72.22,98.09,128.32,15.02,19.25,22.34,26.31,9.95,1016.52,11.83,P; Tset = 29.20; Ttrue = NaN; T1 = 24.57; RH1 = 13.12; T2 = 26.28; RH2 = 11.85
2017.11.08_12:46:54,69.00,99.01,126.15,15.15,15.72,20.41,25.61,7.96,1008.87,78.71,97.28,126.43,15.79,19.59,23.17,26.31,9.95,1016.49,11.86,P; Tset = 29.40; Ttrue = NaN; T1 = 24.58; RH1 = 13.15; T2 = 26.29; RH2 = 11.86
2017.11.08_12:47:54,77.18,99.64,130.21,14.37,16.28,20.09,25.62,8.01,1008.81,73.12,98.73,126.42,15.12,20.00,23.43,26.33,9.98,1016.46,11.90,P; Tset = 29.60; Ttrue = NaN; T1 = 24.58; RH1 = 13.21; T2 = 26.29; RH2 = 11.91
2017.11.08_12:48:54,72.28,102.30,130.84,13.65,16.03,20.90,25.62,8.04,1008.79,77.76,99.92,129.64,15.84,19.73,25.32,26.33,10.01,1016.39,11.94,P; Tset = 29.80; Ttrue = NaN; T1 = 24.59; RH1 = 13.25; T2 = 26.30; RH2 = 11.95
2017.11.08_12:49:54,67.75,102.05,124.58,14.75,16.11,20.37,25.64,8.04,1008.74,71.56,97.89,127.61,15.85,18.99,23.85,26.33,10.02,1016.37,11.95,P; Tset = 30.00; Ttrue = NaN; T1 = 24.59; RH1 = 13.26; T2 = 26.30; RH2 = 11.96
2017.11.08_12:50:54,71.16,99.68,125.78,16.06,15.29,20.56,25.64,8.06,1008.73,71.68,98.88,128.38,16.98,19.62,23.11,26.35,10.02,1016.33,11.94,P; Tset = 30.20; Ttrue = NaN; T1 = 24.60; RH1 = 13.26; T2 = 26.31; RH2 = 11.96
2017.11.08_12:51:54,70.27,103.30,127.30,14.45,17.03,20.88,25.64,8.06,1008.72,73.93,101.58,126.54,15.95,20.81,25.86,26.35,10.01,1016.32,11.95,P; Tset = 30.40; Ttrue = NaN; T1 = 24.60; RH1 = 13.26; T2 = 26.32; RH2 = 11.96
2017.11.08_12:52:54,76.99,104.06,130.88,14.94,16.81,21.26,25.66,8.04,1008.68,72.29,105.20,127.83,16.39,20.43,23.47,26.36,10.00,1016.29,11.94,P; Tset = 30.60; Ttrue = NaN; T1 = 24.61; RH1 = 13.24; T2 = 26.33; RH2 = 11.96
2017.11.08_12:53:54,70.89,102.01,130.90,14.87,18.15,21.63,25.66,8.04,1008.67,75.94,107.47,130.65,17.56,19.69,23.95,26.37,10.00,1016.29,11.92,P; Tset = 30.80; Ttrue = NaN; T1 = 24.61; RH1 = 13.23; T2 = 26.33; RH2 = 11.94
2017.11.08_12:54:54,72.74,102.44,133.61,14.96,17.31,22.10,25.67,8.04,1008.65,76.80,104.84,132.56,16.38,22.04,25.47,26.38,9.98,1016.28,11.91,P; Tset = 31.00; Ttrue = NaN; T1 = 24.62; RH1 = 13.22; T2 = 26.34; RH2 = 11.94
2017.11.08_12:55:54,70.52,102.99,134.90,15.05,16.75,20.35,25.68,8.02,1008.65,77.90,110.99,132.08,16.33,21.41,26.29,26.39,9.95,1016.28,11.88,P; Tset = 31.20; Ttrue = NaN; T1 = 24.63; RH1 = 13.19; T2 = 26.35; RH2 = 11.91
2017.11.08_12:56:54,73.04,101.71,129.79,14.66,17.42,20.43,25.68,7.99,1008.55,74.12,100.80,124.55,15.88,21.22,26.84,26.40,9.93,1016.18,11.85,P; Tset = 31.40; Ttrue = NaN; T1 = 24.64; RH1 = 13.15; T2 = 26.36; RH2 = 11.88
2017.11.08_12:57:54,69.37,93.46,124.44,14.15,15.96,19.82,25.69,7.94,1008.54,69.25,94.82,120.89,16.01,20.49,22.40,26.41,9.88,1016.14,11.78,P; Tset = 31.60; Ttrue = NaN; T1 = 24.64; RH1 = 13.07; T2 = 26.37; RH2 = 11.81
2017.11.08_12:58:54,64.50,93.31,116.81,13.98,16.02,18.44,25.70,7.88,1008.56,67.67,90.76,116.00,14.55,18.72,22.85,26.42,9.82,1016.17,11.70,P; Tset = 31.80; Ttrue = NaN; T1 = 24.65; RH1 = 12.98; T2 = 26.38; RH2 = 11.73
2017.11.08_12:59:54,65.92,91.32,120.01,13.57,15.28,18.33,25.70,7.83,1008.53,68.08,90.67,115.39,14.62,18.09,22.65,26.43,9.76,1016.14,11.64,P; Tset = 32.00; Ttrue = NaN; T1 = 24.66; RH1 = 12.92; T2 = 26.38; RH2 = 11.68
2017.11.08_13:00:54,64.80,92.12,116.32,12.90,14.58,18.01,25.71,7.81,1008.48,70.15,94.36,114.48,14.55,19.24,21.23,26.43,9.74,1016.07,11.63,P; Tset = 32.20; Ttrue = NaN; T1 = 24.67; RH1 = 12.91; T2 = 26.39; RH2 = 11.66
2017.11.08_13:01:54,69.25,93.87,116.81,14.26,14.46,18.33,25.72,7.79,1008.48,67.57,91.49,112.93,15.44,19.14,21.13,26.45,9.70,1016.10,11.60,P; Tset = 32.40; Ttrue = NaN; T1 = 24.67; RH1 = 12.88; T2 = 26.40; RH2 = 11.63
2017.11.08_13:02:54,65.22,94.53,114.58,12.09,14.62,18.61,25.73,7.77,1008.51,66.30,90.61,115.23,16.16,19.87,21.03,26.45,9.68,1016.12,11.58,P; Tset = 32.60; Ttrue = NaN; T1 = 24.68; RH1 = 12.86; T2 = 26.40; RH2 = 11.60
2017.11.08_13:03:54,64.36,88.97,116.20,12.00,14.29,18.92,25.73,7.75,1008.55,71.61,88.57,114.29,15.03,17.58,20.17,26.45,9.66,1016.15,11.56,P; Tset = 32.80; Ttrue = NaN; T1 = 24.69; RH1 = 12.83; T2 = 26.41; RH2 = 11.58
2017.11.08_13:04:54,65.10,89.07,114.96,11.72,15.22,18.22,25.74,7.75,1008.60,65.80,88.90,116.36,16.32,18.62,22.88,26.47,9.64,1016.19,11.55,P; Tset = 33.00; Ttrue = NaN; T1 = 24.69; RH1 = 12.84; T2 = 26.42; RH2 = 11.57
2017.11.08_13:05:54,62.90,88.70,116.27,13.06,14.26,18.67,25.75,7.76,1008.59,66.74,90.56,114.16,15.58,19.96,23.42,26.47,9.65,1016.19,11.56,P; Tset = 33.20; Ttrue = NaN; T1 = 24.70; RH1 = 12.85; T2 = 26.43; RH2 = 11.58
2017.11.08_13:06:54,65.31,91.71,115.98,14.29,17.85,18.72,25.76,7.71,1008.64,69.21,91.10,113.48,15.05,19.84,21.92,26.47,9.60,1016.24,11.50,P; Tset = 33.20; Ttrue = NaN; T1 = 24.70; RH1 = 12.77; T2 = 26.43; RH2 = 11.53
2017.11.08_13:07:54,63.92,88.56,116.64,13.77,16.21,18.88,25.77,7.68,1008.64,67.30,91.76,116.09,15.00,18.66,22.52,26.49,9.57,1016.23,11.45,P; Tset = 33.40; Ttrue = NaN; T1 = 24.71; RH1 = 12.72; T2 = 26.45; RH2 = 11.47
2017.11.08_13:08:54,65.60,86.35,114.98,13.16,14.79,18.62,25.78,7.65,1008.62,64.37,89.89,112.76,15.90,18.50,21.05,26.49,9.53,1016.22,11.43,P; Tset = 33.60; Ttrue = NaN; T1 = 24.72; RH1 = 12.70; T2 = 26.46; RH2 = 11.44
2017.11.08_13:09:54,61.22,87.17,113.65,12.21,15.33,19.29,25.79,7.63,1008.62,67.70,88.42,111.04,15.32,18.93,21.58,26.49,9.50,1016.23,11.40,P; Tset = 33.80; Ttrue = NaN; T1 = 24.72; RH1 = 12.67; T2 = 26.47; RH2 = 11.41
2017.11.08_13:10:54,62.62,88.68,115.84,13.28,14.75,17.30,25.80,7.61,1008.61,65.87,87.00,109.74,14.03,18.48,21.73,26.50,9.48,1016.20,11.38,P; Tset = 34.00; Ttrue = NaN; T1 = 24.72; RH1 = 12.65; T2 = 26.48; RH2 = 11.39
2017.11.08_13:11:54,62.69,86.15,110.78,12.87,14.72,17.93,25.80,7.59,1008.56,67.65,89.03,109.29,13.69,17.78,21.02,26.51,9.45,1016.15,11.35,P; Tset = 34.20; Ttrue = NaN; T1 = 24.73; RH1 = 12.61; T2 = 26.49; RH2 = 11.36
2017.11.08_13:12:54,61.42,85.21,109.35,12.02,13.17,18.02,25.82,7.57,1008.52,62.88,88.52,108.36,17.08,18.88,20.09,26.51,9.43,1016.10,11.33,P; Tset = 34.20; Ttrue = NaN; T1 = 24.74; RH1 = 12.59; T2 = 26.49; RH2 = 11.34
2017.11.08_13:13:54,60.76,84.74,111.31,12.22,12.87,17.95,25.83,7.57,1008.48,63.94,87.39,111.19,15.24,17.99,19.37,26.51,9.41,1016.09,11.33,P; Tset = 34.40; Ttrue = NaN; T1 = 24.74; RH1 = 12.58; T2 = 26.50; RH2 = 11.33
2017.11.08_13:14:54,58.85,88.15,107.74,11.46,12.87,17.16,25.83,7.55,1008.47,64.43,84.49,108.16,15.30,17.81,20.54,26.52,9.39,1016.09,11.31,P; Tset = 34.60; Ttrue = NaN; T1 = 24.75; RH1 = 12.56; T2 = 26.50; RH2 = 11.32
2017.11.08_13:15:54,58.86,84.86,109.16,13.36,13.49,18.35,25.84,7.55,1008.47,61.02,83.88,107.99,13.74,17.42,20.29,26.53,9.38,1016.09,11.30,P; Tset = 34.80; Ttrue = NaN; T1 = 24.75; RH1 = 12.56; T2 = 26.51; RH2 = 11.31
2017.11.08_13:16:54,61.21,85.42,109.17,12.06,12.58,17.35,25.85,7.55,1008.46,64.69,86.24,109.07,15.20,18.30,20.36,26.53,9.37,1016.10,11.31,P; Tset = 35.00; Ttrue = NaN; T1 = 24.76; RH1 = 12.57; T2 = 26.51; RH2 = 11.31
2017.11.08_13:17:54,62.17,86.53,110.36,12.29,13.03,19.12,25.85,7.57,1008.46,66.93,91.12,109.86,18.02,18.17,20.20,26.53,9.38,1016.06,11.34,P; Tset = 35.00; Ttrue = NaN; T1 = 24.76; RH1 = 12.60; T2 = 26.52; RH2 = 11.33
2017.11.08_13:18:54,60.19,85.55,111.60,12.27,15.17,18.33,25.87,7.57,1008.46,67.18,89.05,114.46,16.52,20.25,21.54,26.54,9.37,1016.06,11.33,P; Tset = 35.20; Ttrue = NaN; T1 = 24.77; RH1 = 12.60; T2 = 26.53; RH2 = 11.34
2017.11.08_13:19:54,62.62,87.46,110.60,12.49,15.09,17.83,25.88,7.59,1008.45,64.80,86.61,107.29,13.95,17.84,21.63,26.55,9.38,1016.04,11.34,P; Tset = 35.40; Ttrue = NaN; T1 = 24.77; RH1 = 12.61; T2 = 26.53; RH2 = 11.34
2017.11.08_13:20:54,62.66,88.55,109.65,11.87,14.06,17.26,25.88,7.61,1008.38,65.68,90.47,109.65,14.22,18.36,24.38,26.55,9.39,1015.97,11.37,P; Tset = 35.40; Ttrue = NaN; T1 = 24.78; RH1 = 12.64; T2 = 26.53; RH2 = 11.36
2017.11.08_13:21:54,59.68,85.96,110.99,13.45,14.37,17.75,25.89,7.62,1008.38,66.61,84.59,107.19,14.03,17.91,20.70,26.56,9.39,1015.97,11.37,P; Tset = 35.60; Ttrue = NaN; T1 = 24.78; RH1 = 12.65; T2 = 26.53; RH2 = 11.37
2017.11.08_13:22:54,62.31,83.33,110.01,13.23,13.79,18.01,25.89,7.61,1008.39,63.19,81.43,105.96,13.88,17.87,20.24,26.57,9.39,1015.98,11.37,P; Tset = 35.80; Ttrue = NaN; T1 = 24.79; RH1 = 12.64; T2 = 26.54; RH2 = 11.37
2017.11.08_13:23:54,58.99,84.79,109.18,11.65,14.37,17.91,25.90,7.62,1008.35,66.16,83.57,103.76,14.28,17.27,20.19,26.57,9.39,1015.96,11.38,P; Tset = 36.00; Ttrue = NaN; T1 = 24.79; RH1 = 12.66; T2 = 26.55; RH2 = 11.38
2017.11.08_13:24:54,58.08,81.51,107.97,12.82,13.08,17.64,25.91,7.66,1008.37,58.96,82.69,104.75,14.61,17.63,20.25,26.57,9.41,1015.98,11.42,P; Tset = 36.00; Ttrue = NaN; T1 = 24.80; RH1 = 12.71; T2 = 26.55; RH2 = 11.41
2017.11.08_13:25:54,56.61,81.09,106.88,12.56,12.06,16.82,25.90,7.70,1008.33,60.63,82.65,105.51,13.80,17.67,20.35,26.57,9.44,1015.96,11.48,P; Tset = 36.20; Ttrue = NaN; T1 = 24.81; RH1 = 12.77; T2 = 26.55; RH2 = 11.46
2017.11.08_13:26:54,55.46,79.14,104.08,13.20,12.92,16.49,25.90,7.72,1008.33,60.82,81.18,101.41,12.55,16.93,21.47,26.58,9.46,1015.94,11.51,P; Tset = 36.40; Ttrue = NaN; T1 = 24.81; RH1 = 12.80; T2 = 26.55; RH2 = 11.50
2017.11.08_13:27:54,56.30,81.43,105.71,12.24,12.98,17.39,25.92,7.76,1008.33,61.29,83.39,103.05,13.14,17.37,20.27,26.59,9.49,1015.95,11.55,P; Tset = 36.40; Ttrue = NaN; T1 = 24.82; RH1 = 12.86; T2 = 26.56; RH2 = 11.54
2017.11.08_13:28:54,56.26,82.92,104.33,10.28,12.68,17.80,25.92,7.80,1008.34,60.98,84.71,103.53,12.97,17.37,20.00,26.59,9.53,1015.96,11.59,P; Tset = 36.60; Ttrue = NaN; T1 = 24.82; RH1 = 12.90; T2 = 26.56; RH2 = 11.59
2017.11.08_13:29:54,56.30,80.71,102.13,15.34,13.69,17.28,25.93,7.82,1008.31,61.21,82.29,103.87,13.98,17.33,20.21,26.60,9.54,1015.94,11.62,P; Tset = 36.80; Ttrue = NaN; T1 = 24.83; RH1 = 12.92; T2 = 26.57; RH2 = 11.62
2017.11.08_13:30:54,58.38,81.59,104.53,12.56,14.80,18.34,25.95,7.85,1008.32,57.92,80.77,102.86,13.50,17.22,20.83,26.61,9.56,1015.94,11.64,P; Tset = 36.80; Ttrue = NaN; T1 = 24.83; RH1 = 12.96; T2 = 26.57; RH2 = 11.65
2017.11.08_13:31:54,56.34,82.11,107.84,10.59,13.51,17.56,25.95,7.87,1008.30,62.99,83.31,103.45,14.11,17.68,20.28,26.61,9.57,1015.92,11.67,P; Tset = 37.00; Ttrue = NaN; T1 = 24.83; RH1 = 12.99; T2 = 26.57; RH2 = 11.67
2017.11.08_13:32:54,57.16,77.55,102.78,12.05,12.55,16.00,25.95,7.87,1008.27,58.91,81.73,102.52,13.65,17.20,20.17,26.61,9.57,1015.91,11.66,P; Tset = 37.20; Ttrue = NaN; T1 = 24.84; RH1 = 12.96; T2 = 26.58; RH2 = 11.66
2017.11.08_13:33:54,55.38,77.84,100.07,15.78,16.09,16.89,25.95,7.84,1008.24,59.76,79.86,100.84,12.91,16.77,19.48,26.61,9.55,1015.89,11.63,P; Tset = 37.20; Ttrue = NaN; T1 = 24.84; RH1 = 12.93; T2 = 26.58; RH2 = 11.64
2017.11.08_13:34:54,56.40,74.44,101.59,11.80,11.71,15.04,25.95,7.83,1008.23,57.85,75.16,98.74,13.23,15.69,18.69,26.61,9.53,1015.88,11.61,P; Tset = 37.40; Ttrue = NaN; T1 = 24.84; RH1 = 12.90; T2 = 26.58; RH2 = 11.61
2017.11.08_13:35:54,56.47,74.87,96.20,11.38,11.72,15.30,25.96,7.80,1008.24,56.71,75.09,94.76,12.76,16.51,18.48,26.63,9.50,1015.88,11.56,P; Tset = 37.60; Ttrue = NaN; T1 = 24.85; RH1 = 12.86; T2 = 26.59; RH2 = 11.58
2017.11.08_13:36:54,53.51,73.63,95.50,11.10,12.56,18.12,25.96,7.77,1008.25,57.20,76.91,96.91,12.35,15.57,17.76,26.63,9.47,1015.88,11.52,P; Tset = 37.60; Ttrue = NaN; T1 = 24.85; RH1 = 12.82; T2 = 26.59; RH2 = 11.53
