2017.11.23_02:01:53,7.79,9.13,9.97,2.21,1.65,3.66,21.65,2.93,976.76,11.98,12.32,17.27,8.48,9.30,9.46,23.00,59.96,983.87,70.26,N; Tset = 10.00; Ttrue = 015.9; T1 = 23.93; RH1 = 60.37; T2 = 23.48; RH2 = 69.78
2017.11.23_02:14:31,8.11,9.39,10.26,2.60,1.49,3.69,22.39,2.99,1010.34,9.81,12.65,16.23,7.06,8.15,7.72,23.82,45.51,1017.70,53.68,N; Tset = 19.80; Ttrue = 019.5; T1 = 24.47; RH1 = 52.25; T2 = 24.23; RH2 = 51.74
2017.11.23_02:15:39,7.83,9.27,9.94,2.98,1.91,3.77,22.39,2.99,1010.32,10.45,12.58,17.61,7.09,8.80,9.86,23.82,47.27,1017.66,56.21,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.46; RH1 = 54.78; T2 = 24.23; RH2 = 54.12
2017.11.23_02:16:47,8.26,9.54,10.26,2.29,1.73,3.50,22.39,2.99,1010.30,10.62,13.28,16.60,6.99,8.36,8.36,23.82,49.11,1017.66,58.77,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.46; RH1 = 57.31; T2 = 24.24; RH2 = 56.55
2017.11.23_02:17:55,7.85,9.20,10.20,2.35,1.77,3.88,22.39,3.00,1010.32,10.01,13.58,17.10,7.34,8.35,8.54,23.82,51.08,1017.68,61.43,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.47; RH1 = 59.90; T2 = 24.24; RH2 = 59.06
2017.11.23_02:19:03,8.51,9.96,11.59,2.24,1.81,3.76,22.39,2.99,1010.30,10.22,13.29,17.52,7.27,8.21,8.73,23.82,53.19,1017.65,64.24,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.48; RH1 = 62.62; T2 = 24.24; RH2 = 61.73
2017.11.23_02:20:11,8.87,9.92,10.53,2.30,2.29,3.79,22.38,2.99,1010.29,10.88,13.64,18.62,7.75,9.30,8.90,23.82,55.41,1017.65,67.18,N; Tset = 23.80; Ttrue = 023.6; T1 = 24.51; RH1 = 65.40; T2 = 24.24; RH2 = 64.53
2017.11.23_02:21:19,8.26,10.04,10.71,2.56,1.48,3.61,22.37,3.00,1010.32,11.12,14.15,18.28,7.92,8.87,9.11,23.82,57.58,1017.68,70.00,N; Tset = 24.60; Ttrue = 024.3; T1 = 24.54; RH1 = 68.00; T2 = 24.25; RH2 = 67.23
2017.11.23_02:22:27,8.33,9.46,10.29,2.43,1.77,3.49,22.37,3.01,1010.34,11.46,14.69,18.64,7.88,9.14,9.37,23.81,59.76,1017.72,72.79,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.57; RH1 = 70.55; T2 = 24.25; RH2 = 69.89
2017.11.23_02:23:33,8.85,10.38,10.45,2.32,1.67,4.03,22.37,3.01,1010.29,12.08,15.02,20.07,8.39,9.35,9.34,23.82,62.02,1017.66,75.68,N; Tset = 26.00; Ttrue = 025.8; T1 = 24.61; RH1 = 73.21; T2 = 24.26; RH2 = 72.65
2017.11.23_02:24:41,8.23,9.86,10.86,2.41,1.92,3.81,22.37,3.01,1010.15,10.94,14.68,19.72,8.40,10.02,9.89,23.82,64.36,1017.54,78.70,N; Tset = 26.80; Ttrue = 026.6; T1 = 24.65; RH1 = 75.95; T2 = 24.26; RH2 = 75.53
2017.11.23_02:25:49,8.78,9.91,10.50,2.42,2.33,3.76,22.36,3.01,1010.16,13.10,16.89,21.13,8.33,10.72,10.56,23.82,66.76,1017.53,81.88,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.71; RH1 = 78.78; T2 = 24.27; RH2 = 78.51
2017.11.23_02:26:55,8.29,10.15,10.24,2.67,1.87,3.25,22.35,3.01,1010.23,15.20,18.57,24.34,9.24,10.69,10.70,23.82,69.22,1017.61,85.06,N; Tset = 28.20; Ttrue = 028.0; T1 = 24.77; RH1 = 81.59; T2 = 24.27; RH2 = 81.52
2017.11.23_02:28:01,8.39,10.96,11.00,2.26,1.60,3.77,22.35,3.00,1010.22,14.59,20.03,26.81,11.07,11.89,12.22,23.82,71.59,1017.59,88.07,N; Tset = 28.80; Ttrue = 028.6; T1 = 24.82; RH1 = 84.17; T2 = 24.27; RH2 = 84.42
2017.11.23_02:29:09,7.83,10.14,10.77,2.53,1.49,3.98,22.35,2.99,1010.19,17.87,21.59,29.77,14.15,14.26,14.71,23.82,73.89,1017.54,91.04,N; Tset = 29.60; Ttrue = 029.3; T1 = 24.88; RH1 = 86.69; T2 = 24.28; RH2 = 87.20
