2017.11.09_22:04:26,228.22,292.46,348.58,37.12,40.03,48.87,22.87,15.20,967.53,385.58,451.28,510.93,54.21,59.67,66.63,23.79,72.47,974.54,82.69,P; Tset = 14.60; Ttrue = NaN; T1 = 22.13; RH1 = 87.70; T2 = 23.38; RH2 = 82.81
2017.11.09_22:30:26,234.85,311.59,366.09,38.95,42.95,49.82,23.54,16.03,1000.84,247.09,304.05,348.21,37.16,46.73,50.39,24.51,27.17,1008.15,26.80,P; Tset = 24.40; Ttrue = NaN; T1 = 23.17; RH1 = 28.79; T2 = 24.24; RH2 = 27.46
2017.11.09_22:31:26,236.05,304.72,362.06,37.51,40.99,49.21,23.54,16.02,1000.83,247.69,309.69,351.03,39.05,44.55,50.66,24.51,26.71,1008.17,26.43,P; Tset = 24.80; Ttrue = NaN; T1 = 23.17; RH1 = 28.40; T2 = 24.25; RH2 = 27.06
2017.11.09_22:32:26,240.33,312.22,372.10,40.50,43.99,50.50,23.55,16.01,1000.83,255.35,312.85,363.07,40.27,47.20,50.63,24.52,26.25,1008.16,25.98,P; Tset = 25.00; Ttrue = NaN; T1 = 23.17; RH1 = 27.92; T2 = 24.26; RH2 = 26.62
2017.11.09_22:33:26,237.80,308.97,374.09,40.09,43.57,52.38,23.55,16.00,1000.87,250.35,307.29,358.74,38.76,43.71,51.16,24.53,25.82,1008.19,25.57,P; Tset = 25.40; Ttrue = NaN; T1 = 23.16; RH1 = 27.52; T2 = 24.27; RH2 = 26.19
2017.11.09_22:34:26,240.24,307.85,368.56,41.40,42.41,50.15,23.55,16.00,1000.88,244.52,305.62,357.57,39.05,44.49,51.36,24.53,25.46,1008.20,25.29,P; Tset = 25.60; Ttrue = NaN; T1 = 23.16; RH1 = 27.25; T2 = 24.27; RH2 = 25.87
2017.11.09_22:35:26,234.77,304.75,366.98,41.45,44.17,50.27,23.58,16.00,1000.92,251.27,316.52,358.51,40.23,47.21,52.10,24.53,25.12,1008.24,25.03,P; Tset = 26.00; Ttrue = NaN; T1 = 23.15; RH1 = 26.99; T2 = 24.28; RH2 = 25.58
2017.11.09_22:36:26,241.59,312.02,372.59,42.59,43.41,50.89,23.58,15.99,1000.91,257.94,311.98,355.79,40.00,44.69,52.20,24.53,24.82,1008.22,24.82,P; Tset = 26.20; Ttrue = NaN; T1 = 23.15; RH1 = 26.79; T2 = 24.29; RH2 = 25.33
2017.11.09_22:37:26,242.12,312.97,372.72,42.21,45.70,54.97,23.58,15.98,1000.84,263.00,315.11,364.75,40.41,45.62,54.54,24.54,24.56,1008.19,24.62,P; Tset = 26.60; Ttrue = NaN; T1 = 23.15; RH1 = 26.61; T2 = 24.30; RH2 = 25.13
2017.11.09_22:38:26,242.73,317.69,385.29,41.45,45.16,52.73,23.60,15.93,1000.81,262.44,320.25,369.38,41.20,46.72,54.34,24.55,24.21,1008.16,24.28,P; Tset = 26.80; Ttrue = NaN; T1 = 23.14; RH1 = 26.23; T2 = 24.31; RH2 = 24.81
2017.11.09_22:39:26,245.15,319.89,382.41,41.17,46.24,52.90,23.60,15.82,1000.81,258.04,321.54,370.75,40.68,45.40,54.12,24.55,23.82,1008.16,23.89,P; Tset = 27.00; Ttrue = NaN; T1 = 23.13; RH1 = 25.83; T2 = 24.31; RH2 = 24.39
2017.11.09_22:40:26,245.99,322.40,386.61,42.06,45.98,52.04,23.61,15.74,1000.82,263.16,326.67,372.37,42.41,47.38,52.76,24.57,23.49,1008.16,23.58,P; Tset = 27.40; Ttrue = NaN; T1 = 23.13; RH1 = 25.55; T2 = 24.33; RH2 = 24.07
2017.11.09_22:41:26,248.46,321.87,386.98,43.94,45.65,53.72,23.62,15.63,1000.82,261.05,319.91,374.04,41.95,47.67,56.01,24.57,23.19,1008.13,23.33,P; Tset = 27.60; Ttrue = NaN; T1 = 23.12; RH1 = 25.29; T2 = 24.33; RH2 = 23.80
2017.11.09_22:42:26,247.10,323.62,388.83,42.06,47.00,54.84,23.62,15.54,1000.80,265.40,324.72,374.89,42.14,46.50,55.54,24.57,22.88,1008.14,23.04,P; Tset = 27.80; Ttrue = NaN; T1 = 23.12; RH1 = 25.00; T2 = 24.34; RH2 = 23.49
2017.11.09_22:43:26,243.71,326.68,389.75,43.12,45.57,54.45,23.63,15.45,1000.82,263.74,324.36,376.18,43.75,50.29,56.18,24.59,22.56,1008.17,22.73,P; Tset = 28.20; Ttrue = NaN; T1 = 23.11; RH1 = 24.69; T2 = 24.35; RH2 = 23.19
2017.11.09_22:44:26,252.28,326.92,397.60,42.31,46.46,55.47,23.64,15.37,1000.89,265.27,326.93,382.40,42.04,48.91,57.20,24.59,22.29,1008.24,22.52,P; Tset = 28.40; Ttrue = NaN; T1 = 23.10; RH1 = 24.48; T2 = 24.36; RH2 = 22.95
2017.11.09_22:45:26,251.93,330.01,397.49,43.67,46.85,54.96,23.64,15.33,1000.95,265.41,332.71,379.81,44.22,49.29,57.85,24.59,22.09,1008.27,22.39,P; Tset = 28.60; Ttrue = NaN; T1 = 23.10; RH1 = 24.38; T2 = 24.37; RH2 = 22.78
2017.11.09_22:46:26,252.80,326.26,390.64,43.24,45.13,58.10,23.64,15.38,1000.92,264.53,327.32,383.05,43.82,48.65,55.08,24.60,21.99,1008.28,22.36,P; Tset = 28.80; Ttrue = NaN; T1 = 23.09; RH1 = 24.40; T2 = 24.38; RH2 = 22.73
2017.11.09_22:47:26,257.34,322.37,389.99,43.46,44.99,53.47,23.65,15.53,1000.88,266.57,323.59,375.63,40.97,47.33,53.00,24.61,21.95,1008.22,22.44,P; Tset = 29.20; Ttrue = NaN; T1 = 23.09; RH1 = 24.54; T2 = 24.39; RH2 = 22.77
2017.11.09_22:48:26,254.99,321.63,386.34,40.87,46.16,52.48,23.66,15.68,1000.87,264.37,321.29,369.40,40.82,47.18,53.54,24.61,21.92,1008.21,22.55,P; Tset = 29.40; Ttrue = NaN; T1 = 23.08; RH1 = 24.68; T2 = 24.40; RH2 = 22.87
2017.11.09_22:49:26,243.84,319.36,384.99,43.05,45.84,50.55,23.66,15.75,1000.84,256.10,314.78,373.62,40.79,46.05,53.23,24.61,21.88,1008.18,22.57,P; Tset = 29.60; Ttrue = NaN; T1 = 23.07; RH1 = 24.69; T2 = 24.41; RH2 = 22.90
2017.11.09_22:50:26,245.26,320.28,384.92,42.75,46.23,52.08,23.66,15.76,1000.83,260.73,316.29,370.44,41.85,46.90,50.71,24.61,21.75,1008.17,22.47,P; Tset = 29.80; Ttrue = NaN; T1 = 23.06; RH1 = 24.58; T2 = 24.42; RH2 = 22.79
2017.11.09_22:51:26,248.57,320.51,382.43,42.50,44.27,52.91,23.68,15.69,1000.87,264.87,320.56,372.43,40.15,47.01,54.10,24.62,21.58,1008.19,22.31,P; Tset = 30.00; Ttrue = NaN; T1 = 23.06; RH1 = 24.42; T2 = 24.43; RH2 = 22.63
2017.11.09_22:52:26,243.97,316.64,380.45,41.78,44.11,52.31,23.68,15.64,1000.87,257.23,321.59,368.35,41.27,46.52,52.52,24.63,21.45,1008.20,22.18,P; Tset = 30.20; Ttrue = NaN; T1 = 23.04; RH1 = 24.35; T2 = 24.43; RH2 = 22.49
2017.11.09_22:53:26,243.38,315.99,378.18,43.82,45.78,52.85,23.68,15.71,1000.82,251.78,312.49,366.85,40.50,45.24,50.20,24.63,21.40,1008.16,22.20,P; Tset = 30.40; Ttrue = NaN; T1 = 23.03; RH1 = 24.40; T2 = 24.43; RH2 = 22.50
2017.11.09_22:54:26,242.95,315.14,377.54,40.88,44.95,50.93,23.69,15.75,1000.85,256.19,317.57,358.42,40.63,44.89,51.69,24.63,21.35,1008.19,22.22,P; Tset = 30.80; Ttrue = NaN; T1 = 23.03; RH1 = 24.43; T2 = 24.43; RH2 = 22.51
2017.11.09_22:55:26,242.53,312.52,370.99,42.83,44.52,50.44,23.70,15.71,1000.86,255.36,314.88,362.29,41.08,45.38,52.26,24.63,21.23,1008.21,22.12,P; Tset = 31.00; Ttrue = NaN; T1 = 23.02; RH1 = 24.33; T2 = 24.44; RH2 = 22.42
2017.11.09_22:56:26,242.10,314.40,375.54,42.01,45.69,51.01,23.70,15.68,1000.88,256.00,314.82,363.49,40.49,51.60,53.40,24.63,21.12,1008.22,22.03,P; Tset = 31.20; Ttrue = NaN; T1 = 23.01; RH1 = 24.25; T2 = 24.44; RH2 = 22.31
2017.11.09_22:57:26,238.71,312.50,376.20,42.47,44.59,51.73,23.70,15.70,1000.85,255.94,316.97,361.84,40.72,46.03,52.85,24.63,21.06,1008.19,22.02,P; Tset = 31.40; Ttrue = NaN; T1 = 23.00; RH1 = 24.26; T2 = 24.44; RH2 = 22.28
2017.11.09_22:58:26,239.27,307.95,378.90,40.31,43.60,51.74,23.70,15.74,1000.81,251.91,309.13,359.88,40.57,44.78,51.23,24.63,21.01,1008.14,22.01,P; Tset = 31.60; Ttrue = NaN; T1 = 22.99; RH1 = 24.28; T2 = 24.45; RH2 = 22.27
2017.11.09_22:59:26,236.40,309.99,371.87,40.24,43.63,50.30,23.70,15.76,1000.84,251.25,309.32,361.05,40.75,45.53,51.52,24.65,20.95,1008.16,21.97,P; Tset = 31.80; Ttrue = NaN; T1 = 22.98; RH1 = 24.28; T2 = 24.45; RH2 = 22.25
2017.11.09_23:00:26,239.54,310.30,372.71,38.78,45.66,50.95,23.72,15.77,1000.83,252.24,311.09,364.11,40.46,45.24,51.08,24.65,20.89,1008.17,21.95,P; Tset = 32.00; Ttrue = NaN; T1 = 22.97; RH1 = 24.27; T2 = 24.45; RH2 = 22.22
2017.11.09_23:01:26,236.30,312.30,378.43,41.08,45.14,51.17,23.72,15.72,1000.88,255.38,313.13,360.25,39.63,45.30,52.71,24.65,20.78,1008.21,21.84,P; Tset = 32.20; Ttrue = NaN; T1 = 22.96; RH1 = 24.15; T2 = 24.45; RH2 = 22.12
2017.11.09_23:02:26,239.92,314.94,376.32,40.06,43.36,51.74,23.72,15.68,1000.90,254.08,311.58,360.20,41.28,46.40,51.98,24.65,20.67,1008.23,21.75,P; Tset = 32.40; Ttrue = NaN; T1 = 22.95; RH1 = 24.08; T2 = 24.45; RH2 = 22.01
2017.11.09_23:03:26,248.30,313.58,375.84,41.65,44.15,51.83,23.72,15.68,1000.94,257.18,315.40,362.77,39.34,44.97,51.35,24.65,20.61,1008.27,21.71,P; Tset = 32.60; Ttrue = NaN; T1 = 22.94; RH1 = 24.06; T2 = 24.45; RH2 = 21.96
2017.11.09_23:04:26,250.68,316.37,381.88,41.70,43.65,51.87,23.72,15.76,1001.00,256.47,316.65,365.83,42.01,46.80,53.90,24.65,20.56,1008.32,21.71,P; Tset = 32.80; Ttrue = NaN; T1 = 22.93; RH1 = 24.07; T2 = 24.45; RH2 = 21.96
2017.11.09_23:05:26,237.48,312.89,372.03,43.15,45.01,51.37,23.74,15.79,1000.95,247.57,307.38,360.52,40.17,46.43,51.75,24.65,20.47,1008.29,21.63,P; Tset = 33.00; Ttrue = NaN; T1 = 22.92; RH1 = 23.99; T2 = 24.46; RH2 = 21.90
2017.11.09_23:06:26,245.63,312.62,370.36,38.31,42.44,50.02,23.74,15.82,1000.99,247.35,306.56,354.77,39.32,47.30,52.44,24.66,20.33,1008.30,21.46,P; Tset = 33.20; Ttrue = NaN; T1 = 22.91; RH1 = 23.80; T2 = 24.46; RH2 = 21.75
2017.11.09_23:07:26,248.07,316.58,381.03,41.40,43.97,50.47,23.74,15.78,1000.99,257.89,319.20,369.51,39.73,46.16,54.00,24.67,20.15,1008.32,21.25,P; Tset = 33.20; Ttrue = NaN; T1 = 22.91; RH1 = 23.58; T2 = 24.46; RH2 = 21.54
2017.11.09_23:08:26,245.78,316.96,387.02,40.24,42.29,51.94,23.74,15.74,1000.93,260.45,318.70,368.38,43.01,48.32,53.68,24.66,20.02,1008.26,21.14,P; Tset = 33.40; Ttrue = NaN; T1 = 22.90; RH1 = 23.48; T2 = 24.46; RH2 = 21.41
2017.11.09_23:09:26,243.99,318.27,383.30,42.03,44.26,51.47,23.76,15.76,1000.94,259.29,316.94,363.21,40.06,47.73,54.65,24.67,19.94,1008.25,21.08,P; Tset = 33.60; Ttrue = NaN; T1 = 22.89; RH1 = 23.44; T2 = 24.46; RH2 = 21.34
2017.11.09_23:10:26,242.37,316.56,372.64,40.54,42.92,51.01,23.76,15.78,1000.91,255.75,313.95,361.87,42.03,45.93,53.13,24.67,19.84,1008.25,20.99,P; Tset = 33.80; Ttrue = NaN; T1 = 22.89; RH1 = 23.35; T2 = 24.47; RH2 = 21.26
2017.11.09_23:11:26,229.83,294.64,361.52,38.30,41.37,48.90,23.76,15.71,1000.95,237.24,295.00,340.98,38.14,43.15,50.20,24.67,19.65,1008.28,20.79,P; Tset = 34.00; Ttrue = NaN; T1 = 22.88; RH1 = 23.10; T2 = 24.47; RH2 = 21.08
2017.11.09_23:12:26,237.71,312.54,376.80,40.72,42.93,50.46,23.77,15.58,1000.97,250.80,310.72,357.87,39.91,47.91,51.16,24.67,19.45,1008.32,20.58,P; Tset = 34.20; Ttrue = NaN; T1 = 22.88; RH1 = 22.90; T2 = 24.47; RH2 = 20.85
2017.11.09_23:13:26,245.02,318.25,377.97,39.43,42.72,50.26,23.78,15.64,1001.01,251.14,309.59,364.96,40.18,44.44,51.85,24.67,19.39,1008.34,20.57,P; Tset = 34.40; Ttrue = NaN; T1 = 22.87; RH1 = 22.94; T2 = 24.46; RH2 = 20.80
2017.11.09_23:14:26,244.13,318.99,379.37,39.86,43.83,50.13,23.78,15.67,1001.00,255.06,313.43,363.61,40.88,45.94,55.54,24.67,19.35,1008.35,20.59,P; Tset = 34.60; Ttrue = NaN; T1 = 22.86; RH1 = 22.96; T2 = 24.47; RH2 = 20.82
2017.11.09_23:15:26,243.16,313.24,378.14,40.44,43.90,50.07,23.78,15.65,1000.98,254.24,312.49,361.54,42.12,46.15,53.07,24.68,19.29,1008.32,20.53,P; Tset = 34.60; Ttrue = NaN; T1 = 22.85; RH1 = 22.93; T2 = 24.47; RH2 = 20.77
2017.11.09_23:16:26,238.52,319.16,377.32,40.29,41.92,49.70,23.80,15.66,1000.96,253.12,311.60,359.13,40.05,44.89,50.43,24.69,19.23,1008.28,20.50,P; Tset = 34.80; Ttrue = NaN; T1 = 22.85; RH1 = 22.93; T2 = 24.47; RH2 = 20.74
2017.11.09_23:17:26,239.10,310.69,374.44,42.93,44.46,50.47,23.80,15.65,1000.99,249.57,312.75,364.76,39.90,43.91,50.07,24.69,19.19,1008.32,20.48,P; Tset = 35.00; Ttrue = NaN; T1 = 22.84; RH1 = 22.92; T2 = 24.47; RH2 = 20.71
2017.11.09_23:18:26,239.01,311.69,373.03,39.32,42.86,51.10,23.81,15.66,1001.03,254.27,306.47,366.65,39.75,46.00,52.53,24.69,19.16,1008.35,20.47,P; Tset = 35.20; Ttrue = NaN; T1 = 22.83; RH1 = 22.93; T2 = 24.47; RH2 = 20.71
2017.11.09_23:19:26,233.87,309.08,371.54,41.23,43.52,50.80,23.82,15.66,1001.04,251.15,306.54,357.53,39.06,45.93,51.19,24.69,19.10,1008.37,20.44,P; Tset = 35.40; Ttrue = NaN; T1 = 22.82; RH1 = 22.90; T2 = 24.47; RH2 = 20.68
2017.11.09_23:20:26,236.91,307.17,371.63,40.66,42.59,50.96,23.82,15.62,1001.01,251.78,307.80,364.43,39.32,46.38,52.41,24.69,19.01,1008.35,20.33,P; Tset = 35.60; Ttrue = NaN; T1 = 22.81; RH1 = 22.78; T2 = 24.47; RH2 = 20.58
2017.11.09_23:21:26,237.56,310.04,368.71,40.21,42.48,48.73,23.82,15.56,1001.01,247.62,304.54,355.67,40.29,45.17,52.55,24.69,18.92,1008.36,20.26,P; Tset = 35.60; Ttrue = NaN; T1 = 22.81; RH1 = 22.71; T2 = 24.47; RH2 = 20.50
2017.11.09_23:22:26,237.02,305.54,372.08,41.43,42.48,47.65,23.82,15.53,1001.01,251.30,303.09,349.66,39.45,44.07,50.73,24.69,18.86,1008.35,20.20,P; Tset = 35.80; Ttrue = NaN; T1 = 22.80; RH1 = 22.67; T2 = 24.47; RH2 = 20.43
2017.11.09_23:23:26,235.47,302.45,367.33,38.80,41.49,51.71,23.82,15.52,1001.05,248.08,303.24,352.83,40.18,45.06,51.51,24.69,18.82,1008.41,20.17,P; Tset = 36.00; Ttrue = NaN; T1 = 22.79; RH1 = 22.66; T2 = 24.47; RH2 = 20.41
2017.11.09_23:24:26,241.69,306.10,369.64,39.89,42.60,50.01,23.84,15.53,1001.08,251.44,304.26,354.11,39.34,46.49,53.94,24.69,18.78,1008.40,20.17,P; Tset = 36.20; Ttrue = NaN; T1 = 22.78; RH1 = 22.66; T2 = 24.47; RH2 = 20.39
2017.11.09_23:25:26,234.64,308.11,361.79,39.73,41.96,49.41,23.84,15.54,1001.06,248.21,306.44,350.92,38.11,46.65,51.43,24.69,18.72,1008.39,20.13,P; Tset = 36.20; Ttrue = NaN; T1 = 22.77; RH1 = 22.62; T2 = 24.47; RH2 = 20.36
2017.11.09_23:26:26,234.24,302.78,367.06,40.21,42.42,47.96,23.84,15.48,1001.03,245.16,304.02,346.29,39.96,47.41,53.19,24.69,18.65,1008.37,20.05,P; Tset = 36.40; Ttrue = NaN; T1 = 22.76; RH1 = 22.54; T2 = 24.47; RH2 = 20.28
2017.11.09_23:27:26,236.46,307.29,369.88,39.33,41.78,49.00,23.84,15.45,1001.06,246.98,306.89,349.83,41.64,44.67,52.80,24.69,18.57,1008.42,19.98,P; Tset = 36.60; Ttrue = NaN; T1 = 22.76; RH1 = 22.47; T2 = 24.47; RH2 = 20.21
2017.11.09_23:28:26,236.09,301.32,364.47,37.53,42.62,50.30,23.84,15.43,1001.12,250.21,300.76,349.52,38.56,45.58,51.68,24.69,18.54,1008.46,19.97,P; Tset = 36.80; Ttrue = NaN; T1 = 22.75; RH1 = 22.48; T2 = 24.47; RH2 = 20.19
2017.11.09_23:29:26,234.27,302.97,366.01,39.19,42.38,49.92,23.84,15.43,1001.10,244.63,301.83,358.12,39.12,46.21,50.42,24.69,18.51,1008.44,19.96,P; Tset = 36.80; Ttrue = NaN; T1 = 22.74; RH1 = 22.49; T2 = 24.47; RH2 = 20.18
2017.11.09_23:30:26,231.39,298.59,365.57,37.91,42.00,48.74,23.84,15.43,1001.15,241.53,296.16,347.24,38.20,43.29,50.82,24.69,18.48,1008.50,19.95,P; Tset = 37.00; Ttrue = NaN; T1 = 22.73; RH1 = 22.48; T2 = 24.47; RH2 = 20.17
2017.11.09_23:31:26,231.32,301.90,363.03,37.66,42.11,47.61,23.84,15.44,1001.14,240.58,303.00,350.76,39.07,43.53,51.44,24.69,18.46,1008.49,19.95,P; Tset = 37.20; Ttrue = NaN; T1 = 22.73; RH1 = 22.50; T2 = 24.47; RH2 = 20.16
2017.11.09_23:32:26,235.52,308.92,368.13,40.23,43.44,49.16,23.84,15.45,1001.11,242.88,305.74,357.30,38.08,44.26,51.44,24.69,18.44,1008.45,19.97,P; Tset = 37.20; Ttrue = NaN; T1 = 22.72; RH1 = 22.53; T2 = 24.47; RH2 = 20.18
2017.11.09_23:33:26,232.12,305.43,362.45,41.96,42.92,49.06,23.84,15.46,1001.13,241.36,303.92,350.27,39.07,44.84,50.67,24.69,18.43,1008.48,19.97,P; Tset = 37.40; Ttrue = NaN; T1 = 22.72; RH1 = 22.55; T2 = 24.47; RH2 = 20.18
2017.11.09_23:34:26,226.65,297.77,385.38,37.94,44.34,48.57,23.84,15.45,1001.14,240.06,291.64,341.61,39.51,44.48,48.53,24.69,18.41,1008.48,19.96,P; Tset = 37.60; Ttrue = NaN; T1 = 22.71; RH1 = 22.54; T2 = 24.47; RH2 = 20.18
2017.11.09_23:35:26,198.09,260.11,316.29,35.45,37.22,43.63,23.84,15.28,1001.13,217.20,258.43,303.19,35.64,38.89,44.35,24.67,18.26,1008.47,19.76,P; Tset = 37.80; Ttrue = NaN; T1 = 22.70; RH1 = 22.22; T2 = 24.47; RH2 = 20.01
