2017.11.24_01:24:07,9.69,11.05,13.17,2.68,2.10,3.92,21.06,3.91,977.28,14.86,16.21,22.90,8.11,9.60,9.56,22.51,61.37,984.39,72.00,N; Tset = 10.00; Ttrue = 016.3; T1 = 23.02; RH1 = 63.75; T2 = 22.84; RH2 = 71.86
2017.11.24_01:36:45,8.48,11.22,12.64,2.80,2.30,4.24,21.74,4.01,1011.07,12.34,14.08,18.58,7.77,8.14,9.38,23.21,47.01,1018.39,55.12,N; Tset = 19.80; Ttrue = 019.5; T1 = 23.56; RH1 = 54.60; T2 = 23.50; RH2 = 53.55
2017.11.24_01:37:53,8.86,11.20,12.62,2.96,1.57,3.77,21.74,4.02,1011.04,14.62,13.77,19.11,6.85,9.00,8.40,23.20,48.84,1018.38,57.78,N; Tset = 20.60; Ttrue = 020.3; T1 = 23.55; RH1 = 57.24; T2 = 23.50; RH2 = 56.05
2017.11.24_01:39:01,8.34,10.59,12.02,2.66,1.53,4.35,21.73,4.02,1011.09,12.56,14.02,19.94,7.63,8.51,8.88,23.19,50.80,1018.40,60.51,N; Tset = 21.40; Ttrue = 021.2; T1 = 23.55; RH1 = 59.94; T2 = 23.50; RH2 = 58.64
2017.11.24_01:40:09,9.17,11.30,11.84,2.37,2.43,4.12,21.72,4.01,1011.06,10.89,14.95,19.79,7.38,8.33,8.18,23.19,52.85,1018.38,63.31,N; Tset = 22.20; Ttrue = 022.0; T1 = 23.56; RH1 = 62.69; T2 = 23.51; RH2 = 61.31
2017.11.24_01:41:17,8.87,10.22,12.42,2.98,1.73,3.90,21.72,4.01,1011.01,13.46,16.56,19.58,6.91,8.73,8.53,23.19,55.05,1018.34,66.24,N; Tset = 23.00; Ttrue = 022.9; T1 = 23.58; RH1 = 65.55; T2 = 23.51; RH2 = 64.12
2017.11.24_01:42:25,8.84,10.99,12.23,2.58,2.39,3.68,21.72,4.01,1011.15,14.45,16.89,21.05,7.59,9.18,9.10,23.19,57.33,1018.46,69.24,N; Tset = 23.80; Ttrue = 023.6; T1 = 23.61; RH1 = 68.43; T2 = 23.51; RH2 = 67.00
2017.11.24_01:43:33,8.48,11.06,11.91,3.00,1.81,4.06,21.72,4.01,1011.04,11.77,15.69,20.74,7.46,8.94,8.82,23.19,59.58,1018.38,72.15,N; Tset = 24.60; Ttrue = 024.4; T1 = 23.63; RH1 = 71.13; T2 = 23.51; RH2 = 69.84
2017.11.24_01:44:41,8.73,11.18,11.82,2.23,2.09,3.80,21.71,4.01,1011.13,13.72,15.92,20.62,7.88,8.58,8.98,23.17,61.85,1018.47,75.06,N; Tset = 25.40; Ttrue = 025.1; T1 = 23.65; RH1 = 73.83; T2 = 23.51; RH2 = 72.62
2017.11.24_01:45:47,8.81,11.13,12.86,1.91,1.66,3.92,21.70,4.01,1011.19,13.65,15.88,21.10,7.92,8.96,9.12,23.17,64.15,1018.50,78.05,N; Tset = 26.00; Ttrue = 025.8; T1 = 23.69; RH1 = 76.58; T2 = 23.51; RH2 = 75.48
2017.11.24_01:46:55,8.99,11.66,13.05,2.22,1.95,4.01,21.70,4.01,1011.20,12.73,16.30,22.77,8.11,9.56,9.42,23.17,66.52,1018.53,81.09,N; Tset = 26.80; Ttrue = 026.6; T1 = 23.74; RH1 = 79.35; T2 = 23.51; RH2 = 78.41
2017.11.24_01:48:03,9.21,11.10,12.51,2.38,1.71,3.92,21.70,4.01,1011.17,13.95,19.72,26.90,8.95,10.85,10.59,23.17,68.90,1018.48,84.18,N; Tset = 27.60; Ttrue = 027.4; T1 = 23.79; RH1 = 82.12; T2 = 23.52; RH2 = 81.36
2017.11.24_01:49:09,9.32,10.75,12.65,2.75,1.64,4.18,21.70,4.01,1011.13,17.39,24.27,29.36,10.34,11.50,11.67,23.17,71.37,1018.45,87.40,N; Tset = 28.20; Ttrue = 028.0; T1 = 23.85; RH1 = 84.97; T2 = 23.53; RH2 = 84.40
2017.11.24_01:50:15,9.28,11.60,11.66,2.51,1.71,3.57,21.70,4.01,1011.19,17.88,25.63,32.93,13.23,14.13,14.58,23.17,73.74,1018.49,90.46,N; Tset = 28.80; Ttrue = 028.6; T1 = 23.92; RH1 = 87.58; T2 = 23.53; RH2 = 87.33
