2017.11.22_20:12:49,14.43,15.56,15.83,4.15,2.76,6.25,22.67,3.37,976.76,25.41,24.09,26.52,9.29,10.43,11.94,24.02,60.00,984.01,70.21,N; Tset = 11.00; Ttrue = 017.4; T1 = 24.91; RH1 = 60.66; T2 = 24.50; RH2 = 69.59
2017.11.22_20:27:39,10.27,11.54,12.97,2.96,2.58,4.96,23.42,4.09,1010.54,15.09,15.69,22.07,7.60,8.85,8.85,24.81,48.60,1018.04,57.91,N; Tset = 22.00; Ttrue = 021.8; T1 = 25.36; RH1 = 56.77; T2 = 25.23; RH2 = 55.78
2017.11.22_20:28:47,12.16,11.91,12.61,2.66,2.00,4.15,23.42,4.04,1010.47,15.87,13.96,18.32,8.52,9.60,9.54,24.81,50.53,1018.00,60.56,N; Tset = 22.80; Ttrue = 022.6; T1 = 25.36; RH1 = 59.35; T2 = 25.24; RH2 = 58.29
2017.11.22_20:29:55,10.14,11.81,13.06,2.59,1.85,4.32,23.41,3.98,1010.50,11.36,15.72,20.17,7.98,10.00,8.90,24.80,52.55,1018.01,63.29,N; Tset = 23.60; Ttrue = 023.4; T1 = 25.37; RH1 = 61.97; T2 = 25.24; RH2 = 60.85
2017.11.22_20:31:03,9.38,11.01,11.72,2.32,2.01,4.53,23.41,3.94,1010.57,14.57,14.89,19.07,7.61,9.87,8.84,24.79,54.60,1018.02,66.01,N; Tset = 24.40; Ttrue = 024.1; T1 = 25.39; RH1 = 64.51; T2 = 25.25; RH2 = 63.43
2017.11.22_20:32:09,9.85,11.11,13.04,2.63,2.06,3.95,23.41,3.90,1010.60,14.21,13.13,19.19,7.77,10.48,8.77,24.79,56.66,1018.09,68.66,N; Tset = 25.00; Ttrue = 024.8; T1 = 25.40; RH1 = 67.00; T2 = 25.25; RH2 = 65.97
2017.11.22_20:33:17,9.74,10.95,12.65,2.60,1.75,4.20,23.41,3.87,1010.66,14.60,14.11,19.35,7.68,9.73,10.28,24.79,58.81,1018.16,71.39,N; Tset = 25.80; Ttrue = 025.6; T1 = 25.43; RH1 = 69.57; T2 = 25.26; RH2 = 68.59
2017.11.22_20:34:25,11.23,11.36,11.97,3.14,1.88,3.50,23.40,3.83,1010.67,15.88,16.87,18.92,8.33,12.21,9.56,24.80,60.97,1018.17,74.16,N; Tset = 26.60; Ttrue = 026.3; T1 = 25.47; RH1 = 72.12; T2 = 25.26; RH2 = 71.24
2017.11.22_20:35:31,8.73,10.19,11.51,2.30,2.07,4.12,23.40,3.81,1010.63,12.80,18.99,20.04,7.96,10.80,9.51,24.81,63.21,1018.15,77.02,N; Tset = 27.20; Ttrue = 027.0; T1 = 25.51; RH1 = 74.76; T2 = 25.27; RH2 = 73.98
2017.11.22_20:36:39,9.12,11.28,11.49,3.04,2.31,4.26,23.39,3.77,1010.65,17.26,16.11,21.61,8.15,10.78,10.24,24.81,65.45,1018.14,79.94,N; Tset = 28.00; Ttrue = 027.7; T1 = 25.57; RH1 = 77.35; T2 = 25.28; RH2 = 76.75
2017.11.22_20:37:45,9.95,11.07,11.65,2.92,2.34,3.67,23.39,3.75,1010.63,14.76,16.61,19.20,8.90,10.60,10.91,24.81,67.66,1018.15,82.73,N; Tset = 28.60; Ttrue = 028.4; T1 = 25.62; RH1 = 79.77; T2 = 25.29; RH2 = 79.42
2017.11.22_20:38:51,9.19,10.61,11.32,2.56,3.46,3.72,23.39,3.73,1010.63,15.39,24.13,24.72,10.47,13.07,11.13,24.81,69.86,1018.11,85.59,N; Tset = 29.20; Ttrue = 029.0; T1 = 25.69; RH1 = 82.23; T2 = 25.30; RH2 = 82.10
2017.11.22_20:39:59,9.66,10.70,10.75,3.49,5.15,4.62,23.39,3.70,1010.65,19.87,22.35,28.55,13.08,13.68,13.76,24.81,72.11,1018.13,88.52,N; Tset = 30.00; Ttrue = 029.7; T1 = 25.75; RH1 = 84.74; T2 = 25.31; RH2 = 84.87
2017.11.22_20:41:05,9.04,10.36,11.24,2.68,2.19,4.69,23.39,3.68,1010.65,17.56,25.49,31.26,15.83,15.61,15.99,24.81,74.40,1018.15,91.50,N; Tset = 30.60; Ttrue = 030.4; T1 = 25.82; RH1 = 87.27; T2 = 25.32; RH2 = 87.62
