2017.11.22_22:05:13,9.70,11.25,12.97,2.50,2.18,4.08,22.54,3.04,977.16,17.74,18.42,23.11,9.11,10.19,10.09,23.93,59.47,984.42,69.38,N; Tset = 10.20; Ttrue = 016.4; T1 = 24.57; RH1 = 60.52; T2 = 24.42; RH2 = 69.05
2017.11.22_22:17:11,9.47,11.38,14.28,2.93,2.90,4.39,23.27,3.13,1010.93,15.23,17.08,21.04,7.97,10.19,9.38,24.69,37.82,1018.40,42.95,N; Tset = 16.00; Ttrue = 015.8; T1 = 25.09; RH1 = 42.19; T2 = 25.11; RH2 = 41.63
2017.11.22_22:18:17,9.75,12.25,14.01,3.50,2.31,4.59,23.26,3.13,1010.95,15.01,20.52,21.52,7.74,8.61,8.55,24.67,38.64,1018.45,44.54,N; Tset = 16.60; Ttrue = 016.3; T1 = 25.06; RH1 = 43.79; T2 = 25.11; RH2 = 43.09
2017.11.22_22:19:23,9.43,11.64,14.63,3.10,3.35,4.90,23.25,3.13,1011.02,15.43,19.81,23.47,8.55,9.43,9.28,24.67,39.38,1018.48,45.80,N; Tset = 17.20; Ttrue = 017.0; T1 = 25.04; RH1 = 45.13; T2 = 25.11; RH2 = 44.26
2017.11.22_22:20:27,10.08,12.78,13.99,2.94,1.91,4.53,23.25,3.13,1011.02,16.53,17.44,22.17,8.54,9.46,9.70,24.67,40.31,1018.49,47.25,N; Tset = 17.60; Ttrue = 017.5; T1 = 25.02; RH1 = 46.66; T2 = 25.11; RH2 = 45.59
2017.11.22_22:21:33,9.56,13.68,14.19,2.43,1.87,4.47,23.24,3.13,1011.05,13.65,16.21,21.50,8.39,9.40,9.95,24.65,41.30,1018.49,48.76,N; Tset = 18.20; Ttrue = 018.0; T1 = 25.01; RH1 = 48.15; T2 = 25.11; RH2 = 46.99
2017.11.22_22:22:39,10.35,13.77,14.67,2.76,1.79,4.57,23.23,3.13,1010.98,16.67,18.94,21.85,8.10,8.92,9.12,24.65,42.30,1018.46,50.14,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.99; RH1 = 49.57; T2 = 25.11; RH2 = 48.32
2017.11.22_22:23:43,9.74,12.53,13.84,3.26,2.34,4.39,23.23,3.14,1010.98,14.84,16.39,21.94,7.38,9.22,9.69,24.65,43.40,1018.46,51.62,N; Tset = 19.20; Ttrue = 019.1; T1 = 24.99; RH1 = 51.07; T2 = 25.11; RH2 = 49.73
2017.11.22_22:24:49,9.84,12.58,13.84,3.63,1.98,4.57,23.23,3.15,1011.02,17.53,17.91,22.43,7.92,9.53,9.43,24.65,44.54,1018.52,53.14,N; Tset = 19.80; Ttrue = 019.6; T1 = 24.99; RH1 = 52.59; T2 = 25.11; RH2 = 51.17
2017.11.22_22:25:53,10.49,12.91,13.70,2.74,2.36,3.97,23.21,3.15,1011.02,15.35,16.80,25.44,8.26,8.79,10.35,24.65,45.66,1018.49,54.59,N; Tset = 20.20; Ttrue = 020.1; T1 = 25.00; RH1 = 54.00; T2 = 25.11; RH2 = 52.58
2017.11.22_22:26:59,10.10,13.90,14.51,3.16,2.81,4.33,23.21,3.15,1010.92,14.02,19.47,23.97,7.96,8.81,9.21,24.64,46.80,1018.42,56.08,N; Tset = 20.80; Ttrue = 020.6; T1 = 25.00; RH1 = 55.46; T2 = 25.11; RH2 = 53.98
2017.11.22_22:28:03,11.44,12.61,14.29,2.98,2.47,4.77,23.20,3.15,1010.92,14.85,15.99,23.31,8.04,9.25,9.33,24.63,48.02,1018.41,57.67,N; Tset = 21.20; Ttrue = 021.1; T1 = 25.02; RH1 = 56.93; T2 = 25.11; RH2 = 55.47
2017.11.22_22:29:07,13.28,11.79,13.96,2.61,2.59,4.39,23.19,3.15,1010.92,13.67,16.68,23.72,8.01,9.40,8.74,24.63,49.21,1018.40,59.17,N; Tset = 21.60; Ttrue = 021.5; T1 = 25.03; RH1 = 58.35; T2 = 25.11; RH2 = 56.92
2017.11.22_22:30:13,10.83,12.33,14.30,3.39,2.90,4.50,23.19,3.15,1010.87,13.85,17.69,22.04,8.18,9.14,9.18,24.63,50.39,1018.34,60.63,N; Tset = 22.20; Ttrue = 022.0; T1 = 25.04; RH1 = 59.74; T2 = 25.10; RH2 = 58.34
2017.11.22_22:31:17,10.67,12.86,13.25,3.14,2.57,4.14,23.19,3.15,1010.91,15.32,18.53,24.08,8.27,9.09,10.40,24.63,51.62,1018.36,62.17,N; Tset = 22.60; Ttrue = 022.4; T1 = 25.06; RH1 = 61.17; T2 = 25.11; RH2 = 59.83
2017.11.22_22:32:21,9.79,12.47,14.66,2.41,2.29,4.07,23.18,3.15,1010.92,13.67,17.96,25.71,8.52,8.81,9.82,24.63,52.85,1018.40,63.68,N; Tset = 23.00; Ttrue = 022.9; T1 = 25.09; RH1 = 62.54; T2 = 25.11; RH2 = 61.29
2017.11.22_22:33:25,10.65,11.36,14.47,2.67,2.21,4.24,23.17,3.15,1010.89,15.27,17.77,22.59,8.46,9.25,9.48,24.63,54.09,1018.38,65.21,N; Tset = 23.40; Ttrue = 023.3; T1 = 25.13; RH1 = 63.91; T2 = 25.11; RH2 = 62.74
2017.11.22_22:34:29,12.45,13.26,13.80,3.90,1.79,4.73,23.17,3.15,1010.92,13.64,17.54,22.35,10.20,9.17,9.29,24.63,55.31,1018.40,66.71,N; Tset = 23.80; Ttrue = 023.7; T1 = 25.16; RH1 = 65.23; T2 = 25.12; RH2 = 64.19
2017.11.22_22:35:33,9.45,12.69,14.29,2.87,2.58,4.80,23.17,3.15,1010.92,16.73,18.21,24.63,8.07,9.25,9.63,24.63,56.54,1018.39,68.21,N; Tset = 24.20; Ttrue = 024.1; T1 = 25.19; RH1 = 66.55; T2 = 25.12; RH2 = 65.64
2017.11.22_22:36:37,10.63,12.96,13.99,2.70,1.85,4.06,23.17,3.15,1010.89,14.84,20.38,23.97,8.20,9.51,9.70,24.63,57.77,1018.39,69.73,N; Tset = 24.60; Ttrue = 024.5; T1 = 25.24; RH1 = 67.85; T2 = 25.12; RH2 = 67.10
2017.11.22_22:37:41,10.74,12.24,14.19,2.15,2.66,3.70,23.17,3.16,1010.95,14.99,18.86,23.13,8.39,9.82,10.75,24.63,59.01,1018.41,71.21,N; Tset = 25.00; Ttrue = 024.9; T1 = 25.28; RH1 = 69.12; T2 = 25.12; RH2 = 68.51
2017.11.22_22:38:45,10.16,11.57,13.82,2.32,2.47,4.00,23.15,3.17,1010.95,13.65,17.99,24.65,9.19,9.73,10.02,24.63,60.25,1018.40,72.73,N; Tset = 25.40; Ttrue = 025.3; T1 = 25.33; RH1 = 70.40; T2 = 25.12; RH2 = 69.97
2017.11.22_22:39:49,10.21,12.02,13.10,3.21,2.38,4.01,23.15,3.17,1010.93,14.58,17.83,25.38,9.87,9.64,10.11,24.63,61.51,1018.40,74.27,N; Tset = 25.80; Ttrue = 025.7; T1 = 25.37; RH1 = 71.71; T2 = 25.12; RH2 = 71.44
2017.11.22_22:40:53,9.98,11.93,14.53,3.00,2.15,4.17,23.15,3.17,1010.97,14.36,19.66,24.18,8.60,9.69,9.70,24.63,62.79,1018.44,75.83,N; Tset = 26.20; Ttrue = 026.1; T1 = 25.42; RH1 = 73.01; T2 = 25.12; RH2 = 72.94
2017.11.22_22:41:57,11.25,13.00,15.24,2.84,2.69,4.38,23.15,3.17,1010.98,15.00,18.19,23.32,9.34,10.66,10.57,24.63,64.02,1018.45,77.32,N; Tset = 26.60; Ttrue = 026.4; T1 = 25.46; RH1 = 74.24; T2 = 25.12; RH2 = 74.40
2017.11.22_22:43:01,10.42,12.38,15.22,2.64,2.21,4.47,23.15,3.17,1010.98,15.22,18.97,25.22,8.43,9.98,10.70,24.63,65.25,1018.46,78.85,N; Tset = 27.00; Ttrue = 026.8; T1 = 25.51; RH1 = 75.47; T2 = 25.13; RH2 = 75.85
2017.11.22_22:44:03,9.91,13.88,14.59,2.98,2.36,5.09,23.15,3.17,1010.92,14.63,19.63,27.54,9.49,11.16,10.49,24.63,66.51,1018.41,80.41,N; Tset = 27.20; Ttrue = 027.2; T1 = 25.57; RH1 = 76.73; T2 = 25.13; RH2 = 77.34
2017.11.22_22:45:07,10.21,11.98,15.60,3.33,2.36,4.53,23.15,3.17,1010.86,15.89,20.72,31.44,9.36,10.82,11.48,24.63,67.76,1018.34,81.96,N; Tset = 27.60; Ttrue = 027.5; T1 = 25.63; RH1 = 77.91; T2 = 25.13; RH2 = 78.82
2017.11.22_22:46:11,9.67,13.69,13.97,2.95,2.59,4.14,23.15,3.19,1010.85,19.34,22.53,27.69,9.67,11.53,11.64,24.63,69.01,1018.31,83.51,N; Tset = 28.00; Ttrue = 027.9; T1 = 25.69; RH1 = 79.10; T2 = 25.13; RH2 = 80.29
2017.11.22_22:47:15,11.32,11.72,14.79,3.28,2.26,4.36,23.15,3.18,1010.86,17.64,21.60,29.13,10.30,12.34,12.03,24.63,70.27,1018.34,85.07,N; Tset = 28.40; Ttrue = 028.2; T1 = 25.75; RH1 = 80.32; T2 = 25.13; RH2 = 81.78
2017.11.22_22:48:17,9.99,12.34,14.86,2.81,1.89,4.50,23.13,3.17,1010.89,20.45,23.78,30.36,11.05,12.82,13.00,24.63,71.53,1018.38,86.57,N; Tset = 28.60; Ttrue = 028.5; T1 = 25.80; RH1 = 81.47; T2 = 25.13; RH2 = 83.24
2017.11.22_22:49:21,9.25,12.52,14.47,2.85,2.22,4.32,23.13,3.17,1010.91,17.48,25.54,32.86,11.91,12.61,13.13,24.63,72.74,1018.40,88.09,N; Tset = 29.00; Ttrue = 028.9; T1 = 25.86; RH1 = 82.60; T2 = 25.14; RH2 = 84.69
2017.11.22_22:50:23,10.06,11.87,14.54,3.12,2.51,4.76,23.13,3.18,1010.98,20.47,26.66,34.04,14.37,14.55,16.06,24.63,73.96,1018.46,89.66,N; Tset = 29.20; Ttrue = 029.2; T1 = 25.93; RH1 = 83.76; T2 = 25.14; RH2 = 86.14
2017.11.22_22:51:27,10.29,12.80,14.29,2.42,2.23,4.31,23.13,3.19,1011.01,21.08,27.46,33.39,16.61,16.35,17.26,24.63,75.22,1018.49,91.21,N; Tset = 29.60; Ttrue = 029.5; T1 = 25.98; RH1 = 84.92; T2 = 25.15; RH2 = 87.60
