2017.11.23_19:19:33,9.70,11.24,11.63,3.42,1.93,3.71,23.93,3.66,975.78,13.96,15.03,18.57,7.84,9.80,8.38,24.88,49.37,983.05,66.78,P; Tset = 14.20; Ttrue = NaN; T1 = 26.18; RH1 = 59.83; T2 = 26.47; RH2 = 58.44
2017.11.23_19:32:33,9.60,11.59,11.61,2.34,3.36,3.62,24.26,3.87,1009.61,12.46,14.23,20.07,8.17,9.15,8.85,25.20,49.17,1017.10,63.82,P; Tset = 24.00; Ttrue = NaN; T1 = 26.10; RH1 = 60.62; T2 = 26.72; RH2 = 58.20
2017.11.23_19:33:33,10.87,11.59,12.51,2.23,4.95,4.02,24.23,3.88,1009.68,12.84,14.15,19.14,8.54,9.01,8.80,25.15,49.03,1017.16,63.65,P; Tset = 24.80; Ttrue = NaN; T1 = 26.04; RH1 = 60.53; T2 = 26.67; RH2 = 58.04
2017.11.23_19:34:33,9.54,12.09,11.93,2.30,2.12,3.61,24.20,3.88,1009.62,11.17,13.91,22.79,8.04,9.55,9.04,25.11,48.90,1017.09,63.44,P; Tset = 25.40; Ttrue = NaN; T1 = 25.97; RH1 = 60.44; T2 = 26.61; RH2 = 57.89
2017.11.23_19:35:33,9.54,11.03,12.88,2.46,1.99,3.93,24.16,3.90,1009.71,12.77,14.83,21.92,8.62,9.55,9.94,25.07,48.78,1017.14,63.28,P; Tset = 26.20; Ttrue = NaN; T1 = 25.92; RH1 = 60.38; T2 = 26.56; RH2 = 57.76
2017.11.23_19:36:33,9.56,11.28,11.92,2.98,1.58,4.12,24.10,3.91,1009.66,18.93,17.29,19.76,7.54,9.56,10.01,25.02,48.67,1017.13,63.15,P; Tset = 26.80; Ttrue = NaN; T1 = 25.84; RH1 = 60.31; T2 = 26.52; RH2 = 57.65
2017.11.23_19:37:33,9.15,11.56,13.19,2.56,2.03,4.22,24.06,3.92,1009.73,13.24,18.06,20.94,7.81,9.19,9.29,24.97,48.55,1017.20,63.10,P; Tset = 27.40; Ttrue = NaN; T1 = 25.78; RH1 = 60.25; T2 = 26.49; RH2 = 57.55
2017.11.23_19:38:33,9.20,11.68,13.00,2.46,3.18,4.61,24.02,3.94,1009.74,18.44,16.69,18.92,8.35,9.80,9.19,24.93,48.41,1017.19,62.94,P; Tset = 28.20; Ttrue = NaN; T1 = 25.72; RH1 = 60.15; T2 = 26.46; RH2 = 57.39
2017.11.23_19:39:33,10.22,12.86,13.40,2.37,1.74,4.42,23.98,3.95,1009.74,25.83,20.04,20.46,9.71,9.80,8.84,24.89,48.31,1017.19,62.80,P; Tset = 28.80; Ttrue = NaN; T1 = 25.66; RH1 = 60.11; T2 = 26.42; RH2 = 57.28
2017.11.23_19:40:33,9.72,12.50,13.17,2.76,1.82,3.89,23.96,3.98,1009.83,15.76,15.30,20.09,8.18,9.02,8.38,24.85,48.20,1017.25,62.63,P; Tset = 29.40; Ttrue = NaN; T1 = 25.59; RH1 = 60.04; T2 = 26.36; RH2 = 57.17
2017.11.23_19:41:33,10.48,11.43,12.42,3.62,2.27,3.66,23.93,4.04,1009.77,13.09,15.51,19.09,8.16,9.15,8.68,24.81,48.07,1017.22,62.41,P; Tset = 30.00; Ttrue = NaN; T1 = 25.53; RH1 = 59.96; T2 = 26.30; RH2 = 57.02
2017.11.23_19:42:33,10.58,15.59,13.05,3.35,2.19,3.85,23.90,4.18,1009.85,14.87,15.00,19.90,7.68,9.49,9.51,24.76,47.98,1017.28,62.37,P; Tset = 30.60; Ttrue = NaN; T1 = 25.48; RH1 = 59.93; T2 = 26.26; RH2 = 56.93
2017.11.23_19:43:33,11.82,13.46,14.67,3.40,1.95,3.64,23.84,4.38,1009.92,15.68,16.76,19.83,9.15,10.44,9.35,24.70,47.86,1017.33,62.34,P; Tset = 31.20; Ttrue = NaN; T1 = 25.42; RH1 = 59.87; T2 = 26.22; RH2 = 56.83
2017.11.23_19:44:33,10.64,13.29,14.92,2.86,1.95,4.18,23.78,4.49,1009.91,14.25,15.73,20.40,9.56,10.26,9.66,24.66,47.76,1017.33,62.22,P; Tset = 31.80; Ttrue = NaN; T1 = 25.35; RH1 = 59.81; T2 = 26.19; RH2 = 56.71
2017.11.23_19:45:33,10.53,11.55,13.94,2.65,2.40,4.51,23.74,4.60,1009.94,13.37,15.65,19.02,8.44,9.11,8.58,24.63,47.66,1017.35,62.05,P; Tset = 32.40; Ttrue = NaN; T1 = 25.29; RH1 = 59.78; T2 = 26.14; RH2 = 56.63
2017.11.23_19:46:33,11.44,12.06,15.24,2.48,2.13,4.25,23.72,4.67,1010.01,16.34,17.11,20.35,8.16,9.31,9.18,24.59,47.57,1017.40,61.94,P; Tset = 32.80; Ttrue = NaN; T1 = 25.23; RH1 = 59.77; T2 = 26.08; RH2 = 56.56
2017.11.23_19:47:33,10.62,12.87,13.28,2.78,2.55,5.30,23.69,4.67,1010.03,14.96,16.46,25.77,8.55,9.90,9.76,24.55,47.47,1017.43,61.79,P; Tset = 33.40; Ttrue = NaN; T1 = 25.16; RH1 = 59.71; T2 = 26.03; RH2 = 56.45
2017.11.23_19:48:33,10.23,11.80,13.79,3.30,2.47,4.35,23.66,4.64,1010.03,14.91,16.77,21.80,9.52,9.80,9.83,24.51,47.36,1017.45,61.61,P; Tset = 34.00; Ttrue = NaN; T1 = 25.09; RH1 = 59.66; T2 = 25.98; RH2 = 56.31
2017.11.23_19:49:33,12.33,12.89,13.53,3.54,3.07,4.26,23.63,4.69,1010.08,13.06,14.04,19.53,8.92,9.60,8.80,24.46,47.28,1017.46,61.60,P; Tset = 34.40; Ttrue = NaN; T1 = 25.04; RH1 = 59.64; T2 = 25.95; RH2 = 56.25
2017.11.23_19:50:33,12.83,12.92,13.85,3.20,2.29,5.55,23.59,4.75,1010.10,13.95,15.59,21.06,9.16,9.77,9.30,24.40,47.20,1017.50,61.59,P; Tset = 35.00; Ttrue = NaN; T1 = 24.98; RH1 = 59.62; T2 = 25.91; RH2 = 56.18
2017.11.23_19:51:33,12.71,12.37,14.99,3.66,3.02,5.12,23.56,4.75,1010.12,16.71,17.23,20.26,8.24,9.47,9.71,24.37,47.11,1017.53,61.49,P; Tset = 35.40; Ttrue = NaN; T1 = 24.93; RH1 = 59.58; T2 = 25.88; RH2 = 56.11
2017.11.23_19:52:33,11.73,12.02,13.74,2.83,2.08,4.86,23.50,4.71,1010.12,13.48,16.13,21.02,8.07,9.09,8.87,24.33,47.03,1017.54,61.38,P; Tset = 36.00; Ttrue = NaN; T1 = 24.88; RH1 = 59.55; T2 = 25.81; RH2 = 56.06
2017.11.23_19:53:33,10.76,12.33,14.10,2.41,2.06,4.10,23.46,4.68,1010.14,13.06,17.98,20.57,10.29,9.49,9.51,24.29,46.93,1017.54,61.23,P; Tset = 36.40; Ttrue = NaN; T1 = 24.83; RH1 = 59.52; T2 = 25.74; RH2 = 55.99
2017.11.23_19:54:33,9.98,10.84,15.62,2.25,2.03,3.95,23.43,4.66,1010.15,13.51,17.12,20.23,9.12,9.58,9.76,24.26,46.86,1017.57,61.16,P; Tset = 37.00; Ttrue = NaN; T1 = 24.76; RH1 = 59.53; T2 = 25.70; RH2 = 55.94
2017.11.23_19:55:33,10.78,12.22,13.26,2.54,1.70,3.59,23.40,4.65,1010.14,12.83,18.12,19.64,8.35,8.94,9.02,24.23,46.80,1017.55,61.07,P; Tset = 37.40; Ttrue = NaN; T1 = 24.70; RH1 = 59.53; T2 = 25.67; RH2 = 55.88
2017.11.23_19:56:33,9.45,11.90,11.94,2.83,2.12,4.06,23.38,4.67,1010.16,14.57,16.25,19.98,8.47,9.29,9.11,24.18,46.76,1017.57,61.13,P; Tset = 37.80; Ttrue = NaN; T1 = 24.67; RH1 = 59.53; T2 = 25.65; RH2 = 55.83
2017.11.23_19:57:33,9.67,11.71,11.96,2.94,3.05,4.20,23.35,4.68,1010.21,12.05,15.49,19.90,8.48,10.13,9.36,24.14,46.73,1017.62,61.13,P; Tset = 38.40; Ttrue = NaN; T1 = 24.64; RH1 = 59.53; T2 = 25.63; RH2 = 55.79
2017.11.23_19:58:33,10.18,11.40,12.54,2.90,2.01,4.35,23.32,4.69,1010.21,13.57,22.90,20.66,8.63,10.03,9.32,24.11,46.72,1017.60,61.20,P; Tset = 38.80; Ttrue = NaN; T1 = 24.62; RH1 = 59.55; T2 = 25.61; RH2 = 55.77
2017.11.23_19:59:33,9.30,11.05,11.89,2.64,1.88,3.66,23.29,4.68,1010.21,13.95,16.59,20.13,8.22,9.68,8.38,24.08,46.71,1017.61,61.21,P; Tset = 39.20; Ttrue = NaN; T1 = 24.59; RH1 = 59.56; T2 = 25.60; RH2 = 55.75
2017.11.23_20:00:33,10.07,11.68,12.09,2.61,1.85,4.09,23.25,4.67,1010.21,13.42,15.05,21.28,8.04,9.57,9.15,24.07,46.70,1017.60,61.19,P; Tset = 39.60; Ttrue = NaN; T1 = 24.57; RH1 = 59.57; T2 = 25.59; RH2 = 55.73
2017.11.23_20:01:33,10.73,11.35,12.99,2.70,2.30,3.95,23.22,4.67,1010.29,13.62,16.04,20.00,8.03,9.69,10.35,24.05,46.67,1017.67,61.18,P; Tset = 40.00; Ttrue = NaN; T1 = 24.55; RH1 = 59.54; T2 = 25.58; RH2 = 55.71
2017.11.23_20:02:33,10.13,11.89,13.91,2.33,1.99,3.66,23.19,4.67,1010.27,13.30,17.17,20.76,8.73,9.24,9.50,24.04,46.61,1017.67,61.06,P; Tset = 40.40; Ttrue = NaN; T1 = 24.52; RH1 = 59.45; T2 = 25.57; RH2 = 55.64
2017.11.23_20:03:33,10.72,11.93,13.15,3.40,1.79,3.93,23.16,4.66,1010.28,14.92,15.76,21.97,8.53,9.56,9.68,24.02,46.52,1017.66,60.94,P; Tset = 41.00; Ttrue = NaN; T1 = 24.50; RH1 = 59.36; T2 = 25.54; RH2 = 55.55
2017.11.23_20:04:33,11.56,12.11,13.87,4.94,1.53,4.02,23.14,4.65,1010.24,18.11,15.14,18.63,9.68,9.85,9.11,24.01,46.43,1017.66,60.79,P; Tset = 41.40; Ttrue = NaN; T1 = 24.47; RH1 = 59.27; T2 = 25.51; RH2 = 55.45
2017.11.23_20:05:33,10.47,11.86,13.04,2.63,2.04,4.08,23.12,4.62,1010.17,14.89,14.38,19.18,8.58,9.22,8.72,23.99,46.35,1017.62,60.66,P; Tset = 41.80; Ttrue = NaN; T1 = 24.44; RH1 = 59.22; T2 = 25.46; RH2 = 55.39
2017.11.23_20:06:33,10.38,12.03,13.15,2.53,1.92,3.85,23.11,4.61,1010.22,14.68,16.57,18.99,8.51,9.20,9.29,23.97,46.26,1017.63,60.54,P; Tset = 42.20; Ttrue = NaN; T1 = 24.41; RH1 = 59.16; T2 = 25.43; RH2 = 55.33
2017.11.23_20:07:33,11.12,12.66,13.97,3.89,2.07,4.20,23.09,4.61,1010.26,13.24,15.05,18.31,8.14,9.45,8.87,23.96,46.17,1017.67,60.45,P; Tset = 42.60; Ttrue = NaN; T1 = 24.39; RH1 = 59.10; T2 = 25.40; RH2 = 55.26
2017.11.23_20:08:33,9.95,12.15,13.41,2.92,2.49,3.83,23.07,4.60,1010.25,13.51,17.10,18.95,9.09,9.89,9.04,23.94,46.08,1017.65,60.34,P; Tset = 42.80; Ttrue = NaN; T1 = 24.36; RH1 = 59.02; T2 = 25.39; RH2 = 55.17
