2017.11.17_08:00:57,29.26,34.18,33.50,5.80,4.32,7.16,22.54,2.89,976.32,28.82,40.59,44.43,9.33,10.51,12.30,23.69,59.99,983.69,71.32,N; Tset = 10.00; Ttrue = 017.5; T1 = 24.20; RH1 = 63.63; T2 = 24.08; RH2 = 70.49
2017.11.17_08:13:35,35.26,33.61,34.47,8.57,5.71,7.47,23.36,3.11,1010.34,32.67,35.19,40.43,7.08,9.56,9.92,24.53,45.37,1017.95,53.45,N; Tset = 19.80; Ttrue = 019.4; T1 = 24.89; RH1 = 52.89; T2 = 24.89; RH2 = 51.71
2017.11.17_08:14:43,28.63,37.09,36.41,7.83,5.14,9.17,23.36,3.13,1010.40,31.94,32.17,36.79,7.34,9.16,9.71,24.53,46.91,1017.99,55.76,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.89; RH1 = 55.25; T2 = 24.89; RH2 = 53.87
2017.11.17_08:15:51,32.91,34.12,38.59,7.36,6.56,8.96,23.36,3.15,1010.40,33.41,33.05,41.48,8.57,10.49,10.48,24.53,48.70,1017.99,58.34,N; Tset = 21.40; Ttrue = 021.2; T1 = 24.89; RH1 = 57.84; T2 = 24.90; RH2 = 56.30
2017.11.17_08:16:59,32.65,33.68,37.65,6.32,7.07,9.28,23.36,3.16,1010.39,35.45,37.68,40.21,11.11,14.48,12.10,24.53,50.60,1018.01,60.99,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.90; RH1 = 60.47; T2 = 24.90; RH2 = 58.81
2017.11.17_08:18:07,28.24,28.62,35.65,6.63,6.50,7.28,23.36,3.20,1010.42,33.75,34.12,37.26,8.66,11.79,10.26,24.53,52.65,1018.03,63.74,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.91; RH1 = 63.20; T2 = 24.90; RH2 = 61.45
2017.11.17_08:19:15,27.90,33.56,35.84,8.81,6.51,8.70,23.36,3.24,1010.44,32.83,36.36,42.80,9.40,10.84,10.49,24.55,54.79,1018.06,66.54,N; Tset = 23.80; Ttrue = 023.6; T1 = 24.93; RH1 = 65.96; T2 = 24.91; RH2 = 64.19
2017.11.17_08:20:23,26.29,30.82,31.95,7.58,4.96,9.11,23.36,3.25,1010.48,26.69,32.15,37.47,7.52,9.42,10.21,24.55,56.89,1018.10,69.29,N; Tset = 24.60; Ttrue = 024.4; T1 = 24.96; RH1 = 68.56; T2 = 24.91; RH2 = 66.84
2017.11.17_08:21:31,27.01,31.87,34.36,5.85,5.83,40.14,23.38,3.24,1010.51,32.58,32.36,39.99,9.08,11.27,10.19,24.55,59.00,1018.13,72.01,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.99; RH1 = 71.11; T2 = 24.92; RH2 = 69.45
2017.11.17_08:22:37,28.36,31.66,34.57,5.90,4.55,6.85,23.38,3.21,1010.49,32.78,33.32,40.36,8.17,10.28,11.97,24.55,61.18,1018.12,74.82,N; Tset = 26.00; Ttrue = 025.8; T1 = 25.03; RH1 = 73.71; T2 = 24.92; RH2 = 72.12
2017.11.17_08:23:45,25.06,33.57,35.82,5.74,6.50,7.51,23.38,3.19,1010.53,36.84,40.78,50.19,7.79,11.87,13.36,24.55,63.45,1018.15,77.77,N; Tset = 26.80; Ttrue = 026.6; T1 = 25.07; RH1 = 76.45; T2 = 24.93; RH2 = 74.91
2017.11.17_08:24:53,27.88,31.94,36.38,6.02,5.86,7.20,23.38,3.21,1010.56,35.75,41.58,42.79,8.85,10.90,12.28,24.56,65.70,1018.17,80.66,N; Tset = 27.60; Ttrue = 027.4; T1 = 25.11; RH1 = 79.14; T2 = 24.94; RH2 = 77.74
2017.11.17_08:25:59,30.68,33.66,35.63,10.03,5.59,6.76,23.38,3.21,1010.58,37.55,38.50,49.73,9.93,11.71,13.59,24.57,67.92,1018.21,83.54,N; Tset = 28.20; Ttrue = 028.0; T1 = 25.13; RH1 = 81.93; T2 = 24.95; RH2 = 80.50
2017.11.17_08:27:05,34.38,39.57,43.54,8.76,7.77,8.78,23.38,3.21,1010.55,44.88,63.67,56.48,14.42,12.30,13.56,24.57,70.15,1018.18,86.47,N; Tset = 28.80; Ttrue = 028.6; T1 = 25.13; RH1 = 84.85; T2 = 24.94; RH2 = 83.31
2017.11.17_08:28:13,31.67,42.69,41.07,9.63,8.10,9.33,23.37,3.29,1010.56,45.06,57.64,58.51,14.87,14.99,16.94,24.57,72.38,1018.19,89.33,N; Tset = 29.60; Ttrue = 029.3; T1 = 25.11; RH1 = 87.70; T2 = 24.93; RH2 = 86.18
