2017.11.23_18:29:01,9.95,10.96,12.16,2.81,3.28,4.41,25.12,3.63,974.70,18.53,19.16,24.34,10.67,11.45,11.95,26.59,67.63,982.22,83.51,P; Tset = 15.60; Ttrue = NaN; T1 = 27.35; RH1 = 77.35; T2 = 26.95; RH2 = 78.76
2017.11.23_18:40:01,11.12,11.95,12.51,4.45,2.30,3.60,25.88,3.68,1008.62,13.98,19.34,20.62,9.04,9.68,9.14,27.34,62.23,1016.37,70.69,P; Tset = 23.40; Ttrue = NaN; T1 = 28.22; RH1 = 67.22; T2 = 27.61; RH2 = 69.53
2017.11.23_18:41:01,10.96,12.59,13.03,3.18,1.91,4.26,25.87,3.68,1008.62,16.94,18.01,21.69,10.07,9.84,9.50,27.32,61.62,1016.36,69.88,P; Tset = 24.20; Ttrue = NaN; T1 = 28.17; RH1 = 66.56; T2 = 27.59; RH2 = 68.79
2017.11.23_18:42:01,11.04,14.54,13.81,2.86,2.43,4.83,25.85,3.68,1008.62,19.51,17.08,21.31,8.43,9.46,9.56,27.29,61.05,1016.40,69.23,P; Tset = 25.00; Ttrue = NaN; T1 = 28.13; RH1 = 65.98; T2 = 27.56; RH2 = 68.10
2017.11.23_18:43:01,12.10,12.04,13.58,3.43,1.92,4.10,25.82,3.68,1008.66,14.08,17.39,19.31,8.51,9.24,10.05,27.24,60.62,1016.39,68.90,P; Tset = 25.60; Ttrue = NaN; T1 = 28.09; RH1 = 65.70; T2 = 27.53; RH2 = 67.63
2017.11.23_18:44:01,11.20,11.49,12.36,3.00,1.90,4.24,25.80,3.68,1008.62,17.18,21.45,22.97,8.70,10.29,9.93,27.20,60.27,1016.41,68.58,P; Tset = 26.20; Ttrue = NaN; T1 = 28.04; RH1 = 65.45; T2 = 27.50; RH2 = 67.25
2017.11.23_18:45:01,10.89,12.08,13.34,2.72,2.03,3.97,25.78,3.67,1008.59,15.47,21.29,22.70,9.61,10.02,10.17,27.17,59.91,1016.29,68.14,P; Tset = 27.00; Ttrue = NaN; T1 = 27.97; RH1 = 65.10; T2 = 27.47; RH2 = 66.85
2017.11.23_18:46:01,10.51,11.82,12.44,2.11,2.49,4.16,25.75,3.66,1008.70,20.54,18.95,21.21,8.80,9.19,10.27,27.14,59.55,1016.40,67.66,P; Tset = 27.60; Ttrue = NaN; T1 = 27.91; RH1 = 64.82; T2 = 27.42; RH2 = 66.44
2017.11.23_18:47:01,9.34,11.70,12.33,2.45,2.29,4.36,25.73,3.66,1008.79,23.28,15.35,19.20,8.59,9.75,11.82,27.11,59.29,1016.47,67.41,P; Tset = 28.20; Ttrue = NaN; T1 = 27.86; RH1 = 64.70; T2 = 27.38; RH2 = 66.19
2017.11.23_18:48:01,10.89,12.01,13.29,2.77,2.45,4.04,25.70,3.66,1008.68,16.47,19.07,22.81,8.31,9.11,9.63,27.08,59.01,1016.35,67.06,P; Tset = 28.80; Ttrue = NaN; T1 = 27.80; RH1 = 64.46; T2 = 27.33; RH2 = 65.91
2017.11.23_18:49:01,10.95,11.67,13.03,2.53,1.95,4.41,25.68,3.66,1008.65,17.16,17.70,22.50,8.11,9.55,9.54,27.05,58.73,1016.38,66.73,P; Tset = 29.40; Ttrue = NaN; T1 = 27.74; RH1 = 64.23; T2 = 27.30; RH2 = 65.59
2017.11.23_18:50:01,10.63,11.94,12.09,3.32,1.63,4.15,25.66,3.64,1008.80,14.28,17.28,23.14,8.32,9.88,9.89,27.00,58.43,1016.48,66.41,P; Tset = 30.00; Ttrue = NaN; T1 = 27.69; RH1 = 63.97; T2 = 27.26; RH2 = 65.24
2017.11.23_18:51:01,10.65,12.77,12.44,3.16,2.06,4.21,25.64,3.65,1008.80,18.67,17.16,25.61,8.01,10.37,9.88,26.96,58.11,1016.44,66.07,P; Tset = 30.60; Ttrue = NaN; T1 = 27.62; RH1 = 63.70; T2 = 27.23; RH2 = 64.89
2017.11.23_18:52:01,10.04,12.51,12.20,3.14,2.22,3.52,25.62,3.64,1008.85,21.14,21.87,28.68,8.78,10.69,12.35,26.92,57.77,1016.52,65.65,P; Tset = 31.20; Ttrue = NaN; T1 = 27.56; RH1 = 63.39; T2 = 27.19; RH2 = 64.49
2017.11.23_18:53:01,9.85,11.58,11.98,3.40,2.07,3.85,25.60,3.63,1008.82,17.40,16.60,21.82,9.02,10.19,9.77,26.89,57.44,1016.51,65.22,P; Tset = 31.80; Ttrue = NaN; T1 = 27.49; RH1 = 63.10; T2 = 27.14; RH2 = 64.11
2017.11.23_18:54:01,10.28,13.55,13.55,3.16,1.86,3.92,25.57,3.64,1008.94,17.06,19.36,20.44,8.72,9.66,9.61,26.85,57.11,1016.59,64.83,P; Tset = 32.20; Ttrue = NaN; T1 = 27.43; RH1 = 62.81; T2 = 27.09; RH2 = 63.75
2017.11.23_18:55:01,10.77,12.66,13.70,2.45,2.10,3.82,25.54,3.66,1008.97,17.63,17.79,22.24,9.68,9.93,10.04,26.81,56.78,1016.62,64.44,P; Tset = 32.80; Ttrue = NaN; T1 = 27.37; RH1 = 62.54; T2 = 27.05; RH2 = 63.36
2017.11.23_18:56:01,10.45,13.40,12.82,2.46,2.20,5.02,25.50,3.64,1008.93,21.35,17.99,25.93,8.86,9.39,8.95,26.77,56.45,1016.54,64.06,P; Tset = 33.40; Ttrue = NaN; T1 = 27.31; RH1 = 62.27; T2 = 27.01; RH2 = 62.99
2017.11.23_18:57:01,10.89,12.79,12.48,2.74,2.15,6.94,25.46,3.66,1009.00,14.69,18.11,21.90,9.16,9.21,8.79,26.73,56.15,1016.69,63.73,P; Tset = 33.80; Ttrue = NaN; T1 = 27.23; RH1 = 62.04; T2 = 26.97; RH2 = 62.65
2017.11.23_18:58:01,12.06,12.03,12.75,3.63,2.14,4.41,25.43,3.65,1009.05,16.34,15.76,20.28,8.76,9.69,9.02,26.67,55.84,1016.68,63.47,P; Tset = 34.40; Ttrue = NaN; T1 = 27.17; RH1 = 61.82; T2 = 26.94; RH2 = 62.30
2017.11.23_18:59:01,10.51,11.51,13.42,3.30,2.38,4.82,25.41,3.66,1009.10,16.09,16.30,20.24,7.95,9.31,9.53,26.64,55.53,1016.73,63.11,P; Tset = 34.80; Ttrue = NaN; T1 = 27.10; RH1 = 61.58; T2 = 26.90; RH2 = 61.96
2017.11.23_19:00:01,9.60,11.19,13.01,2.78,2.21,4.33,25.39,3.66,1009.14,16.79,16.55,20.15,9.22,8.62,9.15,26.60,55.25,1016.77,62.79,P; Tset = 35.40; Ttrue = NaN; T1 = 27.03; RH1 = 61.36; T2 = 26.86; RH2 = 61.67
2017.11.23_19:01:01,10.69,12.29,13.44,2.57,1.76,4.29,25.36,3.66,1009.12,16.19,18.02,20.16,9.19,9.35,9.62,26.55,54.97,1016.71,62.49,P; Tset = 35.80; Ttrue = NaN; T1 = 26.98; RH1 = 61.16; T2 = 26.80; RH2 = 61.37
2017.11.23_19:02:01,11.04,12.16,13.11,2.78,2.07,4.06,25.34,3.67,1009.15,12.89,19.37,20.83,8.83,9.61,9.93,26.52,54.71,1016.75,62.14,P; Tset = 36.20; Ttrue = NaN; T1 = 26.91; RH1 = 60.95; T2 = 26.75; RH2 = 61.08
2017.11.23_19:03:01,9.92,11.26,13.29,2.84,2.48,4.18,25.31,3.66,1009.08,12.29,14.26,20.67,8.22,9.61,10.62,26.47,54.45,1016.72,61.88,P; Tset = 36.80; Ttrue = NaN; T1 = 26.85; RH1 = 60.77; T2 = 26.71; RH2 = 60.79
2017.11.23_19:04:01,9.86,11.60,14.57,2.64,2.00,4.22,25.28,3.67,1009.11,14.86,17.31,18.47,9.11,8.96,9.18,26.42,54.22,1016.75,61.69,P; Tset = 37.20; Ttrue = NaN; T1 = 26.78; RH1 = 60.62; T2 = 26.67; RH2 = 60.55
2017.11.23_19:05:01,9.69,12.82,11.79,2.24,3.09,4.28,25.24,3.68,1009.16,18.24,16.35,18.01,8.89,8.91,8.97,26.37,53.97,1016.79,61.46,P; Tset = 37.60; Ttrue = NaN; T1 = 26.72; RH1 = 60.44; T2 = 26.64; RH2 = 60.27
2017.11.23_19:06:01,9.40,12.94,12.82,2.22,2.02,4.05,25.19,3.68,1009.15,13.99,16.18,19.35,8.48,8.70,8.46,26.33,53.73,1016.79,61.24,P; Tset = 38.20; Ttrue = NaN; T1 = 26.65; RH1 = 60.27; T2 = 26.61; RH2 = 60.01
2017.11.23_19:07:01,9.25,11.61,12.81,3.15,3.49,4.11,25.15,3.68,1009.23,15.59,16.06,20.30,8.03,9.00,8.30,26.29,53.51,1016.85,60.97,P; Tset = 38.60; Ttrue = NaN; T1 = 26.59; RH1 = 60.12; T2 = 26.57; RH2 = 59.77
2017.11.23_19:08:01,9.00,10.50,11.81,2.16,2.51,3.26,25.12,3.69,1009.25,15.63,17.92,21.30,7.81,9.40,10.33,26.26,53.30,1016.87,60.72,P; Tset = 39.00; Ttrue = NaN; T1 = 26.53; RH1 = 60.00; T2 = 26.52; RH2 = 59.54
2017.11.23_19:09:01,9.94,11.01,14.04,3.55,2.10,4.29,25.10,3.70,1009.30,14.43,16.23,19.83,8.08,9.76,8.96,26.22,53.13,1016.88,60.56,P; Tset = 39.40; Ttrue = NaN; T1 = 26.47; RH1 = 59.96; T2 = 26.47; RH2 = 59.38
2017.11.23_19:10:01,10.06,11.36,13.44,2.41,3.08,4.04,25.08,3.70,1009.23,14.36,18.63,19.96,7.93,9.42,9.37,26.17,52.98,1016.83,60.42,P; Tset = 39.80; Ttrue = NaN; T1 = 26.39; RH1 = 59.91; T2 = 26.43; RH2 = 59.22
2017.11.23_19:11:01,10.81,12.09,13.14,2.52,2.03,3.83,25.05,3.71,1009.26,16.49,16.92,19.39,8.33,9.19,8.84,26.11,52.83,1016.84,60.33,P; Tset = 40.20; Ttrue = NaN; T1 = 26.32; RH1 = 59.85; T2 = 26.40; RH2 = 59.07
2017.11.23_19:12:01,11.42,11.75,12.05,3.05,2.24,4.22,25.01,3.72,1009.25,14.18,18.30,21.87,8.89,9.21,9.28,26.07,52.65,1016.80,60.18,P; Tset = 40.60; Ttrue = NaN; T1 = 26.26; RH1 = 59.74; T2 = 26.36; RH2 = 58.89
2017.11.23_19:13:01,9.43,12.53,13.12,2.75,2.53,3.71,24.98,3.72,1009.30,16.42,18.67,19.84,8.88,9.48,9.64,26.03,52.48,1016.85,59.97,P; Tset = 41.00; Ttrue = NaN; T1 = 26.19; RH1 = 59.64; T2 = 26.33; RH2 = 58.70
2017.11.23_19:14:01,10.10,10.94,11.94,1.84,2.38,4.11,24.93,3.74,1009.25,14.76,15.45,20.39,8.37,9.59,9.11,26.00,52.28,1016.83,59.68,P; Tset = 41.40; Ttrue = NaN; T1 = 26.12; RH1 = 59.50; T2 = 26.27; RH2 = 58.47
2017.11.23_19:15:01,10.04,11.57,12.40,3.01,2.50,4.34,24.89,3.74,1009.24,13.74,14.70,20.89,7.66,9.30,8.98,25.95,52.07,1016.81,59.40,P; Tset = 41.80; Ttrue = NaN; T1 = 26.06; RH1 = 59.32; T2 = 26.21; RH2 = 58.23
2017.11.23_19:16:01,10.25,12.78,12.41,2.92,2.09,4.91,24.86,3.74,1009.23,13.15,18.17,20.52,8.28,9.27,9.58,25.91,51.86,1016.82,59.16,P; Tset = 42.20; Ttrue = NaN; T1 = 25.99; RH1 = 59.15; T2 = 26.17; RH2 = 58.01
2017.11.23_19:17:01,10.27,11.99,12.65,2.56,2.11,4.06,24.83,3.76,1009.30,13.60,15.73,19.92,8.03,9.07,9.15,25.87,51.64,1016.89,58.92,P; Tset = 42.60; Ttrue = NaN; T1 = 25.93; RH1 = 58.97; T2 = 26.14; RH2 = 57.77
2017.11.23_19:18:01,10.80,12.08,13.03,2.81,1.91,3.91,24.81,3.76,1009.35,13.16,15.62,21.25,8.37,9.70,9.42,25.81,51.42,1016.90,58.77,P; Tset = 43.00; Ttrue = NaN; T1 = 25.86; RH1 = 58.80; T2 = 26.11; RH2 = 57.53
