2017.11.24_19:30:27,78.81,109.34,141.50,16.68,20.54,23.97,25.88,4.15,970.80,163.54,219.91,277.04,33.98,36.98,42.07,27.25,67.37,978.38,83.17,P; Tset = 15.00; Ttrue = NaN; T1 = 28.10; RH1 = 76.62; T2 = 27.49; RH2 = 78.97
2017.11.24_19:41:27,87.46,122.18,157.05,20.43,20.75,25.98,26.74,4.31,1004.38,151.81,196.93,249.63,30.89,37.55,42.50,28.11,61.70,1012.16,70.32,P; Tset = 23.00; Ttrue = NaN; T1 = 29.07; RH1 = 66.64; T2 = 28.23; RH2 = 69.64
2017.11.24_19:42:27,86.32,120.46,158.17,18.76,20.96,25.45,26.73,4.31,1004.33,146.71,196.62,247.60,30.83,36.65,40.15,28.09,61.23,1012.13,69.75,P; Tset = 23.80; Ttrue = NaN; T1 = 29.04; RH1 = 66.19; T2 = 28.21; RH2 = 69.10
2017.11.24_19:43:27,86.33,118.81,158.37,18.00,20.71,26.67,26.73,4.32,1004.36,151.51,201.55,249.66,32.42,37.35,41.38,28.07,60.74,1012.15,69.19,P; Tset = 24.60; Ttrue = NaN; T1 = 29.00; RH1 = 65.74; T2 = 28.18; RH2 = 68.56
2017.11.24_19:44:27,85.27,125.64,158.72,19.59,21.31,27.16,26.72,4.33,1004.37,151.70,197.52,241.87,33.90,35.21,40.06,28.05,60.30,1012.16,68.70,P; Tset = 25.20; Ttrue = NaN; T1 = 28.97; RH1 = 65.35; T2 = 28.16; RH2 = 68.07
2017.11.24_19:45:27,88.13,123.08,158.99,19.63,22.01,26.97,26.71,4.33,1004.41,143.60,194.44,244.19,30.27,34.62,40.05,28.05,59.84,1012.19,68.14,P; Tset = 26.00; Ttrue = NaN; T1 = 28.93; RH1 = 64.94; T2 = 28.14; RH2 = 67.57
2017.11.24_19:46:27,89.22,124.14,160.64,18.25,22.08,28.05,26.69,4.33,1004.39,148.44,199.10,248.58,31.55,36.79,40.08,28.03,59.37,1012.17,67.54,P; Tset = 26.60; Ttrue = NaN; T1 = 28.88; RH1 = 64.46; T2 = 28.12; RH2 = 67.03
2017.11.24_19:47:27,88.16,124.82,162.98,19.40,21.57,27.09,26.68,4.33,1004.40,155.01,197.46,245.74,31.59,37.01,40.99,28.01,58.90,1012.19,66.96,P; Tset = 27.20; Ttrue = NaN; T1 = 28.82; RH1 = 64.05; T2 = 28.08; RH2 = 66.50
2017.11.24_19:48:27,88.99,127.34,163.07,19.86,21.30,27.33,26.66,4.33,1004.40,142.13,191.80,240.12,30.88,35.56,40.49,27.99,58.49,1012.19,66.44,P; Tset = 28.00; Ttrue = NaN; T1 = 28.76; RH1 = 63.71; T2 = 28.05; RH2 = 66.04
2017.11.24_19:49:27,88.42,127.01,162.53,18.43,21.71,27.88,26.64,4.34,1004.40,136.75,178.30,222.12,29.82,34.17,37.94,27.98,58.13,1012.15,66.02,P; Tset = 28.60; Ttrue = NaN; T1 = 28.70; RH1 = 63.51; T2 = 28.02; RH2 = 65.67
2017.11.24_19:50:27,86.69,127.31,164.93,18.61,22.59,27.82,26.61,4.35,1004.38,131.40,178.98,218.46,28.88,33.40,36.12,27.95,57.79,1012.15,65.59,P; Tset = 29.20; Ttrue = NaN; T1 = 28.64; RH1 = 63.20; T2 = 27.98; RH2 = 65.33
2017.11.24_19:51:27,90.07,127.68,164.46,18.51,22.44,28.26,26.59,4.35,1004.41,146.45,191.03,239.70,31.64,35.50,38.81,27.92,57.28,1012.17,64.95,P; Tset = 29.80; Ttrue = NaN; T1 = 28.58; RH1 = 62.70; T2 = 27.94; RH2 = 64.70
2017.11.24_19:52:27,91.59,130.33,166.64,19.44,21.84,27.97,26.57,4.35,1004.39,159.61,197.93,247.51,32.43,36.48,41.59,27.91,56.84,1012.16,64.38,P; Tset = 30.40; Ttrue = NaN; T1 = 28.52; RH1 = 62.33; T2 = 27.91; RH2 = 64.17
2017.11.24_19:53:27,90.71,129.57,165.35,20.27,21.69,27.58,26.56,4.37,1004.38,144.88,194.69,243.19,31.33,39.53,43.14,27.88,56.44,1012.15,63.92,P; Tset = 31.00; Ttrue = NaN; T1 = 28.45; RH1 = 62.04; T2 = 27.88; RH2 = 63.73
2017.11.24_19:54:27,89.21,128.68,167.32,20.79,22.54,28.71,26.53,4.37,1004.40,142.52,195.65,247.51,31.18,34.53,40.40,27.85,56.07,1012.17,63.54,P; Tset = 31.60; Ttrue = NaN; T1 = 28.39; RH1 = 61.77; T2 = 27.86; RH2 = 63.33
2017.11.24_19:55:27,92.22,129.56,170.33,19.83,23.10,27.55,26.51,4.38,1004.41,155.59,206.36,255.72,31.58,35.55,41.56,27.82,55.66,1012.16,63.07,P; Tset = 32.00; Ttrue = NaN; T1 = 28.33; RH1 = 61.44; T2 = 27.83; RH2 = 62.85
2017.11.24_19:56:27,91.02,131.49,171.37,21.10,23.13,27.68,26.50,4.39,1004.43,148.55,192.60,244.19,32.81,35.36,39.39,27.79,55.30,1012.15,62.73,P; Tset = 32.60; Ttrue = NaN; T1 = 28.26; RH1 = 61.22; T2 = 27.81; RH2 = 62.48
2017.11.24_19:57:27,94.17,131.12,170.36,20.74,22.19,28.34,26.48,4.39,1004.37,131.21,178.46,227.04,30.53,33.36,38.16,27.76,55.07,1012.12,62.51,P; Tset = 33.20; Ttrue = NaN; T1 = 28.19; RH1 = 61.14; T2 = 27.78; RH2 = 62.28
2017.11.24_19:58:27,95.89,133.24,170.58,19.58,23.07,28.58,26.46,4.40,1004.39,147.35,197.26,255.59,32.24,36.18,40.63,27.73,54.64,1012.14,61.98,P; Tset = 33.80; Ttrue = NaN; T1 = 28.13; RH1 = 60.74; T2 = 27.73; RH2 = 61.81
2017.11.24_19:59:27,94.64,133.66,173.01,21.41,22.13,28.46,26.44,4.41,1004.39,156.44,201.23,249.48,32.45,38.24,42.65,27.71,54.29,1012.14,61.54,P; Tset = 34.20; Ttrue = NaN; T1 = 28.06; RH1 = 60.50; T2 = 27.69; RH2 = 61.41
2017.11.24_20:00:27,94.09,135.29,175.46,20.47,22.39,29.38,26.41,4.41,1004.38,144.18,195.22,243.83,31.27,37.24,41.32,27.68,53.99,1012.13,61.17,P; Tset = 34.80; Ttrue = NaN; T1 = 27.98; RH1 = 60.34; T2 = 27.64; RH2 = 61.08
2017.11.24_20:01:27,91.20,133.72,173.15,20.34,23.97,28.62,26.39,4.41,1004.38,131.81,181.00,226.82,32.03,34.15,37.70,27.65,53.77,1012.09,60.97,P; Tset = 35.20; Ttrue = NaN; T1 = 27.91; RH1 = 60.28; T2 = 27.61; RH2 = 60.90
2017.11.24_20:02:27,92.66,134.77,171.36,21.11,23.82,28.20,26.37,4.42,1004.40,131.08,177.83,227.20,28.67,34.50,37.21,27.63,53.53,1012.10,60.69,P; Tset = 35.80; Ttrue = NaN; T1 = 27.84; RH1 = 60.14; T2 = 27.57; RH2 = 60.66
2017.11.24_20:03:27,92.82,133.33,174.10,20.41,22.69,28.85,26.33,4.43,1004.39,138.86,188.53,238.33,30.26,35.08,40.28,27.59,53.22,1012.07,60.31,P; Tset = 36.20; Ttrue = NaN; T1 = 27.78; RH1 = 59.84; T2 = 27.55; RH2 = 60.25
2017.11.24_20:04:27,94.08,135.52,173.71,20.95,24.33,28.56,26.30,4.43,1004.38,147.37,199.60,243.53,33.65,37.10,40.41,27.54,52.89,1012.07,60.04,P; Tset = 36.60; Ttrue = NaN; T1 = 27.71; RH1 = 59.64; T2 = 27.53; RH2 = 59.88
2017.11.24_20:05:27,93.13,136.67,172.74,20.21,23.78,28.97,26.28,4.45,1004.38,134.09,178.34,224.23,30.88,33.58,37.74,27.50,52.67,1012.06,59.91,P; Tset = 37.20; Ttrue = NaN; T1 = 27.64; RH1 = 59.63; T2 = 27.50; RH2 = 59.68
2017.11.24_20:06:27,96.80,135.06,175.35,20.57,23.47,28.67,26.25,4.45,1004.36,152.33,196.31,247.97,33.68,37.00,42.68,27.46,52.35,1012.06,59.49,P; Tset = 37.60; Ttrue = NaN; T1 = 27.57; RH1 = 59.26; T2 = 27.46; RH2 = 59.32
2017.11.24_20:07:27,94.50,136.00,176.02,21.19,22.88,31.16,26.23,4.46,1004.36,137.87,193.62,236.97,32.82,36.37,40.07,27.43,52.08,1012.04,59.21,P; Tset = 38.00; Ttrue = NaN; T1 = 27.50; RH1 = 59.23; T2 = 27.42; RH2 = 58.98
2017.11.24_20:08:27,93.59,136.64,174.95,19.91,23.26,29.02,26.22,4.47,1004.35,144.66,194.93,243.75,29.61,34.66,40.92,27.41,51.92,1012.04,58.97,P; Tset = 38.40; Ttrue = NaN; T1 = 27.43; RH1 = 59.10; T2 = 27.38; RH2 = 58.84
2017.11.24_20:09:27,96.20,135.93,176.69,20.89,23.43,28.53,26.19,4.49,1004.34,151.82,195.38,248.01,32.23,35.75,41.73,27.38,51.69,1012.04,58.70,P; Tset = 38.80; Ttrue = NaN; T1 = 27.37; RH1 = 59.01; T2 = 27.34; RH2 = 58.57
2017.11.24_20:10:27,94.68,137.26,176.22,22.52,24.00,28.89,26.16,4.49,1004.34,154.47,207.39,256.47,33.98,37.43,43.53,27.35,51.49,1012.05,58.49,P; Tset = 39.40; Ttrue = NaN; T1 = 27.30; RH1 = 58.92; T2 = 27.31; RH2 = 58.36
2017.11.24_20:11:27,95.85,138.73,179.16,25.71,25.08,29.76,26.13,4.50,1004.39,151.24,205.17,251.38,32.76,37.31,41.65,27.31,51.30,1012.08,58.33,P; Tset = 39.80; Ttrue = NaN; T1 = 27.24; RH1 = 58.85; T2 = 27.28; RH2 = 58.17
2017.11.24_20:12:27,99.35,137.75,178.66,22.35,23.27,29.26,26.10,4.52,1004.40,149.06,193.75,242.33,33.30,37.29,40.33,27.27,51.17,1012.06,58.29,P; Tset = 40.20; Ttrue = NaN; T1 = 27.18; RH1 = 58.88; T2 = 27.26; RH2 = 58.05
2017.11.24_20:13:27,96.93,138.21,180.36,21.17,24.12,29.26,26.06,4.53,1004.42,146.60,195.39,237.21,30.95,35.16,40.44,27.21,51.02,1012.09,58.20,P; Tset = 40.60; Ttrue = NaN; T1 = 27.11; RH1 = 58.78; T2 = 27.23; RH2 = 57.94
2017.11.24_20:14:27,94.01,136.90,177.10,20.27,23.36,29.07,26.02,4.52,1004.45,147.12,193.77,242.00,32.82,35.85,41.00,27.18,50.77,1012.11,57.87,P; Tset = 41.00; Ttrue = NaN; T1 = 27.04; RH1 = 58.59; T2 = 27.18; RH2 = 57.66
2017.11.24_20:15:27,97.24,139.04,178.76,20.37,23.28,29.20,26.00,4.54,1004.45,148.61,197.97,244.17,32.55,37.04,40.65,27.16,50.54,1012.11,57.54,P; Tset = 41.40; Ttrue = NaN; T1 = 26.98; RH1 = 58.40; T2 = 27.12; RH2 = 57.40
2017.11.24_20:16:27,97.26,140.03,182.24,20.96,23.79,29.38,25.97,4.55,1004.46,154.16,203.10,254.79,33.93,38.05,42.15,27.13,50.24,1012.13,57.16,P; Tset = 41.80; Ttrue = NaN; T1 = 26.92; RH1 = 58.12; T2 = 27.08; RH2 = 57.03
2017.11.24_20:17:27,98.51,139.37,180.06,22.23,23.99,29.87,25.95,4.57,1004.49,151.98,194.65,253.93,33.68,36.58,40.95,27.10,50.00,1012.12,56.87,P; Tset = 42.20; Ttrue = NaN; T1 = 26.85; RH1 = 57.96; T2 = 27.05; RH2 = 56.76
2017.11.24_20:18:27,100.61,140.44,180.63,20.66,24.39,29.85,25.92,4.59,1004.44,148.27,199.91,248.50,32.64,37.88,41.66,27.06,49.77,1012.13,56.60,P; Tset = 42.60; Ttrue = NaN; T1 = 26.79; RH1 = 57.79; T2 = 27.01; RH2 = 56.52
2017.11.24_20:19:27,100.10,141.05,181.82,22.49,24.89,31.17,25.90,4.59,1004.47,150.69,203.13,247.42,33.42,38.58,41.38,27.03,49.51,1012.11,56.33,P; Tset = 43.00; Ttrue = NaN; T1 = 26.73; RH1 = 57.61; T2 = 26.97; RH2 = 56.22
