2017.11.22_16:51:05,10.80,14.18,13.43,3.19,2.24,4.17,26.78,3.17,974.53,22.67,25.09,28.23,11.25,15.46,17.93,28.34,66.19,982.20,81.92,P; Tset = 16.20; Ttrue = NaN; T1 = 29.56; RH1 = 73.87; T2 = 28.79; RH2 = 76.91
2017.11.22_17:19:05,10.58,14.84,13.72,3.05,2.19,4.08,27.41,2.62,1008.44,15.39,18.98,23.45,8.79,9.68,10.30,28.75,54.27,1016.30,62.11,P; Tset = 34.00; Ttrue = NaN; T1 = 29.45; RH1 = 59.88; T2 = 29.06; RH2 = 60.77
2017.11.22_17:20:05,11.26,11.41,14.24,2.60,2.11,4.54,27.40,2.60,1008.52,18.73,17.53,23.90,7.56,9.38,10.18,28.71,53.97,1016.35,61.82,P; Tset = 34.60; Ttrue = NaN; T1 = 29.38; RH1 = 59.68; T2 = 29.03; RH2 = 60.44
2017.11.22_17:21:05,12.37,13.80,14.92,3.77,5.47,4.37,27.38,2.60,1008.56,16.10,22.10,22.49,8.51,9.54,10.65,28.66,53.66,1016.36,61.54,P; Tset = 35.00; Ttrue = NaN; T1 = 29.32; RH1 = 59.47; T2 = 29.01; RH2 = 60.09
2017.11.22_17:22:05,12.01,15.54,15.57,2.58,3.03,4.65,27.35,2.60,1008.57,15.17,22.64,24.05,8.74,10.37,9.38,28.63,53.37,1016.38,61.21,P; Tset = 35.60; Ttrue = NaN; T1 = 29.24; RH1 = 59.27; T2 = 28.97; RH2 = 59.79
2017.11.22_17:23:05,11.98,12.51,16.39,2.96,1.96,4.73,27.34,2.58,1008.53,20.93,20.88,22.47,7.87,10.99,10.13,28.60,53.09,1016.34,60.83,P; Tset = 36.00; Ttrue = NaN; T1 = 29.16; RH1 = 59.07; T2 = 28.92; RH2 = 59.48
2017.11.22_17:24:05,10.38,12.40,14.39,2.63,1.81,4.69,27.31,2.58,1008.46,17.00,18.62,23.45,7.54,9.37,9.41,28.57,52.82,1016.36,60.48,P; Tset = 36.40; Ttrue = NaN; T1 = 29.08; RH1 = 58.91; T2 = 28.88; RH2 = 59.19
2017.11.22_17:25:05,10.93,12.92,13.53,2.69,2.33,4.94,27.28,2.58,1008.53,21.14,20.81,25.00,8.20,9.60,10.38,28.54,52.58,1016.40,60.20,P; Tset = 36.80; Ttrue = NaN; T1 = 29.02; RH1 = 58.77; T2 = 28.83; RH2 = 58.95
2017.11.22_17:26:05,12.38,13.37,13.41,2.69,2.07,4.59,27.26,2.57,1008.55,18.44,20.53,23.62,10.59,12.57,9.81,28.50,52.29,1016.36,59.90,P; Tset = 37.40; Ttrue = NaN; T1 = 28.95; RH1 = 58.58; T2 = 28.79; RH2 = 58.65
2017.11.22_17:27:05,11.97,13.55,13.17,2.86,3.65,4.50,27.23,2.58,1008.60,19.06,18.19,23.77,10.05,10.29,9.48,28.46,52.04,1016.42,59.62,P; Tset = 37.80; Ttrue = NaN; T1 = 28.88; RH1 = 58.42; T2 = 28.77; RH2 = 58.37
2017.11.22_17:28:05,11.90,13.11,13.43,3.13,3.24,4.20,27.19,2.57,1008.57,16.35,17.02,24.31,8.36,9.59,9.52,28.41,51.81,1016.36,59.44,P; Tset = 38.20; Ttrue = NaN; T1 = 28.81; RH1 = 58.31; T2 = 28.74; RH2 = 58.12
2017.11.22_17:29:05,11.32,12.47,13.35,2.86,1.37,3.92,27.14,2.57,1008.56,19.59,18.71,25.09,8.92,10.04,10.79,28.36,51.57,1016.38,59.21,P; Tset = 38.60; Ttrue = NaN; T1 = 28.73; RH1 = 58.15; T2 = 28.70; RH2 = 57.87
2017.11.22_17:30:05,11.10,13.86,14.36,2.50,2.26,4.30,27.11,2.57,1008.60,20.13,19.65,24.78,7.88,9.44,11.43,28.33,51.36,1016.42,59.00,P; Tset = 39.00; Ttrue = NaN; T1 = 28.66; RH1 = 58.06; T2 = 28.66; RH2 = 57.66
2017.11.22_17:31:05,10.77,12.32,12.99,3.92,2.67,4.24,27.09,2.57,1008.44,18.13,20.23,23.48,9.66,9.50,9.74,28.29,51.19,1016.27,58.78,P; Tset = 39.40; Ttrue = NaN; T1 = 28.58; RH1 = 58.02; T2 = 28.61; RH2 = 57.48
2017.11.22_17:32:05,12.93,13.39,14.75,4.05,2.50,5.36,27.07,2.56,1008.56,17.86,24.99,27.09,10.96,10.24,11.16,28.25,51.07,1016.33,58.70,P; Tset = 39.80; Ttrue = NaN; T1 = 28.50; RH1 = 58.06; T2 = 28.57; RH2 = 57.40
2017.11.22_17:33:05,14.00,13.89,14.63,3.30,2.96,4.40,27.05,2.56,1008.59,18.96,19.47,24.77,8.81,10.45,9.74,28.22,50.97,1016.38,58.59,P; Tset = 40.20; Ttrue = NaN; T1 = 28.44; RH1 = 58.08; T2 = 28.53; RH2 = 57.31
2017.11.22_17:34:05,12.65,17.46,14.49,3.95,1.84,3.97,27.02,2.56,1008.57,20.89,19.31,24.78,8.69,9.73,10.29,28.18,50.85,1016.40,58.47,P; Tset = 40.60; Ttrue = NaN; T1 = 28.37; RH1 = 58.05; T2 = 28.50; RH2 = 57.19
2017.11.22_17:35:05,12.28,13.44,13.86,2.89,2.16,5.16,26.99,2.56,1008.60,20.00,23.83,22.63,8.40,9.36,10.47,28.13,50.69,1016.37,58.34,P; Tset = 41.00; Ttrue = NaN; T1 = 28.30; RH1 = 57.96; T2 = 28.47; RH2 = 57.01
2017.11.22_17:36:05,11.23,12.54,14.13,2.64,2.36,4.32,26.95,2.56,1008.62,21.54,22.09,30.83,9.01,9.43,11.00,28.08,50.50,1016.42,58.14,P; Tset = 41.40; Ttrue = NaN; T1 = 28.22; RH1 = 57.83; T2 = 28.43; RH2 = 56.80
2017.11.22_17:37:05,10.87,13.34,13.70,2.29,2.65,4.17,26.91,2.56,1008.71,21.08,23.87,22.82,8.94,9.41,9.14,28.04,50.29,1016.51,57.89,P; Tset = 41.80; Ttrue = NaN; T1 = 28.16; RH1 = 57.67; T2 = 28.39; RH2 = 56.55
2017.11.22_17:38:05,12.45,14.05,15.26,3.49,2.64,4.60,26.88,2.56,1008.69,21.68,21.05,23.32,8.77,9.48,9.28,28.00,50.05,1016.50,57.58,P; Tset = 42.20; Ttrue = NaN; T1 = 28.09; RH1 = 57.48; T2 = 28.34; RH2 = 56.26
2017.11.22_17:39:05,13.28,13.97,14.46,3.30,2.21,3.64,26.85,2.56,1008.80,22.88,21.71,22.05,9.41,9.88,9.83,27.96,49.80,1016.55,57.26,P; Tset = 42.60; Ttrue = NaN; T1 = 28.01; RH1 = 57.27; T2 = 28.30; RH2 = 55.97
2017.11.22_17:40:05,12.81,13.58,13.40,2.73,2.72,3.72,26.82,2.56,1008.76,17.97,22.15,30.46,10.56,10.36,9.63,27.93,49.58,1016.48,56.98,P; Tset = 42.80; Ttrue = NaN; T1 = 27.94; RH1 = 57.12; T2 = 28.26; RH2 = 55.73
