2017.11.06_02:49:08,500.56,704.16,881.05,80.31,88.15,100.45,23.09,11.99,970.22,927.52,1168.42,1364.84,109.21,119.14,138.70,24.27,74.67,977.38,84.30,P; Tset = 15.60; Ttrue = NaN; T1 = 23.18; RH1 = 85.57; T2 = 24.10; RH2 = 83.87
2017.11.06_04:01:08,515.46,722.06,898.52,80.24,86.91,100.69,23.92,12.08,1003.22,546.14,718.58,864.34,78.29,87.55,101.03,24.94,15.39,1010.49,16.27,P; Tset = 36.00; Ttrue = NaN; T1 = 22.90; RH1 = 18.41; T2 = 24.51; RH2 = 16.69
2017.11.06_04:02:08,520.82,720.56,909.78,78.92,89.58,100.98,23.92,12.05,1003.19,543.86,718.01,859.57,81.66,87.57,102.23,24.93,15.32,1010.47,16.22,P; Tset = 36.20; Ttrue = NaN; T1 = 22.88; RH1 = 18.35; T2 = 24.49; RH2 = 16.64
2017.11.06_04:03:08,514.69,719.65,904.38,79.00,86.58,101.49,23.90,12.01,1003.18,540.78,717.41,858.25,78.63,87.27,102.74,24.91,15.26,1010.48,16.17,P; Tset = 36.40; Ttrue = NaN; T1 = 22.85; RH1 = 18.32; T2 = 24.47; RH2 = 16.58
2017.11.06_04:04:08,511.25,714.42,900.02,76.67,87.36,101.15,23.89,12.03,1003.15,533.53,712.91,858.15,76.44,89.85,101.22,24.89,15.23,1010.45,16.18,P; Tset = 36.60; Ttrue = NaN; T1 = 22.82; RH1 = 18.35; T2 = 24.46; RH2 = 16.58
2017.11.06_04:05:08,515.86,715.69,900.09,79.52,88.61,101.76,23.87,12.05,1003.13,543.57,717.88,864.67,76.75,87.33,102.49,24.88,15.22,1010.43,16.18,P; Tset = 36.80; Ttrue = NaN; T1 = 22.78; RH1 = 18.37; T2 = 24.46; RH2 = 16.58
2017.11.06_04:06:08,515.55,715.50,899.69,77.86,88.01,102.98,23.85,12.03,1003.11,546.61,716.66,862.71,78.59,87.83,101.40,24.87,15.17,1010.42,16.15,P; Tset = 37.00; Ttrue = NaN; T1 = 22.75; RH1 = 18.34; T2 = 24.44; RH2 = 16.57
2017.11.06_04:07:08,510.95,712.41,892.03,78.29,95.55,100.53,23.82,12.01,1003.11,540.36,717.38,859.55,75.74,88.17,100.47,24.85,15.12,1010.41,16.13,P; Tset = 37.00; Ttrue = NaN; T1 = 22.72; RH1 = 18.32; T2 = 24.43; RH2 = 16.54
2017.11.06_04:08:08,509.50,717.79,897.82,79.57,89.65,102.46,23.81,12.03,1003.11,551.02,717.64,860.59,75.86,87.98,105.12,24.84,15.11,1010.39,16.14,P; Tset = 37.20; Ttrue = NaN; T1 = 22.69; RH1 = 18.37; T2 = 24.41; RH2 = 16.55
2017.11.06_04:09:08,511.70,713.16,894.06,80.70,87.54,102.85,23.79,12.06,1003.10,546.00,714.30,855.62,77.38,88.49,100.84,24.82,15.11,1010.39,16.17,P; Tset = 37.40; Ttrue = NaN; T1 = 22.67; RH1 = 18.42; T2 = 24.39; RH2 = 16.57
2017.11.06_04:10:08,514.22,712.06,893.32,79.78,86.52,101.00,23.76,12.10,1003.10,541.94,715.78,862.61,76.81,85.79,100.54,24.81,15.11,1010.39,16.21,P; Tset = 37.60; Ttrue = NaN; T1 = 22.65; RH1 = 18.48; T2 = 24.37; RH2 = 16.61
2017.11.06_04:11:08,514.31,711.90,895.30,79.67,87.41,100.51,23.74,12.12,1003.11,538.91,709.94,860.14,75.84,86.62,100.63,24.79,15.11,1010.40,16.22,P; Tset = 37.60; Ttrue = NaN; T1 = 22.62; RH1 = 18.52; T2 = 24.34; RH2 = 16.63
2017.11.06_04:12:08,512.03,715.66,897.51,78.41,87.17,101.37,23.72,12.16,1003.11,537.06,711.98,854.74,77.25,87.03,101.38,24.78,15.11,1010.40,16.23,P; Tset = 37.80; Ttrue = NaN; T1 = 22.59; RH1 = 18.56; T2 = 24.32; RH2 = 16.65
2017.11.06_04:13:08,516.29,714.47,895.33,79.30,88.84,100.49,23.71,12.19,1003.12,539.68,715.01,863.31,76.46,87.03,101.43,24.76,15.11,1010.40,16.26,P; Tset = 38.00; Ttrue = NaN; T1 = 22.57; RH1 = 18.60; T2 = 24.30; RH2 = 16.68
2017.11.06_04:14:08,517.21,720.24,899.27,79.24,86.84,100.57,23.70,12.15,1003.12,548.55,717.08,860.90,77.72,86.52,102.48,24.73,15.07,1010.41,16.22,P; Tset = 38.20; Ttrue = NaN; T1 = 22.55; RH1 = 18.52; T2 = 24.28; RH2 = 16.63
2017.11.06_04:15:08,517.25,723.69,901.57,79.60,88.27,100.82,23.69,12.08,1003.12,550.27,720.80,861.45,77.10,87.07,101.47,24.70,14.99,1010.42,16.14,P; Tset = 38.20; Ttrue = NaN; T1 = 22.52; RH1 = 18.43; T2 = 24.27; RH2 = 16.55
2017.11.06_04:16:08,516.37,719.25,896.18,79.88,88.78,102.03,23.68,12.02,1003.12,547.41,715.58,859.16,76.48,86.46,101.75,24.68,14.91,1010.42,16.07,P; Tset = 38.40; Ttrue = NaN; T1 = 22.50; RH1 = 18.35; T2 = 24.25; RH2 = 16.47
2017.11.06_04:17:08,519.21,718.87,898.35,82.12,87.60,100.03,23.66,11.98,1003.15,543.16,715.10,859.49,78.18,86.79,100.15,24.66,14.84,1010.44,15.98,P; Tset = 38.60; Ttrue = NaN; T1 = 22.47; RH1 = 18.27; T2 = 24.23; RH2 = 16.38
2017.11.06_04:18:08,516.21,713.92,903.43,81.02,86.46,100.81,23.65,11.94,1003.16,551.28,720.39,864.48,78.27,86.74,101.33,24.65,14.78,1010.45,15.94,P; Tset = 38.80; Ttrue = NaN; T1 = 22.44; RH1 = 18.24; T2 = 24.21; RH2 = 16.32
2017.11.06_04:19:08,517.43,716.63,901.44,80.66,86.68,102.22,23.63,11.96,1003.18,544.56,716.30,867.38,77.24,88.00,102.75,24.63,14.77,1010.46,15.95,P; Tset = 38.80; Ttrue = NaN; T1 = 22.41; RH1 = 18.29; T2 = 24.20; RH2 = 16.33
2017.11.06_04:20:08,518.58,727.55,899.75,83.16,86.89,101.46,23.62,12.00,1003.20,540.91,717.23,862.81,77.54,88.71,102.70,24.62,14.78,1010.48,16.00,P; Tset = 39.00; Ttrue = NaN; T1 = 22.38; RH1 = 18.36; T2 = 24.18; RH2 = 16.39
