2017.11.25_00:44:33,33.65,48.18,57.57,7.44,8.53,11.09,23.19,11.21,970.13,57.44,79.61,97.00,19.48,21.24,22.70,24.37,65.93,977.39,82.23,N; Tset = 10.20; Ttrue = 0011.1; T1 = 27.04; RH1 = 60.91; T2 = 25.99; RH2 = 79.09
2017.11.25_00:57:09,39.89,46.53,60.19,7.20,7.47,10.45,24.01,11.83,1003.51,51.99,66.72,83.54,14.13,16.50,17.99,25.24,43.85,1011.00,58.28,N; Tset = 19.80; Ttrue = 0019.6; T1 = 27.13; RH1 = 52.73; T2 = 26.74; RH2 = 52.69
2017.11.25_00:58:17,33.77,46.58,59.16,7.62,7.63,11.03,24.03,11.84,1003.53,52.75,66.81,84.48,14.63,16.26,18.40,25.24,45.65,1011.02,61.12,N; Tset = 20.60; Ttrue = 0020.3; T1 = 27.09; RH1 = 55.55; T2 = 26.74; RH2 = 55.16
2017.11.25_00:59:27,33.37,45.52,58.58,7.59,7.88,11.25,24.03,11.86,1003.52,55.07,73.21,86.41,15.17,16.71,18.69,25.23,47.33,1011.01,63.59,N; Tset = 21.60; Ttrue = 0021.2; T1 = 27.06; RH1 = 57.82; T2 = 26.75; RH2 = 57.43
2017.11.25_01:00:35,33.20,45.91,57.93,8.18,8.07,11.20,24.03,11.87,1003.52,55.16,70.38,89.36,15.48,17.90,19.57,25.25,49.03,1011.00,65.98,N; Tset = 22.40; Ttrue = 0022.1; T1 = 27.03; RH1 = 60.21; T2 = 26.75; RH2 = 59.60
2017.11.25_01:01:43,33.10,46.71,56.75,7.81,7.70,12.30,24.05,11.87,1003.52,54.89,73.03,90.33,15.83,17.13,18.99,25.26,51.05,1011.01,68.91,N; Tset = 23.20; Ttrue = 0022.9; T1 = 27.02; RH1 = 62.97; T2 = 26.75; RH2 = 62.22
2017.11.25_01:02:51,33.49,45.53,56.92,7.70,7.95,10.95,24.05,11.87,1003.52,60.36,74.38,91.96,15.14,17.54,19.58,25.25,53.07,1011.02,71.75,N; Tset = 24.00; Ttrue = 0023.7; T1 = 27.02; RH1 = 65.53; T2 = 26.75; RH2 = 64.80
2017.11.25_01:03:57,32.36,45.98,56.29,7.97,7.96,10.83,24.07,11.89,1003.52,59.62,76.34,95.11,15.51,18.29,20.68,25.25,55.03,1011.00,74.44,N; Tset = 24.60; Ttrue = 0024.4; T1 = 27.03; RH1 = 67.93; T2 = 26.75; RH2 = 67.25
2017.11.25_01:05:05,33.09,44.31,56.97,7.44,7.77,10.80,24.08,11.88,1003.49,57.69,75.35,94.79,15.88,18.82,19.61,25.26,57.03,1010.97,77.16,N; Tset = 25.40; Ttrue = 0025.2; T1 = 27.04; RH1 = 70.34; T2 = 26.75; RH2 = 69.71
2017.11.25_01:06:13,34.04,44.71,56.49,7.33,7.22,10.18,24.09,11.88,1003.46,59.19,76.87,95.80,16.38,20.29,19.34,25.27,59.11,1010.96,79.99,N; Tset = 26.20; Ttrue = 0025.9; T1 = 27.07; RH1 = 72.91; T2 = 26.76; RH2 = 72.31
2017.11.25_01:07:21,34.17,44.10,54.09,7.30,8.56,10.60,24.11,11.90,1003.46,63.76,79.42,102.53,17.68,18.12,19.95,25.27,61.30,1010.96,83.01,N; Tset = 27.00; Ttrue = 0026.7; T1 = 27.11; RH1 = 75.48; T2 = 26.76; RH2 = 75.02
2017.11.25_01:08:27,33.30,44.78,54.76,6.80,7.66,10.58,24.11,11.90,1003.51,66.52,86.11,106.81,16.14,19.34,20.48,25.28,63.51,1010.99,86.05,N; Tset = 27.60; Ttrue = 0027.4; T1 = 27.15; RH1 = 78.07; T2 = 26.76; RH2 = 77.78
2017.11.25_01:09:33,32.80,44.59,54.58,7.03,7.02,9.96,24.13,11.89,1003.50,68.86,89.19,113.02,17.03,19.43,20.93,25.28,65.70,1011.01,89.05,N; Tset = 28.20; Ttrue = 0028.0; T1 = 27.20; RH1 = 80.58; T2 = 26.76; RH2 = 80.51
