2017.11.26_20:54:53,40.64,55.23,69.89,9.33,9.66,14.69,21.44,4.80,978.75,76.46,102.77,129.12,23.23,26.63,26.31,22.41,66.98,985.86,85.98,N; Tset = 10.00; Ttrue = 0010.7; T1 = 25.72; RH1 = 61.78; T2 = 24.24; RH2 = 80.74
2017.11.26_21:29:49,50.56,71.43,93.83,11.41,14.14,17.18,22.30,5.03,1012.42,89.65,123.78,170.74,22.76,26.18,28.79,23.38,53.16,1019.78,72.69,N; Tset = 21.60; Ttrue = 0021.5; T1 = 25.27; RH1 = 65.47; T2 = 25.05; RH2 = 65.24
2017.11.26_21:30:51,49.32,72.73,97.44,11.53,13.35,17.34,22.31,5.00,1012.39,92.16,123.06,155.97,21.61,25.57,27.67,23.39,53.91,1019.76,73.66,N; Tset = 21.80; Ttrue = 0021.8; T1 = 25.31; RH1 = 66.25; T2 = 25.05; RH2 = 66.14
2017.11.26_21:31:55,51.14,72.22,94.49,11.45,12.80,17.71,22.31,4.99,1012.38,92.72,125.52,163.34,23.00,27.74,28.10,23.39,54.69,1019.76,74.73,N; Tset = 22.20; Ttrue = 0022.0; T1 = 25.35; RH1 = 67.05; T2 = 25.05; RH2 = 67.07
2017.11.26_21:32:57,50.70,74.23,95.50,11.54,12.75,17.90,22.31,4.96,1012.40,94.31,129.18,165.57,23.37,25.77,28.91,23.40,55.46,1019.77,75.75,N; Tset = 22.40; Ttrue = 0022.3; T1 = 25.39; RH1 = 67.84; T2 = 25.06; RH2 = 67.98
2017.11.26_21:33:59,52.44,72.96,96.91,11.78,13.32,17.86,22.32,4.94,1012.38,93.16,123.99,163.65,22.93,26.02,28.49,23.41,56.26,1019.75,76.76,N; Tset = 22.60; Ttrue = 0022.5; T1 = 25.43; RH1 = 68.65; T2 = 25.06; RH2 = 68.93
2017.11.26_21:35:03,52.13,75.28,98.27,12.39,14.20,18.37,22.33,4.93,1012.33,94.21,128.99,163.41,22.72,26.24,29.58,23.41,57.04,1019.71,77.80,N; Tset = 23.00; Ttrue = 0022.8; T1 = 25.46; RH1 = 69.39; T2 = 25.07; RH2 = 69.87
2017.11.26_21:36:05,53.10,75.64,96.53,12.73,13.43,18.18,22.33,4.92,1012.29,93.48,130.20,165.12,22.90,26.14,29.16,23.41,57.82,1019.64,78.85,N; Tset = 23.20; Ttrue = 0023.1; T1 = 25.51; RH1 = 70.14; T2 = 25.08; RH2 = 70.75
2017.11.26_21:37:07,51.99,74.24,96.98,11.97,14.09,18.71,22.34,4.90,1012.30,96.83,132.52,163.03,23.87,27.17,31.57,23.42,58.62,1019.64,79.89,N; Tset = 23.40; Ttrue = 0023.3; T1 = 25.56; RH1 = 70.90; T2 = 25.08; RH2 = 71.71
2017.11.26_21:38:09,53.66,76.49,98.96,12.52,13.65,17.83,22.36,4.90,1012.28,99.00,135.43,174.09,23.53,27.45,29.62,23.43,59.39,1019.65,80.87,N; Tset = 23.60; Ttrue = 0023.6; T1 = 25.61; RH1 = 71.58; T2 = 25.09; RH2 = 72.61
2017.11.26_21:39:11,54.96,76.65,100.25,17.88,13.28,18.08,22.36,4.88,1012.31,109.17,138.60,176.47,23.84,27.99,30.59,23.44,60.14,1019.65,81.83,N; Tset = 23.80; Ttrue = 0023.8; T1 = 25.66; RH1 = 72.27; T2 = 25.10; RH2 = 73.48
2017.11.26_21:40:15,53.65,78.42,101.50,13.19,13.84,18.60,22.38,4.88,1012.32,102.50,139.46,176.91,25.53,27.21,30.34,23.45,60.90,1019.69,82.79,N; Tset = 24.20; Ttrue = 0024.0; T1 = 25.70; RH1 = 72.97; T2 = 25.10; RH2 = 74.39
2017.11.26_21:41:17,53.16,77.16,100.58,12.90,13.62,19.18,22.40,4.86,1012.34,104.71,143.66,187.83,25.76,28.75,31.05,23.46,61.65,1019.71,83.75,N; Tset = 24.40; Ttrue = 0024.3; T1 = 25.75; RH1 = 73.64; T2 = 25.11; RH2 = 75.24
2017.11.26_21:42:19,54.25,79.02,101.89,12.48,14.10,18.58,22.40,4.86,1012.34,114.49,145.09,183.58,24.18,28.20,31.38,23.47,62.42,1019.73,84.69,N; Tset = 24.60; Ttrue = 0024.5; T1 = 25.80; RH1 = 74.32; T2 = 25.12; RH2 = 76.13
2017.11.26_21:43:21,55.74,79.17,102.50,12.82,15.35,18.96,22.41,4.84,1012.35,107.85,153.91,184.78,25.61,28.21,31.46,23.47,63.16,1019.74,85.70,N; Tset = 24.80; Ttrue = 0024.7; T1 = 25.84; RH1 = 74.98; T2 = 25.13; RH2 = 77.01
2017.11.26_21:44:23,55.59,78.81,104.71,13.23,13.69,18.36,22.43,4.84,1012.38,105.49,145.64,186.52,25.87,28.10,31.73,23.48,63.94,1019.76,86.73,N; Tset = 25.00; Ttrue = 0024.9; T1 = 25.90; RH1 = 75.73; T2 = 25.14; RH2 = 77.91
2017.11.26_21:45:25,56.49,78.60,103.85,12.71,14.25,18.54,22.44,4.84,1012.40,109.58,148.98,192.33,24.85,28.18,31.45,23.49,64.70,1019.77,87.70,N; Tset = 25.20; Ttrue = 0025.2; T1 = 25.95; RH1 = 76.36; T2 = 25.15; RH2 = 78.80
2017.11.26_21:46:27,56.39,79.74,103.87,12.94,16.44,20.14,22.45,4.83,1012.39,113.93,155.73,201.62,26.75,29.84,32.32,23.50,65.44,1019.76,88.68,N; Tset = 25.40; Ttrue = 0025.4; T1 = 26.00; RH1 = 77.01; T2 = 25.16; RH2 = 79.67
2017.11.26_21:47:29,55.57,80.02,103.90,13.69,14.46,18.99,22.46,4.82,1012.35,115.98,160.91,205.58,25.37,31.37,33.89,23.51,66.18,1019.74,89.63,N; Tset = 25.60; Ttrue = 0025.6; T1 = 26.06; RH1 = 77.65; T2 = 25.17; RH2 = 80.51
2017.11.26_21:48:31,56.11,82.23,104.54,13.22,15.04,19.20,22.47,4.82,1012.33,116.51,161.47,208.26,26.60,30.02,33.34,23.51,66.92,1019.73,90.63,N; Tset = 25.80; Ttrue = 0025.8; T1 = 26.10; RH1 = 78.28; T2 = 25.18; RH2 = 81.39
