2017.11.06_04:54:50,506.15,702.16,878.32,79.16,84.65,99.26,22.23,12.21,969.85,531.52,698.97,844.18,74.71,85.12,98.65,23.17,14.26,976.79,17.00,P; Tset = 15.60; Ttrue = NaN; T1 = 21.02; RH1 = 18.83; T2 = 22.91; RH2 = 16.66
2017.11.06_05:05:50,523.17,728.73,907.33,79.81,87.50,103.35,22.80,12.77,1003.26,556.06,726.23,870.44,76.70,86.05,102.19,23.75,14.82,1010.43,17.18,P; Tset = 19.60; Ttrue = NaN; T1 = 21.50; RH1 = 19.76; T2 = 23.47; RH2 = 17.41
2017.11.06_05:06:50,527.30,726.74,915.94,82.88,88.26,102.62,22.78,12.82,1003.28,555.82,723.97,875.95,76.42,87.82,102.62,23.73,14.85,1010.41,17.24,P; Tset = 20.00; Ttrue = NaN; T1 = 21.48; RH1 = 19.83; T2 = 23.46; RH2 = 17.46
2017.11.06_05:07:50,527.37,729.84,912.71,82.27,89.32,101.54,22.77,12.85,1003.25,554.13,732.10,877.55,76.45,88.44,102.67,23.71,14.88,1010.40,17.27,P; Tset = 20.60; Ttrue = NaN; T1 = 21.46; RH1 = 19.86; T2 = 23.44; RH2 = 17.49
2017.11.06_05:08:50,527.39,730.10,917.08,86.80,91.78,104.24,22.76,12.85,1003.25,559.11,737.35,872.83,77.00,86.29,102.62,23.69,14.88,1010.42,17.27,P; Tset = 21.00; Ttrue = NaN; T1 = 21.44; RH1 = 19.86; T2 = 23.42; RH2 = 17.49
2017.11.06_05:09:50,528.40,727.94,911.33,79.63,88.87,101.80,22.73,12.85,1003.29,559.89,729.40,872.31,81.46,90.24,102.79,23.68,14.87,1010.43,17.25,P; Tset = 21.40; Ttrue = NaN; T1 = 21.42; RH1 = 19.85; T2 = 23.40; RH2 = 17.48
2017.11.06_05:10:50,526.93,731.77,911.43,80.06,89.36,105.08,22.71,12.86,1003.31,556.49,723.59,874.14,79.51,88.44,102.72,23.66,14.87,1010.42,17.26,P; Tset = 21.80; Ttrue = NaN; T1 = 21.40; RH1 = 19.88; T2 = 23.37; RH2 = 17.49
2017.11.06_05:11:50,522.97,727.88,911.44,79.46,87.39,104.78,22.69,12.89,1003.28,549.33,722.78,869.06,81.89,88.48,101.67,23.64,14.88,1010.40,17.28,P; Tset = 22.20; Ttrue = NaN; T1 = 21.38; RH1 = 19.91; T2 = 23.35; RH2 = 17.52
2017.11.06_05:12:50,524.11,724.41,912.32,78.53,88.57,101.13,22.66,12.91,1003.29,546.86,725.77,866.41,76.89,86.58,99.88,23.62,14.89,1010.40,17.31,P; Tset = 22.60; Ttrue = NaN; T1 = 21.36; RH1 = 19.94; T2 = 23.33; RH2 = 17.55
2017.11.06_05:13:50,528.55,731.58,913.79,80.95,90.47,102.47,22.64,12.92,1003.27,553.27,727.38,876.23,77.35,87.35,102.30,23.59,14.91,1010.39,17.33,P; Tset = 23.00; Ttrue = NaN; T1 = 21.34; RH1 = 19.95; T2 = 23.31; RH2 = 17.55
2017.11.06_05:14:50,524.06,730.28,907.89,80.37,88.12,102.37,22.62,12.94,1003.25,550.38,718.10,865.42,77.83,86.62,100.90,23.57,14.91,1010.40,17.36,P; Tset = 23.40; Ttrue = NaN; T1 = 21.33; RH1 = 19.99; T2 = 23.28; RH2 = 17.58
2017.11.06_05:15:50,530.04,730.44,909.75,80.01,89.13,103.04,22.61,12.95,1003.26,548.33,730.12,879.54,78.79,90.37,103.69,23.55,14.92,1010.40,17.38,P; Tset = 23.80; Ttrue = NaN; T1 = 21.31; RH1 = 20.01; T2 = 23.27; RH2 = 17.59
2017.11.06_05:16:50,532.89,732.39,920.45,80.90,90.06,104.97,22.60,12.97,1003.25,554.61,734.40,884.09,77.94,91.20,104.05,23.54,14.92,1010.40,17.38,P; Tset = 24.20; Ttrue = NaN; T1 = 21.28; RH1 = 20.01; T2 = 23.25; RH2 = 17.60
2017.11.06_05:17:50,523.60,729.74,911.80,80.16,90.57,105.46,22.58,12.97,1003.28,553.94,727.66,880.29,77.07,88.01,101.51,23.51,14.93,1010.41,17.40,P; Tset = 24.40; Ttrue = NaN; T1 = 21.26; RH1 = 20.03; T2 = 23.24; RH2 = 17.62
2017.11.06_05:18:50,527.87,729.54,920.13,83.18,88.08,104.21,22.57,12.99,1003.32,550.42,724.20,878.56,78.52,89.61,101.83,23.50,14.93,1010.41,17.41,P; Tset = 24.80; Ttrue = NaN; T1 = 21.24; RH1 = 20.05; T2 = 23.23; RH2 = 17.63
2017.11.06_05:19:50,536.19,735.53,921.87,82.30,87.91,104.75,22.55,13.00,1003.32,555.40,730.38,883.08,79.83,91.26,102.60,23.49,14.94,1010.44,17.42,P; Tset = 25.20; Ttrue = NaN; T1 = 21.23; RH1 = 20.06; T2 = 23.22; RH2 = 17.64
2017.11.06_05:20:50,530.28,735.63,916.76,81.76,90.15,103.24,22.53,13.01,1003.36,561.81,734.55,882.63,77.51,88.09,103.20,23.47,14.95,1010.46,17.45,P; Tset = 25.60; Ttrue = NaN; T1 = 21.20; RH1 = 20.10; T2 = 23.20; RH2 = 17.66
2017.11.06_05:21:50,538.43,740.41,916.77,80.20,87.41,102.18,22.52,13.03,1003.35,559.02,730.88,880.63,78.71,87.78,101.68,23.45,14.95,1010.48,17.45,P; Tset = 25.80; Ttrue = NaN; T1 = 21.18; RH1 = 20.11; T2 = 23.19; RH2 = 17.67
2017.11.06_05:22:50,528.04,730.85,915.06,78.66,88.28,102.05,22.51,13.03,1003.37,558.41,738.46,877.59,78.60,88.80,101.66,23.44,14.95,1010.48,17.46,P; Tset = 26.20; Ttrue = NaN; T1 = 21.16; RH1 = 20.11; T2 = 23.18; RH2 = 17.68
2017.11.06_05:23:50,536.22,731.33,918.48,79.95,88.76,102.30,22.49,13.06,1003.38,553.70,726.66,880.82,78.26,88.75,103.11,23.41,14.97,1010.48,17.49,P; Tset = 26.40; Ttrue = NaN; T1 = 21.14; RH1 = 20.13; T2 = 23.16; RH2 = 17.70
2017.11.06_05:24:50,530.32,735.52,917.31,79.74,89.23,102.82,22.48,13.08,1003.35,553.65,728.66,875.23,81.68,89.02,101.02,23.40,14.97,1010.46,17.51,P; Tset = 26.80; Ttrue = NaN; T1 = 21.12; RH1 = 20.16; T2 = 23.15; RH2 = 17.72
2017.11.06_05:25:50,524.62,728.34,917.92,81.41,88.76,102.91,22.46,13.09,1003.35,550.54,730.13,871.28,75.78,87.30,103.70,23.38,14.99,1010.46,17.54,P; Tset = 27.00; Ttrue = NaN; T1 = 21.11; RH1 = 20.20; T2 = 23.14; RH2 = 17.75
2017.11.06_05:26:50,526.25,730.84,916.50,80.10,87.29,101.72,22.44,13.12,1003.33,550.15,727.11,872.25,77.85,88.28,102.73,23.36,15.00,1010.44,17.57,P; Tset = 27.40; Ttrue = NaN; T1 = 21.09; RH1 = 20.23; T2 = 23.12; RH2 = 17.78
2017.11.06_05:27:50,528.32,728.51,915.90,83.61,87.75,102.33,22.42,13.14,1003.31,555.75,732.13,876.39,78.10,88.92,102.33,23.34,15.03,1010.42,17.59,P; Tset = 27.60; Ttrue = NaN; T1 = 21.07; RH1 = 20.26; T2 = 23.09; RH2 = 17.80
2017.11.06_05:28:50,535.87,737.04,917.69,83.07,87.50,102.02,22.40,13.15,1003.31,558.27,732.67,876.32,78.97,89.59,103.50,23.32,15.03,1010.40,17.60,P; Tset = 28.00; Ttrue = NaN; T1 = 21.06; RH1 = 20.28; T2 = 23.06; RH2 = 17.81
2017.11.06_05:29:50,529.08,731.89,914.85,82.20,88.54,100.65,22.37,13.14,1003.31,558.04,728.32,877.89,76.81,88.26,100.53,23.29,15.02,1010.39,17.59,P; Tset = 28.20; Ttrue = NaN; T1 = 21.04; RH1 = 20.25; T2 = 23.02; RH2 = 17.80
2017.11.06_05:30:50,533.94,736.90,920.74,81.02,90.08,102.38,22.35,13.13,1003.28,554.91,734.27,877.88,77.48,88.15,102.06,23.27,15.01,1010.36,17.58,P; Tset = 28.40; Ttrue = NaN; T1 = 21.02; RH1 = 20.25; T2 = 23.00; RH2 = 17.79
2017.11.06_05:31:50,528.27,739.52,919.41,81.74,91.28,104.11,22.33,13.15,1003.25,557.54,734.43,879.70,78.62,88.56,102.47,23.25,15.02,1010.36,17.60,P; Tset = 28.80; Ttrue = NaN; T1 = 21.00; RH1 = 20.28; T2 = 22.98; RH2 = 17.81
2017.11.06_05:32:50,527.01,738.05,920.27,82.53,90.44,103.94,22.31,13.15,1003.25,567.49,736.43,885.43,80.21,88.37,102.16,23.23,15.01,1010.35,17.61,P; Tset = 29.00; Ttrue = NaN; T1 = 20.98; RH1 = 20.27; T2 = 22.97; RH2 = 17.82
2017.11.06_05:33:50,531.18,731.27,920.57,81.05,87.82,101.76,22.31,13.15,1003.25,556.35,726.98,878.11,78.39,87.70,102.33,23.22,15.00,1010.33,17.60,P; Tset = 29.20; Ttrue = NaN; T1 = 20.97; RH1 = 20.26; T2 = 22.95; RH2 = 17.81
2017.11.06_05:34:50,526.01,737.55,923.50,81.62,90.03,102.62,22.29,13.16,1003.20,562.40,732.43,875.91,78.44,88.72,103.10,23.21,15.01,1010.32,17.60,P; Tset = 29.60; Ttrue = NaN; T1 = 20.95; RH1 = 20.28; T2 = 22.94; RH2 = 17.81
2017.11.06_05:35:50,537.37,733.60,920.90,82.42,89.55,103.19,22.28,13.17,1003.19,556.39,735.52,877.66,78.83,87.63,102.14,23.19,15.01,1010.31,17.63,P; Tset = 29.80; Ttrue = NaN; T1 = 20.93; RH1 = 20.30; T2 = 22.93; RH2 = 17.83
2017.11.06_05:36:50,527.23,732.55,918.44,80.73,91.86,104.93,22.27,13.19,1003.25,556.44,738.72,880.48,77.91,89.13,102.16,23.17,15.02,1010.31,17.64,P; Tset = 30.00; Ttrue = NaN; T1 = 20.91; RH1 = 20.32; T2 = 22.93; RH2 = 17.84
2017.11.06_05:37:50,526.09,729.57,913.09,80.00,88.36,103.21,22.26,13.21,1003.20,554.02,730.96,876.22,78.08,86.85,101.77,23.16,15.04,1010.28,17.68,P; Tset = 30.20; Ttrue = NaN; T1 = 20.90; RH1 = 20.36; T2 = 22.92; RH2 = 17.86
2017.11.06_05:38:50,534.23,735.16,917.20,83.36,87.93,101.99,22.25,13.24,1003.18,555.20,731.92,876.23,77.81,88.02,103.28,23.14,15.07,1010.26,17.72,P; Tset = 30.60; Ttrue = NaN; T1 = 20.87; RH1 = 20.41; T2 = 22.91; RH2 = 17.90
2017.11.06_05:39:50,527.57,732.12,915.30,80.16,87.96,103.57,22.23,13.29,1003.18,553.96,729.75,874.53,80.99,88.83,101.50,23.12,15.10,1010.24,17.76,P; Tset = 30.80; Ttrue = NaN; T1 = 20.85; RH1 = 20.47; T2 = 22.89; RH2 = 17.94
2017.11.06_05:40:50,525.35,729.25,921.51,79.43,90.45,101.98,22.22,13.32,1003.15,557.39,729.10,878.82,77.33,87.18,100.98,23.11,15.12,1010.22,17.79,P; Tset = 31.00; Ttrue = NaN; T1 = 20.84; RH1 = 20.51; T2 = 22.87; RH2 = 17.98
2017.11.06_05:41:50,530.44,734.26,920.60,79.35,88.37,102.27,22.21,13.35,1003.15,557.63,734.02,879.06,78.05,87.59,102.01,23.09,15.14,1010.21,17.83,P; Tset = 31.20; Ttrue = NaN; T1 = 20.83; RH1 = 20.55; T2 = 22.85; RH2 = 18.01
2017.11.06_05:42:50,530.53,728.99,919.50,80.87,88.47,101.60,22.19,13.38,1003.15,554.79,726.47,881.51,76.08,87.11,100.85,23.07,15.17,1010.21,17.85,P; Tset = 31.40; Ttrue = NaN; T1 = 20.81; RH1 = 20.58; T2 = 22.82; RH2 = 18.04
2017.11.06_05:43:50,528.29,729.44,918.07,80.79,89.51,102.21,22.17,13.38,1003.16,558.50,733.64,876.38,79.36,88.66,102.10,23.06,15.17,1010.22,17.85,P; Tset = 31.60; Ttrue = NaN; T1 = 20.80; RH1 = 20.59; T2 = 22.79; RH2 = 18.05
2017.11.06_05:44:50,525.84,730.18,911.64,81.03,90.10,103.55,22.15,13.39,1003.16,557.82,727.65,872.14,78.92,86.27,102.71,23.04,15.17,1010.24,17.85,P; Tset = 32.00; Ttrue = NaN; T1 = 20.78; RH1 = 20.59; T2 = 22.76; RH2 = 18.06
2017.11.06_05:45:50,526.80,727.46,909.53,80.72,87.14,104.29,22.12,13.39,1003.18,556.68,732.31,868.08,78.08,88.18,101.65,23.02,15.17,1010.25,17.86,P; Tset = 32.20; Ttrue = NaN; T1 = 20.77; RH1 = 20.59; T2 = 22.74; RH2 = 18.06
2017.11.06_05:46:50,523.35,734.93,918.22,81.34,90.25,103.00,22.09,13.38,1003.20,552.60,731.39,881.13,78.08,87.39,102.62,22.99,15.16,1010.26,17.84,P; Tset = 32.40; Ttrue = NaN; T1 = 20.75; RH1 = 20.55; T2 = 22.73; RH2 = 18.04
2017.11.06_05:47:50,524.92,730.27,911.82,81.56,87.93,103.02,22.07,13.32,1003.19,554.24,727.19,870.06,77.45,88.34,101.37,22.97,15.10,1010.27,17.77,P; Tset = 32.60; Ttrue = NaN; T1 = 20.73; RH1 = 20.47; T2 = 22.71; RH2 = 17.98
2017.11.06_05:48:50,527.79,731.06,920.15,83.40,88.30,104.88,22.05,13.29,1003.23,559.28,725.13,875.03,77.47,89.80,101.32,22.96,15.08,1010.28,17.74,P; Tset = 32.80; Ttrue = NaN; T1 = 20.71; RH1 = 20.44; T2 = 22.70; RH2 = 17.94
2017.11.06_05:49:50,531.83,728.46,911.37,79.73,88.27,101.17,22.04,13.27,1003.22,556.13,730.83,874.30,77.82,87.79,101.58,22.95,15.06,1010.29,17.71,P; Tset = 33.00; Ttrue = NaN; T1 = 20.69; RH1 = 20.42; T2 = 22.68; RH2 = 17.92
2017.11.06_05:50:50,528.60,728.70,914.83,81.84,89.24,101.76,22.02,13.27,1003.20,553.76,733.07,875.40,76.95,88.02,103.24,22.93,15.05,1010.28,17.72,P; Tset = 33.20; Ttrue = NaN; T1 = 20.67; RH1 = 20.43; T2 = 22.67; RH2 = 17.92
2017.11.06_05:51:50,531.11,732.63,913.67,79.35,88.57,103.84,22.02,13.30,1003.20,556.79,728.23,877.96,77.74,86.81,101.88,22.91,15.06,1010.27,17.76,P; Tset = 33.40; Ttrue = NaN; T1 = 20.66; RH1 = 20.47; T2 = 22.65; RH2 = 17.95
2017.11.06_05:52:50,530.84,727.12,910.88,81.91,88.86,102.95,22.00,13.33,1003.23,551.95,729.25,876.34,77.35,86.65,102.40,22.90,15.08,1010.28,17.77,P; Tset = 33.60; Ttrue = NaN; T1 = 20.64; RH1 = 20.51; T2 = 22.64; RH2 = 17.97
2017.11.06_05:53:50,528.63,734.58,918.51,81.41,89.60,101.84,22.00,13.36,1003.24,556.52,731.34,871.29,76.78,88.39,101.22,22.89,15.10,1010.30,17.81,P; Tset = 33.80; Ttrue = NaN; T1 = 20.62; RH1 = 20.56; T2 = 22.63; RH2 = 18.00
2017.11.06_05:54:50,528.34,730.20,914.93,81.07,87.81,102.90,21.98,13.39,1003.25,557.72,724.47,871.10,77.89,88.29,100.54,22.87,15.13,1010.29,17.85,P; Tset = 34.00; Ttrue = NaN; T1 = 20.60; RH1 = 20.59; T2 = 22.62; RH2 = 18.04
2017.11.06_05:55:50,525.46,726.43,922.61,80.62,88.32,103.38,21.97,13.43,1003.25,553.26,731.17,873.38,77.08,87.40,100.87,22.86,15.16,1010.31,17.91,P; Tset = 34.20; Ttrue = NaN; T1 = 20.59; RH1 = 20.66; T2 = 22.61; RH2 = 18.09
2017.11.06_05:56:50,529.22,734.31,912.74,82.15,90.91,103.73,21.96,13.49,1003.24,558.86,732.84,870.13,78.87,87.40,101.65,22.84,15.20,1010.31,17.98,P; Tset = 34.40; Ttrue = NaN; T1 = 20.57; RH1 = 20.75; T2 = 22.60; RH2 = 18.16
2017.11.06_05:57:50,527.15,731.56,918.32,82.37,89.46,104.43,21.94,13.55,1003.25,550.74,729.67,870.53,78.95,88.99,102.68,22.83,15.25,1010.31,18.03,P; Tset = 34.60; Ttrue = NaN; T1 = 20.55; RH1 = 20.82; T2 = 22.57; RH2 = 18.22
2017.11.06_05:58:50,528.79,733.16,922.00,83.67,88.20,101.51,21.93,13.60,1003.25,553.78,731.56,873.11,77.11,86.80,102.52,22.81,15.30,1010.30,18.10,P; Tset = 34.60; Ttrue = NaN; T1 = 20.54; RH1 = 20.91; T2 = 22.55; RH2 = 18.29
2017.11.06_05:59:50,528.79,731.78,921.82,81.35,90.33,102.24,21.91,13.65,1003.29,562.59,726.82,877.66,77.63,88.17,100.36,22.80,15.35,1010.32,18.15,P; Tset = 34.80; Ttrue = NaN; T1 = 20.52; RH1 = 20.98; T2 = 22.53; RH2 = 18.35
2017.11.06_06:00:50,529.31,735.26,916.01,79.14,88.22,102.72,21.89,13.70,1003.30,553.90,730.92,879.82,76.71,86.89,105.34,22.78,15.39,1010.33,18.21,P; Tset = 35.00; Ttrue = NaN; T1 = 20.51; RH1 = 21.03; T2 = 22.51; RH2 = 18.41
2017.11.06_06:01:50,530.95,734.39,921.23,80.82,88.09,102.73,21.86,13.75,1003.30,561.61,727.00,873.25,76.67,87.36,102.41,22.75,15.42,1010.32,18.26,P; Tset = 35.20; Ttrue = NaN; T1 = 20.49; RH1 = 21.08; T2 = 22.48; RH2 = 18.46
2017.11.06_06:02:50,526.62,725.28,919.26,82.42,88.64,102.14,21.84,13.77,1003.28,559.83,731.81,881.26,77.41,88.52,103.40,22.73,15.45,1010.32,18.30,P; Tset = 35.40; Ttrue = NaN; T1 = 20.48; RH1 = 21.12; T2 = 22.46; RH2 = 18.49
2017.11.06_06:03:50,526.32,733.67,920.18,80.78,88.21,102.80,21.82,13.78,1003.29,554.95,730.23,871.92,76.88,88.41,110.51,22.71,15.46,1010.31,18.31,P; Tset = 35.60; Ttrue = NaN; T1 = 20.47; RH1 = 21.12; T2 = 22.44; RH2 = 18.50
2017.11.06_06:04:50,525.76,725.82,912.12,80.59,88.68,102.03,21.80,13.78,1003.26,549.08,734.13,867.50,78.20,87.20,100.97,22.69,15.46,1010.31,18.32,P; Tset = 35.80; Ttrue = NaN; T1 = 20.45; RH1 = 21.12; T2 = 22.43; RH2 = 18.51
2017.11.06_06:05:50,526.22,726.47,918.84,79.56,86.39,101.49,21.79,13.80,1003.24,553.99,727.77,868.52,77.22,86.99,100.61,22.68,15.47,1010.28,18.33,P; Tset = 36.00; Ttrue = NaN; T1 = 20.43; RH1 = 21.14; T2 = 22.42; RH2 = 18.53
2017.11.06_06:06:50,523.32,731.11,913.41,80.08,89.16,102.34,21.78,13.82,1003.19,552.36,729.89,874.01,76.76,88.65,100.81,22.66,15.49,1010.27,18.34,P; Tset = 36.00; Ttrue = NaN; T1 = 20.41; RH1 = 21.16; T2 = 22.41; RH2 = 18.54
2017.11.06_06:07:50,526.75,738.10,914.65,82.07,88.96,103.95,21.76,13.83,1003.18,552.31,725.89,880.41,77.66,87.84,104.14,22.65,15.49,1010.24,18.35,P; Tset = 36.20; Ttrue = NaN; T1 = 20.39; RH1 = 21.17; T2 = 22.39; RH2 = 18.56
2017.11.06_06:08:50,535.13,734.35,912.82,80.09,87.98,102.88,21.75,13.83,1003.15,552.29,728.04,876.20,77.07,87.70,101.47,22.64,15.49,1010.21,18.33,P; Tset = 36.40; Ttrue = NaN; T1 = 20.37; RH1 = 21.15; T2 = 22.38; RH2 = 18.56
2017.11.06_06:09:50,526.08,732.88,921.76,79.57,87.06,102.25,21.74,13.80,1003.16,557.97,726.76,880.26,77.66,88.48,101.22,22.62,15.47,1010.20,18.32,P; Tset = 36.60; Ttrue = NaN; T1 = 20.35; RH1 = 21.14; T2 = 22.37; RH2 = 18.53
2017.11.06_06:10:50,524.99,727.63,913.64,77.81,85.98,102.43,21.73,13.79,1003.16,553.24,728.93,872.41,77.19,89.29,105.60,22.61,15.47,1010.19,18.31,P; Tset = 36.80; Ttrue = NaN; T1 = 20.33; RH1 = 21.13; T2 = 22.36; RH2 = 18.52
2017.11.06_06:11:50,529.42,736.88,921.48,80.65,89.64,103.27,21.71,13.78,1003.15,556.19,734.70,875.26,77.09,88.14,102.94,22.58,15.46,1010.18,18.31,P; Tset = 37.00; Ttrue = NaN; T1 = 20.31; RH1 = 21.12; T2 = 22.35; RH2 = 18.50
2017.11.06_06:12:50,535.62,733.35,914.17,80.29,88.77,102.52,21.70,13.77,1003.11,556.48,731.73,875.91,75.69,87.47,104.25,22.57,15.45,1010.16,18.29,P; Tset = 37.00; Ttrue = NaN; T1 = 20.30; RH1 = 21.09; T2 = 22.34; RH2 = 18.48
2017.11.06_06:13:50,532.10,733.11,916.69,83.95,88.15,103.20,21.69,13.79,1003.11,557.68,731.35,879.98,79.19,87.65,102.00,22.55,15.45,1010.14,18.30,P; Tset = 37.20; Ttrue = NaN; T1 = 20.29; RH1 = 21.11; T2 = 22.32; RH2 = 18.49
2017.11.06_06:14:50,532.28,731.65,922.48,80.63,86.85,102.28,21.67,13.80,1003.10,552.02,728.70,872.54,77.17,87.37,100.55,22.54,15.47,1010.13,18.32,P; Tset = 37.40; Ttrue = NaN; T1 = 20.28; RH1 = 21.13; T2 = 22.30; RH2 = 18.51
2017.11.06_06:15:50,537.41,740.68,929.44,83.80,89.09,102.70,21.67,13.83,1003.11,563.56,740.75,884.11,75.65,87.57,101.64,22.53,15.48,1010.11,18.35,P; Tset = 37.60; Ttrue = NaN; T1 = 20.27; RH1 = 21.17; T2 = 22.28; RH2 = 18.54
2017.11.06_06:16:50,534.84,743.00,922.67,80.09,87.93,102.93,21.65,13.83,1003.10,561.68,738.58,879.56,83.28,87.13,101.27,22.51,15.49,1010.10,18.35,P; Tset = 37.60; Ttrue = NaN; T1 = 20.26; RH1 = 21.17; T2 = 22.25; RH2 = 18.55
2017.11.06_06:17:50,534.33,744.30,929.84,81.45,88.44,102.87,21.65,13.83,1003.10,551.98,736.92,886.61,79.37,87.55,103.81,22.50,15.47,1010.12,18.33,P; Tset = 37.80; Ttrue = NaN; T1 = 20.24; RH1 = 21.14; T2 = 22.23; RH2 = 18.54
2017.11.06_06:18:50,529.69,733.56,920.84,80.33,87.09,103.04,21.63,13.80,1003.11,552.45,733.38,880.20,79.19,90.64,101.94,22.47,15.45,1010.15,18.31,P; Tset = 38.00; Ttrue = NaN; T1 = 20.23; RH1 = 21.12; T2 = 22.21; RH2 = 18.51
2017.11.06_06:19:50,524.75,733.53,917.43,78.49,86.45,101.98,21.61,13.83,1003.11,558.57,726.53,876.25,75.92,87.64,101.26,22.45,15.47,1010.15,18.35,P; Tset = 38.20; Ttrue = NaN; T1 = 20.21; RH1 = 21.16; T2 = 22.20; RH2 = 18.53
2017.11.06_06:20:50,528.81,731.06,921.25,78.54,86.43,101.18,21.59,13.86,1003.12,551.62,724.03,877.38,76.20,85.21,100.21,22.43,15.49,1010.15,18.37,P; Tset = 38.20; Ttrue = NaN; T1 = 20.19; RH1 = 21.20; T2 = 22.18; RH2 = 18.57
2017.11.06_06:21:50,535.63,730.50,919.23,80.64,86.92,102.84,21.57,13.88,1003.11,555.53,728.40,877.26,78.31,87.68,101.85,22.42,15.51,1010.14,18.41,P; Tset = 38.40; Ttrue = NaN; T1 = 20.17; RH1 = 21.25; T2 = 22.16; RH2 = 18.60
2017.11.06_06:22:50,530.41,737.46,921.22,80.58,87.24,102.48,21.54,13.91,1003.11,559.32,729.41,879.90,76.72,86.33,102.20,22.40,15.53,1010.13,18.43,P; Tset = 38.60; Ttrue = NaN; T1 = 20.15; RH1 = 21.27; T2 = 22.15; RH2 = 18.62
2017.11.06_06:23:50,531.37,742.74,920.46,80.24,88.59,101.34,21.52,13.94,1003.11,566.61,734.70,937.11,79.51,87.83,102.88,22.40,15.55,1010.14,18.45,P; Tset = 38.80; Ttrue = NaN; T1 = 20.14; RH1 = 21.30; T2 = 22.15; RH2 = 18.64
2017.11.06_06:24:50,532.15,735.05,913.72,82.45,87.94,101.42,21.50,13.96,1003.14,557.83,729.43,881.42,80.28,87.23,102.27,22.38,15.58,1010.16,18.49,P; Tset = 38.80; Ttrue = NaN; T1 = 20.12; RH1 = 21.35; T2 = 22.13; RH2 = 18.68
2017.11.06_06:25:50,528.53,738.30,925.59,79.86,86.66,101.64,21.49,13.98,1003.15,555.25,733.50,880.71,76.46,89.27,102.92,22.37,15.59,1010.18,18.51,P; Tset = 39.00; Ttrue = NaN; T1 = 20.11; RH1 = 21.37; T2 = 22.12; RH2 = 18.71
