2017.11.06_22:07:48,674.97,909.16,1117.41,102.52,110.55,127.66,22.91,13.30,968.34,1202.02,1455.39,1668.60,136.03,147.22,171.48,24.10,74.18,975.44,83.86,P; Tset = 14.80; Ttrue = NaN; T1 = 22.91; RH1 = 85.64; T2 = 23.93; RH2 = 83.46
2017.11.06_22:18:48,701.37,937.96,1155.49,103.50,113.67,129.81,23.39,13.70,1001.62,751.93,956.78,1116.30,101.44,114.56,130.07,24.72,34.92,1008.75,32.31,P; Tset = 18.80; Ttrue = NaN; T1 = 23.09; RH1 = 34.86; T2 = 24.34; RH2 = 33.77
2017.11.06_22:19:48,695.85,930.06,1141.67,103.18,111.46,130.52,23.36,13.83,1001.58,750.72,954.17,1114.67,100.95,112.63,130.27,24.67,33.79,1008.72,31.44,P; Tset = 19.20; Ttrue = NaN; T1 = 23.06; RH1 = 33.97; T2 = 24.29; RH2 = 32.79
2017.11.06_22:20:48,698.10,939.53,1146.73,101.89,112.08,130.72,23.32,13.97,1001.56,750.53,954.52,1111.93,99.68,112.13,130.56,24.64,32.79,1008.71,30.66,P; Tset = 19.80; Ttrue = NaN; T1 = 23.03; RH1 = 33.19; T2 = 24.25; RH2 = 31.95
2017.11.06_22:21:48,688.49,931.18,1153.08,103.56,113.66,132.45,23.27,14.10,1001.56,737.50,954.05,1120.23,100.32,114.09,130.20,24.62,31.93,1008.71,29.97,P; Tset = 20.20; Ttrue = NaN; T1 = 23.00; RH1 = 32.50; T2 = 24.21; RH2 = 31.23
2017.11.06_22:22:48,692.70,936.66,1152.11,103.88,116.56,130.58,23.22,14.21,1001.56,739.96,951.69,1122.28,99.73,112.13,131.17,24.59,31.07,1008.71,29.27,P; Tset = 20.60; Ttrue = NaN; T1 = 22.97; RH1 = 31.73; T2 = 24.19; RH2 = 30.48
2017.11.06_22:23:48,710.19,934.40,1151.56,104.77,115.79,130.25,23.18,14.30,1001.55,742.49,950.41,1113.57,100.31,110.93,131.35,24.56,30.26,1008.71,28.57,P; Tset = 21.00; Ttrue = NaN; T1 = 22.94; RH1 = 30.97; T2 = 24.17; RH2 = 29.74
2017.11.06_22:24:48,692.99,932.47,1154.62,102.08,114.20,130.69,23.15,14.36,1001.53,742.14,956.90,1117.44,101.22,112.48,129.86,24.53,29.48,1008.72,27.92,P; Tset = 21.40; Ttrue = NaN; T1 = 22.91; RH1 = 30.26; T2 = 24.15; RH2 = 29.03
2017.11.06_22:25:48,692.88,930.90,1153.46,102.95,112.16,130.61,23.13,14.37,1001.57,746.86,948.23,1114.47,98.92,110.96,131.66,24.50,28.74,1008.75,27.30,P; Tset = 21.80; Ttrue = NaN; T1 = 22.90; RH1 = 29.58; T2 = 24.13; RH2 = 28.34
2017.11.06_22:26:48,692.36,939.99,1149.72,103.66,113.66,131.31,23.11,14.34,1001.59,746.19,948.44,1110.85,101.53,112.90,132.96,24.47,28.04,1008.80,26.71,P; Tset = 22.20; Ttrue = NaN; T1 = 22.89; RH1 = 28.94; T2 = 24.10; RH2 = 27.71
2017.11.06_22:27:48,695.46,938.39,1153.40,101.27,113.70,132.06,23.09,14.30,1001.62,739.88,950.86,1101.85,102.62,111.45,129.57,24.44,27.33,1008.81,26.07,P; Tset = 22.60; Ttrue = NaN; T1 = 22.87; RH1 = 28.22; T2 = 24.07; RH2 = 27.04
2017.11.06_22:28:48,694.68,936.38,1152.30,104.06,113.32,131.94,23.08,14.25,1001.55,740.05,945.97,1111.00,100.02,110.99,131.27,24.41,26.68,1008.76,25.51,P; Tset = 23.00; Ttrue = NaN; T1 = 22.86; RH1 = 27.62; T2 = 24.04; RH2 = 26.44
2017.11.06_22:29:48,696.36,938.14,1152.51,103.14,112.23,130.96,23.07,14.19,1001.50,739.52,941.57,1104.50,98.17,111.66,130.28,24.39,25.99,1008.73,24.85,P; Tset = 23.40; Ttrue = NaN; T1 = 22.85; RH1 = 26.90; T2 = 24.00; RH2 = 25.76
2017.11.06_22:30:48,689.83,931.45,1145.17,101.15,112.09,128.83,23.06,14.17,1001.48,723.13,934.91,1101.48,97.11,111.41,130.57,24.36,25.39,1008.72,24.33,P; Tset = 23.60; Ttrue = NaN; T1 = 22.83; RH1 = 26.36; T2 = 23.98; RH2 = 25.18
2017.11.06_22:31:48,690.63,934.71,1142.20,103.14,113.19,131.91,23.04,14.16,1001.48,732.31,935.61,1097.86,98.69,111.51,136.35,24.35,24.89,1008.69,23.92,P; Tset = 24.00; Ttrue = NaN; T1 = 22.82; RH1 = 25.95; T2 = 23.97; RH2 = 24.75
2017.11.06_22:32:48,693.43,924.00,1141.45,103.86,111.46,127.67,23.04,14.23,1001.48,725.61,934.48,1086.02,98.41,110.51,129.04,24.34,24.43,1008.67,23.55,P; Tset = 24.40; Ttrue = NaN; T1 = 22.80; RH1 = 25.57; T2 = 23.96; RH2 = 24.34
2017.11.06_22:33:48,683.53,927.28,1128.73,100.53,109.02,128.07,23.03,14.32,1001.48,721.65,928.64,1090.29,97.31,109.43,128.93,24.32,24.01,1008.67,23.22,P; Tset = 24.80; Ttrue = NaN; T1 = 22.78; RH1 = 25.25; T2 = 23.95; RH2 = 23.96
2017.11.06_22:34:48,686.95,932.83,1141.86,100.77,111.33,128.07,23.02,14.43,1001.49,730.25,929.35,1097.70,98.07,109.71,129.86,24.32,23.69,1008.71,23.02,P; Tset = 25.00; Ttrue = NaN; T1 = 22.76; RH1 = 25.09; T2 = 23.94; RH2 = 23.74
2017.11.06_22:35:48,687.11,925.05,1135.78,102.31,110.78,127.97,23.02,14.48,1001.52,728.90,921.98,1090.39,98.76,110.85,129.39,24.30,23.41,1008.74,22.87,P; Tset = 25.40; Ttrue = NaN; T1 = 22.75; RH1 = 24.94; T2 = 23.93; RH2 = 23.56
2017.11.06_22:36:48,690.72,932.64,1143.74,99.80,111.99,129.01,23.02,14.49,1001.52,730.97,927.29,1098.70,99.72,110.76,127.13,24.30,23.09,1008.76,22.61,P; Tset = 25.60; Ttrue = NaN; T1 = 22.73; RH1 = 24.66; T2 = 23.92; RH2 = 23.30
2017.11.06_22:37:48,688.68,933.74,1147.02,100.78,112.33,129.51,23.00,14.45,1001.52,733.59,935.19,1095.68,100.83,112.20,128.49,24.29,22.72,1008.76,22.29,P; Tset = 26.00; Ttrue = NaN; T1 = 22.72; RH1 = 24.31; T2 = 23.92; RH2 = 22.98
2017.11.06_22:38:48,692.32,936.42,1136.81,99.58,111.67,129.83,23.00,14.43,1001.55,729.72,932.62,1100.94,97.59,110.30,130.12,24.28,22.37,1008.76,21.98,P; Tset = 26.20; Ttrue = NaN; T1 = 22.71; RH1 = 23.97; T2 = 23.92; RH2 = 22.65
2017.11.06_22:39:48,692.10,932.70,1139.19,103.05,113.83,130.36,23.00,14.43,1001.55,730.83,935.24,1091.45,98.08,110.18,129.98,24.27,22.04,1008.77,21.70,P; Tset = 26.60; Ttrue = NaN; T1 = 22.70; RH1 = 23.69; T2 = 23.91; RH2 = 22.33
2017.11.06_22:40:48,689.30,933.10,1138.63,102.90,111.88,129.36,23.00,14.42,1001.55,720.68,928.77,1095.38,101.08,112.18,130.08,24.26,21.75,1008.79,21.47,P; Tset = 26.80; Ttrue = NaN; T1 = 22.69; RH1 = 23.46; T2 = 23.90; RH2 = 22.10
2017.11.06_22:41:48,690.20,933.11,1144.32,101.37,111.78,127.43,23.00,14.39,1001.55,723.17,927.87,1087.97,99.08,109.16,127.94,24.26,21.47,1008.80,21.24,P; Tset = 27.20; Ttrue = NaN; T1 = 22.68; RH1 = 23.23; T2 = 23.89; RH2 = 21.84
2017.11.06_22:42:48,686.52,934.23,1151.94,102.16,111.25,129.77,23.00,14.32,1001.55,739.85,933.41,1099.09,98.37,112.13,127.76,24.26,21.20,1008.79,21.01,P; Tset = 27.40; Ttrue = NaN; T1 = 22.67; RH1 = 23.00; T2 = 23.89; RH2 = 21.61
2017.11.06_22:43:48,688.11,942.51,1150.36,102.68,111.48,127.48,23.00,14.25,1001.50,720.44,929.98,1091.58,98.53,111.81,127.90,24.25,20.90,1008.76,20.76,P; Tset = 27.60; Ttrue = NaN; T1 = 22.65; RH1 = 22.72; T2 = 23.89; RH2 = 21.34
2017.11.06_22:44:48,679.23,925.51,1151.73,104.52,112.73,129.84,23.00,14.21,1001.52,727.41,923.09,1088.49,98.15,111.12,125.98,24.24,20.63,1008.77,20.54,P; Tset = 28.00; Ttrue = NaN; T1 = 22.64; RH1 = 22.50; T2 = 23.88; RH2 = 21.11
2017.11.06_22:45:48,685.69,935.97,1145.31,100.95,115.26,132.48,23.00,14.21,1001.58,727.10,929.87,1097.90,101.63,110.54,128.93,24.24,20.41,1008.82,20.37,P; Tset = 28.20; Ttrue = NaN; T1 = 22.63; RH1 = 22.32; T2 = 23.88; RH2 = 20.94
2017.11.06_22:46:48,688.81,935.99,1156.65,102.24,113.56,129.86,23.00,14.16,1001.62,729.30,928.48,1094.35,98.40,110.65,129.38,24.23,20.18,1008.87,20.18,P; Tset = 28.40; Ttrue = NaN; T1 = 22.61; RH1 = 22.12; T2 = 23.88; RH2 = 20.73
2017.11.06_22:47:48,697.35,942.02,1148.36,104.33,110.95,129.42,23.01,14.12,1001.62,729.89,932.88,1098.49,98.95,111.28,131.74,24.22,19.94,1008.87,19.97,P; Tset = 28.80; Ttrue = NaN; T1 = 22.60; RH1 = 21.91; T2 = 23.87; RH2 = 20.51
2017.11.06_22:48:48,695.16,932.10,1154.23,102.69,111.42,129.87,23.02,14.09,1001.61,728.93,931.20,1098.88,98.87,111.78,131.14,24.22,19.69,1008.87,19.74,P; Tset = 29.00; Ttrue = NaN; T1 = 22.59; RH1 = 21.66; T2 = 23.87; RH2 = 20.27
2017.11.06_22:49:48,693.26,939.87,1160.57,101.67,114.48,130.15,23.02,14.07,1001.61,726.53,934.04,1096.49,99.72,110.85,127.34,24.22,19.38,1008.84,19.44,P; Tset = 29.20; Ttrue = NaN; T1 = 22.57; RH1 = 21.36; T2 = 23.87; RH2 = 19.97
2017.11.06_22:50:48,692.49,940.22,1143.81,102.45,112.82,131.30,23.02,14.05,1001.54,725.17,931.11,1096.59,99.76,111.87,128.29,24.22,19.20,1008.79,19.32,P; Tset = 29.40; Ttrue = NaN; T1 = 22.56; RH1 = 21.27; T2 = 23.86; RH2 = 19.81
2017.11.06_22:51:48,693.29,931.46,1144.28,102.04,111.56,131.86,23.02,14.05,1001.46,725.43,925.23,1081.34,98.84,111.01,128.58,24.22,19.07,1008.74,19.26,P; Tset = 29.80; Ttrue = NaN; T1 = 22.55; RH1 = 21.23; T2 = 23.86; RH2 = 19.75
2017.11.06_22:52:48,684.43,925.72,1139.12,102.45,111.39,130.34,23.02,14.05,1001.47,728.35,923.91,1092.98,99.18,110.86,133.94,24.23,18.98,1008.77,19.22,P; Tset = 30.00; Ttrue = NaN; T1 = 22.53; RH1 = 21.23; T2 = 23.86; RH2 = 19.70
2017.11.06_22:53:48,686.41,930.37,1148.26,103.45,111.17,129.49,23.03,14.07,1001.49,722.83,930.81,1087.52,99.27,110.75,130.28,24.22,18.89,1008.79,19.19,P; Tset = 30.20; Ttrue = NaN; T1 = 22.52; RH1 = 21.22; T2 = 23.85; RH2 = 19.66
2017.11.06_22:54:48,693.13,938.17,1148.07,106.75,111.61,128.10,23.04,14.07,1001.51,720.54,930.74,1092.82,99.87,111.35,129.26,24.21,18.80,1008.78,19.18,P; Tset = 30.40; Ttrue = NaN; T1 = 22.51; RH1 = 21.22; T2 = 23.85; RH2 = 19.62
2017.11.06_22:55:48,689.17,934.89,1146.32,101.89,111.04,130.22,23.04,14.07,1001.48,727.70,930.85,1089.12,97.83,108.21,127.39,24.20,18.68,1008.76,19.10,P; Tset = 30.60; Ttrue = NaN; T1 = 22.50; RH1 = 21.13; T2 = 23.85; RH2 = 19.55
2017.11.06_22:56:48,690.48,929.59,1147.17,102.52,113.45,130.27,23.04,14.07,1001.44,723.78,934.56,1094.30,99.58,109.22,129.02,24.20,18.56,1008.70,19.01,P; Tset = 30.80; Ttrue = NaN; T1 = 22.48; RH1 = 21.05; T2 = 23.85; RH2 = 19.45
2017.11.06_22:57:48,693.27,930.45,1138.14,101.24,110.90,128.24,23.04,14.04,1001.44,734.46,925.66,1087.59,98.51,109.69,128.07,24.20,18.46,1008.68,18.93,P; Tset = 31.20; Ttrue = NaN; T1 = 22.47; RH1 = 20.99; T2 = 23.84; RH2 = 19.37
2017.11.06_22:58:48,687.80,926.14,1135.30,100.32,111.54,129.32,23.04,14.03,1001.49,726.43,924.07,1088.12,98.45,109.71,128.32,24.20,18.38,1008.73,18.90,P; Tset = 31.40; Ttrue = NaN; T1 = 22.45; RH1 = 20.98; T2 = 23.84; RH2 = 19.33
2017.11.06_22:59:48,682.57,930.04,1154.69,102.85,110.80,130.22,23.04,14.03,1001.50,723.35,932.44,1093.19,96.55,110.03,128.82,24.20,18.31,1008.76,18.87,P; Tset = 31.60; Ttrue = NaN; T1 = 22.43; RH1 = 20.98; T2 = 23.83; RH2 = 19.31
2017.11.06_23:00:48,689.79,937.77,1148.24,103.02,113.03,128.51,23.05,14.05,1001.48,725.60,926.53,1089.89,98.22,110.18,128.03,24.20,18.25,1008.74,18.85,P; Tset = 31.80; Ttrue = NaN; T1 = 22.42; RH1 = 20.99; T2 = 23.83; RH2 = 19.29
2017.11.06_23:01:48,689.10,932.11,1137.72,103.96,113.40,129.85,23.06,14.09,1001.48,719.62,926.46,1094.66,99.04,110.46,127.70,24.20,18.22,1008.74,18.87,P; Tset = 32.00; Ttrue = NaN; T1 = 22.41; RH1 = 21.05; T2 = 23.83; RH2 = 19.29
2017.11.06_23:02:48,689.94,926.51,1137.32,102.83,110.65,126.81,23.07,14.16,1001.55,717.15,925.29,1084.19,97.04,110.78,127.48,24.20,18.23,1008.82,18.95,P; Tset = 32.20; Ttrue = NaN; T1 = 22.40; RH1 = 21.14; T2 = 23.83; RH2 = 19.36
2017.11.06_23:03:48,696.31,939.38,1144.37,101.81,113.06,131.60,23.07,14.16,1001.55,724.49,936.03,1090.53,98.13,109.61,128.34,24.20,18.19,1008.82,18.94,P; Tset = 32.40; Ttrue = NaN; T1 = 22.38; RH1 = 21.13; T2 = 23.82; RH2 = 19.37
2017.11.06_23:04:48,690.76,932.94,1142.90,103.11,113.01,131.17,23.07,14.16,1001.54,727.53,924.04,1089.61,99.74,110.63,129.01,24.20,18.14,1008.78,18.91,P; Tset = 32.60; Ttrue = NaN; T1 = 22.37; RH1 = 21.13; T2 = 23.81; RH2 = 19.35
2017.11.06_23:05:48,691.88,934.32,1138.11,102.00,113.19,128.72,23.07,14.18,1001.50,718.05,924.30,1084.13,97.82,110.38,128.14,24.19,18.11,1008.77,18.93,P; Tset = 32.80; Ttrue = NaN; T1 = 22.36; RH1 = 21.15; T2 = 23.81; RH2 = 19.35
2017.11.06_23:06:48,690.89,933.15,1144.20,102.31,112.84,129.46,23.07,14.18,1001.50,724.75,931.24,1096.39,96.27,110.49,128.19,24.18,18.05,1008.75,18.91,P; Tset = 33.00; Ttrue = NaN; T1 = 22.35; RH1 = 21.14; T2 = 23.81; RH2 = 19.32
2017.11.06_23:07:48,689.66,935.05,1149.36,100.14,113.56,131.35,23.07,14.14,1001.45,727.46,929.86,1089.42,98.93,111.62,130.62,24.18,17.94,1008.69,18.80,P; Tset = 33.20; Ttrue = NaN; T1 = 22.33; RH1 = 21.02; T2 = 23.81; RH2 = 19.23
2017.11.06_23:08:48,687.34,927.90,1139.84,102.02,110.68,126.39,23.07,14.13,1001.45,719.45,926.62,1085.01,98.37,109.42,126.48,24.18,17.85,1008.69,18.72,P; Tset = 33.40; Ttrue = NaN; T1 = 22.32; RH1 = 20.95; T2 = 23.80; RH2 = 19.15
2017.11.06_23:09:48,690.87,925.08,1144.60,98.61,112.73,129.40,23.07,14.12,1001.48,723.33,925.53,1082.34,98.72,111.98,127.76,24.18,17.80,1008.75,18.70,P; Tset = 33.60; Ttrue = NaN; T1 = 22.31; RH1 = 20.94; T2 = 23.80; RH2 = 19.12
2017.11.06_23:10:48,689.91,931.87,1143.47,100.18,111.24,129.31,23.07,14.08,1001.50,733.42,925.36,1093.10,97.61,109.62,127.60,24.18,17.71,1008.77,18.61,P; Tset = 33.80; Ttrue = NaN; T1 = 22.30; RH1 = 20.87; T2 = 23.79; RH2 = 19.04
2017.11.06_23:11:48,689.14,931.92,1149.52,98.84,111.94,130.94,23.09,14.00,1001.47,727.80,937.79,1086.15,96.49,110.29,127.45,24.18,17.61,1008.73,18.52,P; Tset = 33.80; Ttrue = NaN; T1 = 22.29; RH1 = 20.78; T2 = 23.79; RH2 = 18.95
2017.11.06_23:12:48,690.83,930.03,1138.67,101.52,110.75,130.39,23.08,13.96,1001.43,724.40,922.97,1086.55,95.32,107.94,125.94,24.18,17.52,1008.69,18.45,P; Tset = 34.00; Ttrue = NaN; T1 = 22.27; RH1 = 20.72; T2 = 23.79; RH2 = 18.88
2017.11.06_23:13:48,687.14,926.47,1140.33,101.18,112.15,128.08,23.09,13.95,1001.42,720.36,932.09,1081.38,97.21,109.09,127.94,24.17,17.48,1008.69,18.45,P; Tset = 34.20; Ttrue = NaN; T1 = 22.26; RH1 = 20.72; T2 = 23.79; RH2 = 18.86
2017.11.06_23:14:48,691.98,936.27,1142.67,98.87,110.37,129.44,23.09,13.97,1001.43,721.91,931.25,1085.95,97.15,110.18,129.33,24.16,17.45,1008.70,18.46,P; Tset = 34.40; Ttrue = NaN; T1 = 22.24; RH1 = 20.76; T2 = 23.78; RH2 = 18.86
2017.11.06_23:15:48,700.06,934.05,1137.08,102.30,110.55,127.94,23.09,13.98,1001.42,724.76,929.37,1083.74,98.53,109.75,126.20,24.16,17.41,1008.67,18.45,P; Tset = 34.60; Ttrue = NaN; T1 = 22.23; RH1 = 20.75; T2 = 23.78; RH2 = 18.86
2017.11.06_23:16:48,690.99,933.09,1135.89,100.76,111.10,129.02,23.09,13.95,1001.41,721.27,915.76,1088.51,99.42,109.20,124.95,24.15,17.36,1008.65,18.43,P; Tset = 34.80; Ttrue = NaN; T1 = 22.22; RH1 = 20.73; T2 = 23.77; RH2 = 18.83
2017.11.06_23:17:48,692.05,927.30,1144.92,98.95,111.18,127.19,23.09,13.96,1001.42,722.25,928.16,1084.69,96.50,110.36,127.50,24.14,17.34,1008.66,18.44,P; Tset = 35.00; Ttrue = NaN; T1 = 22.21; RH1 = 20.76; T2 = 23.76; RH2 = 18.83
2017.11.06_23:18:48,698.10,930.13,1136.68,101.44,108.68,125.90,23.09,13.98,1001.45,726.70,925.32,1087.15,96.49,110.53,128.87,24.14,17.32,1008.70,18.45,P; Tset = 35.20; Ttrue = NaN; T1 = 22.20; RH1 = 20.80; T2 = 23.77; RH2 = 18.83
2017.11.06_23:19:48,697.58,937.72,1148.19,101.17,111.33,128.56,23.09,13.99,1001.48,721.27,926.13,1085.69,96.74,109.00,126.77,24.14,17.28,1008.72,18.43,P; Tset = 35.20; Ttrue = NaN; T1 = 22.18; RH1 = 20.78; T2 = 23.77; RH2 = 18.82
2017.11.06_23:20:48,696.55,934.47,1150.16,103.26,112.70,129.10,23.09,13.97,1001.54,724.51,929.04,1091.96,96.90,109.93,128.16,24.13,17.25,1008.75,18.42,P; Tset = 35.40; Ttrue = NaN; T1 = 22.17; RH1 = 20.77; T2 = 23.76; RH2 = 18.81
2017.11.06_23:21:48,690.07,933.50,1143.13,101.12,112.75,129.39,23.09,13.96,1001.56,722.85,933.33,1091.94,99.17,108.60,128.23,24.12,17.21,1008.78,18.41,P; Tset = 35.60; Ttrue = NaN; T1 = 22.16; RH1 = 20.77; T2 = 23.75; RH2 = 18.79
2017.11.06_23:22:48,688.47,932.08,1142.63,100.98,111.06,125.66,23.09,13.91,1001.55,724.74,927.10,1086.20,101.52,110.09,127.19,24.12,17.15,1008.80,18.33,P; Tset = 35.80; Ttrue = NaN; T1 = 22.15; RH1 = 20.71; T2 = 23.75; RH2 = 18.71
2017.11.06_23:23:48,697.29,933.49,1151.00,102.46,112.10,127.87,23.09,13.87,1001.55,727.37,932.53,1091.78,98.99,109.59,126.36,24.12,17.08,1008.81,18.27,P; Tset = 36.00; Ttrue = NaN; T1 = 22.13; RH1 = 20.64; T2 = 23.74; RH2 = 18.65
2017.11.06_23:24:48,688.18,936.39,1153.02,100.56,112.02,129.11,23.09,13.84,1001.56,732.02,931.44,1094.63,98.66,111.19,128.86,24.11,17.02,1008.82,18.23,P; Tset = 36.20; Ttrue = NaN; T1 = 22.12; RH1 = 20.60; T2 = 23.73; RH2 = 18.60
2017.11.06_23:25:48,687.51,932.57,1141.44,101.24,112.55,128.86,23.09,13.83,1001.60,724.45,925.67,1081.79,96.95,112.05,126.52,24.10,16.98,1008.85,18.21,P; Tset = 36.20; Ttrue = NaN; T1 = 22.11; RH1 = 20.60; T2 = 23.72; RH2 = 18.59
2017.11.06_23:26:48,690.70,925.07,1138.61,100.88,110.20,128.19,23.09,13.83,1001.63,725.55,926.37,1082.06,99.23,110.97,128.44,24.10,16.94,1008.89,18.18,P; Tset = 36.40; Ttrue = NaN; T1 = 22.10; RH1 = 20.59; T2 = 23.71; RH2 = 18.56
2017.11.06_23:27:48,686.19,930.12,1135.44,99.20,108.25,126.54,23.09,13.88,1001.66,722.43,925.52,1077.75,97.62,107.76,126.92,24.10,16.93,1008.90,18.21,P; Tset = 36.60; Ttrue = NaN; T1 = 22.08; RH1 = 20.65; T2 = 23.71; RH2 = 18.58
2017.11.06_23:28:48,689.48,927.56,1144.69,101.96,109.97,129.55,23.09,13.97,1001.67,717.31,919.21,1078.57,94.13,107.50,126.47,24.09,16.97,1008.90,18.31,P; Tset = 36.80; Ttrue = NaN; T1 = 22.07; RH1 = 20.77; T2 = 23.70; RH2 = 18.65
2017.11.06_23:29:48,683.85,921.06,1134.47,100.99,110.42,128.92,23.09,14.06,1001.67,716.51,920.53,1077.08,97.36,108.00,128.02,24.08,17.01,1008.89,18.39,P; Tset = 36.80; Ttrue = NaN; T1 = 22.06; RH1 = 20.86; T2 = 23.70; RH2 = 18.74
2017.11.06_23:30:48,688.23,919.50,1137.94,100.29,110.93,128.02,23.09,14.13,1001.65,723.24,928.28,1087.39,95.69,107.61,127.82,24.08,17.05,1008.87,18.45,P; Tset = 37.00; Ttrue = NaN; T1 = 22.05; RH1 = 20.94; T2 = 23.69; RH2 = 18.81
2017.11.06_23:31:48,688.10,927.18,1141.85,100.55,109.51,128.40,23.09,14.17,1001.64,725.11,926.36,1085.35,97.65,108.41,126.45,24.08,17.05,1008.89,18.46,P; Tset = 37.20; Ttrue = NaN; T1 = 22.04; RH1 = 20.95; T2 = 23.69; RH2 = 18.83
2017.11.06_23:32:48,686.03,930.19,1148.20,101.40,110.28,126.56,23.09,14.17,1001.62,724.05,924.80,1081.52,97.64,110.71,126.61,24.07,17.02,1008.87,18.44,P; Tset = 37.40; Ttrue = NaN; T1 = 22.03; RH1 = 20.94; T2 = 23.68; RH2 = 18.82
2017.11.06_23:33:48,686.28,928.81,1149.45,102.67,110.04,128.64,23.09,14.20,1001.60,728.30,917.98,1079.48,96.65,110.17,126.17,24.06,17.00,1008.85,18.44,P; Tset = 37.40; Ttrue = NaN; T1 = 22.01; RH1 = 20.95; T2 = 23.67; RH2 = 18.81
2017.11.06_23:34:48,685.81,935.06,1139.40,99.87,111.14,130.37,23.09,14.24,1001.57,728.25,915.25,1081.84,97.03,108.46,126.12,24.06,17.00,1008.82,18.46,P; Tset = 37.60; Ttrue = NaN; T1 = 22.00; RH1 = 20.99; T2 = 23.67; RH2 = 18.83
2017.11.06_23:35:48,689.43,934.66,1134.19,103.09,110.74,129.22,23.09,14.26,1001.56,720.96,918.24,1084.14,96.25,108.16,125.74,24.06,17.01,1008.81,18.49,P; Tset = 37.80; Ttrue = NaN; T1 = 21.99; RH1 = 21.03; T2 = 23.67; RH2 = 18.85
2017.11.06_23:36:48,683.95,929.87,1133.48,100.47,110.76,127.50,23.09,14.28,1001.57,721.85,928.63,1081.03,96.90,110.08,126.35,24.06,17.02,1008.83,18.50,P; Tset = 38.00; Ttrue = NaN; T1 = 21.98; RH1 = 21.06; T2 = 23.66; RH2 = 18.88
2017.11.06_23:37:48,685.52,923.34,1136.41,99.62,109.02,128.40,23.07,14.29,1001.61,715.58,922.63,1088.86,96.61,108.91,125.90,24.06,17.01,1008.85,18.51,P; Tset = 38.00; Ttrue = NaN; T1 = 21.97; RH1 = 21.07; T2 = 23.65; RH2 = 18.89
