2017.11.18_04:19:09,15.92,20.84,26.05,3.62,3.07,5.38,18.10,1.40,986.25,15.61,19.32,26.17,6.83,7.45,7.71,18.81,53.42,993.07,75.71,P; Tset = 10.00; Ttrue = NaN; T1 = 20.85; RH1 = 64.61; T2 = 20.63; RH2 = 64.81
2017.11.18_04:30:09,16.44,20.21,24.29,3.78,3.67,5.57,18.71,1.49,1020.25,16.00,21.58,26.48,6.85,8.48,7.99,19.40,54.28,1027.31,73.40,P; Tset = 19.80; Ttrue = NaN; T1 = 21.34; RH1 = 65.49; T2 = 21.15; RH2 = 65.55
2017.11.18_04:31:09,16.12,20.19,24.81,4.31,3.13,5.36,18.72,1.49,1020.24,16.25,21.83,26.42,7.50,8.52,8.75,19.40,54.10,1027.31,73.10,P; Tset = 20.60; Ttrue = NaN; T1 = 21.33; RH1 = 65.30; T2 = 21.12; RH2 = 65.34
2017.11.18_04:32:09,16.16,20.40,25.18,3.60,3.25,5.86,18.72,1.49,1020.26,16.25,23.30,26.54,7.16,8.26,7.89,19.40,53.93,1027.31,72.81,P; Tset = 21.40; Ttrue = NaN; T1 = 21.32; RH1 = 65.11; T2 = 21.10; RH2 = 65.14
2017.11.18_04:33:09,17.16,20.31,24.73,4.53,3.94,5.57,18.72,1.49,1020.27,15.34,20.99,26.17,6.83,7.99,7.77,19.40,53.75,1027.30,72.54,P; Tset = 22.20; Ttrue = NaN; T1 = 21.30; RH1 = 64.94; T2 = 21.08; RH2 = 64.96
2017.11.18_04:34:09,15.18,19.64,23.59,3.90,2.75,5.09,18.72,1.49,1020.28,17.55,20.58,25.93,7.51,7.75,8.09,19.40,53.58,1027.32,72.28,P; Tset = 23.00; Ttrue = NaN; T1 = 21.29; RH1 = 64.78; T2 = 21.07; RH2 = 64.77
2017.11.18_04:35:09,14.79,19.61,25.00,4.39,2.83,5.60,18.71,1.49,1020.29,16.69,19.59,25.32,7.23,7.76,8.26,19.39,53.42,1027.36,72.06,P; Tset = 23.80; Ttrue = NaN; T1 = 21.26; RH1 = 64.62; T2 = 21.05; RH2 = 64.57
2017.11.18_04:36:09,16.18,21.78,23.92,4.37,3.59,5.12,18.70,1.49,1020.27,17.76,21.14,27.01,6.84,7.84,8.41,19.38,53.27,1027.34,71.84,P; Tset = 24.60; Ttrue = NaN; T1 = 21.24; RH1 = 64.51; T2 = 21.05; RH2 = 64.38
2017.11.18_04:37:09,16.03,20.27,25.26,3.54,2.83,5.18,18.70,1.49,1020.27,15.86,20.74,25.70,6.71,7.74,8.24,19.37,53.13,1027.33,71.66,P; Tset = 25.40; Ttrue = NaN; T1 = 21.22; RH1 = 64.39; T2 = 21.03; RH2 = 64.22
2017.11.18_04:38:09,15.67,19.01,22.43,4.09,2.84,4.76,18.70,1.49,1020.27,16.20,20.14,25.81,6.18,8.28,7.81,19.36,53.00,1027.32,71.47,P; Tset = 26.00; Ttrue = NaN; T1 = 21.18; RH1 = 64.29; T2 = 21.02; RH2 = 64.08
2017.11.18_04:39:09,16.33,18.64,23.05,5.23,3.70,5.17,18.70,1.51,1020.28,16.01,20.59,24.81,6.92,8.00,8.55,19.34,52.87,1027.32,71.34,P; Tset = 26.80; Ttrue = NaN; T1 = 21.16; RH1 = 64.19; T2 = 21.01; RH2 = 63.96
2017.11.18_04:40:09,16.93,19.56,24.24,4.33,3.13,4.76,18.70,1.51,1020.26,17.19,19.85,24.87,7.35,8.71,8.52,19.34,52.75,1027.31,71.16,P; Tset = 27.60; Ttrue = NaN; T1 = 21.13; RH1 = 64.09; T2 = 21.00; RH2 = 63.82
2017.11.18_04:41:09,16.61,21.34,22.83,3.66,2.45,5.02,18.68,1.51,1020.25,16.78,20.49,25.45,6.16,7.79,7.81,19.32,52.63,1027.29,71.02,P; Tset = 28.20; Ttrue = NaN; T1 = 21.11; RH1 = 64.00; T2 = 20.98; RH2 = 63.69
2017.11.18_04:42:09,15.86,21.60,23.89,3.94,3.08,5.60,18.68,1.51,1020.22,16.11,19.47,26.39,6.47,8.03,8.29,19.31,52.51,1027.27,70.86,P; Tset = 28.80; Ttrue = NaN; T1 = 21.08; RH1 = 63.91; T2 = 20.97; RH2 = 63.53
2017.11.18_04:43:09,16.04,20.38,23.50,4.56,3.15,5.84,18.67,1.51,1020.23,17.66,19.12,26.36,6.82,7.26,7.64,19.30,52.40,1027.27,70.71,P; Tset = 29.60; Ttrue = NaN; T1 = 21.07; RH1 = 63.83; T2 = 20.97; RH2 = 63.39
2017.11.18_04:44:09,15.63,20.57,23.65,4.13,2.54,5.85,18.66,1.51,1020.24,15.87,20.34,25.84,7.13,7.72,7.53,19.29,52.29,1027.27,70.54,P; Tset = 30.20; Ttrue = NaN; T1 = 21.03; RH1 = 63.76; T2 = 20.95; RH2 = 63.24
2017.11.18_04:45:09,15.16,19.35,24.74,4.02,3.55,5.62,18.64,1.51,1020.22,16.75,22.20,26.71,7.95,8.60,7.62,19.26,52.17,1027.28,70.43,P; Tset = 30.80; Ttrue = NaN; T1 = 20.99; RH1 = 63.67; T2 = 20.94; RH2 = 63.11
2017.11.18_04:46:09,16.79,19.75,22.84,3.78,3.41,4.86,18.64,1.51,1020.21,16.58,21.15,26.20,6.58,8.66,7.53,19.24,52.06,1027.27,70.31,P; Tset = 31.40; Ttrue = NaN; T1 = 20.96; RH1 = 63.59; T2 = 20.93; RH2 = 63.00
2017.11.18_04:47:09,15.81,18.07,20.80,3.54,2.81,5.06,18.63,1.53,1020.19,17.27,18.77,23.32,6.27,7.42,7.80,19.22,51.96,1027.26,70.18,P; Tset = 32.00; Ttrue = NaN; T1 = 20.92; RH1 = 63.54; T2 = 20.92; RH2 = 62.86
2017.11.18_04:48:09,15.20,17.34,19.85,3.70,2.92,4.37,18.62,1.53,1020.21,14.71,19.53,23.88,6.47,7.99,7.32,19.20,51.85,1027.26,70.05,P; Tset = 32.60; Ttrue = NaN; T1 = 20.88; RH1 = 63.46; T2 = 20.90; RH2 = 62.74
2017.11.18_04:49:09,15.60,17.50,21.54,4.02,2.40,5.25,18.60,1.53,1020.23,18.16,18.56,21.94,6.37,7.59,7.16,19.18,51.74,1027.27,69.92,P; Tset = 33.20; Ttrue = NaN; T1 = 20.85; RH1 = 63.39; T2 = 20.88; RH2 = 62.61
2017.11.18_04:50:09,16.93,18.68,21.00,3.48,3.15,4.98,18.58,1.55,1020.23,15.74,19.71,25.79,6.09,7.48,7.40,19.15,51.63,1027.27,69.79,P; Tset = 33.80; Ttrue = NaN; T1 = 20.82; RH1 = 63.33; T2 = 20.86; RH2 = 62.47
2017.11.18_04:51:09,16.38,18.05,20.31,3.28,2.11,4.97,18.56,1.55,1020.25,13.41,16.85,23.06,6.04,7.49,7.44,19.13,51.52,1027.28,69.68,P; Tset = 34.40; Ttrue = NaN; T1 = 20.78; RH1 = 63.26; T2 = 20.83; RH2 = 62.34
2017.11.18_04:52:09,14.84,18.18,21.66,3.83,2.80,4.85,18.52,1.55,1020.23,13.87,17.67,22.66,6.58,8.27,7.65,19.09,51.41,1027.30,69.56,P; Tset = 35.00; Ttrue = NaN; T1 = 20.75; RH1 = 63.19; T2 = 20.80; RH2 = 62.21
2017.11.18_04:53:09,14.65,19.44,20.63,2.89,2.63,5.42,18.49,1.55,1020.26,16.17,17.87,23.76,6.27,7.63,7.42,19.07,51.31,1027.29,69.41,P; Tset = 35.60; Ttrue = NaN; T1 = 20.71; RH1 = 63.13; T2 = 20.77; RH2 = 62.09
2017.11.18_04:54:09,14.75,18.06,22.36,3.06,2.51,4.87,18.46,1.57,1020.26,13.52,18.64,24.28,6.19,7.37,7.81,19.06,51.21,1027.29,69.24,P; Tset = 36.00; Ttrue = NaN; T1 = 20.66; RH1 = 63.07; T2 = 20.75; RH2 = 61.99
2017.11.18_04:55:09,14.93,17.89,21.33,4.07,3.82,5.10,18.43,1.57,1020.25,15.67,17.99,22.19,5.58,7.16,7.24,19.04,51.10,1027.28,69.05,P; Tset = 36.60; Ttrue = NaN; T1 = 20.61; RH1 = 63.01; T2 = 20.72; RH2 = 61.89
2017.11.18_04:56:09,14.59,16.96,20.20,3.55,2.37,4.74,18.42,1.57,1020.24,12.99,16.63,21.84,5.50,7.21,7.60,19.02,50.99,1027.27,68.90,P; Tset = 37.20; Ttrue = NaN; T1 = 20.57; RH1 = 62.95; T2 = 20.70; RH2 = 61.77
2017.11.18_04:57:09,14.16,17.71,20.65,4.51,3.02,5.28,18.40,1.58,1020.22,13.97,17.74,23.36,6.77,7.44,7.71,19.00,50.87,1027.25,68.78,P; Tset = 37.60; Ttrue = NaN; T1 = 20.53; RH1 = 62.89; T2 = 20.68; RH2 = 61.67
2017.11.18_04:58:09,15.62,16.67,19.95,4.27,2.55,4.50,18.39,1.57,1020.22,14.13,16.47,24.78,6.19,7.28,7.42,18.97,50.76,1027.26,68.69,P; Tset = 38.20; Ttrue = NaN; T1 = 20.49; RH1 = 62.84; T2 = 20.66; RH2 = 61.53
2017.11.18_04:59:09,14.56,16.02,20.23,3.04,2.25,4.58,18.37,1.57,1020.23,14.79,17.40,22.38,5.83,7.75,7.28,18.95,50.65,1027.26,68.55,P; Tset = 38.60; Ttrue = NaN; T1 = 20.45; RH1 = 62.78; T2 = 20.64; RH2 = 61.42
2017.11.18_05:00:09,14.18,17.43,20.49,3.44,3.00,4.31,18.35,1.57,1020.23,13.42,20.18,22.75,6.63,7.61,7.05,18.93,50.55,1027.27,68.41,P; Tset = 39.20; Ttrue = NaN; T1 = 20.40; RH1 = 62.73; T2 = 20.62; RH2 = 61.30
2017.11.18_05:01:09,14.04,17.76,21.55,3.24,3.15,4.75,18.33,1.59,1020.24,13.13,19.35,23.36,6.33,7.68,8.43,18.90,50.44,1027.27,68.28,P; Tset = 39.60; Ttrue = NaN; T1 = 20.35; RH1 = 62.69; T2 = 20.59; RH2 = 61.18
2017.11.18_05:02:09,14.50,19.89,21.56,4.44,3.16,5.14,18.29,1.60,1020.26,13.99,18.56,23.89,6.87,8.01,7.90,18.86,50.34,1027.27,68.16,P; Tset = 40.20; Ttrue = NaN; T1 = 20.30; RH1 = 62.64; T2 = 20.55; RH2 = 61.07
2017.11.18_05:03:09,16.04,21.34,22.08,2.91,2.25,4.52,18.26,1.61,1020.26,13.93,18.54,23.23,6.55,7.80,7.23,18.83,50.24,1027.28,68.06,P; Tset = 40.60; Ttrue = NaN; T1 = 20.26; RH1 = 62.60; T2 = 20.53; RH2 = 60.96
2017.11.18_05:04:09,16.38,18.95,22.21,4.21,2.68,5.15,18.22,1.61,1020.28,14.64,20.42,23.89,6.44,7.63,7.34,18.80,50.14,1027.29,67.94,P; Tset = 41.00; Ttrue = NaN; T1 = 20.22; RH1 = 62.54; T2 = 20.49; RH2 = 60.85
2017.11.18_05:05:09,15.32,18.26,21.83,3.99,6.20,5.59,18.19,1.62,1020.30,16.62,18.26,25.86,6.18,7.50,7.22,18.78,50.05,1027.29,67.85,P; Tset = 41.60; Ttrue = NaN; T1 = 20.19; RH1 = 62.51; T2 = 20.47; RH2 = 60.74
2017.11.18_05:06:09,18.48,17.86,20.54,2.95,3.05,5.10,18.17,1.63,1020.29,16.50,18.86,22.99,6.80,7.48,7.77,18.76,49.95,1027.27,67.69,P; Tset = 42.00; Ttrue = NaN; T1 = 20.14; RH1 = 62.45; T2 = 20.44; RH2 = 60.64
2017.11.18_05:07:09,13.66,17.75,21.57,3.10,3.34,5.49,18.14,1.63,1020.27,15.87,18.24,22.38,6.08,7.58,7.14,18.73,49.86,1027.27,67.55,P; Tset = 42.40; Ttrue = NaN; T1 = 20.09; RH1 = 62.40; T2 = 20.42; RH2 = 60.53
2017.11.18_05:08:09,13.61,17.20,23.60,3.57,3.74,5.45,18.12,1.63,1020.29,13.66,18.60,23.28,6.32,7.37,7.76,18.70,49.76,1027.28,67.42,P; Tset = 43.00; Ttrue = NaN; T1 = 20.04; RH1 = 62.35; T2 = 20.40; RH2 = 60.40
