2017.11.10_00:23:24,36.29,36.96,40.29,9.96,8.05,7.99,22.93,7.52,968.22,47.23,47.63,43.69,9.72,10.22,9.92,23.71,9.83,975.27,11.53,P; Tset = 14.60; Ttrue = NaN; T1 = 21.80; RH1 = 12.43; T2 = 23.66; RH2 = 11.28
2017.11.10_00:34:24,43.36,46.90,40.89,9.57,9.19,12.31,23.68,7.18,1001.66,45.91,42.44,37.94,14.33,12.47,14.50,24.46,9.51,1008.98,10.92,P; Tset = 18.40; Ttrue = NaN; T1 = 22.47; RH1 = 12.22; T2 = 24.40; RH2 = 11.03
2017.11.10_00:35:24,36.84,38.63,38.23,10.02,6.37,12.49,23.68,7.14,1001.77,40.07,43.99,39.44,8.83,9.71,10.92,24.45,9.44,1009.06,10.88,P; Tset = 18.80; Ttrue = NaN; T1 = 22.46; RH1 = 12.18; T2 = 24.39; RH2 = 10.98
2017.11.10_00:36:24,32.92,34.46,31.68,7.84,6.09,9.90,23.67,7.10,1001.79,43.76,41.15,37.44,8.06,10.61,8.51,24.45,9.39,1009.09,10.83,P; Tset = 19.20; Ttrue = NaN; T1 = 22.46; RH1 = 12.14; T2 = 24.38; RH2 = 10.93
2017.11.10_00:37:24,36.95,42.35,33.34,8.88,8.17,12.24,23.66,7.07,1001.80,43.39,47.84,35.66,12.87,10.75,10.34,24.43,9.36,1009.08,10.81,P; Tset = 19.60; Ttrue = NaN; T1 = 22.45; RH1 = 12.11; T2 = 24.37; RH2 = 10.91
2017.11.10_00:38:24,41.62,36.79,37.47,9.17,6.81,10.36,23.66,7.05,1001.74,45.26,39.02,36.79,13.72,13.57,12.42,24.43,9.32,1009.04,10.79,P; Tset = 20.20; Ttrue = NaN; T1 = 22.44; RH1 = 12.09; T2 = 24.37; RH2 = 10.89
2017.11.10_00:39:24,35.01,36.01,34.26,7.06,6.38,10.39,23.66,7.05,1001.82,31.36,30.32,31.88,8.15,11.01,11.62,24.41,9.31,1009.12,10.79,P; Tset = 20.60; Ttrue = NaN; T1 = 22.43; RH1 = 12.09; T2 = 24.37; RH2 = 10.89
2017.11.10_00:40:24,31.55,30.62,33.27,7.15,4.71,9.12,23.64,7.04,1001.86,30.06,30.10,28.91,7.50,10.68,9.94,24.41,9.28,1009.16,10.77,P; Tset = 21.00; Ttrue = NaN; T1 = 22.42; RH1 = 12.07; T2 = 24.36; RH2 = 10.86
2017.11.10_00:41:24,30.76,36.11,30.38,7.27,5.48,7.13,23.64,7.02,1001.91,33.46,31.07,31.32,7.19,8.63,9.49,24.40,9.24,1009.20,10.74,P; Tset = 21.40; Ttrue = NaN; T1 = 22.41; RH1 = 12.05; T2 = 24.35; RH2 = 10.83
2017.11.10_00:42:24,29.61,30.28,28.23,9.26,5.88,8.21,23.64,6.99,1001.95,38.46,29.21,32.85,8.77,9.16,8.65,24.39,9.20,1009.23,10.72,P; Tset = 21.60; Ttrue = NaN; T1 = 22.40; RH1 = 12.02; T2 = 24.35; RH2 = 10.79
2017.11.10_00:43:24,40.67,33.15,28.17,8.74,5.84,8.64,23.62,6.97,1001.90,26.23,30.99,30.93,7.73,9.10,9.89,24.39,9.17,1009.21,10.69,P; Tset = 22.00; Ttrue = NaN; T1 = 22.39; RH1 = 11.99; T2 = 24.34; RH2 = 10.77
2017.11.10_00:44:24,33.57,29.84,24.59,8.75,4.97,6.96,23.62,6.95,1001.85,32.65,29.09,27.39,7.42,9.12,10.28,24.38,9.14,1009.16,10.66,P; Tset = 22.40; Ttrue = NaN; T1 = 22.39; RH1 = 11.95; T2 = 24.34; RH2 = 10.75
2017.11.10_00:45:24,28.99,28.88,24.42,8.04,8.41,7.79,23.62,6.91,1001.90,31.16,45.77,27.63,7.49,8.97,9.89,24.37,9.10,1009.19,10.63,P; Tset = 22.80; Ttrue = NaN; T1 = 22.38; RH1 = 11.91; T2 = 24.33; RH2 = 10.73
2017.11.10_00:46:24,34.25,40.21,28.63,6.36,4.96,8.71,23.61,6.87,1001.89,31.47,35.55,30.45,10.30,12.08,10.17,24.37,9.05,1009.20,10.58,P; Tset = 23.20; Ttrue = NaN; T1 = 22.37; RH1 = 11.84; T2 = 24.32; RH2 = 10.69
2017.11.10_00:47:24,27.76,30.83,29.45,11.23,5.94,7.55,23.60,6.85,1002.00,33.98,34.16,28.39,8.70,11.82,11.60,24.36,9.00,1009.20,10.54,P; Tset = 23.40; Ttrue = NaN; T1 = 22.36; RH1 = 11.82; T2 = 24.32; RH2 = 10.63
2017.11.10_00:48:24,25.44,31.73,26.65,7.24,6.08,6.75,23.60,6.83,1001.87,30.14,28.45,23.97,7.50,9.76,8.66,24.35,8.97,1009.17,10.51,P; Tset = 23.80; Ttrue = NaN; T1 = 22.36; RH1 = 11.78; T2 = 24.32; RH2 = 10.60
2017.11.10_00:49:24,30.32,31.44,28.19,7.13,7.54,7.27,23.59,6.79,1001.88,30.74,25.62,24.82,7.45,9.83,9.42,24.34,8.90,1009.13,10.45,P; Tset = 24.00; Ttrue = NaN; T1 = 22.35; RH1 = 11.71; T2 = 24.31; RH2 = 10.53
2017.11.10_00:50:24,32.40,26.37,26.90,8.51,6.76,9.09,23.58,6.77,1001.89,31.65,30.19,25.08,7.50,8.59,9.57,24.35,8.88,1009.18,10.42,P; Tset = 24.40; Ttrue = NaN; T1 = 22.35; RH1 = 11.69; T2 = 24.31; RH2 = 10.50
2017.11.10_00:51:24,35.64,36.45,30.14,9.71,8.57,7.92,23.58,6.76,1001.95,36.93,24.00,32.29,7.87,9.25,9.28,24.33,8.85,1009.19,10.41,P; Tset = 24.80; Ttrue = NaN; T1 = 22.34; RH1 = 11.69; T2 = 24.30; RH2 = 10.49
2017.11.10_00:52:24,29.37,36.78,29.32,8.72,7.75,9.15,23.58,6.76,1001.92,32.27,32.82,34.27,9.86,11.12,11.77,24.32,8.84,1009.25,10.42,P; Tset = 25.00; Ttrue = NaN; T1 = 22.33; RH1 = 11.69; T2 = 24.29; RH2 = 10.48
2017.11.10_00:53:24,28.50,30.34,25.31,8.29,6.72,8.26,23.57,6.76,1001.86,34.64,30.22,25.48,12.52,7.93,10.20,24.32,8.83,1009.14,10.41,P; Tset = 25.40; Ttrue = NaN; T1 = 22.32; RH1 = 11.67; T2 = 24.29; RH2 = 10.50
2017.11.10_00:54:24,33.87,36.18,29.30,5.84,5.42,7.03,23.56,6.74,1001.78,38.78,37.30,35.57,9.04,10.12,9.00,24.32,8.83,1009.10,10.39,P; Tset = 25.60; Ttrue = NaN; T1 = 22.31; RH1 = 11.63; T2 = 24.28; RH2 = 10.51
2017.11.10_00:55:24,37.90,36.59,29.68,6.84,9.51,11.45,23.55,6.69,1001.90,33.78,28.75,33.19,7.38,10.98,8.72,24.32,8.77,1009.21,10.34,P; Tset = 25.80; Ttrue = NaN; T1 = 22.30; RH1 = 11.57; T2 = 24.27; RH2 = 10.47
2017.11.10_00:56:24,31.89,31.17,23.00,7.82,5.44,6.60,23.55,6.69,1002.08,33.51,26.79,30.30,9.51,8.98,9.65,24.30,8.73,1009.36,10.32,P; Tset = 26.20; Ttrue = NaN; T1 = 22.30; RH1 = 11.58; T2 = 24.27; RH2 = 10.41
2017.11.10_00:57:24,26.32,26.01,17.82,10.11,6.57,8.47,23.53,6.69,1002.12,28.10,24.02,29.70,5.46,8.38,9.64,24.30,8.71,1009.40,10.32,P; Tset = 26.40; Ttrue = NaN; T1 = 22.29; RH1 = 11.60; T2 = 24.26; RH2 = 10.41
2017.11.10_00:58:24,19.88,25.08,25.36,7.58,6.56,8.32,23.53,6.70,1002.12,32.87,24.57,29.00,6.12,8.05,8.25,24.29,8.71,1009.41,10.34,P; Tset = 26.80; Ttrue = NaN; T1 = 22.28; RH1 = 11.62; T2 = 24.25; RH2 = 10.41
2017.11.10_00:59:24,24.64,27.62,24.88,8.34,5.68,7.63,23.52,6.69,1002.20,30.82,27.21,25.63,8.12,9.56,10.50,24.28,8.69,1009.46,10.32,P; Tset = 27.00; Ttrue = NaN; T1 = 22.27; RH1 = 11.60; T2 = 24.24; RH2 = 10.40
2017.11.10_01:00:24,28.34,21.92,21.41,4.76,5.39,5.95,23.51,6.70,1002.18,27.87,24.13,21.13,8.37,9.69,11.16,24.28,8.67,1009.46,10.32,P; Tset = 27.20; Ttrue = NaN; T1 = 22.27; RH1 = 11.61; T2 = 24.23; RH2 = 10.40
2017.11.10_01:01:24,22.28,20.35,24.01,5.71,4.84,7.26,23.50,6.68,1002.17,23.63,25.85,28.70,10.66,8.64,8.53,24.27,8.66,1009.44,10.31,P; Tset = 27.60; Ttrue = NaN; T1 = 22.26; RH1 = 11.58; T2 = 24.22; RH2 = 10.39
2017.11.10_01:02:24,22.40,19.74,18.43,5.81,4.40,5.98,23.50,6.65,1002.21,22.99,26.30,26.01,6.84,8.58,9.51,24.26,8.62,1009.49,10.27,P; Tset = 27.80; Ttrue = NaN; T1 = 22.25; RH1 = 11.54; T2 = 24.21; RH2 = 10.35
2017.11.10_01:03:24,21.88,20.80,21.05,5.53,5.35,6.31,23.49,6.63,1002.26,22.45,22.28,22.25,7.18,7.88,9.05,24.26,8.59,1009.56,10.24,P; Tset = 28.00; Ttrue = NaN; T1 = 22.24; RH1 = 11.52; T2 = 24.20; RH2 = 10.32
2017.11.10_01:04:24,22.73,23.86,21.62,8.85,5.84,5.76,23.48,6.62,1002.26,25.41,21.91,22.91,5.89,9.09,9.44,24.24,8.58,1009.60,10.24,P; Tset = 28.20; Ttrue = NaN; T1 = 22.24; RH1 = 11.51; T2 = 24.20; RH2 = 10.31
2017.11.10_01:05:24,28.58,20.65,20.29,3.71,9.17,5.84,23.48,6.61,1002.29,25.61,27.02,24.25,5.75,8.49,8.55,24.24,8.54,1009.56,10.20,P; Tset = 28.40; Ttrue = NaN; T1 = 22.23; RH1 = 11.47; T2 = 24.19; RH2 = 10.28
2017.11.10_01:06:24,23.18,24.81,17.35,5.22,5.20,5.42,23.46,6.58,1002.34,21.02,16.62,19.97,6.93,7.13,6.92,24.24,8.52,1009.62,10.17,P; Tset = 28.80; Ttrue = NaN; T1 = 22.22; RH1 = 11.45; T2 = 24.18; RH2 = 10.25
2017.11.10_01:07:24,21.80,27.76,18.31,5.97,3.48,5.68,23.46,6.57,1002.33,27.79,19.01,20.36,8.17,8.89,7.95,24.23,8.49,1009.64,10.15,P; Tset = 29.00; Ttrue = NaN; T1 = 22.21; RH1 = 11.42; T2 = 24.17; RH2 = 10.22
2017.11.10_01:08:24,23.70,21.11,19.83,3.98,3.37,4.82,23.46,6.53,1002.36,20.86,19.66,20.89,6.88,7.94,7.95,24.22,8.46,1009.64,10.11,P; Tset = 29.20; Ttrue = NaN; T1 = 22.20; RH1 = 11.37; T2 = 24.17; RH2 = 10.18
2017.11.10_01:09:24,22.55,21.29,18.18,7.81,3.83,5.58,23.44,6.51,1002.39,21.81,24.00,22.05,6.79,8.78,11.40,24.22,8.43,1009.69,10.08,P; Tset = 29.40; Ttrue = NaN; T1 = 22.20; RH1 = 11.35; T2 = 24.16; RH2 = 10.15
2017.11.10_01:10:24,21.46,20.86,20.63,4.62,3.28,5.77,23.44,6.50,1002.50,20.60,22.68,20.32,7.79,8.56,9.43,24.21,8.41,1009.76,10.08,P; Tset = 29.60; Ttrue = NaN; T1 = 22.19; RH1 = 11.34; T2 = 24.14; RH2 = 10.15
2017.11.10_01:11:24,24.47,24.49,19.25,5.81,3.29,7.69,23.43,6.50,1002.43,23.14,22.65,20.32,6.06,8.55,7.51,24.20,8.40,1009.75,10.07,P; Tset = 29.80; Ttrue = NaN; T1 = 22.19; RH1 = 11.34; T2 = 24.14; RH2 = 10.14
2017.11.10_01:12:24,28.63,29.26,20.67,7.49,4.07,6.22,23.43,6.49,1002.28,22.65,29.75,20.14,6.55,9.05,7.41,24.20,8.40,1009.61,10.05,P; Tset = 30.00; Ttrue = NaN; T1 = 22.18; RH1 = 11.30; T2 = 24.13; RH2 = 10.14
2017.11.10_01:13:24,28.64,26.44,22.62,5.82,4.52,6.51,23.41,6.46,1002.40,29.27,24.99,21.12,7.05,10.35,8.64,24.20,8.39,1009.74,10.02,P; Tset = 30.20; Ttrue = NaN; T1 = 22.17; RH1 = 11.24; T2 = 24.13; RH2 = 10.14
2017.11.10_01:14:24,61.59,56.41,56.51,13.02,10.76,12.11,23.41,6.44,1002.44,74.76,65.90,52.88,12.93,14.22,17.09,24.18,8.35,1009.76,10.01,P; Tset = 30.40; Ttrue = NaN; T1 = 22.16; RH1 = 11.24; T2 = 24.12; RH2 = 10.10
2017.11.10_01:15:24,37.31,30.69,35.54,7.52,6.67,8.51,23.41,6.43,1002.43,43.83,36.25,30.86,8.10,9.58,9.04,24.18,8.31,1009.72,9.98,P; Tset = 30.80; Ttrue = NaN; T1 = 22.15; RH1 = 11.23; T2 = 24.11; RH2 = 10.07
2017.11.10_01:16:24,25.81,23.60,18.60,6.62,5.44,5.98,23.40,6.42,1002.42,24.49,23.31,22.16,6.50,7.76,9.85,24.16,8.28,1009.76,9.97,P; Tset = 31.00; Ttrue = NaN; T1 = 22.15; RH1 = 11.22; T2 = 24.10; RH2 = 10.05
2017.11.10_01:17:24,26.06,24.87,18.79,6.13,3.87,7.98,23.39,6.42,1002.48,25.88,23.47,24.24,5.38,6.82,9.22,24.15,8.28,1009.76,9.98,P; Tset = 31.20; Ttrue = NaN; T1 = 22.15; RH1 = 11.24; T2 = 24.10; RH2 = 10.05
2017.11.10_01:18:24,23.13,21.94,22.13,10.19,3.95,5.45,23.39,6.43,1002.34,28.40,27.10,25.63,4.92,7.06,8.79,24.14,8.27,1009.68,9.99,P; Tset = 31.40; Ttrue = NaN; T1 = 22.14; RH1 = 11.24; T2 = 24.09; RH2 = 10.06
2017.11.10_01:19:24,27.36,20.44,24.42,4.87,5.63,6.84,23.39,6.42,1002.46,26.85,29.48,24.44,8.97,9.85,18.07,24.14,8.25,1009.77,9.98,P; Tset = 31.60; Ttrue = NaN; T1 = 22.13; RH1 = 11.24; T2 = 24.09; RH2 = 10.04
2017.11.10_01:20:24,19.02,22.50,24.24,3.82,3.41,5.37,23.38,6.43,1002.51,23.10,32.89,22.00,7.55,11.06,8.94,24.13,8.25,1009.78,10.00,P; Tset = 31.60; Ttrue = NaN; T1 = 22.12; RH1 = 11.27; T2 = 24.09; RH2 = 10.05
2017.11.10_01:21:24,23.35,19.11,17.54,8.71,5.87,6.26,23.37,6.46,1002.52,23.17,20.78,22.68,8.32,8.31,8.08,24.12,8.26,1009.78,10.04,P; Tset = 31.80; Ttrue = NaN; T1 = 22.12; RH1 = 11.31; T2 = 24.08; RH2 = 10.08
2017.11.10_01:22:24,29.01,23.34,24.02,5.97,6.59,8.80,23.37,6.46,1002.51,30.34,20.38,32.28,7.90,8.84,9.04,24.11,8.26,1009.77,10.04,P; Tset = 32.00; Ttrue = NaN; T1 = 22.11; RH1 = 11.31; T2 = 24.08; RH2 = 10.09
2017.11.10_01:23:24,24.82,21.78,24.91,5.05,6.66,8.13,23.37,6.46,1002.35,29.10,21.56,29.05,8.17,9.93,8.91,24.10,8.26,1009.64,10.04,P; Tset = 32.20; Ttrue = NaN; T1 = 22.10; RH1 = 11.30; T2 = 24.07; RH2 = 10.09
2017.11.10_01:24:24,31.22,27.38,25.32,7.75,4.10,6.77,23.36,6.45,1002.47,33.25,26.06,26.07,7.12,8.99,8.89,24.10,8.27,1009.72,10.04,P; Tset = 32.40; Ttrue = NaN; T1 = 22.09; RH1 = 11.29; T2 = 24.07; RH2 = 10.11
2017.11.10_01:25:24,27.62,27.65,27.54,7.17,4.48,8.72,23.35,6.44,1002.45,31.21,29.22,34.10,8.34,9.85,10.93,24.10,8.23,1009.66,10.01,P; Tset = 32.60; Ttrue = NaN; T1 = 22.08; RH1 = 11.27; T2 = 24.06; RH2 = 10.07
2017.11.10_01:26:24,27.60,24.20,21.04,8.91,5.27,7.59,23.35,6.46,1002.45,24.54,26.51,27.51,5.67,8.37,7.41,24.08,8.24,1009.66,10.03,P; Tset = 32.80; Ttrue = NaN; T1 = 22.08; RH1 = 11.28; T2 = 24.06; RH2 = 10.08
2017.11.10_01:27:24,22.45,26.48,20.56,4.23,5.46,6.24,23.35,6.46,1002.41,20.85,27.83,25.11,6.15,7.76,9.45,24.08,8.22,1009.68,10.03,P; Tset = 33.00; Ttrue = NaN; T1 = 22.07; RH1 = 11.29; T2 = 24.06; RH2 = 10.08
2017.11.10_01:28:24,22.05,22.60,19.62,6.22,4.02,6.55,23.35,6.48,1002.41,21.22,22.01,22.31,5.50,7.60,7.71,24.08,8.24,1009.66,10.06,P; Tset = 33.20; Ttrue = NaN; T1 = 22.06; RH1 = 11.34; T2 = 24.05; RH2 = 10.10
2017.11.10_01:29:24,20.00,19.82,20.66,6.48,4.95,6.73,23.34,6.50,1002.44,22.68,21.81,23.30,6.40,7.37,9.46,24.07,8.26,1009.71,10.08,P; Tset = 33.40; Ttrue = NaN; T1 = 22.06; RH1 = 11.36; T2 = 24.05; RH2 = 10.12
2017.11.10_01:30:24,23.09,24.13,22.40,4.59,4.12,5.19,23.33,6.50,1002.45,21.08,25.16,26.17,8.53,7.69,7.82,24.06,8.25,1009.71,10.09,P; Tset = 33.60; Ttrue = NaN; T1 = 22.05; RH1 = 11.37; T2 = 24.04; RH2 = 10.12
2017.11.10_01:31:24,20.62,19.36,19.02,4.29,3.81,7.71,23.33,6.51,1002.50,23.78,20.90,24.83,6.32,9.22,8.96,24.06,8.24,1009.77,10.09,P; Tset = 33.60; Ttrue = NaN; T1 = 22.04; RH1 = 11.37; T2 = 24.04; RH2 = 10.12
2017.11.10_01:32:24,28.39,31.65,26.05,7.64,7.23,8.34,23.33,6.52,1002.32,30.99,25.56,27.30,7.46,9.67,11.08,24.06,8.26,1009.59,10.10,P; Tset = 33.80; Ttrue = NaN; T1 = 22.03; RH1 = 11.37; T2 = 24.03; RH2 = 10.15
2017.11.10_01:33:24,23.69,23.66,18.35,5.95,4.92,7.42,23.32,6.50,1002.50,27.96,27.63,22.58,5.97,8.79,9.74,24.04,8.24,1009.78,10.07,P; Tset = 34.00; Ttrue = NaN; T1 = 22.02; RH1 = 11.32; T2 = 24.02; RH2 = 10.13
2017.11.10_01:34:24,23.13,20.46,21.38,5.33,6.69,5.40,23.31,6.51,1002.54,24.83,16.92,21.35,6.05,8.21,8.72,24.04,8.22,1009.78,10.06,P; Tset = 34.20; Ttrue = NaN; T1 = 22.01; RH1 = 11.34; T2 = 24.02; RH2 = 10.11
2017.11.10_01:35:24,23.19,22.29,15.74,5.52,4.02,5.90,23.31,6.51,1002.52,27.70,21.80,22.88,5.94,7.67,8.73,24.04,8.21,1009.79,10.06,P; Tset = 34.40; Ttrue = NaN; T1 = 22.00; RH1 = 11.34; T2 = 24.01; RH2 = 10.11
2017.11.10_01:36:24,23.41,18.56,21.63,8.24,6.46,5.73,23.30,6.49,1002.60,25.29,28.38,24.26,8.61,7.83,8.34,24.02,8.19,1009.85,10.04,P; Tset = 34.60; Ttrue = NaN; T1 = 22.00; RH1 = 11.30; T2 = 24.00; RH2 = 10.09
2017.11.10_01:37:24,18.11,19.01,17.51,9.97,5.29,7.32,23.29,6.48,1002.60,20.74,17.76,20.80,5.95,7.63,8.67,24.02,8.16,1009.84,10.00,P; Tset = 34.60; Ttrue = NaN; T1 = 21.99; RH1 = 11.28; T2 = 23.99; RH2 = 10.05
2017.11.10_01:38:24,20.34,20.42,19.69,5.21,4.10,6.73,23.29,6.47,1002.63,23.74,21.03,20.84,5.72,7.82,8.11,24.02,8.15,1009.86,10.00,P; Tset = 34.80; Ttrue = NaN; T1 = 21.98; RH1 = 11.28; T2 = 23.98; RH2 = 10.05
2017.11.10_01:39:24,17.30,17.26,18.74,5.31,2.77,5.49,23.27,6.48,1002.63,23.54,16.49,16.76,5.91,7.31,7.45,24.01,8.15,1009.88,10.00,P; Tset = 35.00; Ttrue = NaN; T1 = 21.97; RH1 = 11.27; T2 = 23.97; RH2 = 10.06
2017.11.10_01:40:24,19.68,19.58,15.27,4.96,4.02,6.07,23.27,6.47,1002.61,19.30,19.98,16.37,5.56,6.50,7.60,24.00,8.14,1009.89,10.00,P; Tset = 35.20; Ttrue = NaN; T1 = 21.97; RH1 = 11.26; T2 = 23.96; RH2 = 10.06
2017.11.10_01:41:24,21.33,15.21,16.62,4.04,3.31,5.48,23.25,6.44,1002.68,17.97,15.38,17.68,5.47,6.85,7.19,24.00,8.12,1009.91,9.97,P; Tset = 35.20; Ttrue = NaN; T1 = 21.96; RH1 = 11.24; T2 = 23.96; RH2 = 10.04
2017.11.10_01:42:24,18.36,14.69,13.43,4.67,4.94,5.28,23.25,6.45,1002.67,17.41,20.67,16.82,6.11,7.82,7.56,23.99,8.12,1009.91,9.97,P; Tset = 35.40; Ttrue = NaN; T1 = 21.95; RH1 = 11.23; T2 = 23.95; RH2 = 10.03
2017.11.10_01:43:24,15.51,12.90,14.43,4.55,9.33,5.68,23.23,6.41,1002.58,15.87,16.02,16.51,5.58,8.17,9.06,23.98,8.08,1009.83,9.93,P; Tset = 35.60; Ttrue = NaN; T1 = 21.95; RH1 = 11.20; T2 = 23.94; RH2 = 9.99
2017.11.10_01:44:24,20.37,21.07,16.17,6.39,5.05,5.22,23.23,6.41,1002.57,20.03,20.73,19.18,6.16,7.50,9.99,23.98,8.06,1009.86,9.91,P; Tset = 35.80; Ttrue = NaN; T1 = 21.94; RH1 = 11.17; T2 = 23.93; RH2 = 9.98
2017.11.10_01:45:24,21.79,17.37,16.70,4.75,2.05,7.30,23.21,6.42,1002.67,20.19,23.58,15.31,4.81,7.86,7.11,23.96,8.06,1009.94,9.93,P; Tset = 35.80; Ttrue = NaN; T1 = 21.94; RH1 = 11.20; T2 = 23.92; RH2 = 9.98
2017.11.10_01:46:24,19.87,17.96,18.81,5.05,2.57,5.33,23.21,6.43,1002.71,24.72,15.94,20.47,6.05,7.59,7.41,23.96,8.06,1009.95,9.95,P; Tset = 36.00; Ttrue = NaN; T1 = 21.93; RH1 = 11.23; T2 = 23.91; RH2 = 9.99
2017.11.10_01:47:24,16.93,20.28,13.85,4.53,4.00,6.65,23.19,6.42,1002.67,19.60,18.88,18.97,5.47,6.69,7.09,23.96,8.05,1009.92,9.94,P; Tset = 36.20; Ttrue = NaN; T1 = 21.92; RH1 = 11.22; T2 = 23.89; RH2 = 9.99
2017.11.10_01:48:24,19.59,19.20,14.76,5.57,5.02,7.12,23.19,6.42,1002.71,18.98,19.40,18.68,6.18,7.78,7.25,23.95,8.04,1009.96,9.93,P; Tset = 36.40; Ttrue = NaN; T1 = 21.92; RH1 = 11.22; T2 = 23.88; RH2 = 9.98
2017.11.10_01:49:24,16.74,14.67,15.24,4.33,2.70,6.52,23.17,6.42,1002.78,17.83,19.47,15.42,6.87,8.08,6.74,23.94,8.03,1010.02,9.93,P; Tset = 36.40; Ttrue = NaN; T1 = 21.91; RH1 = 11.22; T2 = 23.87; RH2 = 9.98
2017.11.10_01:50:24,17.06,15.95,15.92,5.81,3.28,4.97,23.17,6.42,1002.73,22.24,16.22,17.68,6.70,7.92,6.69,23.94,8.03,1009.96,9.92,P; Tset = 36.60; Ttrue = NaN; T1 = 21.90; RH1 = 11.21; T2 = 23.86; RH2 = 9.98
2017.11.10_01:51:24,19.56,16.44,14.46,3.95,3.76,4.64,23.17,6.42,1002.72,16.49,16.77,17.16,5.45,7.29,6.67,23.94,8.03,1009.99,9.91,P; Tset = 36.80; Ttrue = NaN; T1 = 21.90; RH1 = 11.18; T2 = 23.85; RH2 = 9.98
2017.11.10_01:52:24,24.52,19.04,13.37,3.88,3.09,4.75,23.15,6.42,1002.74,21.23,17.76,14.45,5.70,8.73,7.51,23.92,8.01,1009.98,9.90,P; Tset = 36.80; Ttrue = NaN; T1 = 21.89; RH1 = 11.17; T2 = 23.84; RH2 = 9.97
2017.11.10_01:53:24,17.75,17.00,14.39,4.02,5.38,5.40,23.15,6.44,1002.73,19.55,17.93,19.77,6.04,9.20,8.46,23.92,8.00,1009.96,9.91,P; Tset = 37.00; Ttrue = NaN; T1 = 21.89; RH1 = 11.20; T2 = 23.83; RH2 = 9.97
2017.11.10_01:54:24,20.91,15.65,11.62,3.23,2.82,4.38,23.15,6.43,1002.76,19.29,16.45,16.26,5.29,6.24,7.37,23.91,8.00,1010.00,9.91,P; Tset = 37.20; Ttrue = NaN; T1 = 21.88; RH1 = 11.20; T2 = 23.83; RH2 = 9.96
