2017.11.12_05:07:08,115.04,152.21,191.68,23.37,27.06,31.10,21.59,6.72,968.41,118.66,154.88,190.46,27.74,31.35,34.91,22.47,8.91,975.29,11.00,P; Tset = 16.80; Ttrue = NaN; T1 = 20.25; RH1 = 12.17; T2 = 22.46; RH2 = 10.68
2017.11.12_05:44:08,126.87,171.16,210.44,33.03,30.39,34.93,21.38,7.81,1002.11,135.14,173.79,204.96,26.36,32.03,35.58,22.22,9.77,1009.10,11.74,P; Tset = 29.80; Ttrue = NaN; T1 = 19.84; RH1 = 13.59; T2 = 22.12; RH2 = 11.81
2017.11.12_05:45:08,126.61,175.93,224.44,27.92,29.14,35.80,21.36,7.82,1002.12,137.49,172.24,209.99,27.62,31.81,36.73,22.19,9.77,1009.10,11.77,P; Tset = 30.00; Ttrue = NaN; T1 = 19.81; RH1 = 13.62; T2 = 22.10; RH2 = 11.82
2017.11.12_05:46:08,129.64,176.33,217.87,29.84,31.67,38.15,21.33,7.85,1002.10,139.42,175.50,211.37,28.31,33.72,37.18,22.15,9.79,1009.09,11.81,P; Tset = 30.40; Ttrue = NaN; T1 = 19.78; RH1 = 13.66; T2 = 22.08; RH2 = 11.86
2017.11.12_05:47:08,137.24,176.62,223.87,29.83,33.71,38.03,21.29,7.90,1002.09,144.42,177.33,214.82,30.87,33.84,38.39,22.13,9.83,1009.06,11.88,P; Tset = 30.60; Ttrue = NaN; T1 = 19.76; RH1 = 13.76; T2 = 22.07; RH2 = 11.91
2017.11.12_05:48:08,134.68,177.74,221.55,30.46,30.99,36.54,21.25,7.98,1002.08,140.59,181.25,214.41,30.18,34.91,38.70,22.11,9.89,1009.05,11.96,P; Tset = 30.80; Ttrue = NaN; T1 = 19.73; RH1 = 13.87; T2 = 22.05; RH2 = 11.99
2017.11.12_05:49:08,133.61,172.15,216.85,27.17,29.20,36.42,21.22,8.06,1002.05,139.02,169.86,206.40,29.81,31.59,39.11,22.08,9.96,1009.04,12.06,P; Tset = 31.00; Ttrue = NaN; T1 = 19.72; RH1 = 13.97; T2 = 22.02; RH2 = 12.08
2017.11.12_05:50:08,126.96,170.59,208.42,30.12,30.09,34.95,21.20,8.12,1002.03,135.91,169.87,205.54,27.64,31.05,37.11,22.07,10.02,1009.01,12.14,P; Tset = 31.40; Ttrue = NaN; T1 = 19.69; RH1 = 14.08; T2 = 21.99; RH2 = 12.16
2017.11.12_05:51:08,126.02,169.86,207.14,29.87,27.46,35.02,21.19,8.18,1002.00,134.86,166.69,208.36,25.90,32.14,36.83,22.04,10.06,1008.96,12.20,P; Tset = 31.60; Ttrue = NaN; T1 = 19.67; RH1 = 14.15; T2 = 21.95; RH2 = 12.23
2017.11.12_05:52:08,125.12,169.31,207.96,27.86,28.49,33.24,21.16,8.23,1001.94,134.31,162.71,203.21,26.33,31.70,36.88,22.01,10.10,1008.88,12.25,P; Tset = 31.80; Ttrue = NaN; T1 = 19.64; RH1 = 14.21; T2 = 21.91; RH2 = 12.29
2017.11.12_05:53:08,124.58,168.90,207.76,25.63,27.48,35.53,21.15,8.25,1001.85,127.20,167.54,207.09,26.37,31.64,36.76,21.99,10.12,1008.81,12.26,P; Tset = 32.00; Ttrue = NaN; T1 = 19.62; RH1 = 14.23; T2 = 21.88; RH2 = 12.31
2017.11.12_05:54:08,118.58,164.58,205.34,24.34,28.50,32.92,21.13,8.24,1001.79,123.97,160.22,199.02,27.26,31.56,34.37,21.97,10.11,1008.75,12.24,P; Tset = 32.20; Ttrue = NaN; T1 = 19.59; RH1 = 14.20; T2 = 21.86; RH2 = 12.30
2017.11.12_05:55:08,117.46,161.32,204.66,25.02,27.81,33.98,21.11,8.17,1001.75,124.52,160.17,195.48,26.44,30.98,35.81,21.94,10.05,1008.68,12.15,P; Tset = 32.40; Ttrue = NaN; T1 = 19.56; RH1 = 14.07; T2 = 21.84; RH2 = 12.22
2017.11.12_05:56:08,122.52,162.63,218.91,25.34,29.86,33.60,21.08,8.17,1001.73,128.93,169.14,201.76,25.56,30.78,38.43,21.91,10.04,1008.67,12.14,P; Tset = 32.60; Ttrue = NaN; T1 = 19.53; RH1 = 14.07; T2 = 21.82; RH2 = 12.19
2017.11.12_05:57:08,116.75,158.20,203.03,24.30,27.91,33.04,21.05,8.16,1001.75,122.25,164.10,196.83,26.83,31.64,39.56,21.88,10.03,1008.69,12.13,P; Tset = 33.00; Ttrue = NaN; T1 = 19.50; RH1 = 14.05; T2 = 21.80; RH2 = 12.19
2017.11.12_05:58:08,116.48,160.41,202.65,28.21,28.09,32.65,21.01,8.13,1001.80,125.58,164.32,198.91,27.34,31.57,35.11,21.84,10.00,1008.72,12.11,P; Tset = 33.20; Ttrue = NaN; T1 = 19.48; RH1 = 14.00; T2 = 21.78; RH2 = 12.15
2017.11.12_05:59:08,127.72,164.53,203.49,25.56,33.99,33.98,20.98,8.15,1001.84,126.68,162.37,207.72,25.25,33.44,36.15,21.82,10.00,1008.76,12.12,P; Tset = 33.40; Ttrue = NaN; T1 = 19.46; RH1 = 14.04; T2 = 21.76; RH2 = 12.15
2017.11.12_06:00:08,121.06,162.53,203.83,27.23,30.39,33.86,20.95,8.17,1001.84,125.48,165.73,201.92,25.99,31.40,35.50,21.80,10.02,1008.77,12.16,P; Tset = 33.60; Ttrue = NaN; T1 = 19.44; RH1 = 14.08; T2 = 21.74; RH2 = 12.18
2017.11.12_06:01:08,119.34,163.98,209.83,25.77,29.69,32.36,20.93,8.17,1001.83,124.08,160.19,196.41,26.41,31.11,35.51,21.78,10.02,1008.77,12.16,P; Tset = 33.80; Ttrue = NaN; T1 = 19.42; RH1 = 14.09; T2 = 21.71; RH2 = 12.20
2017.11.12_06:02:08,119.02,162.60,202.00,24.28,27.50,32.40,20.91,8.18,1001.82,126.86,160.22,197.14,27.23,30.45,34.42,21.76,10.02,1008.76,12.16,P; Tset = 34.00; Ttrue = NaN; T1 = 19.40; RH1 = 14.10; T2 = 21.67; RH2 = 12.20
2017.11.12_06:03:08,124.44,160.60,202.29,26.08,26.13,32.83,20.89,8.20,1001.82,123.44,161.17,194.52,26.28,31.09,36.71,21.74,10.02,1008.77,12.16,P; Tset = 34.20; Ttrue = NaN; T1 = 19.37; RH1 = 14.11; T2 = 21.63; RH2 = 12.21
2017.11.12_06:04:08,118.95,159.82,201.43,24.00,26.17,34.11,20.87,8.20,1001.82,125.00,161.11,194.69,26.35,32.44,36.79,21.72,10.03,1008.76,12.15,P; Tset = 34.40; Ttrue = NaN; T1 = 19.34; RH1 = 14.11; T2 = 21.61; RH2 = 12.21
2017.11.12_06:05:08,115.61,161.03,200.45,26.53,25.66,32.51,20.85,8.17,1001.89,123.10,159.96,194.73,27.06,32.03,36.60,21.69,10.00,1008.77,12.12,P; Tset = 34.60; Ttrue = NaN; T1 = 19.31; RH1 = 14.05; T2 = 21.59; RH2 = 12.18
2017.11.12_06:06:08,125.05,160.07,198.47,26.01,29.40,34.28,20.84,8.14,1001.90,126.33,163.97,199.63,28.56,30.81,35.01,21.66,9.97,1008.80,12.09,P; Tset = 34.80; Ttrue = NaN; T1 = 19.28; RH1 = 14.02; T2 = 21.57; RH2 = 12.15
2017.11.12_06:07:08,123.28,165.84,207.05,28.26,30.79,36.85,20.82,8.13,1001.95,131.11,171.79,205.92,28.17,34.15,37.16,21.63,9.95,1008.84,12.08,P; Tset = 35.00; Ttrue = NaN; T1 = 19.26; RH1 = 14.00; T2 = 21.55; RH2 = 12.13
2017.11.12_06:08:08,133.36,177.26,222.47,30.64,30.59,37.09,20.79,8.16,1001.99,141.40,178.68,214.15,29.93,35.21,37.77,21.60,9.96,1008.89,12.12,P; Tset = 35.20; Ttrue = NaN; T1 = 19.23; RH1 = 14.05; T2 = 21.53; RH2 = 12.14
2017.11.12_06:09:08,129.50,176.21,214.32,29.49,29.54,35.31,20.75,8.23,1002.03,140.66,176.66,215.16,27.98,33.96,41.06,21.57,10.01,1008.92,12.22,P; Tset = 35.40; Ttrue = NaN; T1 = 19.21; RH1 = 14.17; T2 = 21.52; RH2 = 12.23
2017.11.12_06:10:08,127.69,175.22,217.43,26.79,29.52,35.93,20.71,8.25,1002.07,137.35,173.92,212.56,27.08,32.47,38.25,21.55,10.04,1008.95,12.25,P; Tset = 35.40; Ttrue = NaN; T1 = 19.19; RH1 = 14.20; T2 = 21.50; RH2 = 12.27
2017.11.12_06:11:08,132.41,172.65,208.97,27.89,30.24,36.29,20.68,8.25,1002.09,142.06,172.78,210.70,29.06,32.31,36.78,21.54,10.04,1008.98,12.25,P; Tset = 35.60; Ttrue = NaN; T1 = 19.18; RH1 = 14.20; T2 = 21.48; RH2 = 12.28
2017.11.12_06:12:08,129.56,175.45,217.67,27.25,29.80,35.34,20.66,8.28,1002.14,142.34,176.52,214.04,29.56,31.91,37.32,21.52,10.05,1009.00,12.26,P; Tset = 35.80; Ttrue = NaN; T1 = 19.15; RH1 = 14.23; T2 = 21.44; RH2 = 12.29
2017.11.12_06:13:08,135.51,180.80,216.95,28.23,30.94,33.97,20.64,8.34,1002.15,141.91,180.47,215.60,28.11,33.00,38.52,21.49,10.09,1009.01,12.33,P; Tset = 36.00; Ttrue = NaN; T1 = 19.13; RH1 = 14.31; T2 = 21.40; RH2 = 12.36
2017.11.12_06:14:08,128.86,174.78,215.36,30.73,32.12,36.29,20.63,8.38,1002.18,138.09,173.30,211.76,28.97,31.86,36.38,21.47,10.13,1009.04,12.38,P; Tset = 36.20; Ttrue = NaN; T1 = 19.10; RH1 = 14.38; T2 = 21.36; RH2 = 12.42
2017.11.12_06:15:08,128.85,169.91,213.03,28.54,29.63,35.10,20.60,8.42,1002.18,137.48,178.74,207.25,29.56,32.68,37.08,21.45,10.17,1009.05,12.43,P; Tset = 36.40; Ttrue = NaN; T1 = 19.08; RH1 = 14.44; T2 = 21.33; RH2 = 12.47
2017.11.12_06:16:08,128.49,168.32,209.44,26.55,29.14,35.56,20.58,8.47,1002.20,140.19,174.87,205.51,29.51,33.61,35.38,21.43,10.21,1009.08,12.47,P; Tset = 36.60; Ttrue = NaN; T1 = 19.05; RH1 = 14.51; T2 = 21.31; RH2 = 12.51
2017.11.12_06:17:08,122.14,165.58,212.37,26.47,29.56,35.10,20.56,8.49,1002.23,128.66,166.05,200.92,26.77,30.89,35.48,21.40,10.22,1009.09,12.50,P; Tset = 36.80; Ttrue = NaN; T1 = 19.02; RH1 = 14.53; T2 = 21.30; RH2 = 12.54
2017.11.12_06:18:08,125.40,167.20,208.79,26.30,27.42,32.92,20.55,8.47,1002.23,132.28,166.47,202.64,26.92,32.87,35.81,21.37,10.22,1009.11,12.49,P; Tset = 36.80; Ttrue = NaN; T1 = 19.00; RH1 = 14.49; T2 = 21.28; RH2 = 12.53
2017.11.12_06:19:08,127.14,168.42,211.00,26.03,27.74,31.74,20.52,8.46,1002.26,124.68,162.44,200.20,26.97,31.69,36.05,21.34,10.20,1009.13,12.48,P; Tset = 37.00; Ttrue = NaN; T1 = 18.97; RH1 = 14.47; T2 = 21.26; RH2 = 12.51
2017.11.12_06:20:08,123.95,163.49,205.65,26.72,28.39,33.66,20.49,8.41,1002.26,125.78,164.83,199.30,25.95,30.79,35.37,21.32,10.16,1009.11,12.41,P; Tset = 37.20; Ttrue = NaN; T1 = 18.95; RH1 = 14.38; T2 = 21.25; RH2 = 12.46
2017.11.12_06:21:08,117.63,158.39,201.47,24.48,27.65,31.59,20.46,8.32,1002.25,120.01,161.95,197.40,27.92,29.93,35.70,21.30,10.07,1009.10,12.29,P; Tset = 37.40; Ttrue = NaN; T1 = 18.93; RH1 = 14.22; T2 = 21.23; RH2 = 12.34
2017.11.12_06:22:08,117.70,160.94,203.67,24.15,26.76,32.12,20.43,8.25,1002.22,125.49,160.28,200.56,25.06,30.67,35.51,21.28,10.01,1009.09,12.20,P; Tset = 37.60; Ttrue = NaN; T1 = 18.91; RH1 = 14.13; T2 = 21.21; RH2 = 12.25
2017.11.12_06:23:08,116.81,160.39,199.12,25.57,26.54,34.06,20.39,8.20,1002.19,121.05,157.59,195.71,25.38,31.16,36.87,21.26,9.96,1009.06,12.14,P; Tset = 37.80; Ttrue = NaN; T1 = 18.89; RH1 = 14.06; T2 = 21.18; RH2 = 12.19
2017.11.12_06:24:08,119.57,159.08,199.04,26.76,26.69,33.40,20.37,8.16,1002.18,124.30,162.72,198.03,24.75,30.27,34.29,21.23,9.92,1009.02,12.09,P; Tset = 37.80; Ttrue = NaN; T1 = 18.86; RH1 = 14.01; T2 = 21.15; RH2 = 12.15
2017.11.12_06:25:08,119.10,159.32,201.68,26.00,27.99,34.76,20.35,8.14,1002.16,127.16,162.24,196.48,24.97,30.60,35.11,21.21,9.89,1009.00,12.05,P; Tset = 38.00; Ttrue = NaN; T1 = 18.84; RH1 = 13.98; T2 = 21.11; RH2 = 12.11
2017.11.12_06:26:08,118.29,159.02,203.90,24.84,27.73,34.57,20.34,8.16,1002.16,128.30,159.23,197.04,26.75,29.86,36.20,21.18,9.88,1008.98,12.07,P; Tset = 38.20; Ttrue = NaN; T1 = 18.82; RH1 = 14.01; T2 = 21.07; RH2 = 12.12
2017.11.12_06:27:08,117.38,158.04,201.52,25.00,26.71,33.40,20.31,8.20,1002.11,127.18,163.34,198.84,25.78,31.75,35.05,21.16,9.92,1008.95,12.13,P; Tset = 38.40; Ttrue = NaN; T1 = 18.80; RH1 = 14.09; T2 = 21.05; RH2 = 12.17
2017.11.12_06:28:08,115.81,155.90,200.47,24.98,26.94,31.90,20.30,8.18,1002.11,122.81,157.40,192.01,24.06,29.52,34.93,21.14,9.90,1008.92,12.12,P; Tset = 38.40; Ttrue = NaN; T1 = 18.77; RH1 = 14.06; T2 = 21.03; RH2 = 12.17
2017.11.12_06:29:08,117.22,155.36,198.37,25.02,26.99,30.68,20.28,8.15,1002.11,125.05,160.46,197.67,25.18,31.95,35.76,21.11,9.87,1008.91,12.08,P; Tset = 38.60; Ttrue = NaN; T1 = 18.75; RH1 = 14.01; T2 = 21.02; RH2 = 12.13
2017.11.12_06:30:08,113.26,157.69,203.76,25.14,27.85,32.51,20.26,8.09,1002.11,119.63,160.52,200.00,25.47,30.66,35.59,21.08,9.82,1008.92,12.01,P; Tset = 38.80; Ttrue = NaN; T1 = 18.72; RH1 = 13.91; T2 = 21.00; RH2 = 12.07
2017.11.12_06:31:08,117.13,156.71,197.99,25.17,27.44,32.63,20.24,8.05,1002.10,131.80,162.78,199.56,25.11,28.93,37.57,21.05,9.77,1008.93,11.96,P; Tset = 39.00; Ttrue = NaN; T1 = 18.69; RH1 = 13.83; T2 = 20.98; RH2 = 12.01
2017.11.12_06:32:08,117.96,165.19,202.41,22.99,27.50,33.85,20.21,8.02,1002.10,122.05,161.83,194.96,24.64,29.88,35.04,21.03,9.73,1008.94,11.93,P; Tset = 39.00; Ttrue = NaN; T1 = 18.67; RH1 = 13.81; T2 = 20.96; RH2 = 11.98
2017.11.12_06:33:08,112.98,160.55,205.59,23.53,28.14,33.43,20.18,8.02,1002.14,121.04,160.84,206.41,24.40,30.47,36.12,21.01,9.73,1008.95,11.93,P; Tset = 39.20; Ttrue = NaN; T1 = 18.65; RH1 = 13.81; T2 = 20.95; RH2 = 11.98
2017.11.12_06:34:08,115.76,158.20,201.71,25.69,29.01,31.61,20.15,8.03,1002.16,123.46,156.97,198.47,25.61,29.64,35.42,20.99,9.73,1008.95,11.94,P; Tset = 39.40; Ttrue = NaN; T1 = 18.63; RH1 = 13.83; T2 = 20.93; RH2 = 11.99
2017.11.12_06:35:08,119.75,161.95,205.11,27.44,26.00,31.83,20.11,8.02,1002.19,128.12,159.49,200.16,26.31,31.79,35.15,20.98,9.72,1008.99,11.93,P; Tset = 39.40; Ttrue = NaN; T1 = 18.61; RH1 = 13.82; T2 = 20.90; RH2 = 11.98
2017.11.12_06:36:08,124.07,159.84,198.54,25.25,25.08,32.53,20.10,8.03,1002.24,120.11,156.59,196.16,25.85,29.81,34.30,20.95,9.71,1009.05,11.94,P; Tset = 39.60; Ttrue = NaN; T1 = 18.59; RH1 = 13.84; T2 = 20.87; RH2 = 11.98
2017.11.12_06:37:08,113.58,160.07,205.23,24.90,26.41,33.41,20.08,8.06,1002.27,122.98,165.19,199.77,24.88,28.83,35.74,20.92,9.74,1009.07,11.99,P; Tset = 39.80; Ttrue = NaN; T1 = 18.57; RH1 = 13.91; T2 = 20.84; RH2 = 12.02
2017.11.12_06:38:08,115.76,158.59,206.48,23.65,27.02,33.85,20.06,8.15,1002.29,127.79,159.64,199.78,25.85,33.10,35.94,20.91,9.81,1009.08,12.09,P; Tset = 40.00; Ttrue = NaN; T1 = 18.55; RH1 = 14.05; T2 = 20.81; RH2 = 12.10
