2017.11.24_20:20:59,93.81,137.20,173.96,21.49,23.27,28.97,24.99,4.45,971.01,144.38,187.36,233.05,30.04,34.40,39.54,26.06,47.58,978.38,64.43,P; Tset = 14.20; Ttrue = NaN; T1 = 27.06; RH1 = 58.87; T2 = 27.34; RH2 = 57.38
2017.11.24_20:40:59,101.56,143.31,187.01,22.66,24.70,30.92,25.22,4.86,1004.36,151.98,201.29,251.88,32.84,37.51,43.72,26.20,46.25,1011.93,60.23,P; Tset = 28.80; Ttrue = NaN; T1 = 26.64; RH1 = 58.89; T2 = 27.41; RH2 = 55.90
2017.11.24_20:41:59,102.52,147.63,190.47,23.51,26.71,30.88,25.18,4.89,1004.36,153.87,204.71,261.09,34.85,38.65,43.71,26.15,46.09,1011.93,60.10,P; Tset = 29.40; Ttrue = NaN; T1 = 26.59; RH1 = 58.77; T2 = 27.38; RH2 = 55.72
2017.11.24_20:42:59,104.40,147.57,197.82,22.33,25.54,32.01,25.15,4.90,1004.33,158.34,212.55,259.48,34.23,38.13,44.82,26.10,45.95,1011.87,60.04,P; Tset = 30.00; Ttrue = NaN; T1 = 26.54; RH1 = 58.69; T2 = 27.35; RH2 = 55.58
2017.11.24_20:43:59,103.85,144.46,189.15,22.53,25.21,31.11,25.12,4.91,1004.29,156.98,203.51,256.91,34.74,37.19,42.31,26.06,45.87,1011.84,59.99,P; Tset = 30.60; Ttrue = NaN; T1 = 26.49; RH1 = 58.68; T2 = 27.33; RH2 = 55.50
2017.11.24_20:44:59,102.08,148.12,193.49,22.33,25.10,31.73,25.10,4.92,1004.30,158.25,210.93,259.99,34.86,39.03,43.67,26.03,45.74,1011.86,59.76,P; Tset = 31.20; Ttrue = NaN; T1 = 26.42; RH1 = 58.56; T2 = 27.30; RH2 = 55.35
2017.11.24_20:45:59,103.47,147.10,192.05,22.48,26.26,32.18,25.07,4.94,1004.32,160.67,207.54,263.83,40.45,41.02,43.27,26.01,45.63,1011.85,59.56,P; Tset = 31.80; Ttrue = NaN; T1 = 26.37; RH1 = 58.51; T2 = 27.24; RH2 = 55.23
2017.11.24_20:46:59,105.72,148.38,193.99,22.70,26.65,31.61,25.04,4.94,1004.34,162.44,213.14,266.68,37.37,39.89,43.90,25.97,45.50,1011.86,59.41,P; Tset = 32.40; Ttrue = NaN; T1 = 26.32; RH1 = 58.42; T2 = 27.19; RH2 = 55.07
2017.11.24_20:47:59,104.40,148.09,191.99,23.92,27.79,32.06,25.01,4.96,1004.33,153.87,205.09,259.25,34.59,39.17,43.93,25.94,45.42,1011.83,59.34,P; Tset = 32.80; Ttrue = NaN; T1 = 26.26; RH1 = 58.48; T2 = 27.15; RH2 = 55.00
2017.11.24_20:48:59,104.89,150.42,195.80,22.35,25.77,32.01,24.97,4.99,1004.32,158.68,205.02,256.79,35.48,38.64,47.01,25.91,45.38,1011.84,59.25,P; Tset = 33.40; Ttrue = NaN; T1 = 26.21; RH1 = 58.42; T2 = 27.12; RH2 = 54.97
2017.11.24_20:49:59,104.21,149.45,194.53,22.69,26.88,32.76,24.92,5.00,1004.30,168.09,212.54,260.67,34.27,39.92,46.00,25.86,45.23,1011.82,59.14,P; Tset = 34.00; Ttrue = NaN; T1 = 26.15; RH1 = 58.33; T2 = 27.09; RH2 = 54.79
2017.11.24_20:50:59,105.17,150.49,192.77,22.47,26.26,31.97,24.89,5.01,1004.30,163.92,215.41,262.68,34.50,40.08,44.31,25.81,45.14,1011.82,59.10,P; Tset = 34.40; Ttrue = NaN; T1 = 26.10; RH1 = 58.28; T2 = 27.06; RH2 = 54.70
2017.11.24_20:51:59,105.53,152.41,198.62,23.29,26.64,31.43,24.86,5.04,1004.30,162.98,215.13,270.35,34.81,40.34,47.55,25.77,45.03,1011.84,58.99,P; Tset = 35.00; Ttrue = NaN; T1 = 26.04; RH1 = 58.21; T2 = 27.04; RH2 = 54.61
2017.11.24_20:52:59,106.73,153.88,200.69,22.85,26.56,33.02,24.83,5.05,1004.33,163.50,213.36,264.42,38.32,40.38,44.29,25.75,44.93,1011.85,58.83,P; Tset = 35.40; Ttrue = NaN; T1 = 25.99; RH1 = 58.14; T2 = 27.01; RH2 = 54.50
2017.11.24_20:53:59,105.05,149.71,197.43,22.71,26.75,32.58,24.80,5.07,1004.30,165.55,217.96,261.70,34.32,39.92,43.81,25.71,44.83,1011.83,58.72,P; Tset = 36.00; Ttrue = NaN; T1 = 25.94; RH1 = 58.08; T2 = 26.96; RH2 = 54.39
2017.11.24_20:54:59,103.80,149.41,197.58,23.39,26.05,32.43,24.77,5.08,1004.32,157.24,205.30,257.51,33.71,38.84,42.51,25.67,44.75,1011.80,58.64,P; Tset = 36.40; Ttrue = NaN; T1 = 25.88; RH1 = 58.11; T2 = 26.92; RH2 = 54.32
2017.11.24_20:55:59,105.03,150.45,197.28,22.40,26.01,32.89,24.74,5.08,1004.31,152.43,205.83,256.45,33.50,37.58,42.84,25.64,44.77,1011.81,58.64,P; Tset = 37.00; Ttrue = NaN; T1 = 25.82; RH1 = 58.20; T2 = 26.87; RH2 = 54.37
2017.11.24_20:56:59,104.39,151.94,197.73,23.05,28.07,32.62,24.70,5.10,1004.31,168.36,218.11,271.24,35.48,39.91,44.56,25.60,44.62,1011.82,58.45,P; Tset = 37.40; Ttrue = NaN; T1 = 25.78; RH1 = 58.00; T2 = 26.83; RH2 = 54.18
2017.11.24_20:57:59,107.48,154.90,199.52,23.89,26.87,33.19,24.66,5.13,1004.32,156.24,209.74,256.84,34.06,38.17,42.25,25.55,44.56,1011.80,58.46,P; Tset = 37.80; Ttrue = NaN; T1 = 25.74; RH1 = 58.04; T2 = 26.80; RH2 = 54.11
2017.11.24_20:58:59,104.93,151.46,196.54,23.70,26.47,31.86,24.62,5.14,1004.27,156.42,207.42,258.67,33.54,39.72,43.19,25.51,44.49,1011.78,58.39,P; Tset = 38.40; Ttrue = NaN; T1 = 25.68; RH1 = 58.00; T2 = 26.78; RH2 = 54.03
2017.11.24_20:59:59,105.03,150.90,196.32,23.42,26.33,32.33,24.59,5.14,1004.29,163.27,217.11,267.33,34.69,41.16,45.74,25.47,44.39,1011.80,58.31,P; Tset = 38.80; Ttrue = NaN; T1 = 25.63; RH1 = 57.90; T2 = 26.76; RH2 = 53.93
2017.11.24_21:00:59,106.89,152.19,199.13,22.90,25.67,32.53,24.56,5.16,1004.30,154.00,206.21,260.00,35.59,43.21,43.93,25.45,44.32,1011.75,58.27,P; Tset = 39.20; Ttrue = NaN; T1 = 25.58; RH1 = 57.97; T2 = 26.74; RH2 = 53.85
2017.11.24_21:01:59,106.70,151.14,198.78,22.80,26.09,31.98,24.54,5.17,1004.32,140.16,190.21,238.15,32.43,35.24,38.93,25.41,44.46,1011.79,58.49,P; Tset = 39.60; Ttrue = NaN; T1 = 25.53; RH1 = 58.25; T2 = 26.69; RH2 = 54.08
2017.11.24_21:02:59,105.15,153.86,198.28,22.75,25.67,32.22,24.52,5.17,1004.30,157.64,207.28,261.69,35.04,38.46,44.07,25.38,44.28,1011.78,58.13,P; Tset = 40.00; Ttrue = NaN; T1 = 25.48; RH1 = 57.94; T2 = 26.64; RH2 = 53.83
2017.11.24_21:03:59,108.02,152.57,198.69,24.10,26.04,31.53,24.49,5.18,1004.30,154.39,205.79,256.83,33.46,38.41,42.22,25.34,44.19,1011.77,58.02,P; Tset = 40.40; Ttrue = NaN; T1 = 25.43; RH1 = 57.91; T2 = 26.60; RH2 = 53.70
2017.11.24_21:04:59,104.91,152.59,197.78,23.23,25.74,32.54,24.46,5.20,1004.32,155.27,207.45,260.30,33.83,39.60,44.73,25.29,44.14,1011.77,58.04,P; Tset = 41.00; Ttrue = NaN; T1 = 25.38; RH1 = 57.89; T2 = 26.56; RH2 = 53.67
2017.11.24_21:05:59,107.01,153.69,198.97,23.07,27.18,34.21,24.42,5.22,1004.29,162.11,216.15,267.11,35.51,39.94,44.38,25.25,44.02,1011.73,57.93,P; Tset = 41.40; Ttrue = NaN; T1 = 25.34; RH1 = 57.78; T2 = 26.53; RH2 = 53.55
2017.11.24_21:06:59,106.64,154.98,199.89,23.21,27.92,32.84,24.38,5.23,1004.26,161.90,209.94,258.51,34.21,38.60,43.62,25.22,43.98,1011.70,57.89,P; Tset = 41.80; Ttrue = NaN; T1 = 25.29; RH1 = 57.81; T2 = 26.51; RH2 = 53.51
2017.11.24_21:07:59,103.56,152.87,196.36,22.57,25.68,32.71,24.33,5.24,1004.27,147.25,196.14,245.92,32.14,38.12,42.64,25.20,44.01,1011.70,57.98,P; Tset = 42.20; Ttrue = NaN; T1 = 25.24; RH1 = 57.99; T2 = 26.49; RH2 = 53.59
2017.11.24_21:08:59,105.80,151.83,198.21,22.00,26.28,32.22,24.30,5.25,1004.24,152.08,207.18,254.65,33.63,39.24,42.96,25.17,43.94,1011.71,57.85,P; Tset = 42.60; Ttrue = NaN; T1 = 25.20; RH1 = 57.83; T2 = 26.46; RH2 = 53.54
2017.11.24_21:09:59,104.79,152.11,195.81,23.78,27.02,32.05,24.28,5.27,1004.22,150.00,198.20,250.75,33.26,37.42,42.17,25.13,43.91,1011.66,57.86,P; Tset = 42.80; Ttrue = NaN; T1 = 25.15; RH1 = 57.92; T2 = 26.41; RH2 = 53.50
