2017.11.18_03:28:41,16.99,21.29,26.63,3.86,3.45,5.51,18.79,1.34,986.35,20.33,25.43,34.34,7.89,9.27,9.67,19.56,65.07,993.31,82.92,P; Tset = 10.00; Ttrue = NaN; T1 = 20.85; RH1 = 74.76; T2 = 19.70; RH2 = 78.45
2017.11.18_03:39:41,18.61,21.94,29.08,3.60,3.01,5.71,19.31,1.35,1020.36,19.53,27.00,30.20,6.87,8.42,9.04,20.10,63.21,1027.49,74.09,P; Tset = 19.80; Ttrue = NaN; T1 = 21.31; RH1 = 69.14; T2 = 20.29; RH2 = 72.83
2017.11.18_03:40:41,18.31,23.23,27.68,4.00,3.40,6.03,19.28,1.35,1020.37,19.73,25.78,30.93,7.76,9.72,9.32,20.08,62.81,1027.49,73.54,P; Tset = 20.60; Ttrue = NaN; T1 = 21.27; RH1 = 68.70; T2 = 20.28; RH2 = 72.25
2017.11.18_03:41:41,18.28,23.26,28.86,4.02,3.59,6.33,19.27,1.35,1020.36,26.13,25.85,30.16,6.50,8.67,10.28,20.06,62.41,1027.48,72.99,P; Tset = 21.40; Ttrue = NaN; T1 = 21.23; RH1 = 68.26; T2 = 20.26; RH2 = 71.69
2017.11.18_03:42:41,18.56,24.60,28.78,4.19,3.21,5.31,19.25,1.35,1020.31,20.40,24.19,31.72,7.19,8.56,9.12,20.04,62.02,1027.43,72.41,P; Tset = 22.20; Ttrue = NaN; T1 = 21.18; RH1 = 67.85; T2 = 20.24; RH2 = 71.15
2017.11.18_03:43:41,18.72,23.66,28.57,4.57,3.88,6.48,19.25,1.35,1020.33,26.02,24.16,32.58,7.67,9.32,9.30,20.02,61.64,1027.44,71.85,P; Tset = 23.00; Ttrue = NaN; T1 = 21.13; RH1 = 67.47; T2 = 20.21; RH2 = 70.62
2017.11.18_03:44:41,19.14,24.49,29.27,4.98,3.61,7.18,19.23,1.35,1020.31,18.07,24.28,31.17,6.94,8.28,9.08,19.99,61.27,1027.41,71.36,P; Tset = 23.80; Ttrue = NaN; T1 = 21.08; RH1 = 67.11; T2 = 20.19; RH2 = 70.10
2017.11.18_03:45:41,17.56,23.99,29.04,4.75,3.64,6.20,19.21,1.36,1020.29,19.12,25.92,30.13,7.46,8.54,9.28,19.96,60.91,1027.40,70.95,P; Tset = 24.60; Ttrue = NaN; T1 = 21.03; RH1 = 66.78; T2 = 20.17; RH2 = 69.64
2017.11.18_03:46:41,18.49,24.45,29.52,4.68,4.06,5.61,19.19,1.37,1020.27,20.48,26.13,31.30,7.62,9.12,9.33,19.93,60.58,1027.39,70.57,P; Tset = 25.40; Ttrue = NaN; T1 = 20.99; RH1 = 66.48; T2 = 20.15; RH2 = 69.20
2017.11.18_03:47:41,18.63,24.49,28.36,4.48,4.62,6.38,19.17,1.37,1020.27,19.24,24.99,33.63,7.29,8.88,9.13,19.90,60.26,1027.39,70.14,P; Tset = 26.00; Ttrue = NaN; T1 = 20.92; RH1 = 66.20; T2 = 20.13; RH2 = 68.78
2017.11.18_03:48:41,18.14,24.10,26.58,4.15,3.58,6.18,19.14,1.37,1020.27,18.69,24.67,30.52,6.38,8.69,8.49,19.88,59.94,1027.38,69.74,P; Tset = 26.80; Ttrue = NaN; T1 = 20.87; RH1 = 65.97; T2 = 20.11; RH2 = 68.37
2017.11.18_03:49:41,19.38,24.57,27.40,3.73,3.27,6.74,19.11,1.37,1020.28,19.57,24.32,30.77,6.22,7.86,9.03,19.85,59.65,1027.40,69.42,P; Tset = 27.60; Ttrue = NaN; T1 = 20.82; RH1 = 65.74; T2 = 20.11; RH2 = 68.00
2017.11.18_03:50:41,19.18,24.36,28.57,5.52,3.76,6.68,19.08,1.37,1020.31,20.58,24.51,30.19,7.51,8.84,8.76,19.82,59.37,1027.39,69.14,P; Tset = 28.20; Ttrue = NaN; T1 = 20.78; RH1 = 65.52; T2 = 20.10; RH2 = 67.65
2017.11.18_03:51:41,19.09,24.60,27.25,4.05,3.28,5.54,19.04,1.37,1020.32,20.56,24.51,30.76,7.05,8.57,8.95,19.80,59.10,1027.40,68.86,P; Tset = 28.80; Ttrue = NaN; T1 = 20.72; RH1 = 65.36; T2 = 20.09; RH2 = 67.32
2017.11.18_03:52:41,17.80,24.75,28.42,4.22,3.50,6.42,19.01,1.37,1020.32,20.53,23.97,30.40,7.71,8.93,8.75,19.77,58.89,1027.40,68.58,P; Tset = 29.60; Ttrue = NaN; T1 = 20.65; RH1 = 65.22; T2 = 20.07; RH2 = 67.06
2017.11.18_03:53:41,21.66,22.52,28.33,6.46,4.26,5.81,18.98,1.39,1020.27,19.17,23.88,29.11,7.63,8.95,9.30,19.74,58.69,1027.37,68.34,P; Tset = 30.20; Ttrue = NaN; T1 = 20.59; RH1 = 65.09; T2 = 20.06; RH2 = 66.80
2017.11.18_03:54:41,18.33,23.58,28.55,4.67,3.78,5.78,18.96,1.39,1020.28,18.37,25.51,29.24,7.35,8.21,8.91,19.72,58.50,1027.37,68.15,P; Tset = 30.80; Ttrue = NaN; T1 = 20.55; RH1 = 64.99; T2 = 20.03; RH2 = 66.55
2017.11.18_03:55:41,19.79,22.95,27.96,3.67,3.98,5.55,18.94,1.39,1020.28,18.18,24.36,28.71,7.56,8.25,8.44,19.70,58.34,1027.36,67.97,P; Tset = 31.40; Ttrue = NaN; T1 = 20.52; RH1 = 64.91; T2 = 20.00; RH2 = 66.36
2017.11.18_03:56:41,21.50,22.65,27.62,4.36,3.99,6.11,18.92,1.40,1020.27,19.69,23.41,29.81,7.10,9.65,8.99,19.68,58.19,1027.34,67.80,P; Tset = 32.00; Ttrue = NaN; T1 = 20.48; RH1 = 64.87; T2 = 19.99; RH2 = 66.19
2017.11.18_03:57:41,18.00,25.54,26.51,4.16,3.99,5.55,18.92,1.41,1020.26,19.26,22.82,29.53,6.92,8.67,8.09,19.67,58.07,1027.34,67.69,P; Tset = 32.60; Ttrue = NaN; T1 = 20.45; RH1 = 64.82; T2 = 19.97; RH2 = 66.07
2017.11.18_03:58:41,17.16,21.64,25.83,4.33,3.69,6.71,18.90,1.39,1020.25,18.86,22.08,27.87,7.36,8.32,8.96,19.65,57.92,1027.35,67.55,P; Tset = 33.20; Ttrue = NaN; T1 = 20.42; RH1 = 64.71; T2 = 19.95; RH2 = 65.95
2017.11.18_03:59:41,17.60,21.63,26.23,5.28,3.75,5.67,18.89,1.39,1020.26,17.64,21.94,28.74,7.37,7.99,8.65,19.64,57.73,1027.38,67.31,P; Tset = 33.80; Ttrue = NaN; T1 = 20.40; RH1 = 64.56; T2 = 19.92; RH2 = 65.78
2017.11.18_04:00:41,17.54,23.40,26.74,4.12,3.72,5.49,18.88,1.39,1020.29,17.91,22.44,29.93,6.67,8.26,8.51,19.63,57.52,1027.37,67.05,P; Tset = 34.40; Ttrue = NaN; T1 = 20.37; RH1 = 64.37; T2 = 19.90; RH2 = 65.57
2017.11.18_04:01:41,17.99,23.86,27.08,4.48,3.67,5.70,18.88,1.39,1020.27,16.86,23.37,31.92,6.68,8.27,8.58,19.63,57.30,1027.37,66.74,P; Tset = 35.00; Ttrue = NaN; T1 = 20.34; RH1 = 64.18; T2 = 19.88; RH2 = 65.34
2017.11.18_04:02:41,16.93,21.13,25.79,4.44,3.00,5.64,18.86,1.41,1020.26,16.99,23.58,31.53,7.44,7.95,9.08,19.61,57.07,1027.33,66.50,P; Tset = 35.60; Ttrue = NaN; T1 = 20.31; RH1 = 63.98; T2 = 19.87; RH2 = 65.09
2017.11.18_04:03:41,17.15,23.01,26.52,3.87,3.54,6.38,18.86,1.41,1020.32,17.41,21.50,28.34,6.88,7.89,7.80,19.61,56.84,1027.36,66.18,P; Tset = 36.00; Ttrue = NaN; T1 = 20.28; RH1 = 63.79; T2 = 19.86; RH2 = 64.84
2017.11.18_04:04:41,17.31,22.44,26.74,3.95,3.37,6.67,18.84,1.41,1020.30,18.25,23.35,28.43,6.97,8.42,8.26,19.59,56.65,1027.35,65.98,P; Tset = 36.60; Ttrue = NaN; T1 = 20.25; RH1 = 63.65; T2 = 19.85; RH2 = 64.61
2017.11.18_04:05:41,17.41,23.02,27.28,4.49,3.47,5.39,18.82,1.43,1020.27,18.96,22.24,27.77,7.10,8.14,8.45,19.58,56.50,1027.34,65.84,P; Tset = 37.20; Ttrue = NaN; T1 = 20.23; RH1 = 63.57; T2 = 19.84; RH2 = 64.43
2017.11.18_04:06:41,18.32,23.33,27.31,3.52,3.69,5.33,18.81,1.43,1020.26,18.76,22.25,28.07,7.11,8.00,7.86,19.56,56.39,1027.31,65.73,P; Tset = 37.60; Ttrue = NaN; T1 = 20.20; RH1 = 63.52; T2 = 19.83; RH2 = 64.30
2017.11.18_04:07:41,17.24,21.37,25.30,4.03,3.22,5.58,18.79,1.45,1020.25,15.60,20.50,30.59,6.35,8.13,8.26,19.55,56.31,1027.32,65.71,P; Tset = 38.20; Ttrue = NaN; T1 = 20.18; RH1 = 63.52; T2 = 19.83; RH2 = 64.20
2017.11.18_04:08:41,18.02,21.75,27.63,4.03,4.68,5.29,18.78,1.47,1020.23,17.39,23.72,27.81,6.64,7.95,8.21,19.53,56.26,1027.33,65.70,P; Tset = 38.60; Ttrue = NaN; T1 = 20.16; RH1 = 63.55; T2 = 19.82; RH2 = 64.17
2017.11.18_04:09:41,17.35,21.42,26.49,4.30,4.26,4.89,18.76,1.47,1020.20,17.29,21.05,29.20,7.16,7.92,8.77,19.53,56.23,1027.30,65.70,P; Tset = 39.20; Ttrue = NaN; T1 = 20.14; RH1 = 63.61; T2 = 19.82; RH2 = 64.14
2017.11.18_04:10:41,18.52,21.46,26.79,3.37,4.34,5.56,18.75,1.47,1020.20,17.42,21.61,26.88,7.54,8.85,8.03,19.51,56.20,1027.28,65.71,P; Tset = 39.60; Ttrue = NaN; T1 = 20.13; RH1 = 63.61; T2 = 19.82; RH2 = 64.12
2017.11.18_04:11:41,15.97,21.56,25.25,4.19,3.19,5.90,18.74,1.47,1020.19,17.90,21.66,28.29,6.60,8.76,8.37,19.50,56.13,1027.27,65.63,P; Tset = 40.20; Ttrue = NaN; T1 = 20.11; RH1 = 63.54; T2 = 19.82; RH2 = 64.04
2017.11.18_04:12:41,16.78,22.43,25.64,5.09,2.84,5.69,18.74,1.46,1020.19,17.24,21.73,28.49,7.09,8.05,8.38,19.50,56.02,1027.28,65.48,P; Tset = 40.60; Ttrue = NaN; T1 = 20.10; RH1 = 63.42; T2 = 19.82; RH2 = 63.93
2017.11.18_04:13:41,16.20,22.08,25.40,5.05,3.23,5.55,18.74,1.45,1020.20,17.44,22.08,27.12,6.90,7.95,8.34,19.50,55.87,1027.29,65.29,P; Tset = 41.00; Ttrue = NaN; T1 = 20.09; RH1 = 63.26; T2 = 19.81; RH2 = 63.76
2017.11.18_04:14:41,16.17,22.39,27.84,4.07,3.33,5.58,18.73,1.45,1020.20,18.07,24.55,28.08,7.10,8.69,8.35,19.49,55.71,1027.30,65.15,P; Tset = 41.60; Ttrue = NaN; T1 = 20.07; RH1 = 63.11; T2 = 19.80; RH2 = 63.57
2017.11.18_04:15:41,18.96,21.45,26.27,4.35,3.81,5.43,18.72,1.45,1020.22,18.07,20.43,26.35,6.55,8.32,8.20,19.49,55.56,1027.30,64.96,P; Tset = 42.00; Ttrue = NaN; T1 = 20.06; RH1 = 62.99; T2 = 19.80; RH2 = 63.40
2017.11.18_04:16:41,19.10,20.92,26.00,3.86,3.45,5.23,18.72,1.45,1020.22,16.91,20.37,27.28,8.33,8.38,8.88,19.48,55.42,1027.30,64.80,P; Tset = 42.40; Ttrue = NaN; T1 = 20.04; RH1 = 62.91; T2 = 19.79; RH2 = 63.25
2017.11.18_04:17:41,18.06,21.21,25.07,4.21,3.50,5.83,18.72,1.45,1020.24,17.52,21.32,26.36,7.84,8.37,8.17,19.48,55.33,1027.28,64.70,P; Tset = 43.00; Ttrue = NaN; T1 = 20.03; RH1 = 62.88; T2 = 19.78; RH2 = 63.15
